id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_JerseyNumber;value_TeamFormation;value_Captain;value_TeamKit;value_Involved;value_PlayerPosition;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Zone;value_PassEndX;value_Length;value_Angle;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_TakeOnOvertake;value_Offensive;value_Defensive;value_TouchTypeClearance;value_BlockedPass;value_LayOff;value_TouchTypePass;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_SwitchOfPlay;value_TakeOnSpace;value_TouchTypeControl;value_RightFooted;value_OutSwinger;value_Cross;value_DeletedEventType;value_IntendedTackleTarget;value_DrivenCross;value_Straight;value_OutOfPlay;value_AerialFoul;value_LeftFooted;value_HeadPass;value_LowGkIntervention;value_GoalmouthZ;value_GoalmouthY;value_RegularPlay;value_NotAssisted;value_GkY;value_BoxCentre;value_Volley;value_FirstTouch;value_High;value_GkX;value_NextEventGoalKick;value_GoalKick;value_Low;value_PullBack;value_IntentionalAssist;value_Assist;value_BigChance;value_Assisted;value_RelatedEventId;value_Left;value_BlockedY;value_SmallBoxLeft;value_HighCentre;value_BlockedX;value_HighGkIntervention;value_Stooping;value_OtherBodyPart;value_ParriedDanger;value_InjuredPlayerId;value_Injury;value_MediumGkIntervention;value_KeeperThrow;value_FlickOn;value_Right;value_CornerTaken;value_InSwinger;value_Head;value_HighClaim;value_FromCorner;value_NotPastGoalLine;value_PlayersCaughtOffside;value_Indirect;value_ThroughBall;value_YellowCard;value_RecklessOffence;value_NotVisible;value_IndividualPlay;value_OutOfBoxCentre;value_Blocked;value_FastBreak;value_LowLeft;value_DefBlock;value_LeadingToAttempt;value_RelatedError1Id;value_Feet;value_BoxRight;value_ShirtPull/Holding;value_Defensive1V1;value_2NdAssist;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_2NdRelatedEventId;value_GkYTimeOfGoal;value_SmallBoxCentre;value_GoalShotGameClock;value_2NdAssisted;value_Minutes;value_Shove/Push;value_BoxDeepRight;value_LowCentre;value_ParriedSafe;value_Standing;value_EndType;value_VideoCoverageLost;value_Overrun;value_BlockedClearance;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_TacticalFoul;value_LowRight;value_CloseLeft;value_FloatedCross;value_GkKickFromHands;value_LastLine;value_SixYardBlocked;value_SavedOffLine;value_OutOfBoxRight;value_Deflection;value_Penalty;value_PenaltyTakerId;value_DeniedGoalScoringOpp;value_Diving;value_Scored;value_FantasyAssistType;value_FantasyAssistId;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_FantasyAssistedBy;value_FantasyAssistTeam;value_ExcessiveCelebration;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2698763545;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-06-30T22:15:06.018Z;2024-07-01T00:02:10Z;[{'id': 5092265655, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092265649, 'qualifierId': 59, 'value': '21, 20, 24, 77, 34, 23, 90, 91, 97, 16, 79, 27, 35, 44, 45, 50, 56, 57, 65, 66'}, {'id': 5092265651, 'qualifierId': 130, 'value': '2'}, {'id': 5092432013, 'qualifierId': 194, 'value': 'e2tuar1frliervcr2mnmvfspg'}, {'id': 5092329911, 'qualifierId': 197, 'value': '23373'}, {'id': 5092265645, 'qualifierId': 30, 'value': 'bvtvko74cyeqe297mp6shrf2s, 5gd78gkv3k39vofarmapgeuj8, nhhmltlm3ayn7vqmp6etck5w, 80p7shawtxjiydizsg5fo5a1g, 59kitnlge8bjsxmhy850bsutw, e2tuar1frliervcr2mnmvfspg, ov4fk38lrcculu6tdbnrto2c, 5u3ohty1lsm0fn2ltez4g7o5w, 4akvdujqbywk628gok9xbh2j8, 8y7kqet5swj9dmqama0z5ngus, e4rpnf90oa672lcm8ego7vllg, e23u0x31okggroh6dkoqx5fdg, gz9dek1oxgman9jslfku0zmy, 8u0efvao8rym6mdx0tl0h0qac, 6rgdv71lxh4cpz487ygvy5nv8, 4gp2d7oltfq4uwzj78gr6q9sk, d49aa9fx8oddpsucnnicby8k, 76xo0u2yd2cqf8xdyh8rteqdw, 8q2wozyqz4nveabn71hc614dm, 65g50zt5gbo1lnrbc7uvwsbo4'}, {'id': 5092265647, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5092265653, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;dr5o3k45kkpjio3brcpijni1g;Team set up;;;2,0;;23373,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2698765363;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-06-30T22:21:49.583Z;2024-07-05T13:15:36Z;[{'id': 5092326703, 'qualifierId': 197, 'value': '14907'}, {'id': 5092274271, 'qualifierId': 130, 'value': '13'}, {'id': 5092274275, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092274265, 'qualifierId': 30, 'value': '3me8mlpj9tgn82v2mwyibpkb8, 58w3qcq1xrkpq5f9miuxp4ys4, 79606fy6lyfs1h12645q4shzo, ba9m1xd2b3b2zvuuogn4uxkwk, 1cc8cz8wtm8f05109tjb02xka, a12t1zv0y8gzzf6p3jrotkoic, 8warl67c0id3dorr48mn7h82c, 37zynr7fwzqg4c9w5ydefywyy, dgosg1mymhuajg0rz2ts6alpm, 33a69m1zaamzxjr6tsb8p3578, 9jy9vyn7y1bomsbjhjujynb4k, xm7a3ed4ovj75z5q26uo991w, xxu2xv2n6f5d51ksa8z4rv2s, 9bn2zid7u305xii6alm8a58us, 51tmp14xyzuy8we2s63vkndw4, ej430my7aij4crwaycjsw0qhg, 3vztrleod574utjrzhpgn0cgk, 290iohuheoqdrdocbg25ipgk4'}, {'id': 5092274267, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5092274273, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092378825, 'qualifierId': 194, 'value': '8warl67c0id3dorr48mn7h82c'}, {'id': 5092274269, 'qualifierId': 59, 'value': '22, 17, 11, 5, 3, 45, 8, 10, 18, 29, 20, 53, 9, 13, 55, 58, 59, 43'}];;;;;dr5o3k45kkpjio3brcpijni1g;Team set up;;;13,0;;14907,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;0;New York RB II;0;;
2698775751;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-06-30T23:03:39.525Z;2024-06-30T23:03:39Z;[{'id': 5092330783, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dr5o3k45kkpjio3brcpijni1g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;0;New York RB II;0;;
2698775755;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-06-30T23:03:39.525Z;2024-07-04T10:06:04Z;[{'id': 5092330789, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dr5o3k45kkpjio3brcpijni1g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2698775783;3;1;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;49,9;50,0;2024-06-30T23:03:39.526Z;2024-07-01T00:03:59Z;[{'id': 5092330933, 'qualifierId': 141, 'value': '44.6'}, {'id': 5092330939, 'qualifierId': 279, 'value': 'S'}, {'id': 5092330929, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092330931, 'qualifierId': 140, 'value': '26.2'}, {'id': 5092330935, 'qualifierId': 212, 'value': '25.2'}, {'id': 5092330937, 'qualifierId': 213, 'value': '3.29'}];ov4fk38lrcculu6tdbnrto2c;M. Dembele;;;dr5o3k45kkpjio3brcpijni1g;Pass;;;;;;;;;;44,6;;;26,2;25,2;3,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;26,2;44,6;;;;;;;;0;0;0;Columbus Crew II;0;MR;1,0
2698775801;4;1;1;0;4;4g68p0t2f5jzhzfr67i2rj1ex;0;27,9;42,8;2024-06-30T23:03:44.011Z;2024-06-30T23:03:46Z;[{'id': 5092331011, 'qualifierId': 140, 'value': '78.0'}, {'id': 5092331009, 'qualifierId': 56, 'value': 'Center'}, {'id': 5092331017, 'qualifierId': 213, 'value': '0.39'}, {'id': 5092331015, 'qualifierId': 212, 'value': '56.9'}, {'id': 5092331007, 'qualifierId': 157}, {'id': 5092331013, 'qualifierId': 141, 'value': '74.5'}, {'id': 5092331019, 'qualifierId': 1}];59kitnlge8bjsxmhy850bsutw;J. Gutierrez;;;dr5o3k45kkpjio3brcpijni1g;Pass;;;;;;;;;;74,5;;;78,0;56,9;0,39;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;78,0;74,5;;;;;;;;0;0;4;Columbus Crew II;4;DL;1,0
2698775803;3;61;1;0;7;5b4ccd62yeeqdl2qk6jzsmjv8;1;28,2;16,6;2024-06-30T23:03:47.419Z;2024-06-30T23:06:29Z;[{'id': 5092331021, 'qualifierId': 56, 'value': 'Back'}];58w3qcq1xrkpq5f9miuxp4ys4;B. Adu-Gyamfi;;;dr5o3k45kkpjio3brcpijni1g;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;7;New York RB II;7;DMR;1,0
2698775811;4;49;1;0;9;5b4ccd62yeeqdl2qk6jzsmjv8;1;31,0;20,3;2024-06-30T23:03:48.718Z;2024-06-30T23:03:48Z;[];8warl67c0id3dorr48mn7h82c;G. De Libera;;;dr5o3k45kkpjio3brcpijni1g;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;9;New York RB II;9;MC;1,0
2698775819;5;1;1;0;9;5b4ccd62yeeqdl2qk6jzsmjv8;1;31,3;19,7;2024-06-30T23:03:49.022Z;2024-06-30T23:03:50Z;[{'id': 5092331083, 'qualifierId': 212, 'value': '11.3'}, {'id': 5092331077, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092331085, 'qualifierId': 213, 'value': '5.23'}, {'id': 5092331081, 'qualifierId': 141, 'value': '5.2'}, {'id': 5092331079, 'qualifierId': 140, 'value': '36.6'}];8warl67c0id3dorr48mn7h82c;G. De Libera;;;dr5o3k45kkpjio3brcpijni1g;Pass;;;;;;;;;;5,2;;;36,6;11,3;5,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;36,6;5,2;;;;;;;;0;0;9;New York RB II;9;MC;1,0
2698775823;6;3;1;0;10;5b4ccd62yeeqdl2qk6jzsmjv8;0;38,0;5,6;2024-06-30T23:03:50.142Z;2024-07-04T10:29:04Z;[{'id': 5092331275, 'qualifierId': 233, 'value': '5'}, {'id': 5094462263, 'qualifierId': 465}, {'id': 5092331093, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092331095, 'qualifierId': 286}];58w3qcq1xrkpq5f9miuxp4ys4;B. Adu-Gyamfi;;;dr5o3k45kkpjio3brcpijni1g;Take On;;;;;;;;;;;;;;;;;;5,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;10;New York RB II;10;DMR;1,0
