id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_Resume;value_JerseyNumber;value_TeamKit;value_TeamFormation;value_Involved;value_DirectionOfPlay;value_Tap;value_Length;value_Angle;value_PassEndX;value_Zone;value_KickOff;value_PassEndY;value_Chipped;value_LongBall;value_Assist;value_Cross;value_IntentionalAssist;value_GoalmouthZ;value_GkX;value_GoalmouthY;value_FirstTouch;value_RelatedEventId;value_RegularPlay;value_GkY;value_High;value_Assisted;value_Head;value_BoxCentre;value_NextEventGoalKick;value_OppositeRelatedEventId;value_GoalKick;value_HeadPass;value_IntendedTackleTarget;value_Offensive;value_Defensive;value_Foul;value_AttemptedTackle;value_Direct;value_PenaltyTakerId;value_Penalty;value_DeletedEventType;value_CausingPlayer;value_GoalShotTimestamp;value_BigChance;value_GoalShotGameClock;value_FantasyAssistedBy;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistId;value_RightFooted;value_NotAssisted;value_FantasyAssistType;value_FantasyAssistTeam;value_LowRight;value_Scored;value_Right;value_Diving;value_BlockedPass;value_NextEventThrowIn;value_IncorrectOutOfPlayDecision;value_ThrowIn;value_SwitchOfPlay;value_FreeKickTaken;value_OutOfPlay;value_OverhitCross;value_Launch;value_LayOff;value_CloseLeft;value_FastBreak;value_Low;value_NotVisible;value_TacticalFoul;value_YellowCard;value_SetPiece;value_OutOfBoxCentre;value_IndividualPlay;value_FlickOn;value_RecklessOffence;value_InjuredPlayerId;value_Injury;value_Volley;value_Blocked;value_LowLeft;value_BoxLeft;value_BlockedY;value_BlockedX;value_DefBlock;value_Overrun;value_Shove/Push;value_ThroughBall;value_KeeperThrow;value_LowCentre;value_LeftFooted;value_Hands;value_Collected;value_Stooping;value_HighLeft;value_ParriedSafe;value_Standing;value_GkKickFromHands;value_ShirtPull/Holding;value_PullBack;value_Left;value_CornerTaken;value_OutSwinger;value_HighClaim;value_HighRight;value_PlayersCaughtOffside;value_Indirect;value_OverArm;value_Minutes;value_CloseLeftAndHigh;value_BlockedClearance;value_EndType;value_CloseRight;value_AerialFoul;value_FromCorner;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_Weak;value_LastLine;value_NotPastGoalLine;value_GkHoof;value_BlockedCross;value_BoxDeepLeft;value_TempBlocked;value_FreeKick;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2719192575;9;1;1;0;17;1zgjjyruyufrkh4xjvryqsb1i;1;30,2;64,5;2024-09-11T22:37:51.322Z;2024-09-11T22:37:55Z;[{'id': 5204893209, 'qualifierId': 213, 'value': '1.23'}, {'id': 5204893201, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204893203, 'qualifierId': 140, 'value': '36.3'}, {'id': 5204893205, 'qualifierId': 141, 'value': '91.2'}, {'id': 5204893207, 'qualifierId': 212, 'value': '19.3'}];a3qa9kw3vbh8nu5mgns92czro;O. Makhanya;;;32mlngluiyi2g7cni4x9y0wk;Pass;;;;;;;;;;;19,3;1,23;36,3;;;91,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;36,3;91,2;;;;;;;;0;0;17;Carolina Core;17;DC;1,0
2719192581;10;1;1;0;21;1zgjjyruyufrkh4xjvryqsb1i;1;45,4;91,5;2024-09-11T22:37:55.241Z;2024-09-11T22:37:57Z;[{'id': 5204893237, 'qualifierId': 141, 'value': '61.2'}, {'id': 5204893225, 'qualifierId': 155}, {'id': 5204893245, 'qualifierId': 213, 'value': '5.53'}, {'id': 5204893231, 'qualifierId': 140, 'value': '66.3'}, {'id': 5204893227, 'qualifierId': 56, 'value': 'Center'}, {'id': 5204893241, 'qualifierId': 212, 'value': '30.1'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;32mlngluiyi2g7cni4x9y0wk;Pass;;;;;;;;;;;30,1;5,53;66,3;;;61,2;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;66,3;61,2;;;;;;;;0;0;21;Carolina Core;21;DC;1,0
2719192585;11;61;1;0;24;1zgjjyruyufrkh4xjvryqsb1i;0;66,3;61,2;2024-09-11T22:37:57.545Z;2024-09-11T22:37:57Z;[{'id': 5204893251, 'qualifierId': 56, 'value': 'Center'}];9j3va21w5i9ypf8qmt4g1vggk;E. Davis;;;32mlngluiyi2g7cni4x9y0wk;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;;0;0;24;Carolina Core;24;FW;1,0
2719192589;3;49;1;0;25;2nnef9tr9g7m2s6n873qif95g;1;38,6;63,6;2024-09-11T22:37:59.167Z;2024-09-11T22:37:59Z;[];4t078b0rnzmi8u83wzmdwze38;C. Díaz;;;32mlngluiyi2g7cni4x9y0wk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;;0;0;25;Philadelphia Union II;25;DL;1,0
2719192593;4;1;1;0;26;2nnef9tr9g7m2s6n873qif95g;1;38,3;70,3;2024-09-11T22:38:00.432Z;2024-09-11T22:38:02Z;[{'id': 5204893259, 'qualifierId': 141, 'value': '71.2'}, {'id': 5204893263, 'qualifierId': 213, 'value': '3.09'}, {'id': 5204893255, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204893261, 'qualifierId': 212, 'value': '11.1'}, {'id': 5204893257, 'qualifierId': 140, 'value': '27.7'}];4t078b0rnzmi8u83wzmdwze38;C. Díaz;;;32mlngluiyi2g7cni4x9y0wk;Pass;;;;;;;;;;;11,1;3,09;27,7;;;71,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;27,7;71,2;;;;;;;;0;0;26;Philadelphia Union II;26;DL;1,0
2719192597;5;1;1;0;28;2nnef9tr9g7m2s6n873qif95g;1;27,7;71,2;2024-09-11T22:38:02.401Z;2024-09-11T22:38:04Z;[{'id': 5204893283, 'qualifierId': 141, 'value': '65.5'}, {'id': 5204893287, 'qualifierId': 213, 'value': '5.70'}, {'id': 5204893281, 'qualifierId': 140, 'value': '33.3'}, {'id': 5204893279, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204893285, 'qualifierId': 212, 'value': '7.0'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;32mlngluiyi2g7cni4x9y0wk;Pass;;;;;;;;;;;7,0;5,7;33,3;;;65,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;33,3;65,5;;;;;;;;0;0;28;Philadelphia Union II;28;DC;1,0
2719192599;6;1;1;0;30;2nnef9tr9g7m2s6n873qif95g;1;33,4;65,5;2024-09-11T22:38:04.072Z;2024-09-11T22:38:05Z;[{'id': 5204893297, 'qualifierId': 212, 'value': '12.5'}, {'id': 5204893295, 'qualifierId': 141, 'value': '79.7'}, {'id': 5204893293, 'qualifierId': 140, 'value': '25.9'}, {'id': 5204893291, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204893299, 'qualifierId': 213, 'value': '2.25'}];clvcgt5ofonse0q96sppu7hg4;S. Cambindo;;;32mlngluiyi2g7cni4x9y0wk;Pass;;;;;;;;;;;12,5;2,25;25,9;;;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;25,9;79,7;;;;;;;;0;0;30;Philadelphia Union II;30;MC;1,0
2719192609;7;1;1;0;32;2nnef9tr9g7m2s6n873qif95g;1;25,7;79,7;2024-09-11T22:38:05.744Z;2024-09-11T22:38:09Z;[{'id': 5204893345, 'qualifierId': 141, 'value': '59.0'}, {'id': 5204893347, 'qualifierId': 212, 'value': '20.0'}, {'id': 5204893349, 'qualifierId': 213, 'value': '3.92'}, {'id': 5204893341, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204893343, 'qualifierId': 140, 'value': '12.2'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;32mlngluiyi2g7cni4x9y0wk;Pass;;;;;;;;;;;20,0;3,92;12,2;;;59,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;12,2;59,0;;;;;;;;0;0;32;Philadelphia Union II;32;DC;1,0
2719192611;8;1;1;0;35;2nnef9tr9g7m2s6n873qif95g;1;12,1;54,9;2024-09-11T22:38:09.478Z;2024-09-11T22:38:11Z;[{'id': 5204893365, 'qualifierId': 141, 'value': '23.4'}, {'id': 5204893367, 'qualifierId': 212, 'value': '22.5'}, {'id': 5204893363, 'qualifierId': 140, 'value': '18.8'}, {'id': 5204893361, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204893369, 'qualifierId': 213, 'value': '5.03'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;32mlngluiyi2g7cni4x9y0wk;Pass;;;;;;;;;;;22,5;5,03;18,8;;;23,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;18,8;23,4;;;;;;;;0;0;35;Philadelphia Union II;35;DC;1,0
2719192621;9;1;1;0;37;2nnef9tr9g7m2s6n873qif95g;1;19,5;22,1;2024-09-11T22:38:11.118Z;2024-09-11T22:38:14Z;[{'id': 5204893417, 'qualifierId': 141, 'value': '4.6'}, {'id': 5204893413, 'qualifierId': 56, 'value': 'Back'}, {'id': 5204893415, 'qualifierId': 140, 'value': '26.4'}, {'id': 5204893421, 'qualifierId': 213, 'value': '5.26'}, {'id': 5204893419, 'qualifierId': 212, 'value': '13.9'}];74x5zysb9qkyyxuha65102z56;D. Chica;;;32mlngluiyi2g7cni4x9y0wk;Pass;;;;;;;;;;;13,9;5,26;26,4;;;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;26,4;4,6;;;;;;;;0;0;37;Philadelphia Union II;37;DC;1,0
