id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Resume;value_Involved;value_TeamPlayerFormation;value_TeamKit;value_Captain;value_JerseyNumber;value_TeamFormation;value_PlayerPosition;value_DirectionOfPlay;value_Length;value_KickOff;value_Zone;value_Angle;value_PassEndY;value_PassEndX;value_Chipped;value_SwitchOfPlay;value_LongBall;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Defensive;value_TakeOnSpace;value_Offensive;value_Launch;value_HeadPass;value_LayOff;value_TouchTypeControl;value_DeletedEventType;value_TouchTypeClearance;value_IntendedTackleTarget;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_TakeOnOvertake;value_OutSwinger;value_RightFooted;value_Cross;value_NextEventGoalKick;value_GoalKick;value_Low;value_PlayersCaughtOffside;value_Indirect;value_LowGkIntervention;value_KeeperThrow;value_BlockedPass;value_LeftFooted;value_InSwinger;value_Head;value_OutOfPlay;value_Defensive1V1;value_TouchTypePass;value_ThroughBall;value_RegularPlay;value_Assist;value_GkX;value_GoalmouthZ;value_GkYTimeOfGoal;value_GkY;value_GoalShotGameClock;value_IndividualPlay;value_FirstTouch;value_GkXTimeOfGoal;value_LowRight;value_GoalmouthY;value_Assisted;value_RelatedEventId;value_OutOfBoxCentre;value_GoalShotTimestamp;value_Tap;value_ShirtPull/Holding;value_OtherObstacle;value_CloseLeft;value_MediumGkIntervention;value_HighRight;value_High;value_PullBack;value_IntentionalAssist;value_CloseRight;value_BoxLeft;value_RecklessOffence;value_YellowCard;value_HighClaim;value_BlockedY;value_Blocked;value_BlockedX;value_NotAssisted;value_DefBlock;value_Review;value_LowCentre;value_HitBar;value_BigChance;value_BoxCentre;value_HitWoodwork;value_ParriedSafe;value_Hands;value_Standing;value_Left;value_Right;value_CornerTaken;value_CloseHigh;value_FromCorner;value_Diving;value_ParriedDanger;value_Dissent;value_Overrun;value_BlockedClearance;value_BoxRight;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Injury;value_LastLine;value_FlickOn;value_Straight;value_DrivenCross;value_HighGkIntervention;value_LowLeft;value_Weak;value_NotPastGoalLine;value_MisHit;value_Volley;value_OverArm;value_Shove/Push;value_NotVisible;value_HighLeft;value_Stooping;value_SmallBoxRight;value_Feet;value_Collected;value_TimeWasting;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2728348549;38;5;1;3;52;8o8m08he36u0j4w08aj2iodn8;1;-1,2;38,1;2024-09-29T19:07:48.646Z;2024-09-29T19:45:27Z;[{'id': 5254921245, 'qualifierId': 346}, {'id': 5254921243, 'qualifierId': 56, 'value': 'Back'}, {'id': 5254921295, 'qualifierId': 233, 'value': '56'}];9vc2mynd9lg2oyt14n4e7a44q;L. Rochester;;;ew08ihuj1ikwwghnwohn43kk;Out;;;;;;;;;;;;;;;;;;;56,0;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;0;0;3;52;Columbus Crew II;232;DC;1,0
2728348377;56;5;1;3;52;5b4ccd62yeeqdl2qk6jzsmjv8;0;101,2;61,9;2024-09-29T19:07:48.646Z;2024-09-29T19:45:27Z;[{'id': 5254920297, 'qualifierId': 56, 'value': 'Center'}, {'id': 5254920299, 'qualifierId': 346}, {'id': 5254921329, 'qualifierId': 233, 'value': '38'}];37zynr7fwzqg4c9w5ydefywyy;A. González;;;ew08ihuj1ikwwghnwohn43kk;Out;;;;;;;;;;;;;;;;;;;38,0;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;3;52;Chicago Fire II;232;FWR;1,0
2728348579;39;1;1;4;3;8o8m08he36u0j4w08aj2iodn8;1;4,1;48,4;2024-09-29T19:07:59.525Z;2024-09-29T19:08:01Z;[{'id': 5254921437, 'qualifierId': 212, 'value': '16.7'}, {'id': 5254921435, 'qualifierId': 141, 'value': '71.2'}, {'id': 5254921429, 'qualifierId': 124}, {'id': 5254921439, 'qualifierId': 213, 'value': '1.20'}, {'id': 5254921433, 'qualifierId': 140, 'value': '9.9'}, {'id': 5254921431, 'qualifierId': 56, 'value': 'Back'}, {'id': 5254921443, 'qualifierId': 237}];12wcwqu2liyd0zv8ramcevh1w;P. Los;;;ew08ihuj1ikwwghnwohn43kk;Pass;;;;;;;;;;16,7;;;1,2;71,2;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;9,9;71,2;;;;;;;0;0;4;3;Columbus Crew II;243;GK;1,0
2728348619;40;1;1;4;5;8o8m08he36u0j4w08aj2iodn8;1;9,7;70,9;2024-09-29T19:08:01.477Z;2024-09-29T19:08:05Z;[{'id': 5254921697, 'qualifierId': 213, 'value': '0.72'}, {'id': 5254921695, 'qualifierId': 212, 'value': '21.4'}, {'id': 5254921693, 'qualifierId': 141, 'value': '91.7'}, {'id': 5254921691, 'qualifierId': 140, 'value': '25.0'}, {'id': 5254921689, 'qualifierId': 56, 'value': 'Back'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;ew08ihuj1ikwwghnwohn43kk;Pass;;;;;;;;;;21,4;;;0,72;91,7;25,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;25,0;91,7;;;;;;;0;0;4;5;Columbus Crew II;245;DC;1,0
2728348649;41;1;1;4;9;8o8m08he36u0j4w08aj2iodn8;1;25,0;91,7;2024-09-29T19:08:05.638Z;2024-09-29T19:08:07Z;[{'id': 5254921859, 'qualifierId': 141, 'value': '92.1'}, {'id': 5254921851, 'qualifierId': 155}, {'id': 5254921853, 'qualifierId': 56, 'value': 'Left'}, {'id': 5254921865, 'qualifierId': 1}, {'id': 5254921861, 'qualifierId': 212, 'value': '35.4'}, {'id': 5254921855, 'qualifierId': 140, 'value': '58.7'}, {'id': 5254921863, 'qualifierId': 213, 'value': '0.01'}];9vc2mynd9lg2oyt14n4e7a44q;L. Rochester;;;ew08ihuj1ikwwghnwohn43kk;Pass;;;;;;;;;;35,4;;;0,01;92,1;58,7;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;58,7;92,1;;;;;;;0;0;4;9;Columbus Crew II;249;DC;1,0
2728348667;42;1;1;4;10;8o8m08he36u0j4w08aj2iodn8;1;56,3;91,8;2024-09-29T19:08:07.174Z;2024-09-29T19:08:08Z;[{'id': 5254921979, 'qualifierId': 140, 'value': '61.4'}, {'id': 5254921977, 'qualifierId': 56, 'value': 'Left'}, {'id': 5254921985, 'qualifierId': 213, 'value': '5.47'}, {'id': 5254921983, 'qualifierId': 212, 'value': '7.8'}, {'id': 5254921981, 'qualifierId': 141, 'value': '83.5'}];2atsox1bassuexlgta8h3us4p;C. Koffi;;;ew08ihuj1ikwwghnwohn43kk;Pass;;;;;;;;;;7,8;;;5,47;83,5;61,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;61,4;83,5;;;;;;;0;0;4;10;Columbus Crew II;250;FWL;1,0
2728348699;43;1;1;4;11;8o8m08he36u0j4w08aj2iodn8;0;61,6;83,5;2024-09-29T19:08:08.197Z;2024-09-29T19:08:10Z;[{'id': 5254922115, 'qualifierId': 56, 'value': 'Left'}, {'id': 5254922123, 'qualifierId': 141, 'value': '88.0'}, {'id': 5254922131, 'qualifierId': 213, 'value': '0.27'}, {'id': 5254922119, 'qualifierId': 140, 'value': '72.0'}, {'id': 5254922127, 'qualifierId': 212, 'value': '11.3'}];5ehbz7f56cmfamc29fnk3yuax;L. Prpa;;;ew08ihuj1ikwwghnwohn43kk;Pass;;;;;;;;;;11,3;;;0,27;88,0;72,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;72,0;88,0;;;;;;;0;0;4;11;Columbus Crew II;251;MC;1,0
2728348723;57;49;1;4;14;5b4ccd62yeeqdl2qk6jzsmjv8;1;29,3;17,7;2024-09-29T19:08:11.041Z;2024-09-29T19:08:11Z;[];bezle40rjwnkdskjbf9yg4sq2;X. Zengue;;;ew08ihuj1ikwwghnwohn43kk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;4;14;Chicago Fire II;254;DC;1,0
2728348801;58;1;1;4;15;5b4ccd62yeeqdl2qk6jzsmjv8;1;29,9;17,7;2024-09-29T19:08:11.921Z;2024-09-29T19:08:18Z;[{'id': 5254922779, 'qualifierId': 140, 'value': '12.1'}, {'id': 5254922777, 'qualifierId': 56, 'value': 'Back'}, {'id': 5254922781, 'qualifierId': 141, 'value': '44.5'}, {'id': 5254922785, 'qualifierId': 213, 'value': '2.37'}, {'id': 5254922783, 'qualifierId': 212, 'value': '26.1'}];bezle40rjwnkdskjbf9yg4sq2;X. Zengue;;;ew08ihuj1ikwwghnwohn43kk;Pass;;;;;;;;;;26,1;;;2,37;44,5;12,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;12,1;44,5;;;;;;;0;0;4;15;Chicago Fire II;255;DC;1,0
2728348825;59;1;1;4;21;5b4ccd62yeeqdl2qk6jzsmjv8;1;17,9;49,9;2024-09-29T19:08:18.242Z;2024-09-29T19:08:20Z;[{'id': 5254922921, 'qualifierId': 140, 'value': '19.5'}, {'id': 5254922925, 'qualifierId': 212, 'value': '8.3'}, {'id': 5254922923, 'qualifierId': 141, 'value': '38.0'}, {'id': 5254922927, 'qualifierId': 213, 'value': '4.92'}, {'id': 5254922919, 'qualifierId': 56, 'value': 'Back'}];9bn2zid7u305xii6alm8a58us;S. Lapkes;;;ew08ihuj1ikwwghnwohn43kk;Pass;;;;;;;;;;8,3;;;4,92;38,0;19,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;19,5;38,0;;;;;;;0;0;4;21;Chicago Fire II;261;GK;1,0
