id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Captain;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_Involved;value_Resume;value_TeamFormation;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Length;value_PassEndX;value_Zone;value_Angle;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Defensive;value_Chipped;value_HeadPass;value_IntendedTackleTarget;value_OutOfBoxCentre;value_GoalmouthZ;value_RelatedEventId;value_BlockedY;value_GoalmouthY;value_LowCentre;value_RegularPlay;value_BlockedX;value_RightFooted;value_IndividualPlay;value_Assisted;value_Diving;value_Collected;value_Hands;value_KeeperThrow;value_DeletedEventType;value_BlockedPass;value_Assist;value_Blocked;value_GkY;value_LowLeft;value_GkX;value_DefBlock;value_Direct;value_ShirtPull/Holding;value_Foul;value_FreeKickTaken;value_Head;value_Injury;value_InjuredPlayerId;value_NotVisible;value_AttemptedTackle;value_Shove/Push;value_Cross;value_IntentionalAssist;value_LeftFooted;value_BoxLeft;value_FirstTouch;value_ParriedDanger;value_SmallBoxLeft;value_BigChance;value_NotAssisted;value_ParriedSafe;value_Stooping;value_CloseLeft;value_NextEventGoalKick;value_Low;value_GoalKick;value_LayOff;value_LowRight;value_Left;value_Right;value_CornerTaken;value_OutSwinger;value_BoxCentre;value_FromCorner;value_Volley;value_BoxRight;value_Feet;value_SmallBoxCentre;value_ThrowInSetPiece;value_OverArm;value_OutOfPlay;value_InSwinger;value_CloseHigh;value_High;value_Unchallenged;value_GoalShotTimestamp;value_GoalShotGameClock;value_Overrun;value_HighRight;value_HighClaim;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_PlayersCaughtOffside;value_Indirect;value_Standing;value_GkChallenge;value_Minutes;value_GkHoof;value_FlickOn;value_EndType;value_FastBreak;value_KeeperTouched;value_OverhitCross;value_HighCentre;value_Tactical;value_YellowCard;value_TimeWasting;value_Simulation;value_Strong;value_SetPiece;value_ThroughBall;value_PullBack;value_HighLeft;value_SwitchOfPlay;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2704522523;440;1;2;47;39;ew2zirzye0sw1txr2m33nr25y;0;68,8;94,8;2024-07-29T03:13:03.770Z;2024-07-29T03:13:04Z;[{'id': 5124041143, 'qualifierId': 286}, {'id': 5124041123, 'qualifierId': 141, 'value': '92.6'}, {'id': 5124041137, 'qualifierId': 236}, {'id': 5124041121, 'qualifierId': 140, 'value': '70.5'}, {'id': 5124041125, 'qualifierId': 212, 'value': '2.3'}, {'id': 5124041139, 'qualifierId': 233, 'value': '439'}, {'id': 5124041119, 'qualifierId': 56, 'value': 'Left'}, {'id': 5124041127, 'qualifierId': 213, 'value': '5.59'}];4h8dml0qrwpqza4kqazp5dnqi;W. Eisner;;;ed8nywqwwu0zwv8e1g7cgopas;Pass;;;;;;;;;;92,6;;2,3;70,5;;5,59;;;439,0;;;1,0;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;70,5;92,6;;;;;;;0;0;47;39;Ventura County;2859;DR;1,0
2704522525;439;74;2;47;39;8ijkk62897so5r3bq0wgwx4bu;1;30,2;15,2;2024-07-29T03:13:03.771Z;2024-07-29T04:01:41Z;[{'id': 5124041129, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124041151, 'qualifierId': 233, 'value': '440'}, {'id': 5124041131, 'qualifierId': 285}];al111zqt4j4b3yg8064d9cep6;D. López;;;ed8nywqwwu0zwv8e1g7cgopas;Blocked Pass;;;;;;;;;;;;;;;;;;440,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;47;39;The Town;2859;MC;1,0
2704522529;440;5;2;47;40;8ijkk62897so5r3bq0wgwx4bu;0;33,0;-1,4;2024-07-29T03:13:05.291Z;2024-07-29T03:38:59Z;[{'id': 5124041149, 'qualifierId': 347}, {'id': 5124041147, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124041183, 'qualifierId': 233, 'value': '441'}];al111zqt4j4b3yg8064d9cep6;D. López;;;ed8nywqwwu0zwv8e1g7cgopas;Out;;;;;;;;;;;;;;;;;;441,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;47;40;The Town;2860;MC;1,0
2704522531;441;5;2;47;40;ew2zirzye0sw1txr2m33nr25y;1;67,0;101,4;2024-07-29T03:13:05.291Z;2024-07-29T03:13:08Z;[{'id': 5124041173, 'qualifierId': 347}, {'id': 5124041171, 'qualifierId': 56, 'value': 'Left'}, {'id': 5124041179, 'qualifierId': 233, 'value': '440'}];4h8dml0qrwpqza4kqazp5dnqi;W. Eisner;;;ed8nywqwwu0zwv8e1g7cgopas;Out;;;;;;;;;;;;;;;;;;440,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;47;40;Ventura County;2860;DR;1,0
2704522533;442;1;2;47;42;ew2zirzye0sw1txr2m33nr25y;1;65,1;100,0;2024-07-29T03:13:07.435Z;2024-07-29T03:13:12Z;[{'id': 5124041199, 'qualifierId': 140, 'value': '87.4'}, {'id': 5124041207, 'qualifierId': 1}, {'id': 5124041201, 'qualifierId': 141, 'value': '89.6'}, {'id': 5124041205, 'qualifierId': 213, 'value': '5.95'}, {'id': 5124041197, 'qualifierId': 56, 'value': 'Left'}, {'id': 5124041203, 'qualifierId': 212, 'value': '24.8'}, {'id': 5124041195, 'qualifierId': 107}];4h8dml0qrwpqza4kqazp5dnqi;W. Eisner;;;ed8nywqwwu0zwv8e1g7cgopas;Pass;;;;;;;;;;89,6;;24,8;87,4;;5,95;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;87,4;89,6;;;;;;;0;0;47;42;Ventura County;2862;DR;1,0
2704522535;443;61;2;47;47;ew2zirzye0sw1txr2m33nr25y;0;89,8;89,3;2024-07-29T03:13:12.427Z;2024-07-29T03:13:12Z;[{'id': 5124041211, 'qualifierId': 56, 'value': 'Left'}];cac9hjmdwt1gsz0qt3f6d4b2s;J. Donnery;;;ed8nywqwwu0zwv8e1g7cgopas;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;47;47;Ventura County;2867;FW;1,0
2704522539;441;5;2;47;48;8ijkk62897so5r3bq0wgwx4bu;1;-1,0;12,3;2024-07-29T03:13:13.199Z;2024-07-29T03:39:00Z;[{'id': 5124041221, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124041223, 'qualifierId': 346}, {'id': 5124041229, 'qualifierId': 233, 'value': '444'}];e6ocmgjfubq6qvg4wfp8zipsk;C. Tchouante;;;ed8nywqwwu0zwv8e1g7cgopas;Out;;;;;;;;;;;;;;;;;;444,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;47;48;The Town;2868;DC;1,0
2704522537;444;5;2;47;48;ew2zirzye0sw1txr2m33nr25y;0;101,0;87,7;2024-07-29T03:13:13.199Z;2024-07-29T03:13:14Z;[{'id': 5124041213, 'qualifierId': 56, 'value': 'Left'}, {'id': 5124041215, 'qualifierId': 346}, {'id': 5124041239, 'qualifierId': 233, 'value': '441'}];cac9hjmdwt1gsz0qt3f6d4b2s;J. Donnery;;;ed8nywqwwu0zwv8e1g7cgopas;Out;;;;;;;;;;;;;;;;;;441,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;47;48;Ventura County;2868;FW;1,0
2704522553;442;1;2;47;58;8ijkk62897so5r3bq0wgwx4bu;1;5,4;41,3;2024-07-29T03:13:23.263Z;2024-07-29T04:21:06Z;[{'id': 5124041359, 'qualifierId': 124}, {'id': 5124041361, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124041365, 'qualifierId': 141, 'value': '52.4'}, {'id': 5124041367, 'qualifierId': 212, 'value': '7.7'}, {'id': 5124041363, 'qualifierId': 140, 'value': '4.1'}, {'id': 5124041373, 'qualifierId': 237}, {'id': 5124041369, 'qualifierId': 213, 'value': '1.75'}];ckqdb14rd2i1scytlygbsncb8;J. Magaña;;;ed8nywqwwu0zwv8e1g7cgopas;Pass;;;;;;;;;;52,4;;7,7;4,1;;1,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;4,1;52,4;;;;;;;0;0;47;58;The Town;2878;DC;1,0
2704522559;443;1;2;48;4;8ijkk62897so5r3bq0wgwx4bu;1;11,4;54,3;2024-07-29T03:13:29.199Z;2024-07-29T03:13:36Z;[{'id': 5124041413, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124041421, 'qualifierId': 213, 'value': '4.83'}, {'id': 5124041419, 'qualifierId': 212, 'value': '12.1'}, {'id': 5124041415, 'qualifierId': 140, 'value': '12.8'}, {'id': 5124041417, 'qualifierId': 141, 'value': '36.6'}];ab8jzmb5h0lh7mt66h3zgm5ex;B. Scott;;;ed8nywqwwu0zwv8e1g7cgopas;Pass;;;;;;;;;;36,6;;12,1;12,8;;4,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;12,8;36,6;;;;;;;0;0;48;4;The Town;2884;GK;1,0
