id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_Captain;value_JerseyNumber;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_PassEndX;value_PassEndY;value_Zone;value_Angle;value_Length;value_KickOff;value_LongBall;value_Launch;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Defensive;value_TakeOnOvertake;value_TouchTypeClearance;value_Offensive;value_OutOfPlay;value_IntendedTackleTarget;value_TouchTypePass;value_Chipped;value_RightFooted;value_OutSwinger;value_Cross;value_Head;value_HeadPass;value_SwitchOfPlay;value_DeletedEventType;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_RelatedEventId;value_RecklessOffence;value_YellowCard;value_NotVisible;value_ShirtPull/Holding;value_LayOff;value_TakeOnSpace;value_BlockedPass;value_IntentionalAssist;value_Assist;value_GoalmouthY;value_GkX;value_GoalmouthZ;value_Blocked;value_GkY;value_BlockedY;value_BlockedX;value_LowRight;value_RegularPlay;value_SixYardBlocked;value_FirstTouch;value_Assisted;value_BoxCentre;value_DefBlock;value_LeftFooted;value_LastLine;value_FastBreak;value_NotAssisted;value_ParriedSafe;value_LowGkIntervention;value_Hands;value_Diving;value_Right;value_Left;value_CornerTaken;value_FromCorner;value_IndividualPlay;value_BoxLeft;value_LowCentre;value_BlockedCross;value_InSwinger;value_NextEventGoalKick;value_GoalKick;value_Low;value_Defensive1V1;value_Shove/Push;value_KeeperThrow;value_VideoCoverageLost;value_TouchTypeControl;value_OutOfBoxCentre;value_CloseRight;value_BigChance;value_SetPiece;value_Overrun;value_FlickOn;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_HighCentre;value_GkYTimeOfGoal;value_GoalShotGameClock;value_LowLeft;value_Collected;value_PlayersCaughtOffside;value_Indirect;value_HighGkIntervention;value_Minutes;value_EndType;value_Standing;value_MediumGkIntervention;value_OtherObstacle;value_Deflection;value_Weak;value_Feet;value_ThroughBall;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_DrivenCross;value_Straight;value_InjuredPlayerId;value_Injury;value_SwerveLeft;value_FollowsShotRebound;value_GoalDisallowed;value_PullBack;value_ParriedDanger;value_RedCard;value_SeriousFoul;value_FloatedCross;value_MisHit;value_HighRight;value_HighLeft;value_NotPastGoalLine;value_CloseLeft;value_35Right;value_GkHoof;value_BoxRight;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2700360747;595;13;2;74;33;7pmw399vh2v44cjle4fkklp1w;1;83,7;60,5;2024-07-12T01:38:34.271Z;2024-07-16T10:58:44Z;[{'id': 5101021173, 'qualifierId': 24}, {'id': 5101021331, 'qualifierId': 458}, {'id': 5101021325, 'qualifierId': 102, 'value': '36.6'}, {'id': 5101021327, 'qualifierId': 103, 'value': '79.2'}, {'id': 5106333567, 'qualifierId': 391}, {'id': 5101021333, 'qualifierId': 230, 'value': '93.7'}, {'id': 5101021323, 'qualifierId': 81}, {'id': 5101021071, 'qualifierId': 17}, {'id': 5101021329, 'qualifierId': 328}, {'id': 5101021175, 'qualifierId': 20}, {'id': 5101021335, 'qualifierId': 231, 'value': '56.3'}, {'id': 5101021073, 'qualifierId': 56, 'value': 'Center'}];bk0ik8kr1gpu372ibbbv87ndg;J. Burbano;;;dzj0cfmo3nsbmujxbseqt711w;Miss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;36,6;93,7;79,2;;56,3;;;;;;1,0;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;36,6;79.2;;;0;0;74;33;Austin II;4473;Sub;1,0
2700360751;596;5;2;74;35;7pmw399vh2v44cjle4fkklp1w;0;100,8;46,2;2024-07-12T01:38:36.277Z;2024-07-12T01:41:28Z;[{'id': 5101021113, 'qualifierId': 233, 'value': '682'}, {'id': 5101021093, 'qualifierId': 56, 'value': 'Center'}, {'id': 5101021095, 'qualifierId': 346}];1snfyu5dmv164k5cl87chjlsk;I. Mwakutuya;;;dzj0cfmo3nsbmujxbseqt711w;Out;;;;;;;;;;;;;;;;;;;682,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;74;35;Austin II;4475;DR;1,0
2700360745;682;5;2;74;35;d0c07im4a6oj8qa7f1zlt3pqs;1;-0,8;53,8;2024-07-12T01:38:36.277Z;2024-07-12T01:38:39Z;[{'id': 5101021065, 'qualifierId': 346}, {'id': 5101021109, 'qualifierId': 233, 'value': '596'}, {'id': 5101021063, 'qualifierId': 56, 'value': 'Back'}];81a5mbcfvbxke0w3cbq65ld2i;M. Alstrup;;;dzj0cfmo3nsbmujxbseqt711w;Out;;;;;;;;;;;;;;;;;;;596,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;74;35;Houston Dynamo II;4475;GK;1,0
2700360775;683;18;2;75;4;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-07-12T01:39:04.865Z;2024-07-12T01:39:05Z;[{'id': 5101021235, 'qualifierId': 59, 'value': '32'}, {'id': 5101021255, 'qualifierId': 55, 'value': '684'}, {'id': 5101021233, 'qualifierId': 44, 'value': 'Midfielder'}, {'id': 5101021231, 'qualifierId': 42}];elvrjpt1jlko4henaqvfid7o4;M. Burton;;;dzj0cfmo3nsbmujxbseqt711w;Player off;;;;;;32,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;684,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;684,0;9nlw8tihbzfnvkt5uproa79jo;0;0;75;4;Houston Dynamo II;4504;AMC;1,0
2700360777;684;19;2;75;4;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-07-12T01:39:04.866Z;2024-07-12T01:39:05Z;[{'id': 5101021241, 'qualifierId': 145, 'value': '10'}, {'id': 5101021243, 'qualifierId': 59, 'value': '3'}, {'id': 5101021237, 'qualifierId': 42}, {'id': 5101021247, 'qualifierId': 293, 'value': '1'}, {'id': 5101021245, 'qualifierId': 292, 'value': '3'}, {'id': 5101021249, 'qualifierId': 44, 'value': 'Defender'}, {'id': 5101021251, 'qualifierId': 55, 'value': '683'}];9nlw8tihbzfnvkt5uproa79jo;Rubén Bonachera;;;dzj0cfmo3nsbmujxbseqt711w;Player on;;;;;;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;683,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;10,0;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;683,0;elvrjpt1jlko4henaqvfid7o4;0;0;75;4;Houston Dynamo II;4504;Sub;1,0
2700360789;685;1;2;75;6;d0c07im4a6oj8qa7f1zlt3pqs;1;3,5;55,8;2024-07-12T01:39:07.269Z;2024-07-12T01:39:08Z;[{'id': 5101021355, 'qualifierId': 237}, {'id': 5101021341, 'qualifierId': 124}, {'id': 5101021343, 'qualifierId': 56, 'value': 'Back'}, {'id': 5101021349, 'qualifierId': 212, 'value': '20.0'}, {'id': 5101021351, 'qualifierId': 213, 'value': '0.70'}, {'id': 5101021345, 'qualifierId': 140, 'value': '18.0'}, {'id': 5101021347, 'qualifierId': 141, 'value': '74.8'}];81a5mbcfvbxke0w3cbq65ld2i;M. Alstrup;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;18,0;74,8;;0,7;20,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;18,0;74,8;;;;;;;0;0;75;6;Houston Dynamo II;4506;GK;1,0
2700360793;686;1;2;75;7;d0c07im4a6oj8qa7f1zlt3pqs;1;18,0;74,8;2024-07-12T01:39:07.853Z;2024-07-12T01:39:10Z;[{'id': 5101021377, 'qualifierId': 213, 'value': '3.98'}, {'id': 5101021369, 'qualifierId': 56, 'value': 'Back'}, {'id': 5101021375, 'qualifierId': 212, 'value': '20.5'}, {'id': 5101021373, 'qualifierId': 141, 'value': '52.5'}, {'id': 5101021371, 'qualifierId': 140, 'value': '4.9'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;4,9;52,5;;3,98;20,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;4,9;52,5;;;;;;;0;0;75;7;Houston Dynamo II;4507;DC;1,0
2700360801;687;1;2;75;10;d0c07im4a6oj8qa7f1zlt3pqs;1;4,1;45,0;2024-07-12T01:39:10.565Z;2024-07-12T01:39:13Z;[{'id': 5101021413, 'qualifierId': 140, 'value': '14.1'}, {'id': 5101021419, 'qualifierId': 213, 'value': '5.27'}, {'id': 5101021415, 'qualifierId': 141, 'value': '20.0'}, {'id': 5101021417, 'qualifierId': 212, 'value': '20.0'}, {'id': 5101021411, 'qualifierId': 56, 'value': 'Back'}];81a5mbcfvbxke0w3cbq65ld2i;M. Alstrup;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;14,1;20,0;;5,27;20,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;14,1;20,0;;;;;;;0;0;75;10;Houston Dynamo II;4510;GK;1,0
2700360803;688;1;2;75;12;d0c07im4a6oj8qa7f1zlt3pqs;1;14,1;20,0;2024-07-12T01:39:12.964Z;2024-07-12T01:39:15Z;[{'id': 5101021423, 'qualifierId': 56, 'value': 'Back'}, {'id': 5101021427, 'qualifierId': 141, 'value': '34.0'}, {'id': 5101021425, 'qualifierId': 140, 'value': '23.7'}, {'id': 5101021431, 'qualifierId': 213, 'value': '0.76'}, {'id': 5101021429, 'qualifierId': 212, 'value': '13.9'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;23,7;34,0;;0,76;13,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;23,7;34,0;;;;;;;0;0;75;12;Houston Dynamo II;4512;DL;1,0
2700360815;689;1;2;75;15;d0c07im4a6oj8qa7f1zlt3pqs;1;25,6;27,0;2024-07-12T01:39:15.389Z;2024-07-12T01:39:18Z;[{'id': 5101021493, 'qualifierId': 212, 'value': '16.8'}, {'id': 5101021491, 'qualifierId': 141, 'value': '7.3'}, {'id': 5101021489, 'qualifierId': 140, 'value': '35.2'}, {'id': 5101021495, 'qualifierId': 213, 'value': '5.36'}, {'id': 5101021487, 'qualifierId': 56, 'value': 'Back'}];7nxqbiq6fics5w3qnwhz249as;S. Louis-Jean;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;35,2;7,3;;5,36;16,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;35,2;7,3;;;;;;;0;0;75;15;Houston Dynamo II;4515;MC;1,0
