id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_Captain;value_Involved;value_JerseyNumber;value_Resume;value_PlayerPosition;value_TeamPlayerFormation;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndY;value_Zone;value_Length;value_PassEndX;value_Angle;value_Chipped;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_Launch;value_BlockedPass;value_TouchTypePass;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_OutOfPlay;value_TakeOnOvertake;value_LeftFooted;value_Cross;value_DrivenCross;value_Straight;value_TouchTypeClearance;value_Left;value_IntentionalAssist;value_OutSwinger;value_CornerTaken;value_Assist;value_GkY;value_GoalmouthZ;value_FirstTouch;value_FromCorner;value_BoxCentre;value_BlockedY;value_BlockedX;value_Head;value_Right;value_GkX;value_RelatedEventId;value_GoalmouthY;value_NotPastGoalLine;value_Assisted;value_DeletedEventType;value_Deflection;value_RightFooted;value_NotAssisted;value_HighLeft;value_Standing;value_Hands;value_Collected;value_HighGkIntervention;value_KeeperThrow;value_NotVisible;value_TouchTypeControl;value_TakeOnSpace;value_SwitchOfPlay;value_LeadingToGoal;value_GkYTimeOfGoal;value_FantasyAssistedBy;value_GoalShotTimestamp;value_HighRight;value_BigChance;value_FantasyAssistType;value_FantasyAssistId;value_RegularPlay;value_GkXTimeOfGoal;value_GoalShotGameClock;value_FantasyAssistTeam;value_IntendedTackleTarget;value_Shove/Push;value_InSwinger;value_InjuredPlayerId;value_Injury;value_IndividualPlay;value_CloseLeft;value_BoxLeft;value_NextEventGoalKick;value_GoalKick;value_Low;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_FlickOn;value_DefBlock;value_PlayersCaughtOffside;value_Indirect;value_LayOff;value_ShirtPull/Holding;value_HighClaim;value_OverArm;value_SwerveLeft;value_FreeKick;value_OutOfBoxCentre;value_High;value_Handball;value_LowLeft;value_ParriedSafe;value_MediumGkIntervention;value_Diving;value_Blocked;value_LowCentre;value_FloatedCross;value_TacticalFoul;value_YellowCard;value_LowGkIntervention;value_Overrun;value_FastBreak;value_Minutes;value_EndType;value_LowRight;value_ThroughBall;value_Volley;value_BoxRight;value_Tactical;value_Dissent;value_BlockedCross;value_GkHoof;value_SecondYellow;value_Feet;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2724762331;6;5;1;0;7;29nx7yxy1rdqv2oobqn5pjf8p;1;69,6;100,8;2024-09-22T21:03:07.331Z;2024-09-22T21:12:36Z;[{'id': 5235254329, 'qualifierId': 56, 'value': 'Left'}, {'id': 5235254331, 'qualifierId': 347}, {'id': 5235254355, 'qualifierId': 233, 'value': '5'}];7w2rw1jd8ouhu8bbvswvysu8k;J. Batiz;;;ac8byw6k9u451p8cmzkm68es;Out;;;;;;;;;;;;;;;;;;5,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;7;New York RB II;7;ML;1,0
2724762473;7;1;1;0;19;29nx7yxy1rdqv2oobqn5pjf8p;1;73,8;100,0;2024-09-22T21:03:19.962Z;2024-09-22T21:03:27Z;[{'id': 5235255097, 'qualifierId': 1}, {'id': 5235255091, 'qualifierId': 141, 'value': '87.0'}, {'id': 5235255087, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235255093, 'qualifierId': 212, 'value': '37.9'}, {'id': 5235255089, 'qualifierId': 140, 'value': '39.0'}, {'id': 5235255085, 'qualifierId': 107}, {'id': 5235255095, 'qualifierId': 213, 'value': '3.41'}];cgcpmpetc768pyqb51qthq61g;R. Chukwu;;;ac8byw6k9u451p8cmzkm68es;Pass;;;;;;;;;;;87,0;;37,9;39,0;3,41;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;39,0;87,0;;;;;;;0;0;0;19;New York RB II;19;DC;1,0
2724762509;8;1;1;0;27;29nx7yxy1rdqv2oobqn5pjf8p;1;38,6;85,5;2024-09-22T21:03:27.730Z;2024-09-22T21:03:29Z;[{'id': 5235255253, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235255257, 'qualifierId': 140, 'value': '33.4'}, {'id': 5235255265, 'qualifierId': 213, 'value': '4.50'}, {'id': 5235255263, 'qualifierId': 212, 'value': '26.5'}, {'id': 5235255261, 'qualifierId': 141, 'value': '47.4'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;;ac8byw6k9u451p8cmzkm68es;Pass;;;;;;;;;;;47,4;;26,5;33,4;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;33,4;47,4;;;;;;;0;0;0;27;New York RB II;27;DC;1,0
2724762547;9;1;1;0;29;29nx7yxy1rdqv2oobqn5pjf8p;1;35,9;43,2;2024-09-22T21:03:29.571Z;2024-09-22T21:03:31Z;[{'id': 5235255435, 'qualifierId': 140, 'value': '33.4'}, {'id': 5235255441, 'qualifierId': 213, 'value': '1.74'}, {'id': 5235255439, 'qualifierId': 212, 'value': '15.3'}, {'id': 5235255433, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235255437, 'qualifierId': 141, 'value': '65.4'}];8pvvljn4uasfjxdleh56pm38;A. Pearlman;;;ac8byw6k9u451p8cmzkm68es;Pass;;;;;;;;;;;65,4;;15,3;33,4;1,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;33,4;65,4;;;;;;;0;0;0;29;New York RB II;29;DL;1,0
2724762613;10;1;1;0;31;29nx7yxy1rdqv2oobqn5pjf8p;1;33,6;65,4;2024-09-22T21:03:31.451Z;2024-09-22T21:03:36Z;[{'id': 5235255807, 'qualifierId': 140, 'value': '31.9'}, {'id': 5235255809, 'qualifierId': 141, 'value': '40.5'}, {'id': 5235255805, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235255811, 'qualifierId': 212, 'value': '17.0'}, {'id': 5235255813, 'qualifierId': 213, 'value': '4.61'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;;ac8byw6k9u451p8cmzkm68es;Pass;;;;;;;;;;;40,5;;17,0;31,9;4,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;31,9;40,5;;;;;;;0;0;0;31;New York RB II;31;DC;1,0
2724762645;11;1;1;0;36;29nx7yxy1rdqv2oobqn5pjf8p;1;31,2;32,1;2024-09-22T21:03:36.866Z;2024-09-22T21:03:39Z;[{'id': 5235256035, 'qualifierId': 213, 'value': '1.74'}, {'id': 5235256025, 'qualifierId': 140, 'value': '27.1'}, {'id': 5235256023, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235256029, 'qualifierId': 141, 'value': '70.1'}, {'id': 5235256033, 'qualifierId': 212, 'value': '26.2'}];8pvvljn4uasfjxdleh56pm38;A. Pearlman;;;ac8byw6k9u451p8cmzkm68es;Pass;;;;;;;;;;;70,1;;26,2;27,1;1,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;27,1;70,1;;;;;;;0;0;0;36;New York RB II;36;DL;1,0
2724762757;12;1;1;0;43;29nx7yxy1rdqv2oobqn5pjf8p;1;26,5;70,9;2024-09-22T21:03:44.074Z;2024-09-22T21:03:47Z;[{'id': 5235256655, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235256661, 'qualifierId': 212, 'value': '13.2'}, {'id': 5235256665, 'qualifierId': 213, 'value': '4.87'}, {'id': 5235256657, 'qualifierId': 140, 'value': '28.5'}, {'id': 5235256659, 'qualifierId': 141, 'value': '51.8'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;;ac8byw6k9u451p8cmzkm68es;Pass;;;;;;;;;;;51,8;;13,2;28,5;4,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;28,5;51,8;;;;;;;0;0;0;43;New York RB II;43;DC;1,0
2724762777;13;1;1;0;46;29nx7yxy1rdqv2oobqn5pjf8p;1;30,5;56,0;2024-09-22T21:03:46.994Z;2024-09-22T21:03:48Z;[{'id': 5235256789, 'qualifierId': 140, 'value': '26.4'}, {'id': 5235256793, 'qualifierId': 212, 'value': '14.6'}, {'id': 5235256795, 'qualifierId': 213, 'value': '1.87'}, {'id': 5235256791, 'qualifierId': 141, 'value': '76.5'}, {'id': 5235256785, 'qualifierId': 56, 'value': 'Back'}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;;ac8byw6k9u451p8cmzkm68es;Pass;;;;;;;;;;;76,5;;14,6;26,4;1,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;26,4;76,5;;;;;;;0;0;0;46;New York RB II;46;MC;1,0
2724762785;14;1;1;0;47;29nx7yxy1rdqv2oobqn5pjf8p;1;26,4;76,5;2024-09-22T21:03:48.282Z;2024-09-22T21:03:49Z;[{'id': 5235256867, 'qualifierId': 140, 'value': '31.2'}, {'id': 5235256869, 'qualifierId': 141, 'value': '92.5'}, {'id': 5235256865, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235256871, 'qualifierId': 212, 'value': '12.0'}, {'id': 5235256873, 'qualifierId': 213, 'value': '1.14'}];8pvvljn4uasfjxdleh56pm38;A. Pearlman;;;ac8byw6k9u451p8cmzkm68es;Pass;;;;;;;;;;;92,5;;12,0;31,2;1,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;31,2;92,5;;;;;;;0;0;0;47;New York RB II;47;DL;1,0
2724762823;15;1;1;0;48;29nx7yxy1rdqv2oobqn5pjf8p;1;31,2;92,5;2024-09-22T21:03:49.282Z;2024-09-22T21:03:52Z;[{'id': 5235257125, 'qualifierId': 213, 'value': '5.79'}, {'id': 5235257115, 'qualifierId': 157}, {'id': 5235257127, 'qualifierId': 1}, {'id': 5235257121, 'qualifierId': 141, 'value': '78.2'}, {'id': 5235257119, 'qualifierId': 140, 'value': '48.3'}, {'id': 5235257123, 'qualifierId': 212, 'value': '20.4'}, {'id': 5235257117, 'qualifierId': 56, 'value': 'Back'}];cgcpmpetc768pyqb51qthq61g;R. Chukwu;;;ac8byw6k9u451p8cmzkm68es;Pass;;;;;;;;;;;78,2;;20,4;48,3;5,79;;1,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;48,3;78,2;;;;;;;0;0;0;48;New York RB II;48;DC;1,0
