id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Resume;value_Involved;value_PlayerPosition;value_JerseyNumber;value_Captain;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_PassEndY;value_Zone;value_Length;value_Angle;value_OppositeRelatedEventId;value_NextEventThrowIn;value_LongBall;value_ThrowIn;value_Launch;value_Direct;value_AttemptedTackle;value_Offensive;value_Foul;value_Defensive;value_FreeKickTaken;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_TouchTypePass;value_BlockedPass;value_Injury;value_InjuredPlayerId;value_RelatedEventId;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_HeadPass;value_LayOff;value_TakeOnSpace;value_DeletedEventType;value_IntentionalAssist;value_Assist;value_RegularPlay;value_BlockedX;value_GoalmouthZ;value_BlockedY;value_Assisted;value_BoxCentre;value_RightFooted;value_GoalmouthY;value_LowLeft;value_Diving;value_LowGkIntervention;value_Hands;value_ParriedSafe;value_OutOfPlay;value_Left;value_Cross;value_CornerTaken;value_InSwinger;value_Head;value_BoxRight;value_IndividualPlay;value_FromCorner;value_LowCentre;value_NotAssisted;value_Stooping;value_Collected;value_KeeperThrow;value_Shove/Push;value_Chipped;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_TouchTypeControl;value_IntendedTackleTarget;value_Overrun;value_TakeOnOvertake;value_BlockedClearance;value_GkY;value_Blocked;value_GkX;value_DefBlock;value_Right;value_OutSwinger;value_FirstTouch;value_OutOfBoxCentre;value_NextEventGoalKick;value_GoalKick;value_High;value_FantasyAssistedBy;value_GkXTimeOfGoal;value_FantasyAssistType;value_GkYTimeOfGoal;value_HitLeftPost;value_GoalShotTimestamp;value_GoalShotGameClock;value_FantasyAssistId;value_FantasyAssistTeam;value_HitWoodwork;value_FreeKick;value_AerialFoul;value_ThroughBall;value_BigChance;value_LeftFooted;value_FollowsADribble;value_TouchTypeClearance;value_FlickOn;value_CloseLeft;value_LowRight;value_SwerveRight;value_Weak;value_Standing;value_GkHoof;value_SwitchOfPlay;value_RecklessOffence;value_Low;value_FastBreak;value_BlockedCross;value_Volley;value_BoxLeft;value_NotPastGoalLine;value_HighGkIntervention;value_Minutes;value_Straight;value_DrivenCross;value_HighCentre;value_Dissent;value_Handball;value_OverhitCross;value_MisHit;value_OwnPlayer;value_OwnShotBlocked;value_SmallBoxCentre;value_SixYardBlocked;value_EndType;value_MediumGkIntervention;value_Tactical;value_OverArm;value_SecondYellow;value_Reaching;value_TempBlocked;value_HighLeft;value_CloseRight;value_HighClaim;value_KeeperTouched;value_HitBar;value_1On1;value_Defensive1V1;value_TempMissed;value_SoloRun;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2724815565;67;1;1;13;14;7fbej4xwoq4imaf5l39304m37;1;30,2;32,4;2024-09-22T22:18:30.589Z;2024-09-22T22:18:32Z;[{'id': 5235535189, 'qualifierId': 141, 'value': '57.6'}, {'id': 5235535181, 'qualifierId': 5}, {'id': 5235535183, 'qualifierId': 152}, {'id': 5235535185, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235535191, 'qualifierId': 212, 'value': '17.5'}, {'id': 5235535193, 'qualifierId': 213, 'value': '1.78'}, {'id': 5235535187, 'qualifierId': 140, 'value': '26.7'}];9ts3xs5p912m8f3pph7ni9vkk;S. Donovan;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;26,7;57,6;;17,5;1,78;;;;;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;26,7;57,6;;;;;;;0;0;13;14;Minnesota United II;794;MC;1,0
2724815583;68;1;1;13;16;7fbej4xwoq4imaf5l39304m37;1;26,7;56,6;2024-09-22T22:18:32.509Z;2024-09-22T22:18:35Z;[{'id': 5235535295, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235535297, 'qualifierId': 140, 'value': '33.7'}, {'id': 5235535299, 'qualifierId': 141, 'value': '48.2'}, {'id': 5235535303, 'qualifierId': 213, 'value': '5.62'}, {'id': 5235535301, 'qualifierId': 212, 'value': '9.3'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;33,7;48,2;;9,3;5,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;33,7;48,2;;;;;;;0;0;13;16;Minnesota United II;796;DC;1,0
2724815623;69;1;1;13;19;7fbej4xwoq4imaf5l39304m37;1;30,4;47,5;2024-09-22T22:18:35.149Z;2024-09-22T22:18:39Z;[{'id': 5235535537, 'qualifierId': 212, 'value': '22.8'}, {'id': 5235535535, 'qualifierId': 141, 'value': '16.8'}, {'id': 5235535533, 'qualifierId': 140, 'value': '39.1'}, {'id': 5235535539, 'qualifierId': 213, 'value': '5.12'}, {'id': 5235535531, 'qualifierId': 56, 'value': 'Back'}];bhhdcubw5vyxzf0lc1fcfftka;D. Flores;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;39,1;16,8;;22,8;5,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;39,1;16,8;;;;;;;0;0;13;19;Minnesota United II;799;MC;1,0
2724815655;70;1;1;13;23;7fbej4xwoq4imaf5l39304m37;1;39,3;25,8;2024-09-22T22:18:39.197Z;2024-09-22T22:18:42Z;[{'id': 5235535707, 'qualifierId': 213, 'value': '3.58'}, {'id': 5235535705, 'qualifierId': 212, 'value': '12.4'}, {'id': 5235535703, 'qualifierId': 141, 'value': '18.0'}, {'id': 5235535701, 'qualifierId': 140, 'value': '28.6'}, {'id': 5235535699, 'qualifierId': 56, 'value': 'Back'}];2gawx03wls5vwtlocjir3u7vu;M. Alexandre;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;28,6;18,0;;12,4;3,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;28,6;18,0;;;;;;;0;0;13;23;Minnesota United II;803;DMR;1,0
2724815699;71;1;1;13;25;7fbej4xwoq4imaf5l39304m37;1;28,6;17,9;2024-09-22T22:18:41.916Z;2024-09-22T22:18:47Z;[{'id': 5235536001, 'qualifierId': 212, 'value': '31.7'}, {'id': 5235535995, 'qualifierId': 56, 'value': 'Right'}, {'id': 5235535997, 'qualifierId': 140, 'value': '58.3'}, {'id': 5235536003, 'qualifierId': 213, 'value': '6.11'}, {'id': 5235535999, 'qualifierId': 141, 'value': '9.8'}];2vq2t4ttpcwey95jzofd60qy2;C. Klein;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;58,3;9,8;;31,7;6,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;58,3;9,8;;;;;;;0;0;13;25;Minnesota United II;805;DC;1,0
2724815733;72;1;1;13;31;7fbej4xwoq4imaf5l39304m37;1;61,2;10,1;2024-09-22T22:18:46.941Z;2024-09-22T22:18:49Z;[{'id': 5235536165, 'qualifierId': 56, 'value': 'Right'}, {'id': 5235536171, 'qualifierId': 212, 'value': '16.6'}, {'id': 5235536173, 'qualifierId': 213, 'value': '0.14'}, {'id': 5235536167, 'qualifierId': 140, 'value': '76.9'}, {'id': 5235536169, 'qualifierId': 141, 'value': '13.4'}];bhhdcubw5vyxzf0lc1fcfftka;D. Flores;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;76,9;13,4;;16,6;0,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;76,9;13,4;;;;;;;0;0;13;31;Minnesota United II;811;MC;1,0
2724815741;73;1;1;13;33;7fbej4xwoq4imaf5l39304m37;0;77,0;8,8;2024-09-22T22:18:49.789Z;2024-09-22T22:18:51Z;[{'id': 5235536219, 'qualifierId': 56, 'value': 'Right'}, {'id': 5235536223, 'qualifierId': 141, 'value': '11.3'}, {'id': 5235536311, 'qualifierId': 233, 'value': '45'}, {'id': 5235536221, 'qualifierId': 140, 'value': '77.9'}, {'id': 5235536227, 'qualifierId': 213, 'value': '1.06'}, {'id': 5235536225, 'qualifierId': 212, 'value': '1.9'}, {'id': 5235536315, 'qualifierId': 286}, {'id': 5235536309, 'qualifierId': 236}];cqmvrx028gh19yh8qh7w01y0a;R. Avila;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;77,9;11,3;;1,9;1,06;45,0;;;;;;;1,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;77,9;11,3;;;;;;;0;0;13;33;Minnesota United II;813;FW;1,0
2724815755;45;74;1;13;33;1pc6sx2h4rp113ldkbp5d2xas;1;23,8;92,1;2024-09-22T22:18:49.790Z;2024-09-22T23:12:12Z;[{'id': 5235536293, 'qualifierId': 285}, {'id': 5235536357, 'qualifierId': 233, 'value': '73'}, {'id': 5235536289, 'qualifierId': 56, 'value': 'Back'}];2tgt5sjb27wy99ijttspj6r6c;D. Padelford;;;bgsr1gtefnbn2jma7cxw5mok;Blocked Pass;;;;;;;;;;;;;;;;73,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;13;33;Sporting KC II;813;DC;1,0
2724815783;46;49;1;13;36;1pc6sx2h4rp113ldkbp5d2xas;1;27,1;90,5;2024-09-22T22:18:52.848Z;2024-09-22T22:18:52Z;[];1gmj4ge2sog221wqkmap8kidw;A. Martinez;;;bgsr1gtefnbn2jma7cxw5mok;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;13;36;Sporting KC II;816;MC;1,0
2724815829;47;1;1;13;37;1pc6sx2h4rp113ldkbp5d2xas;1;27,1;90,5;2024-09-22T22:18:53.076Z;2024-09-22T22:18:57Z;[{'id': 5235536715, 'qualifierId': 141, 'value': '93.0'}, {'id': 5235536717, 'qualifierId': 212, 'value': '10.4'}, {'id': 5235536719, 'qualifierId': 213, 'value': '0.16'}, {'id': 5235536711, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235536713, 'qualifierId': 140, 'value': '36.9'}];1gmj4ge2sog221wqkmap8kidw;A. Martinez;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;36,9;93,0;;10,4;0,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;36,9;93,0;;;;;;;0;0;13;37;Sporting KC II;817;MC;1,0
