id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamPlayerFormation;value_JerseyNumber;value_Resume;value_PlayerPosition;value_TeamKit;value_Involved;value_Captain;value_DirectionOfPlay;value_VideoCoverageLost;value_NotVisible;value_Zone;value_PassEndX;value_Length;value_Angle;value_PassEndY;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_Chipped;value_NextEventGoalKick;value_Low;value_GoalKick;value_Launch;value_PlayersCaughtOffside;value_FreeKickTaken;value_Indirect;value_Direct;value_Shove/Push;value_Foul;value_IntendedTackleTarget;value_GoalmouthZ;value_GkY;value_High;value_IndividualPlay;value_NotAssisted;value_GoalmouthY;value_OutOfBoxCentre;value_LeftFooted;value_RegularPlay;value_GkX;value_HeadPass;value_AttemptedTackle;value_Cross;value_Head;value_TempBlocked;value_BoxLeft;value_PullBack;value_Left;value_Assist;value_CornerTaken;value_InSwinger;value_IntentionalAssist;value_Assisted;value_FromCorner;value_BlockedY;value_BlockedX;value_RelatedEventId;value_FirstTouch;value_BoxCentre;value_Blocked;value_LowCentre;value_DefBlock;value_RightFooted;value_FantasyAssistType;value_BigChance;value_FantasyAssistId;value_GoalShotTimestamp;value_FantasyAssistTeam;value_FantasyAssistedBy;value_LowLeft;value_GoalShotGameClock;value_BoxRight;value_Volley;value_KickOff;value_KeeperThrow;value_Hands;value_ParriedSafe;value_Diving;value_OutOfPlay;value_LayOff;value_Right;value_RefereeDelay;value_DrinksBreak;value_Overrun;value_LowRight;value_HighRight;value_SwerveLeft;value_Standing;value_Caught;value_2NdAssist;value_2NdRelatedEventId;value_HighLeft;value_2NdAssisted;value_SwitchOfPlay;value_SetPiece;value_Minutes;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_FlickOn;value_GkHoof;value_YellowCard;value_RecklessOffence;value_Unchallenged;value_FastBreak;value_ParriedDanger;value_TacticalFoul;value_OutSwinger;value_ShirtPull/Holding;value_HitLeftPost;value_HitWoodwork;value_SwerveRight;value_Collected;value_Injury;value_InjuredPlayerId;value_GkChallenge;value_CloseHigh;value_AerialFoul;value_CloseRight;value_ThroughBall;value_CaptainChange;value_PersistentInfringement;value_TempMissed;value_Penalty;value_PenaltyTakerId;value_RedCard;value_ProfessionalFoulLastMan;value_Saved;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Handball;value_TimeWasting;value_Dissent;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2704400327;366;1;1;3;42;29nx7yxy1rdqv2oobqn5pjf8p;1;8,9;25,2;2024-07-28T19:07:15.774Z;2024-07-28T20:02:03Z;[{'id': 5123357305, 'qualifierId': 213, 'value': '5.64'}, {'id': 5123357303, 'qualifierId': 212, 'value': '20.9'}, {'id': 5123357301, 'qualifierId': 141, 'value': '6.7'}, {'id': 5123357299, 'qualifierId': 140, 'value': '24.8'}, {'id': 5123357297, 'qualifierId': 56, 'value': 'Back'}];7z57s6veqr3k87quyd6i7fgx6;M. Fisher;;;eazl16iuxl3g63mt5c3tsk844;Pass;;;;;;;;;;;;;24,8;20,9;5,64;6,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;24,8;6,7;;;;;;;;0;3;42;New York RB II;222;DC;1,0
2704400339;367;1;1;3;47;29nx7yxy1rdqv2oobqn5pjf8p;1;28,9;5,2;2024-07-28T19:07:20.774Z;2024-07-28T20:02:09Z;[{'id': 5123357411, 'qualifierId': 213, 'value': '2.82'}, {'id': 5123357403, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123357405, 'qualifierId': 140, 'value': '10.4'}, {'id': 5123357409, 'qualifierId': 212, 'value': '20.5'}, {'id': 5123357407, 'qualifierId': 141, 'value': '14.7'}];d8u6lnk9lmbrgv9obcshpec8a;M. Stojadinovic;;;eazl16iuxl3g63mt5c3tsk844;Pass;;;;;;;;;;;;;10,4;20,5;2,82;14,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;10,4;14,7;;;;;;;;0;3;47;New York RB II;227;DC;1,0
2704400365;368;1;1;3;48;29nx7yxy1rdqv2oobqn5pjf8p;1;10,3;16,2;2024-07-28T19:07:21.774Z;2024-07-28T20:02:16Z;[{'id': 5123357551, 'qualifierId': 213, 'value': '1.84'}, {'id': 5123357543, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123357545, 'qualifierId': 140, 'value': '5.5'}, {'id': 5123357549, 'qualifierId': 212, 'value': '18.6'}, {'id': 5123357547, 'qualifierId': 141, 'value': '42.6'}];7z57s6veqr3k87quyd6i7fgx6;M. Fisher;;;eazl16iuxl3g63mt5c3tsk844;Pass;;;;;;;;;;;;;5,5;18,6;1,84;42,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;5,5;42,6;;;;;;;;0;3;48;New York RB II;228;DC;1,0
2704400399;369;1;1;3;50;29nx7yxy1rdqv2oobqn5pjf8p;1;4,1;46,2;2024-07-28T19:07:23.774Z;2024-07-28T20:02:27Z;[{'id': 5123357825, 'qualifierId': 140, 'value': '28.9'}, {'id': 5123357823, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123357829, 'qualifierId': 212, 'value': '39.6'}, {'id': 5123357833, 'qualifierId': 1}, {'id': 5123357831, 'qualifierId': 213, 'value': '0.85'}, {'id': 5123357827, 'qualifierId': 141, 'value': '90.0'}];dt797hve9mdpnuyy1z4pnpp1w;A. De Rosario;;;eazl16iuxl3g63mt5c3tsk844;Pass;;;;;;;;;;;;;28,9;39,6;0,85;90,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;28,9;90,0;;;;;;;;0;3;50;New York RB II;230;GK;1,0
2704400433;370;1;1;3;58;29nx7yxy1rdqv2oobqn5pjf8p;1;23,5;71,9;2024-07-28T19:07:31.774Z;2024-07-28T20:02:40Z;[{'id': 5123358107, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123358109, 'qualifierId': 140, 'value': '9.8'}, {'id': 5123358113, 'qualifierId': 212, 'value': '31.7'}, {'id': 5123358111, 'qualifierId': 141, 'value': '30.3'}, {'id': 5123358115, 'qualifierId': 213, 'value': '4.24'}];3wn0nn5q8g2mjzuc8yb4dvu2;M. Cimermancic;;;eazl16iuxl3g63mt5c3tsk844;Pass;;;;;;;;;;;;;9,8;31,7;4,24;30,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;9,8;30,3;;;;;;;;0;3;58;New York RB II;238;FWL;1,0
2704400467;371;1;1;4;5;29nx7yxy1rdqv2oobqn5pjf8p;1;26,1;19,6;2024-07-28T19:07:38.774Z;2024-07-28T20:02:47Z;[{'id': 5123358279, 'qualifierId': 141, 'value': '64.1'}, {'id': 5123358275, 'qualifierId': 140, 'value': '25.0'}, {'id': 5123358271, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123358281, 'qualifierId': 212, 'value': '30.3'}, {'id': 5123358283, 'qualifierId': 213, 'value': '1.61'}];7z57s6veqr3k87quyd6i7fgx6;M. Fisher;;;eazl16iuxl3g63mt5c3tsk844;Pass;;;;;;;;;;;;;25,0;30,3;1,61;64,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;25,0;64,1;;;;;;;;0;4;5;New York RB II;245;DC;1,0
2704400501;372;1;1;4;9;29nx7yxy1rdqv2oobqn5pjf8p;1;26,5;67,3;2024-07-28T19:07:42.774Z;2024-07-28T20:02:59Z;[{'id': 5123358545, 'qualifierId': 213, 'value': '0.87'}, {'id': 5123358543, 'qualifierId': 212, 'value': '20.5'}, {'id': 5123358541, 'qualifierId': 141, 'value': '90.3'}, {'id': 5123358537, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123358539, 'qualifierId': 140, 'value': '39.1'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;;eazl16iuxl3g63mt5c3tsk844;Pass;;;;;;;;;;;;;39,1;20,5;0,87;90,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;39,1;90,3;;;;;;;;0;4;9;New York RB II;249;DC;1,0
2704400499;300;45;1;4;13;4g68p0t2f5jzhzfr67i2rj1ex;0;59,0;18,2;2024-07-28T19:07:46.774Z;2024-07-28T20:03:09Z;[{'id': 5123358535, 'qualifierId': 285}, {'id': 5123358533, 'qualifierId': 56, 'value': 'Right'}, {'id': 5123358791, 'qualifierId': 233, 'value': '373'}];ov4fk38lrcculu6tdbnrto2c;M. Dembele;;;eazl16iuxl3g63mt5c3tsk844;Challenge;;;;;;;;;;;;;;;;;;1,0;373,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;4;13;Toronto II;253;MR;1,0
2704400539;373;3;1;4;13;29nx7yxy1rdqv2oobqn5pjf8p;1;41,0;81,8;2024-07-28T19:07:46.774Z;2024-07-28T20:03:08Z;[{'id': 5123358749, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123358781, 'qualifierId': 233, 'value': '300'}, {'id': 5123358751, 'qualifierId': 286}];7w2rw1jd8ouhu8bbvswvysu8k;J. Batiz;;;eazl16iuxl3g63mt5c3tsk844;Take On;;;;;;;;;;;;;;;;;;;300,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;4;13;New York RB II;253;DML;1,0
2704400549;374;3;1;4;13;29nx7yxy1rdqv2oobqn5pjf8p;0;38,6;75,0;2024-07-28T19:07:47.773Z;2024-07-28T20:03:26Z;[{'id': 5123359259, 'qualifierId': 233, 'value': '301'}, {'id': 5123358875, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123358877, 'qualifierId': 286}];7w2rw1jd8ouhu8bbvswvysu8k;J. Batiz;;;eazl16iuxl3g63mt5c3tsk844;Take On;;;;;;;;;;;;;;;;;;;301,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;4;13;New York RB II;253;DML;1,0
