id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_TeamFormation;value_Captain;value_Involved;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_TeamKit;value_DirectionOfPlay;value_Zone;value_PassEndY;value_KickOff;value_Length;value_PassEndX;value_Angle;value_Launch;value_LongBall;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Chipped;value_Defensive;value_Offensive;value_TakeOnSpace;value_TouchTypePass;value_TouchTypeClearance;value_OutOfPlay;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_OverhitCross;value_OutSwinger;value_LeftFooted;value_Cross;value_BlockedPass;value_HeadPass;value_Direct;value_Foul;value_ShirtPull/Holding;value_SwitchOfPlay;value_NotVisible;value_IntentionalAssist;value_Assist;value_DeletedEventType;value_RegularPlay;value_Assisted;value_Head;value_GoalmouthY;value_BlockedY;value_HighRight;value_BoxCentre;value_GoalmouthZ;value_FirstTouch;value_BlockedX;value_RelatedEventId;value_ParriedSafe;value_Hands;value_Standing;value_NextEventGoalKick;value_GoalKick;value_Low;value_IntendedTackleTarget;value_IndividualPlay;value_OutOfBoxCentre;value_RightFooted;value_High;value_GkX;value_NotAssisted;value_GkY;value_Right;value_Left;value_CornerTaken;value_InSwinger;value_Blocked;value_SmallBoxRight;value_FromCorner;value_SixYardBlocked;value_LowCentre;value_DefBlock;value_PullBack;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_Shove/Push;value_HighCentre;value_Collected;value_MediumGkIntervention;value_OverArm;value_LayOff;value_SwerveRight;value_TouchTypeControl;value_AttemptedTackle;value_LowRight;value_BoxRight;value_SmallBoxLeft;value_CloseLeftAndHigh;value_Overrun;value_TakeOnOvertake;value_FlickOn;value_BlockedClearance;value_LowGkIntervention;value_OutOnSideline;value_NotPastGoalLine;value_BoxLeft;value_BigChance;value_BlockedCross;value_ParriedDanger;value_FastBreak;value_LowLeft;value_ThroughBall;value_Stooping;value_Deflection;value_HighLeft;value_Reaching;value_Caught;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_Simulation;value_YellowCard;value_MisHit;value_SetPiece;value_Handball;value_GkKickFromHands;value_Sliding;value_OtherBodyPart;value_BoxDeepLeft;value_Volley;value_BoxDeepRight;value_GkHoof;value_Defensive1V1;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2693533439;579;1;2;65;24;erwnez7ksfkns4dqmyr1fhbe;1;14,2;40,0;2024-06-01T00:55:00.508Z;2024-06-05T15:57:54Z;[{'id': 5063431075, 'qualifierId': 140, 'value': '27.3'}, {'id': 5063431081, 'qualifierId': 213, 'value': '0.50'}, {'id': 5063431073, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063431079, 'qualifierId': 212, 'value': '15.7'}, {'id': 5063431077, 'qualifierId': 141, 'value': '51.0'}];eg5gobm8zylt21enud00dfnmy;K. Tmimi;;;d4ermne3qk2rby5i9x5ig7w2c;Pass;;;;;;;;;;;51,0;;15,7;27,3;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;27,3;51,0;;;;;;;0;0;65;24;Crown Legacy;3924;Sub;1,0
2693533425;578;43;2;65;24;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-06-01T00:55:00.741Z;2024-06-05T15:57:48Z;[{'id': 5070094213, 'qualifierId': 144, 'value': '49'}];eg5gobm8zylt21enud00dfnmy;K. Tmimi;;;d4ermne3qk2rby5i9x5ig7w2c;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;65;24;Crown Legacy;3924;Sub;1,0
2694744113;810;49;2;65;25;erwnez7ksfkns4dqmyr1fhbe;1;29,7;48,4;2024-06-01T00:55:01.587Z;2024-06-05T15:58:02Z;[];astn4ytzoaav30ifi17s4dn8;A. Carleton;;;d4ermne3qk2rby5i9x5ig7w2c;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;65;25;Crown Legacy;3925;Sub;1,0
2693533461;580;1;2;65;27;erwnez7ksfkns4dqmyr1fhbe;1;28,1;51,5;2024-06-01T00:55:03.316Z;2024-06-01T00:55:07Z;[{'id': 5063431195, 'qualifierId': 140, 'value': '35.3'}, {'id': 5063431193, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063431201, 'qualifierId': 213, 'value': '1.24'}, {'id': 5063431199, 'qualifierId': 212, 'value': '23.1'}, {'id': 5063431197, 'qualifierId': 141, 'value': '83.6'}];astn4ytzoaav30ifi17s4dn8;A. Carleton;;;d4ermne3qk2rby5i9x5ig7w2c;Pass;;;;;;;;;;;83,6;;23,1;35,3;1,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;35,3;83,6;;;;;;;0;0;65;27;Crown Legacy;3927;Sub;1,0
2693533487;581;1;2;65;31;erwnez7ksfkns4dqmyr1fhbe;1;56,0;88,1;2024-06-01T00:55:07.620Z;2024-06-01T00:55:12Z;[{'id': 5063431297, 'qualifierId': 212, 'value': '18.8'}, {'id': 5063431291, 'qualifierId': 56, 'value': 'Center'}, {'id': 5063431295, 'qualifierId': 141, 'value': '75.9'}, {'id': 5063431293, 'qualifierId': 140, 'value': '72.1'}, {'id': 5063431299, 'qualifierId': 213, 'value': '5.83'}];cbjd834y2hdx5jr3bda1zz6ga;E. Centeno;;;d4ermne3qk2rby5i9x5ig7w2c;Pass;;;;;;;;;;;75,9;;18,8;72,1;5,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;72,1;75,9;;;;;;;0;0;65;31;Crown Legacy;3931;DR;1,0
2693533491;582;1;2;65;35;erwnez7ksfkns4dqmyr1fhbe;0;89,6;73,2;2024-06-01T00:55:12.004Z;2024-06-05T15:58:31Z;[{'id': 5063431311, 'qualifierId': 141, 'value': '51.3'}, {'id': 5063431307, 'qualifierId': 56, 'value': 'Center'}, {'id': 5063431309, 'qualifierId': 140, 'value': '86.2'}, {'id': 5063431315, 'qualifierId': 213, 'value': '4.48'}, {'id': 5063431313, 'qualifierId': 212, 'value': '15.3'}];astn4ytzoaav30ifi17s4dn8;A. Carleton;;;d4ermne3qk2rby5i9x5ig7w2c;Pass;;;;;;;;;;;51,3;;15,3;86,2;4,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;86,2;51,3;;;;;;;0;0;65;35;Crown Legacy;3935;Sub;1,0
2693533507;579;12;2;65;36;6ubc4y1v6hr63mca7ica4hp90;1;11,4;47,5;2024-06-01T00:55:12.889Z;2024-06-01T00:55:15Z;[{'id': 5063431381, 'qualifierId': 141, 'value': '50.9'}, {'id': 5063431379, 'qualifierId': 140, 'value': '14.2'}, {'id': 5063431377, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063431385, 'qualifierId': 213, 'value': '0.67'}, {'id': 5063431383, 'qualifierId': 212, 'value': '3.7'}];3ve0xap9f0gjsslhgjsmakx04;A. John;;;d4ermne3qk2rby5i9x5ig7w2c;Clearance;;;;;;;;;;;50,9;;3,7;14,2;0,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;14,2;50,9;;;;;;;0;0;65;36;Atlanta United II;3936;MC;1,0
2693533505;583;61;2;65;38;erwnez7ksfkns4dqmyr1fhbe;1;86,2;58,7;2024-06-01T00:55:14.646Z;2024-06-01T00:55:14Z;[{'id': 5063431371, 'qualifierId': 56, 'value': 'Center'}];1b9b97pxox77ia41cilqqm4iy;Nick Firmino;;;d4ermne3qk2rby5i9x5ig7w2c;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;65;38;Crown Legacy;3938;AMC;1,0
2693533537;584;1;2;65;40;erwnez7ksfkns4dqmyr1fhbe;1;78,0;68,2;2024-06-01T00:55:16.772Z;2024-06-01T00:55:27Z;[{'id': 5063431627, 'qualifierId': 213, 'value': '5.24'}, {'id': 5063431621, 'qualifierId': 140, 'value': '95.7'}, {'id': 5063431623, 'qualifierId': 141, 'value': '21.3'}, {'id': 5063431625, 'qualifierId': 212, 'value': '36.9'}, {'id': 5063431629, 'qualifierId': 1}, {'id': 5063431619, 'qualifierId': 56, 'value': 'Center'}, {'id': 5063431617, 'qualifierId': 155}];cbjd834y2hdx5jr3bda1zz6ga;E. Centeno;;;d4ermne3qk2rby5i9x5ig7w2c;Pass;;;;;;;;;;;21,3;;36,9;95,7;5,24;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;95,7;21,3;;;;;;;0;0;65;40;Crown Legacy;3940;DR;1,0
2693533539;585;3;2;65;48;erwnez7ksfkns4dqmyr1fhbe;0;97,8;8,6;2024-06-01T00:55:24.969Z;2024-06-05T16:02:02Z;[{'id': 5070096837, 'qualifierId': 211}, {'id': 5070095109, 'qualifierId': 465}, {'id': 5063431633, 'qualifierId': 56, 'value': 'Right'}, {'id': 5063431635, 'qualifierId': 286}];eg5gobm8zylt21enud00dfnmy;K. Tmimi;;;d4ermne3qk2rby5i9x5ig7w2c;Take On;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;65;48;Crown Legacy;3948;Sub;1,0
