id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_Resume;value_TeamPlayerFormation;value_JerseyNumber;value_Involved;value_PlayerPosition;value_Captain;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Length;value_PassEndY;value_Zone;value_Angle;value_IntendedTackleTarget;value_TouchTypePass;value_Offensive;value_OppositeRelatedEventId;value_BlockedPass;value_Defensive;value_Chipped;value_HeadPass;value_LongBall;value_Launch;value_FlickOn;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_ShirtPull/Holding;value_Foul;value_FreeKickTaken;value_TakeOnOvertake;value_TouchTypeClearance;value_Head;value_Assist;value_BlockedY;value_GoalmouthZ;value_BoxDeepLeft;value_LowLeft;value_GoalmouthY;value_BlockedX;value_IndividualPlay;value_RegularPlay;value_RelatedEventId;value_RightFooted;value_Assisted;value_Hands;value_LowGkIntervention;value_Collected;value_Standing;value_OverArm;value_KeeperThrow;value_DeletedEventType;value_PlayersCaughtOffside;value_Indirect;value_NextEventGoalKick;value_GoalKick;value_Low;value_Shove/Push;value_IntentionalAssist;value_LowRight;value_BoxRight;value_MediumGkIntervention;value_Diving;value_ParriedSafe;value_Left;value_Right;value_InSwinger;value_Cross;value_LeftFooted;value_CornerTaken;value_GkY;value_SmallBoxLeft;value_FirstTouch;value_BigChance;value_SavedOffLine;value_FromCorner;value_SixYardBlocked;value_Blocked;value_GkX;value_LastLine;value_DefBlock;value_HighCentre;value_NotAssisted;value_Weak;value_Volley;value_Reaching;value_GkKickFromHands;value_Straight;value_DrivenCross;value_OutSwinger;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_SmallBoxCentre;value_HighLeft;value_GkXTimeOfGoal;value_GoalShotGameClock;value_TakeOnSpace;value_BlockedCross;value_Overrun;value_TouchTypeControl;value_LayOff;value_Defensive1V1;value_AttemptedTackle;value_LowCentre;value_OutOfBoxCentre;value_HighGkIntervention;value_HighClaim;value_OutOfBoxDeepLeft;value_BoxCentre;value_SwerveRight;value_FastBreak;value_NotPastGoalLine;value_BlockedClearance;value_YellowCard;value_TacticalFoul;value_NotVisible;value_Argument;value_Minutes;value_High;value_CloseRight;value_EndType;value_PullBack;value_PersistentInfringement;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_BoxLeft;value_BoxDeepRight;value_InjuredPlayerId;value_Injury;value_HitBar;value_HitWoodwork;value_SmallBoxRight;value_GkHoof;value_SwitchOfPlay;value_AerialFoul;value_Feet;value_Stooping;value_OverhitCross;value_GoesToPenalties;value_Scored;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2670982301;829;1;2;90;34;1zgjjyruyufrkh4xjvryqsb1i;1;55,4;57,8;2024-04-11T21:52:56.509Z;2024-04-11T21:52:58Z;[{'id': 4940978659, 'qualifierId': 213, 'value': '1.14'}, {'id': 4940978655, 'qualifierId': 141, 'value': '88.4'}, {'id': 4940978651, 'qualifierId': 56, 'value': 'Left'}, {'id': 4940978657, 'qualifierId': 212, 'value': '22.9'}, {'id': 4940978653, 'qualifierId': 140, 'value': '64.6'}];5aszabja459117mqykvfpajh0;C. Rojas;;;c42ksaqo5b2tsbffqiqci9btg;Pass;;;;;;;;;;;64,6;22,9;88,4;;1,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;64,6;88,4;;;;;;;;0;90;34;Orlando City B;5434;Sub;1,0
2670982305;830;1;2;90;36;1zgjjyruyufrkh4xjvryqsb1i;1;64,6;88,4;2024-04-11T21:52:58.524Z;2024-04-11T21:53:02Z;[{'id': 4940978681, 'qualifierId': 141, 'value': '69.9'}, {'id': 4940978683, 'qualifierId': 212, 'value': '12.7'}, {'id': 4940978679, 'qualifierId': 140, 'value': '62.8'}, {'id': 4940978677, 'qualifierId': 56, 'value': 'Center'}, {'id': 4940978685, 'qualifierId': 213, 'value': '4.56'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;c42ksaqo5b2tsbffqiqci9btg;Pass;;;;;;;;;;;62,8;12,7;69,9;;4,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;62,8;69,9;;;;;;;;0;90;36;Orlando City B;5436;DC;1,0
2670982303;715;45;2;90;38;479lsfr4cwlzewpbuda3y2xv4;0;35,8;28,0;2024-04-11T21:53:01.219Z;2024-04-11T21:53:03Z;[{'id': 4940978673, 'qualifierId': 56, 'value': 'Back'}, {'id': 4940978697, 'qualifierId': 233, 'value': '831'}, {'id': 4940978675, 'qualifierId': 285}];i5wj5hcg2r9934e7gauxtgmi;I. Almaguer;;;c42ksaqo5b2tsbffqiqci9btg;Challenge;;;;;;;;;;;;;;;;;;;831,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;90;38;Philadelphia Union II;5438;MC;1,0
2670982307;831;3;2;90;38;1zgjjyruyufrkh4xjvryqsb1i;1;64,2;72,0;2024-04-11T21:53:01.219Z;2024-04-16T21:21:33Z;[{'id': 4940978691, 'qualifierId': 286}, {'id': 4940978689, 'qualifierId': 56, 'value': 'Center'}, {'id': 4940978693, 'qualifierId': 233, 'value': '715'}, {'id': 4956908259, 'qualifierId': 465}];7bodno8j3qjiqp9wy8kobwmqc;C. Olney;;;c42ksaqo5b2tsbffqiqci9btg;Take On;;;;;;;;;;;;;;;;;;1,0;715,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;90;38;Orlando City B;5438;ML;1,0
2670982309;716;45;2;90;40;479lsfr4cwlzewpbuda3y2xv4;0;33,4;13,1;2024-04-11T21:53:02.509Z;2024-04-11T21:53:04Z;[{'id': 4940978701, 'qualifierId': 56, 'value': 'Back'}, {'id': 4940978703, 'qualifierId': 285}, {'id': 4940978719, 'qualifierId': 233, 'value': '832'}];25rizu4n91uyax4z6l5jv6dqs;F. Loyola;;;c42ksaqo5b2tsbffqiqci9btg;Challenge;;;;;;;;;;;;;;;;;;;832,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;90;40;Philadelphia Union II;5440;Sub;1,0
2670982311;832;3;2;90;40;1zgjjyruyufrkh4xjvryqsb1i;1;66,6;86,9;2024-04-11T21:53:02.509Z;2024-04-16T21:21:37Z;[{'id': 4956908295, 'qualifierId': 464}, {'id': 4940978709, 'qualifierId': 56, 'value': 'Left'}, {'id': 4940978713, 'qualifierId': 233, 'value': '716'}, {'id': 4940978711, 'qualifierId': 286}];7bodno8j3qjiqp9wy8kobwmqc;C. Olney;;;c42ksaqo5b2tsbffqiqci9btg;Take On;;;;;;;;;;;;;;;;;;1,0;716,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;90;40;Orlando City B;5440;ML;1,0
2670982313;833;1;2;90;40;1zgjjyruyufrkh4xjvryqsb1i;1;59,2;95,6;2024-04-11T21:53:03.132Z;2024-04-11T21:53:05Z;[{'id': 4940978721, 'qualifierId': 56, 'value': 'Back'}, {'id': 4940978723, 'qualifierId': 140, 'value': '46.2'}, {'id': 4940978727, 'qualifierId': 212, 'value': '14.7'}, {'id': 4940978729, 'qualifierId': 213, 'value': '3.52'}, {'id': 4940978725, 'qualifierId': 141, 'value': '87.7'}];7bodno8j3qjiqp9wy8kobwmqc;C. Olney;;;c42ksaqo5b2tsbffqiqci9btg;Pass;;;;;;;;;;;46,2;14,7;87,7;;3,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;46,2;87,7;;;;;;;;0;90;40;Orlando City B;5440;ML;1,0
2670982315;834;1;2;90;42;1zgjjyruyufrkh4xjvryqsb1i;1;46,2;86,0;2024-04-11T21:53:05.189Z;2024-04-11T21:53:09Z;[{'id': 4940978745, 'qualifierId': 140, 'value': '56.1'}, {'id': 4940978751, 'qualifierId': 213, 'value': '5.23'}, {'id': 4940978749, 'qualifierId': 212, 'value': '21.0'}, {'id': 4940978743, 'qualifierId': 56, 'value': 'Center'}, {'id': 4940978747, 'qualifierId': 141, 'value': '59.1'}];5aszabja459117mqykvfpajh0;C. Rojas;;;c42ksaqo5b2tsbffqiqci9btg;Pass;;;;;;;;;;;56,1;21,0;59,1;;5,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;56,1;59,1;;;;;;;;0;90;42;Orlando City B;5442;Sub;1,0
2670982317;835;1;2;90;46;1zgjjyruyufrkh4xjvryqsb1i;0;57,7;54,9;2024-04-11T21:53:09.100Z;2024-04-11T21:53:11Z;[{'id': 4940978767, 'qualifierId': 1}, {'id': 4940978763, 'qualifierId': 212, 'value': '42.3'}, {'id': 4940978757, 'qualifierId': 56, 'value': 'Left'}, {'id': 4940978761, 'qualifierId': 141, 'value': '100.0'}, {'id': 4940978765, 'qualifierId': 213, 'value': '0.86'}, {'id': 4940978759, 'qualifierId': 140, 'value': '84.0'}];81w1fqi66z0ibawynhraybaxg;S. Ngabo;;;c42ksaqo5b2tsbffqiqci9btg;Pass;;;;;;;;;;;84,0;42,3;100,0;;0,86;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;84,0;100,0;;;;;;;;0;90;46;Orlando City B;5446;DMC;1,0
2670982355;717;5;2;90;48;479lsfr4cwlzewpbuda3y2xv4;1;16,6;-1,8;2024-04-11T21:53:11.058Z;2024-04-11T22:05:03Z;[{'id': 4940979019, 'qualifierId': 233, 'value': '836'}, {'id': 4940979015, 'qualifierId': 56, 'value': 'Back'}, {'id': 4940979017, 'qualifierId': 347}];25rizu4n91uyax4z6l5jv6dqs;F. Loyola;;;c42ksaqo5b2tsbffqiqci9btg;Out;;;;;;;;;;;;;;;;;;;836,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;90;48;Philadelphia Union II;5448;Sub;1,0
