id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Captain;value_TeamPlayerFormation;value_JerseyNumber;value_Involved;value_TeamFormation;value_Resume;value_PlayerPosition;value_DirectionOfPlay;value_KickOff;value_Zone;value_PassEndY;value_PassEndX;value_Angle;value_Length;value_Chipped;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_LongBall;value_Offensive;value_BlockedPass;value_OutSwinger;value_Cross;value_RightFooted;value_BlockedCross;value_Left;value_Right;value_CornerTaken;value_Head;value_OutOfPlay;value_Assist;value_High;value_RelatedEventId;value_FromCorner;value_35Centre;value_IndividualPlay;value_GkY;value_GoalmouthZ;value_GkX;value_Assisted;value_GoalmouthY;value_NextEventGoalKick;value_GoalKick;value_Low;value_Defensive;value_Direct;value_Shove/Push;value_Foul;value_VideoCoverageLost;value_DeletedEventType;value_NotVisible;value_IntentionalAssist;value_FastBreak;value_GoalShotTimestamp;value_FirstTouch;value_BoxCentre;value_GkXTimeOfGoal;value_BigChance;value_GoalShotGameClock;value_GkYTimeOfGoal;value_HighLeft;value_FreeKickTaken;value_SetPiece;value_TouchTypePass;value_SwitchOfPlay;value_IntendedTackleTarget;value_TouchTypeControl;value_TouchTypeClearance;value_Blocked;value_BlockedX;value_RegularPlay;value_NotAssisted;value_BlockedY;value_LowLeft;value_OutOfBoxCentre;value_DefBlock;value_SixYardBlocked;value_LowRight;value_SmallBoxRight;value_TakeOnSpace;value_HeadPass;value_FlickOn;value_Launch;value_MediumGkIntervention;value_KeeperThrow;value_FairPlay;value_InjuredPlayerId;value_Injury;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_AttemptedTackle;value_TakeOnOvertake;value_Straight;value_FloatedCross;value_LeftFooted;value_LowCentre;value_Volley;value_Overrun;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_OutOfBoxLeft;value_FreeKick;value_LowGkIntervention;value_Diving;value_Collected;value_Hands;value_PullBack;value_GkKickFromHands;value_InSwinger;value_HighClaim;value_HighGkIntervention;value_LayOff;value_PlayersCaughtOffside;value_Indirect;value_ProfessionalFoulLastMan;value_RedCard;value_Dissent;value_CloseLeft;value_Defensive1V1;value_Minutes;value_EndType;value_Tactical;value_BoxRight;value_ParriedSafe;value_NotPastGoalLine;value_DrivenCross;value_RecklessOffence;value_Handball;value_Penalty;value_PenaltyTakerId;value_DeniedGoalScoringOpp;value_FantasyAssistType;value_HitBar;value_FantasyAssistId;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistTeam;value_FantasyAssistedBy;value_HitWoodwork;value_CausingPlayer;value_Scored;value_OverArm;value_SmallBoxCentre;value_HighRight;value_OutOfBoxRight;value_Standing;value_Stooping;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2719659761;632;1;2;74;20;7pmw399vh2v44cjle4fkklp1w;1;43,2;2,3;2024-09-14T02:41:52.145Z;2024-09-14T02:41:53Z;[{'id': 5207496025, 'qualifierId': 140, 'value': '43.3'}, {'id': 5207496031, 'qualifierId': 213, 'value': '1.55'}, {'id': 5207496027, 'qualifierId': 141, 'value': '9.8'}, {'id': 5207496029, 'qualifierId': 212, 'value': '5.1'}, {'id': 5207496023, 'qualifierId': 56, 'value': 'Back'}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;3w7my3zsf9tiig309c30172s;Pass;;;;;;;;;;;;9,8;43,3;1,55;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;43,3;9,8;;;;;;;;0;74;20;Austin II;4460;DL;1,0
2719659771;633;1;2;74;21;7pmw399vh2v44cjle4fkklp1w;0;43,3;9,8;2024-09-14T02:41:53.474Z;2024-09-14T02:42:04Z;[{'id': 5207496097, 'qualifierId': 140, 'value': '70.6'}, {'id': 5207496093, 'qualifierId': 155}, {'id': 5207496099, 'qualifierId': 141, 'value': '21.0'}, {'id': 5207496103, 'qualifierId': 213, 'value': '0.26'}, {'id': 5207496101, 'qualifierId': 212, 'value': '29.7'}, {'id': 5207496095, 'qualifierId': 56, 'value': 'Right'}];bk0ik8kr1gpu372ibbbv87ndg;J. Burbano;;;3w7my3zsf9tiig309c30172s;Pass;;;;;;;;;;;;21,0;70,6;0,26;29,7;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;70,6;21,0;;;;;;;;0;74;21;Austin II;4461;Sub;1,0
2719659775;587;49;2;74;24;d0c07im4a6oj8qa7f1zlt3pqs;1;29,6;66,6;2024-09-14T02:41:55.845Z;2024-09-14T02:41:56Z;[];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;3w7my3zsf9tiig309c30172s;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;74;24;Houston Dynamo II;4464;DL;1,0
2719659799;588;1;2;74;26;d0c07im4a6oj8qa7f1zlt3pqs;1;29,6;63,5;2024-09-14T02:41:57.572Z;2024-09-14T02:42:01Z;[{'id': 5207496255, 'qualifierId': 213, 'value': '5.26'}, {'id': 5207496251, 'qualifierId': 141, 'value': '17.1'}, {'id': 5207496247, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207496249, 'qualifierId': 140, 'value': '48.1'}, {'id': 5207496253, 'qualifierId': 212, 'value': '37.1'}, {'id': 5207496257, 'qualifierId': 1}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;3w7my3zsf9tiig309c30172s;Pass;;;;;;;;;;;;17,1;48,1;5,26;37,1;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;48,1;17,1;;;;;;;;0;74;26;Houston Dynamo II;4466;DL;1,0
2719659809;589;1;2;74;30;d0c07im4a6oj8qa7f1zlt3pqs;1;55,8;16,9;2024-09-14T02:42:01.828Z;2024-09-14T02:42:03Z;[{'id': 5207496305, 'qualifierId': 140, 'value': '45.6'}, {'id': 5207496311, 'qualifierId': 213, 'value': '2.56'}, {'id': 5207496307, 'qualifierId': 141, 'value': '27.2'}, {'id': 5207496303, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207496309, 'qualifierId': 212, 'value': '12.8'}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;3w7my3zsf9tiig309c30172s;Pass;;;;;;;;;;;;27,2;45,6;2,56;12,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;45,6;27,2;;;;;;;;0;74;30;Houston Dynamo II;4470;DR;1,0
2719659811;590;1;2;74;31;d0c07im4a6oj8qa7f1zlt3pqs;1;45,6;27,2;2024-09-14T02:42:03.268Z;2024-09-14T02:42:04Z;[{'id': 5207496323, 'qualifierId': 213, 'value': '5.26'}, {'id': 5207496315, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207496317, 'qualifierId': 140, 'value': '49.3'}, {'id': 5207496319, 'qualifierId': 141, 'value': '17.9'}, {'id': 5207496321, 'qualifierId': 212, 'value': '7.4'}];ov91zkisppven9tp72gfbjf8;B. Byaruhanga;;;3w7my3zsf9tiig309c30172s;Pass;;;;;;;;;;;;17,9;49,3;5,26;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;49,3;17,9;;;;;;;;0;74;31;Houston Dynamo II;4471;MC;1,0
2719659829;591;1;2;74;32;d0c07im4a6oj8qa7f1zlt3pqs;1;49,3;17,9;2024-09-14T02:42:04.276Z;2024-09-14T02:42:06Z;[{'id': 5207496421, 'qualifierId': 212, 'value': '21.0'}, {'id': 5207496417, 'qualifierId': 140, 'value': '33.8'}, {'id': 5207496419, 'qualifierId': 141, 'value': '37.3'}, {'id': 5207496415, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207496423, 'qualifierId': 213, 'value': '2.46'}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;3w7my3zsf9tiig309c30172s;Pass;;;;;;;;;;;;37,3;33,8;2,46;21,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;33,8;37,3;;;;;;;;0;74;32;Houston Dynamo II;4472;DR;1,0
2719659839;592;1;2;74;34;d0c07im4a6oj8qa7f1zlt3pqs;1;33,8;37,3;2024-09-14T02:42:06.340Z;2024-09-14T02:42:09Z;[{'id': 5207496473, 'qualifierId': 212, 'value': '21.5'}, {'id': 5207496475, 'qualifierId': 213, 'value': '0.98'}, {'id': 5207496469, 'qualifierId': 140, 'value': '45.2'}, {'id': 5207496471, 'qualifierId': 141, 'value': '63.5'}, {'id': 5207496467, 'qualifierId': 56, 'value': 'Back'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;3w7my3zsf9tiig309c30172s;Pass;;;;;;;;;;;;63,5;45,2;0,98;21,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;45,2;63,5;;;;;;;;0;74;34;Houston Dynamo II;4474;DL;1,0
2719659861;593;1;2;74;38;d0c07im4a6oj8qa7f1zlt3pqs;1;45,2;63,5;2024-09-14T02:42:09.668Z;2024-09-14T02:42:12Z;[{'id': 5207496551, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207496555, 'qualifierId': 141, 'value': '68.2'}, {'id': 5207496553, 'qualifierId': 140, 'value': '33.9'}, {'id': 5207496559, 'qualifierId': 213, 'value': '2.88'}, {'id': 5207496557, 'qualifierId': 212, 'value': '12.3'}];2yxzh220ndd4s4wqditruo0h6;A. Ramírez;;;3w7my3zsf9tiig309c30172s;Pass;;;;;;;;;;;;68,2;33,9;2,88;12,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;33,9;68,2;;;;;;;;0;74;38;Houston Dynamo II;4478;MC;1,0
2719659875;594;1;2;74;40;d0c07im4a6oj8qa7f1zlt3pqs;1;33,9;68,2;2024-09-14T02:42:11.924Z;2024-09-14T02:42:13Z;[{'id': 5207496633, 'qualifierId': 141, 'value': '41.6'}, {'id': 5207496629, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207496637, 'qualifierId': 213, 'value': '4.62'}, {'id': 5207496631, 'qualifierId': 140, 'value': '32.3'}, {'id': 5207496635, 'qualifierId': 212, 'value': '18.2'}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;3w7my3zsf9tiig309c30172s;Pass;;;;;;;;;;;;41,6;32,3;4,62;18,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;32,3;41,6;;;;;;;;0;74;40;Houston Dynamo II;4480;DC;1,0
