id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_PlayerPosition;value_Resume;value_JerseyNumber;value_TeamFormation;value_TeamPlayerFormation;value_TeamKit;value_Captain;value_DirectionOfPlay;value_PassEndY;value_Length;value_KickOff;value_Zone;value_PassEndX;value_Angle;value_Chipped;value_LongBall;value_Launch;value_DeletedEventType;value_Defensive;value_OppositeRelatedEventId;value_TakeOnOvertake;value_Offensive;value_TouchTypeControl;value_HeadPass;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_Cross;value_RightFooted;value_OutSwinger;value_PlayersCaughtOffside;value_Indirect;value_TouchTypePass;value_TouchTypeClearance;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_HighGkIntervention;value_KeeperThrow;value_BlockedPass;value_TakeOnSpace;value_SwitchOfPlay;value_ShirtPull/Holding;value_InSwinger;value_Head;value_IntendedTackleTarget;value_Shove/Push;value_NextEventGoalKick;value_Low;value_GoalKick;value_BlockedX;value_Volley;value_FirstTouch;value_NotAssisted;value_Blocked;value_IndividualPlay;value_GoalmouthY;value_RegularPlay;value_GkY;value_GkX;value_BlockedY;value_GoalmouthZ;value_OutOfBoxCentre;value_LowLeft;value_DefBlock;value_FlickOn;value_Assist;value_Left;value_Weak;value_Assisted;value_RelatedEventId;value_MediumGkIntervention;value_OverArm;value_LayOff;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_FollowsADribble;value_HighLeft;value_BoxCentre;value_GoalShotTimestamp;value_GoalShotGameClock;value_LeftFooted;value_Overrun;value_BlockedCross;value_CornerTaken;value_IntentionalAssist;value_FromCorner;value_HighRight;value_Diving;value_Hands;value_Collected;value_HighClaim;value_LowCentre;value_LowGkIntervention;value_ParriedDanger;value_FastBreak;value_High;value_InjuredPlayerId;value_Injury;value_OtherObstacle;value_OtherReason;value_RefereeDelay;value_RefereeStop;value_BallHitsReferee;value_DrivenCross;value_Straight;value_FreeKick;value_ByWall;value_ParriedSafe;value_Right;value_Minutes;value_GkKickFromHands;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_SetPiece;value_CloseLeft;value_BoxLeft;value_YellowCard;value_RecklessOffence;value_NotVisible;value_OverhitCross;value_HitWoodwork;value_HitBar;value_BigChance;value_LastLine;value_NotRetreating;value_FloatedCross;value_AerialFoul;value_Argument;value_Caught;value_GkHoof;value_SmallBoxCentre;value_ThrowInSetPiece;value_Deflection;value_GkChallenge;value_TacticalFoul;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2736806397;319;8;1;37;15;6gaq85erpkvbyxvivd96wuw44;1;61,8;59,9;2024-10-20T19:41:00.153Z;2024-10-25T10:05:22Z;[{'id': 5301096005, 'qualifierId': 56, 'value': 'Center'}, {'id': 5310357551, 'qualifierId': 384}];er0xm9k5zv8kcvcy7bnwp086i;E. Dueñas;;;6szcvve9hfud2vx5b0njzih3o;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;37;15;St. Louis City II;2235;MC;1,0
2736806481;320;81;1;37;15;6gaq85erpkvbyxvivd96wuw44;0;61,8;58,5;2024-10-20T19:41:00.342Z;2024-10-25T10:05:44Z;[{'id': 5301096481, 'qualifierId': 380}];;;;;6szcvve9hfud2vx5b0njzih3o;Obstacle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;37;15;St. Louis City II;2235;;
2736806583;321;27;1;37;16;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-10-20T19:41:01.817Z;2024-10-20T20:18:41Z;[{'id': 5301097023, 'qualifierId': 40}, {'id': 5301097021, 'qualifierId': 201}, {'id': 5301241735, 'qualifierId': 233, 'value': '394'}];;;;;6szcvve9hfud2vx5b0njzih3o;Start delay;;;;;;;;;;;;;;;;;;;;;394,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;37;16;St. Louis City II;2236;;
2736806427;394;27;1;37;16;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-10-20T19:41:01.817Z;2024-10-20T20:18:41Z;[{'id': 5301096675, 'qualifierId': 40}, {'id': 5301241729, 'qualifierId': 233, 'value': '321'}, {'id': 5301096673, 'qualifierId': 200}];;;;;6szcvve9hfud2vx5b0njzih3o;Start delay;;;;;;;;;;;;;;;;;;;;;321,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;37;16;Los Angeles II;2236;;
2736806597;322;28;1;37;18;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-10-20T19:41:03.785Z;2024-10-20T20:18:42Z;[{'id': 5301097117, 'qualifierId': 55, 'value': '321'}, {'id': 5301241761, 'qualifierId': 233, 'value': '395'}];;;;;6szcvve9hfud2vx5b0njzih3o;End delay;;;;;;;;;;;;;;;;;;;;;395,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;321,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;321,0;;0;0;37;18;St. Louis City II;2238;;
2736806455;395;28;1;37;18;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-10-20T19:41:03.785Z;2024-10-20T20:18:42Z;[{'id': 5301096291, 'qualifierId': 55, 'value': '394'}, {'id': 5301241743, 'qualifierId': 233, 'value': '322'}];;;;;6szcvve9hfud2vx5b0njzih3o;End delay;;;;;;;;;;;;;;;;;;;;;322,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;394,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;394,0;;0;0;37;18;Los Angeles II;2238;;
2736806615;323;68;1;37;24;6gaq85erpkvbyxvivd96wuw44;1;63,1;61,5;2024-10-20T19:41:09.503Z;2024-10-25T10:07:55Z;[{'id': 5301099937, 'qualifierId': 354}];;;;;6szcvve9hfud2vx5b0njzih3o;Referee Drop Ball;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;37;24;St. Louis City II;2244;;
2736806557;396;68;1;37;24;dqx48fglv1l96cyrmjdod0xec;0;35,9;35,5;2024-10-20T19:41:09.688Z;2024-10-25T10:07:54Z;[{'id': 5301096987, 'qualifierId': 354}];;;;;6szcvve9hfud2vx5b0njzih3o;Referee Drop Ball;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;37;24;Los Angeles II;2244;;
2738478313;767;49;1;37;26;6gaq85erpkvbyxvivd96wuw44;1;58,8;68,6;2024-10-20T19:41:11.237Z;2024-10-25T10:07:20Z;[];d1w4zs63sx3cc7wnc8wshbfv8;D. Guerra;;;6szcvve9hfud2vx5b0njzih3o;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;37;26;St. Louis City II;2246;MC;1,0
2738478347;768;1;1;37;27;6gaq85erpkvbyxvivd96wuw44;1;58,8;68,6;2024-10-20T19:41:11.987Z;2024-10-25T10:07:36Z;[{'id': 5310359217, 'qualifierId': 140, 'value': '56.8'}, {'id': 5310359219, 'qualifierId': 141, 'value': '55.9'}, {'id': 5310359215, 'qualifierId': 56, 'value': 'Center'}, {'id': 5310359223, 'qualifierId': 213, 'value': '4.47'}, {'id': 5310359221, 'qualifierId': 212, 'value': '8.9'}];d1w4zs63sx3cc7wnc8wshbfv8;D. Guerra;;;6szcvve9hfud2vx5b0njzih3o;Pass;;;;;;;;;;55,9;8,9;;;56,8;4,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;56,8;55,9;;;;;;;0;0;37;27;St. Louis City II;2247;MC;1,0
