id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamPlayerFormation;value_Resume;value_TeamKit;value_Involved;value_PlayerPosition;value_Captain;value_JerseyNumber;value_DirectionOfPlay;value_Angle;value_Length;value_Zone;value_PassEndX;value_PassEndY;value_KickOff;value_TouchTypePass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_DeletedEventType;value_LongBall;value_Launch;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeClearance;value_Direct;value_Shove/Push;value_Foul;value_Assist;value_FreeKickTaken;value_Chipped;value_GkX;value_IndividualPlay;value_OutOfBoxCentre;value_GoalmouthZ;value_LeftFooted;value_High;value_GoalmouthY;value_RegularPlay;value_GkY;value_Assisted;value_RelatedEventId;value_NextEventGoalKick;value_GoalKick;value_Low;value_LowGkIntervention;value_KeeperThrow;value_MediumGkIntervention;value_TakeOnSpace;value_IntendedTackleTarget;value_LayOff;value_RightFooted;value_OutSwinger;value_Cross;value_HighGkIntervention;value_HighClaim;value_OverArm;value_AttemptedTackle;value_ShirtPull/Holding;value_SwitchOfPlay;value_IntentionalAssist;value_LowRight;value_BlockedY;value_BlockedX;value_FirstTouch;value_Blocked;value_DefBlock;value_OverhitCross;value_Head;value_NotAssisted;value_BoxLeft;value_Volley;value_BlockedPass;value_TouchTypeControl;value_TakeOnOvertake;value_OutOfPlay;value_FreeKick;value_PlayersCaughtOffside;value_Indirect;value_LeadingToAttempt;value_CloseLeftAndHigh;value_RelatedError1Id;value_Left;value_InSwinger;value_CornerTaken;value_FromCorner;value_Right;value_FlickOn;value_BoxRight;value_LowCentre;value_ParriedSafe;value_Standing;value_Hands;value_NotVisible;value_BoxCentre;value_LastLine;value_HighLeft;value_PullBack;value_PenaltyTakerId;value_Penalty;value_DeniedGoalScoringOpp;value_YellowCard;value_Diving;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_BigChance;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_CausingPlayer;value_FantasyAssistedBy;value_GoalShotGameClock;value_GkYTimeOfGoal;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistTeam;value_Minutes;value_HighRight;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Overrun;value_ByWall;value_TacticalFoul;value_SetPiece;value_Handball;value_AerialFoul;value_InjuredPlayerId;value_Injury;value_CloseLeft;value_MisHit;value_NotPastGoalLine;value_SmallBoxLeft;value_Weak;value_SixYardBlocked;value_BlockedCross;value_BoxDeepRight;value_GkKickFromHands;value_BlockedClearance;value_SmallBoxRight;value_HitWoodwork;value_Strong;value_HitBar;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2680138375;3;49;1;0;11;8o8m08he36u0j4w08aj2iodn8;1;72,3;27,2;2024-04-28T18:03:32.260Z;2024-04-28T18:57:00Z;[];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;cfrv7n9gcxqckcsbrexoup8no;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;11;Atlanta United II;11;AMC;1,0
2680138403;4;44;1;0;11;8o8m08he36u0j4w08aj2iodn8;1;66,2;27,8;2024-04-28T18:03:32.406Z;2024-04-28T18:56:59Z;[{'id': 4990398405, 'qualifierId': 286}, {'id': 4990555605, 'qualifierId': 233, 'value': '394'}, {'id': 4990398403, 'qualifierId': 56, 'value': 'Center'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;cfrv7n9gcxqckcsbrexoup8no;Aerial;;;;;;;;;;;;;;;;;1,0;394,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;11;Atlanta United II;11;AMC;1,0
2680166931;394;44;1;0;12;erwnez7ksfkns4dqmyr1fhbe;0;33,8;72,2;2024-04-28T18:03:32.407Z;2024-04-28T18:59:07Z;[{'id': 4990555657, 'qualifierId': 233, 'value': '4'}, {'id': 4990554543, 'qualifierId': 285}, {'id': 4990554541, 'qualifierId': 56, 'value': 'Back'}];216tgeofjnxr75ehcftkvxkpg;A. Torres;;;cfrv7n9gcxqckcsbrexoup8no;Aerial;;;;;;;;;;;;;;;;;;4,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;12;Chicago Fire II;12;MC;1,0
2680138419;5;1;1;0;12;8o8m08he36u0j4w08aj2iodn8;1;72,3;27,2;2024-04-28T18:03:32.485Z;2024-04-30T11:54:39Z;[{'id': 4990398519, 'qualifierId': 141, 'value': '35.6'}, {'id': 4990398513, 'qualifierId': 3}, {'id': 4990398517, 'qualifierId': 140, 'value': '69.4'}, {'id': 4990398521, 'qualifierId': 212, 'value': '6.5'}, {'id': 4990398523, 'qualifierId': 213, 'value': '2.06'}, {'id': 4990398515, 'qualifierId': 56, 'value': 'Center'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;cfrv7n9gcxqckcsbrexoup8no;Pass;;;;;;;;;;2,06;6,5;;69,4;35,6;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;69,4;35,6;;;;;;;;0;0;12;Atlanta United II;12;AMC;1,0
2680138439;6;1;1;0;14;8o8m08he36u0j4w08aj2iodn8;1;69,3;36,6;2024-04-28T18:03:35.037Z;2024-04-28T18:56:58Z;[{'id': 4990398615, 'qualifierId': 140, 'value': '74.3'}, {'id': 4990398617, 'qualifierId': 141, 'value': '53.9'}, {'id': 4990398621, 'qualifierId': 213, 'value': '1.15'}, {'id': 4990398613, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990398619, 'qualifierId': 212, 'value': '12.9'}];2buy6q56o0ixo30fatz7ps9w4;J. Zapata;;;cfrv7n9gcxqckcsbrexoup8no;Pass;;;;;;;;;;1,15;12,9;;74,3;53,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;74,3;53,9;;;;;;;;0;0;14;Atlanta United II;14;DMC;1,0
2680138447;7;1;1;0;16;8o8m08he36u0j4w08aj2iodn8;0;74,3;54,0;2024-04-28T18:03:36.637Z;2024-04-28T18:56:56Z;[{'id': 4990398655, 'qualifierId': 213, 'value': '5.42'}, {'id': 4990398645, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990398651, 'qualifierId': 141, 'value': '49.1'}, {'id': 4990398653, 'qualifierId': 212, 'value': '4.4'}, {'id': 4990398649, 'qualifierId': 140, 'value': '77.0'}];afdz1ibldn2vc8gtezyw8tqay;H. Osorio;;;cfrv7n9gcxqckcsbrexoup8no;Pass;;;;;;;;;;5,42;4,4;;77,0;49,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;77,0;49,1;;;;;;;;0;0;16;Atlanta United II;16;DMC;1,0
2680138473;8;43;1;0;17;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-04-28T18:03:38.288Z;2024-04-28T18:51:24Z;[{'id': 4990398767, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990556859, 'qualifierId': 144, 'value': '8'}];6ahu72g0u39bxbjiz7ggefai1;N. Okello;;;cfrv7n9gcxqckcsbrexoup8no;Deleted event;;;;;;;;;;;;;;;;;;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;17;Chicago Fire II;17;MC;1,0
2680167311;395;1;1;0;18;erwnez7ksfkns4dqmyr1fhbe;1;28,4;63,6;2024-04-28T18:03:38.407Z;2024-04-28T18:51:21Z;[{'id': 4990556693, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990556699, 'qualifierId': 212, 'value': '13.2'}, {'id': 4990556695, 'qualifierId': 140, 'value': '29.1'}, {'id': 4990556697, 'qualifierId': 141, 'value': '44.2'}, {'id': 4990556701, 'qualifierId': 213, 'value': '4.77'}];216tgeofjnxr75ehcftkvxkpg;A. Torres;;;cfrv7n9gcxqckcsbrexoup8no;Pass;;;;;;;;;;4,77;13,2;;29,1;44,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;29,1;44,2;;;;;;;;0;0;18;Chicago Fire II;18;MC;1,0
2680138487;9;49;1;0;19;erwnez7ksfkns4dqmyr1fhbe;1;29,3;44,5;2024-04-28T18:03:39.759Z;2024-04-28T18:03:39Z;[];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;;cfrv7n9gcxqckcsbrexoup8no;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;19;Chicago Fire II;19;MC;1,0
2680138529;10;1;1;0;19;erwnez7ksfkns4dqmyr1fhbe;0;28,3;44,0;2024-04-28T18:03:40.127Z;2024-04-28T18:03:42Z;[{'id': 4990399025, 'qualifierId': 1}, {'id': 4990399013, 'qualifierId': 157}, {'id': 4990399019, 'qualifierId': 141, 'value': '0.0'}, {'id': 4990399017, 'qualifierId': 140, 'value': '55.2'}, {'id': 4990399021, 'qualifierId': 212, 'value': '42.0'}, {'id': 4990399015, 'qualifierId': 56, 'value': 'Right'}, {'id': 4990399023, 'qualifierId': 213, 'value': '5.45'}];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;;cfrv7n9gcxqckcsbrexoup8no;Pass;;;;;;;;;;5,45;42,0;;55,2;0,0;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;55,2;0,0;;;;;;;;0;0;19;Chicago Fire II;19;MC;1,0
