id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Involved;value_Captain;value_Resume;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_PlayerPosition;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndY;value_Zone;value_KickOff;value_Length;value_PassEndX;value_Angle;value_Chipped;value_LongBall;value_Cross;value_RightFooted;value_OutSwinger;value_Assist;value_IntentionalAssist;value_GkX;value_FirstTouch;value_BlockedY;value_GkY;value_Blocked;value_RegularPlay;value_BoxCentre;value_Assisted;value_LowLeft;value_BlockedX;value_GoalmouthZ;value_GoalmouthY;value_OppositeRelatedEventId;value_RelatedEventId;value_LeftFooted;value_DefBlock;value_IndividualPlay;value_OutOfBoxCentre;value_SwerveLeft;value_LowRight;value_Diving;value_MediumGkIntervention;value_Caught;value_Hands;value_KeeperThrow;value_NotVisible;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_LayOff;value_DeletedEventType;value_CloseRight;value_NextEventGoalKick;value_GoalKick;value_Low;value_Launch;value_Defensive;value_TakeOnSpace;value_Defensive1V1;value_Foul;value_Direct;value_AttemptedTackle;value_Offensive;value_FreeKickTaken;value_BlockedPass;value_InSwinger;value_TouchTypePass;value_TouchTypeClearance;value_TakeOnOvertake;value_SwitchOfPlay;value_BigChance;value_SixYardBlocked;value_Head;value_HeadPass;value_LowCentre;value_LowGkIntervention;value_ShirtPull/Holding;value_ThroughBall;value_OutOfPlay;value_RecklessOffence;value_YellowCard;value_HighGkIntervention;value_GkKickFromHands;value_Shove/Push;value_TouchTypeControl;value_Strong;value_CloseLeft;value_LastLine;value_Left;value_CornerTaken;value_Right;value_BlockedCross;value_HighRight;value_FlickOn;value_BoxLeft;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Overrun;value_FloatedCross;value_Straight;value_Volley;value_SmallBoxLeft;value_High;value_TacticalFoul;value_Unchallenged;value_Minutes;value_EndType;value_FromCorner;value_HighLeft;value_Dissent;value_OverhitCross;value_Injury;value_InjuredPlayerId;value_LeadingToAttempt;value_NotAssisted;value_RelatedError1Id;value_Collected;value_OverArm;value_IncorrectOutOfPlayDecision;value_Handball;value_Indirect;value_HighClaim;value_ParriedSafe;value_Penalty;value_PenaltyTakerId;value_Scored;value_GoalShotTimestamp;value_CausingPlayer;value_GoalShotGameClock;value_GkXTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_GkYTimeOfGoal;value_SecondYellow;value_Sliding;value_ParriedDanger;value_LeadingToGoal;value_BoxRight;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2676708575;501;3;2;59;37;iiolvosiuokkrl5iuoxcjo4p;1;61,9;66,0;2024-04-21T21:50:54.846Z;2024-04-26T14:31:45Z;[{'id': 4980206581, 'qualifierId': 465}, {'id': 4971854345, 'qualifierId': 56, 'value': 'Center'}, {'id': 4971854373, 'qualifierId': 233, 'value': '553'}, {'id': 4971854347, 'qualifierId': 286}];8p3y7tm4lzwp39tojonnohaay;N. Jones;;cccanrqwn5rgfeyw06cqf3f2s;Take On;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;553,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;59;37;North Texas;3577;DC;1,0
2676708395;553;45;2;59;37;99l7fsj6ykgbyqcb9zqqu9dgq;0;38,1;34,0;2024-04-21T21:50:54.846Z;2024-04-21T22:34:07Z;[{'id': 4971853311, 'qualifierId': 285}, {'id': 4971853309, 'qualifierId': 56, 'value': 'Back'}, {'id': 4971854379, 'qualifierId': 233, 'value': '501'}];32c9e26wcnr5kmab8ep4zph5g;D. García;;cccanrqwn5rgfeyw06cqf3f2s;Challenge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;501,0;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;;0;59;37;Colorado Rapids II;3577;;1,0
2676708407;497;1;2;59;38;iiolvosiuokkrl5iuoxcjo4p;1;51,9;62,6;2024-04-21T21:50:55.684Z;2024-04-21T21:50:57Z;[{'id': 4971853347, 'qualifierId': 213, 'value': '4.21'}, {'id': 4971853341, 'qualifierId': 140, 'value': '49.6'}, {'id': 4971853339, 'qualifierId': 56, 'value': 'Back'}, {'id': 4971853343, 'qualifierId': 141, 'value': '56.1'}, {'id': 4971853345, 'qualifierId': 212, 'value': '5.0'}];8p3y7tm4lzwp39tojonnohaay;N. Jones;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;56,1;;;5,0;49,6;4,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;49,6;56,1;;;;;;;;0;59;38;North Texas;3578;DC;1,0
2676708419;498;1;2;59;39;iiolvosiuokkrl5iuoxcjo4p;1;46,9;59,9;2024-04-21T21:50:56.996Z;2024-04-21T21:50:58Z;[{'id': 4971853397, 'qualifierId': 56, 'value': 'Left'}, {'id': 4971853405, 'qualifierId': 213, 'value': '0.90'}, {'id': 4971853403, 'qualifierId': 212, 'value': '19.4'}, {'id': 4971853401, 'qualifierId': 141, 'value': '82.3'}, {'id': 4971853399, 'qualifierId': 140, 'value': '58.3'}];f1oc42nax0yel4gblge49py7e;D. Amadou;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;82,3;;;19,4;58,3;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;58,3;82,3;;;;;;;;0;59;39;North Texas;3579;Sub;1,0
2676708465;499;1;2;59;41;iiolvosiuokkrl5iuoxcjo4p;1;57,4;81,5;2024-04-21T21:50:58.772Z;2024-04-21T21:51:07Z;[{'id': 4971853727, 'qualifierId': 140, 'value': '77.1'}, {'id': 4971853733, 'qualifierId': 213, 'value': '6.24'}, {'id': 4971853731, 'qualifierId': 212, 'value': '20.7'}, {'id': 4971853725, 'qualifierId': 56, 'value': 'Left'}, {'id': 4971853729, 'qualifierId': 141, 'value': '80.3'}];7gh46rkxaa7trgtp8lf1l591w;F. Núñez;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;80,3;;;20,7;77,1;6,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;77,1;80,3;;;;;;;;0;59;41;North Texas;3581;AML;1,0
2676708473;500;1;2;59;49;iiolvosiuokkrl5iuoxcjo4p;0;93,9;82,6;2024-04-21T21:51:06.885Z;2024-04-26T14:32:06Z;[{'id': 4971853773, 'qualifierId': 212, 'value': '17.7'}, {'id': 4971853767, 'qualifierId': 56, 'value': 'Center'}, {'id': 4971853775, 'qualifierId': 213, 'value': '4.88'}, {'id': 4971853769, 'qualifierId': 140, 'value': '96.8'}, {'id': 4971853765, 'qualifierId': 155}, {'id': 4971853771, 'qualifierId': 141, 'value': '56.9'}, {'id': 4971853763, 'qualifierId': 2}, {'id': 4980206645, 'qualifierId': 224}, {'id': 4980206647, 'qualifierId': 72}];ew8oodr9hiuqve7xlz24xznfu;M. Vargas;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;56,9;;;17,7;96,8;4,88;1,0;;1,0;;1,0;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;96,8;56,9;;;;;;;;0;59;49;North Texas;3589;AMC;1,0
2676708477;554;52;2;59;51;99l7fsj6ykgbyqcb9zqqu9dgq;1;3,7;49,2;2024-04-21T21:51:08.918Z;2024-04-26T14:32:08Z;[{'id': 4980206651, 'qualifierId': 378}];6agfr3usj1pblrbq2i9mdpmcq;M. Collodi;;cccanrqwn5rgfeyw06cqf3f2s;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;;0;59;51;Colorado Rapids II;3591;;1,0
2676708599;555;1;2;60;3;99l7fsj6ykgbyqcb9zqqu9dgq;1;14,2;51,7;2024-04-21T21:51:21.206Z;2024-04-21T21:51:23Z;[{'id': 4971854507, 'qualifierId': 212, 'value': '22.3'}, {'id': 4971854501, 'qualifierId': 56, 'value': 'Back'}, {'id': 4971854505, 'qualifierId': 141, 'value': '82.8'}, {'id': 4971854509, 'qualifierId': 213, 'value': '1.25'}, {'id': 4971854503, 'qualifierId': 140, 'value': '20.8'}, {'id': 4971854499, 'qualifierId': 123}];6agfr3usj1pblrbq2i9mdpmcq;M. Collodi;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;82,8;;;22,3;20,8;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;20,8;82,8;;;;;;;;0;60;3;Colorado Rapids II;3603;;1,0
2676708613;556;1;2;60;6;99l7fsj6ykgbyqcb9zqqu9dgq;1;20,8;82,8;2024-04-21T21:51:23.366Z;2024-04-21T21:51:24Z;[{'id': 4971854589, 'qualifierId': 141, 'value': '90.1'}, {'id': 4971854585, 'qualifierId': 140, 'value': '26.9'}, {'id': 4971854581, 'qualifierId': 56, 'value': 'Back'}, {'id': 4971854593, 'qualifierId': 213, 'value': '0.66'}, {'id': 4971854591, 'qualifierId': 212, 'value': '8.1'}];e7vsajjh4e7t51ciycjg0skd0;T. Humphrey;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;90,1;;;8,1;26,9;0,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;26,9;90,1;;;;;;;;0;60;6;Colorado Rapids II;3606;;1,0
2676708619;557;1;2;60;7;99l7fsj6ykgbyqcb9zqqu9dgq;1;26,9;90,1;2024-04-21T21:51:24.470Z;2024-04-21T21:51:25Z;[{'id': 4971854627, 'qualifierId': 213, 'value': '3.72'}, {'id': 4971854623, 'qualifierId': 141, 'value': '84.7'}, {'id': 4971854625, 'qualifierId': 212, 'value': '6.7'}, {'id': 4971854615, 'qualifierId': 56, 'value': 'Back'}, {'id': 4971854619, 'qualifierId': 140, 'value': '21.6'}];939wjlo1zcnhfu6jy2px0zmui;I. Parker;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;84,7;;;6,7;21,6;3,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;21,6;84,7;;;;;;;;0;60;7;Colorado Rapids II;3607;;1,0
