id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Involved;value_TeamFormation;value_TeamPlayerFormation;value_Resume;value_TeamKit;value_PlayerPosition;value_Captain;value_DirectionOfPlay;value_Angle;value_Zone;value_KickOff;value_PassEndX;value_Length;value_PassEndY;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_OutOfPlay;value_IntendedTackleTarget;value_BlockedPass;value_Chipped;value_Foul;value_ShirtPull/Holding;value_Direct;value_FreeKickTaken;value_Cross;value_Head;value_Left;value_CornerTaken;value_InSwinger;value_BlockedX;value_GoalmouthY;value_NotAssisted;value_BlockedY;value_IndividualPlay;value_GoalmouthZ;value_Volley;value_GkY;value_NotPastGoalLine;value_Right;value_LeftFooted;value_GkX;value_FirstTouch;value_FromCorner;value_OutOfBoxCentre;value_IntentionalAssist;value_Assist;value_BigChance;value_SmallBoxCentre;value_RelatedEventId;value_RightFooted;value_LowCentre;value_Assisted;value_Diving;value_Hands;value_ParriedDanger;value_BoxCentre;value_NextEventGoalKick;value_Low;value_GoalKick;value_AttemptedTackle;value_RegularPlay;value_GoalShotTimestamp;value_GoalShotGameClock;value_LowLeft;value_PlayersCaughtOffside;value_Indirect;value_35Centre;value_High;value_FastBreak;value_FlickOn;value_OutSwinger;value_DeletedEventType;value_Shove/Push;value_Blocked;value_OwnPlayer;value_OwnShotBlocked;value_YellowCard;value_TimeWasting;value_LayOff;value_Overrun;value_BlockedCross;value_OutOnSideline;value_MisHit;value_Stooping;value_Collected;value_KeeperThrow;value_Injury;value_InjuredPlayerId;value_DrinksBreak;value_RefereeDelay;value_LowRight;value_BoxRight;value_KeeperTouched;value_SwitchOfPlay;value_SmallBoxRight;value_SixYardBlocked;value_DefBlock;value_CloseLeft;value_NotVisible;value_TacticalFoul;value_OverArm;value_Minutes;value_EndType;value_HighClaim;value_OverhitCross;value_BoxLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_SetPiece;value_CloseRight;value_HighRight;value_Dissent;value_Deflection;value_GkKickFromHands;value_OtherObstacle;value_OtherReason;value_BallHitsReferee;value_HighCentre;value_Handball;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2705300513;113;1;1;10;4;8ijkk62897so5r3bq0wgwx4bu;1;34,3;41,2;2024-08-02T23:13:45.046Z;2024-08-02T23:13:46Z;[{'id': 5128416957, 'qualifierId': 212, 'value': '16.7'}, {'id': 5128416951, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128416959, 'qualifierId': 213, 'value': '4.87'}, {'id': 5128416955, 'qualifierId': 141, 'value': '17.0'}, {'id': 5128416953, 'qualifierId': 140, 'value': '36.8'}];ckqdb14rd2i1scytlygbsncb8;J. Magaña;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;4,87;;;36,8;16,7;17,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;36,8;17,0;;;;;;;0;0;10;4;St. Louis City II;604;DL;1,0
2705300515;114;1;1;10;6;8ijkk62897so5r3bq0wgwx4bu;0;37,5;14,1;2024-08-02T23:13:46.728Z;2024-08-02T23:13:47Z;[{'id': 5128416969, 'qualifierId': 141, 'value': '6.7'}, {'id': 5128416967, 'qualifierId': 140, 'value': '45.9'}, {'id': 5128416971, 'qualifierId': 212, 'value': '10.2'}, {'id': 5128416965, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128416973, 'qualifierId': 213, 'value': '5.76'}];2eoftsi3eznjjmhu8ybft11ck;N. Schelotto;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;5,76;;;45,9;10,2;6,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;45,9;6,7;;;;;;;0;0;10;6;St. Louis City II;606;MC;1,0
2705300517;79;8;1;10;7;dqx48fglv1l96cyrmjdod0xec;1;56,2;89,4;2024-08-02T23:13:47.747Z;2024-08-02T23:13:47Z;[{'id': 5128416975, 'qualifierId': 56, 'value': 'Left'}];4ecgnoxeou0m46yw8hwisbrx0;A. Markanich;;;edm27r7argpa5747hbmsd7rx0;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;10;7;Ventura County;607;DC;1,0
2705300521;115;1;1;10;8;8ijkk62897so5r3bq0wgwx4bu;0;41,3;10,6;2024-08-02T23:13:48.710Z;2024-08-02T23:13:49Z;[{'id': 5128416993, 'qualifierId': 141, 'value': '22.0'}, {'id': 5128416991, 'qualifierId': 140, 'value': '61.3'}, {'id': 5128416997, 'qualifierId': 213, 'value': '0.35'}, {'id': 5128416995, 'qualifierId': 212, 'value': '22.4'}, {'id': 5128416989, 'qualifierId': 56, 'value': 'Center'}];2eoftsi3eznjjmhu8ybft11ck;N. Schelotto;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;0,35;;;61,3;22,4;22,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;61,3;22,0;;;;;;;0;0;10;8;St. Louis City II;608;MC;1,0
2705300531;80;1;1;10;9;dqx48fglv1l96cyrmjdod0xec;1;40,7;80,3;2024-08-02T23:13:50.164Z;2024-08-02T23:13:52Z;[{'id': 5128417021, 'qualifierId': 157}, {'id': 5128417029, 'qualifierId': 212, 'value': '30.9'}, {'id': 5128417027, 'qualifierId': 141, 'value': '68.2'}, {'id': 5128417025, 'qualifierId': 140, 'value': '69.1'}, {'id': 5128417033, 'qualifierId': 1}, {'id': 5128417023, 'qualifierId': 56, 'value': 'Center'}, {'id': 5128417031, 'qualifierId': 213, 'value': '6.01'}];276kl5oc1k19y1linbxml0xec;Ó. Benítez;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;6,01;;;69,1;30,9;68,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;69,1;68,2;;;;;;;0;0;10;9;Ventura County;609;DC;1,0
2705300533;81;49;1;10;11;dqx48fglv1l96cyrmjdod0xec;1;67,4;69,1;2024-08-02T23:13:52.324Z;2024-08-02T23:13:52Z;[];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;edm27r7argpa5747hbmsd7rx0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;10;11;Ventura County;611;FW;1,0
2705300537;82;1;1;10;12;dqx48fglv1l96cyrmjdod0xec;0;67,1;68,5;2024-08-02T23:13:52.772Z;2024-08-02T23:13:54Z;[{'id': 5128417065, 'qualifierId': 213, 'value': '6.25'}, {'id': 5128417061, 'qualifierId': 141, 'value': '67.8'}, {'id': 5128417059, 'qualifierId': 140, 'value': '82.0'}, {'id': 5128417057, 'qualifierId': 56, 'value': 'Center'}, {'id': 5128417063, 'qualifierId': 212, 'value': '15.7'}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;6,25;;;82,0;15,7;67,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;82,0;67,8;;;;;;;0;0;10;12;Ventura County;612;FW;1,0
2705300539;116;8;1;10;14;8ijkk62897so5r3bq0wgwx4bu;1;18,9;27,8;2024-08-02T23:13:54.774Z;2024-08-02T23:13:54Z;[{'id': 5128417075, 'qualifierId': 56, 'value': 'Back'}];ckqdb14rd2i1scytlygbsncb8;J. Magaña;;;edm27r7argpa5747hbmsd7rx0;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;10;14;St. Louis City II;614;DL;1,0
2705300553;83;5;1;10;15;dqx48fglv1l96cyrmjdod0xec;1;85,2;100,5;2024-08-02T23:13:56.326Z;2024-08-02T23:34:23Z;[{'id': 5128417151, 'qualifierId': 233, 'value': '117'}, {'id': 5128417147, 'qualifierId': 56, 'value': 'Left'}, {'id': 5128417149, 'qualifierId': 347}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;edm27r7argpa5747hbmsd7rx0;Out;;;;;;;;;;;;;;;;;;;117,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;10;15;Ventura County;615;FW;1,0
2705300541;117;5;1;10;15;8ijkk62897so5r3bq0wgwx4bu;0;14,8;-0,5;2024-08-02T23:13:56.326Z;2024-08-02T23:13:59Z;[{'id': 5128417157, 'qualifierId': 233, 'value': '83'}, {'id': 5128417079, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128417081, 'qualifierId': 347}];ckqdb14rd2i1scytlygbsncb8;J. Magaña;;;edm27r7argpa5747hbmsd7rx0;Out;;;;;;;;;;;;;;;;;;;83,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;10;15;St. Louis City II;615;DL;1,0
