id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_JerseyNumber;value_TeamKit;value_TeamFormation;value_TeamPlayerFormation;value_Resume;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_Angle;value_KickOff;value_Zone;value_PassEndY;value_PassEndX;value_Length;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_TouchTypePass;value_Offensive;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_TakeOnSpace;value_BlockedPass;value_TouchTypeControl;value_OutOfPlay;value_LayOff;value_Assist;value_IndividualPlay;value_HighRight;value_RegularPlay;value_Assisted;value_OutOfBoxCentre;value_GoalmouthZ;value_GkY;value_GoalmouthY;value_RightFooted;value_RelatedEventId;value_GkX;value_NextEventGoalKick;value_NotVisible;value_Low;value_GoalKick;value_Defensive1V1;value_TakeOnOvertake;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_IntendedTackleTarget;value_DeletedEventType;value_FlickOn;value_Chipped;value_SwitchOfPlay;value_HeadPass;value_Shove/Push;value_Injury;value_InjuredPlayerId;value_ShirtPull/Holding;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_CaptainChange;value_OutSwinger;value_Cross;value_InSwinger;value_LeftFooted;value_Head;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_AerialFoul;value_LowGkIntervention;value_IntentionalAssist;value_GoalShotTimestamp;value_FirstTouch;value_GkXTimeOfGoal;value_GoalShotGameClock;value_LowRight;value_GkYTimeOfGoal;value_BigChance;value_SmallBoxRight;value_Left;value_CornerTaken;value_Blocked;value_BlockedY;value_BoxCentre;value_FromCorner;value_LowCentre;value_BlockedX;value_DefBlock;value_Right;value_NotPastGoalLine;value_35Centre;value_FastBreak;value_ThroughBall;value_MediumGkIntervention;value_NotAssisted;value_Deflection;value_SwerveRight;value_Standing;value_Collected;value_Hands;value_BoxRight;value_Feet;value_Stooping;value_ParriedSafe;value_BoxLeft;value_LowLeft;value_Diving;value_ParriedDanger;value_Fumble;value_OverArm;value_PlayersCaughtOffside;value_Indirect;value_Minutes;value_PullBack;value_Overrun;value_SeriousFoul;value_RedCard;value_CoachId;value_YellowCard;value_Dissent;value_EndType;value_Tactical;value_HighLeft;value_CloseRightAndHigh;value_TimeWasting;value_RecklessOffence;value_TacticalFoul;value_BlockedCross;value_SmallBoxCentre;value_CloseHigh;value_SmallBoxLeft;value_Unchallenged;value_OtherObstacle;value_High;value_Volley;value_Straight;value_FloatedCross;value_GoesToPenalties;value_Penalty;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_KeeperTouched;value_Saved;value_OtherReason;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2668691957;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-04-06T20:03:24.436Z;2024-04-06T22:37:09Z;[{'id': 4929189439, 'qualifierId': 194, 'value': '5n1wehugx0qtun8oopg2jbndg'}, {'id': 4928680169, 'qualifierId': 59, 'value': '31, 33, 78, 60, 63, 77, 50, 38, 52, 99, 20, 75, 54, 66, 68, 71, 72'}, {'id': 4928929775, 'qualifierId': 197, 'value': '15999'}, {'id': 4928680171, 'qualifierId': 130, 'value': '8'}, {'id': 4928680173, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 4928680175, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4928680167, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5'}, {'id': 4928680165, 'qualifierId': 30, 'value': '4q6jdo2wts37hdajbh8b8xcoa, 3etb72wtwcrim97dyp9g2px5g, f2nxaemhqi8kbtbejnqekgd4a, 1bmbt6h6bsiimpzxt07cqwfvu, 35jkg2v338kipzlf0iwvvypuy, 79z5vt08ga8prn33vi2a260kq, dwyatw1wz3nrh1fcwu27ie8ve, 1on6mxrbdqnh12s4h1y0vb3mc, cac9hjmdwt1gsz0qt3f6d4b2s, 5n1wehugx0qtun8oopg2jbndg, au9595t3oo0zbzexhr01ts0h6, 49ag6csupgt40gbs2snq1xs7o, bpfl7nj8llr3dfadhtju52rro, dqa88ma3jbk33lsyzo45uy2cq, 4ozih7wnybdxb1wgvd5fkjp5g, 7jtxek694d60c5udhyv0zsjro, 3q8dpwqkikbugz3ikwcmkbg4q'}];;;;;c0ar4065o7ftmt04olzs3byfo;Team set up;;;15999,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;0;0;North Texas;0;;
2668695869;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-04-06T20:09:01.046Z;2024-04-06T21:20:11Z;[{'id': 4928703539, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, 1j010cibh247p8kjchww6ny3u, 3risld5mac5ns2rrv6namc2l0, 32c9e26wcnr5kmab8ep4zph5g, 9nl0k91lrjonu0z2irbs01oiy, e7vsajjh4e7t51ciycjg0skd0, f3bqitwkt3mitemcjd61hi044, 14sld3djevxpcce9co1aqxn9w, 1iedtrzbcgj817i0ccin8dvro, fgue58g7u6f2c53ggb0r2oa2, 8vnnownnzz2ksuuitbw3ax5yi, auomns9j08ffqknhs9007ju38, b84ll9fqlnmone6cub8hfcx78, 741wavjzdmc04j4i8a3chq9zo, 939wjlo1zcnhfu6jy2px0zmui, 1cpxmai9x2oetxh7ikgiola1g, 8g1piun8acm9udttt1795qnhm, da3mzb093sxf8i2xznedau8t0, 9ijn337qvh3y0mhmxow5sawdm, 1nmuxjk7v0zveke755wpki5uc'}, {'id': 4928703543, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4928703555, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4928703557, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4928703547, 'qualifierId': 59, 'value': '30, 5, 7, 50, 24, 4, 8, 32, 16, 36, 51, 2, 9, 14, 15, 20, 21, 22, 40, 55'}, {'id': 4928703551, 'qualifierId': 130, 'value': '4'}, {'id': 4928983741, 'qualifierId': 194, 'value': '1j010cibh247p8kjchww6ny3u'}, {'id': 4928929893, 'qualifierId': 197, 'value': '23314'}];;;;;c0ar4065o7ftmt04olzs3byfo;Team set up;;;23314,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;;0;0;0;The Town;0;;
2668735735;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-04-06T21:04:10.713Z;2024-04-09T06:49:51Z;[{'id': 4928930049, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;c0ar4065o7ftmt04olzs3byfo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;;0;0;0;The Town;0;;
2668735721;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-04-06T21:04:10.713Z;2024-04-06T21:04:10Z;[{'id': 4928929973, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;c0ar4065o7ftmt04olzs3byfo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;0;0;North Texas;0;;
2668735745;3;1;1;0;1;ew2zirzye0sw1txr2m33nr25y;1;49,8;50,0;2024-04-06T21:04:11.714Z;2024-04-09T06:50:19Z;[{'id': 4928930105, 'qualifierId': 213, 'value': '2.77'}, {'id': 4928930107, 'qualifierId': 279, 'value': 'S'}, {'id': 4928930097, 'qualifierId': 56, 'value': 'Back'}, {'id': 4928930101, 'qualifierId': 141, 'value': '58.2'}, {'id': 4928930099, 'qualifierId': 140, 'value': '36.3'}, {'id': 4928930103, 'qualifierId': 212, 'value': '15.2'}];cac9hjmdwt1gsz0qt3f6d4b2s;J. Donnery;;;c0ar4065o7ftmt04olzs3byfo;Pass;;;;;;;;;;2,77;;;58,2;36,3;15,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;36,3;58,2;;;;;;;;0;0;1;North Texas;1;FW;1,0
2668735763;4;1;1;0;2;ew2zirzye0sw1txr2m33nr25y;1;37,2;51,9;2024-04-06T21:04:13.508Z;2024-04-06T21:05:40Z;[{'id': 4928930207, 'qualifierId': 141, 'value': '31.3'}, {'id': 4928930209, 'qualifierId': 212, 'value': '18.4'}, {'id': 4928930203, 'qualifierId': 56, 'value': 'Back'}, {'id': 4928930211, 'qualifierId': 213, 'value': '4.01'}, {'id': 4928930205, 'qualifierId': 140, 'value': '25.9'}];1bmbt6h6bsiimpzxt07cqwfvu;E. Blancas;;;c0ar4065o7ftmt04olzs3byfo;Pass;;;;;;;;;;4,01;;;31,3;25,9;18,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;25,9;31,3;;;;;;;;0;0;2;North Texas;2;MC;1,0
2668735775;5;1;1;0;5;ew2zirzye0sw1txr2m33nr25y;1;26,3;31,3;2024-04-06T21:04:15.924Z;2024-04-06T21:04:19Z;[{'id': 4928930283, 'qualifierId': 140, 'value': '22.0'}, {'id': 4928930289, 'qualifierId': 213, 'value': '1.72'}, {'id': 4928930287, 'qualifierId': 212, 'value': '29.7'}, {'id': 4928930285, 'qualifierId': 141, 'value': '74.5'}, {'id': 4928930281, 'qualifierId': 56, 'value': 'Back'}];35jkg2v338kipzlf0iwvvypuy;S. Bilter;;;c0ar4065o7ftmt04olzs3byfo;Pass;;;;;;;;;;1,72;;;74,5;22,0;29,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;22,0;74,5;;;;;;;;0;0;5;North Texas;5;DL;1,0
2668735795;6;1;1;0;8;ew2zirzye0sw1txr2m33nr25y;1;23,1;74,5;2024-04-06T21:04:19.171Z;2024-04-06T21:04:22Z;[{'id': 4928930405, 'qualifierId': 212, 'value': '26.4'}, {'id': 4928930407, 'qualifierId': 213, 'value': '4.72'}, {'id': 4928930401, 'qualifierId': 140, 'value': '23.2'}, {'id': 4928930399, 'qualifierId': 56, 'value': 'Back'}, {'id': 4928930403, 'qualifierId': 141, 'value': '35.7'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;;c0ar4065o7ftmt04olzs3byfo;Pass;;;;;;;;;;4,72;;;35,7;23,2;26,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;23,2;35,7;;;;;;;;0;0;8;North Texas;8;DC;1,0
2668735811;7;1;1;0;11;ew2zirzye0sw1txr2m33nr25y;1;23,2;31,9;2024-04-06T21:04:22.340Z;2024-04-06T21:04:24Z;[{'id': 4928930491, 'qualifierId': 141, 'value': '32.4'}, {'id': 4928930497, 'qualifierId': 213, 'value': '0.03'}, {'id': 4928930487, 'qualifierId': 56, 'value': 'Back'}, {'id': 4928930493, 'qualifierId': 212, 'value': '10.2'}, {'id': 4928930489, 'qualifierId': 140, 'value': '32.9'}];35jkg2v338kipzlf0iwvvypuy;S. Bilter;;;c0ar4065o7ftmt04olzs3byfo;Pass;;;;;;;;;;0,03;;;32,4;32,9;10,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;32,9;32,4;;;;;;;;0;0;11;North Texas;11;DL;1,0
2668735829;8;1;1;0;13;ew2zirzye0sw1txr2m33nr25y;1;32,9;32,4;2024-04-06T21:04:23.892Z;2024-04-06T21:04:25Z;[{'id': 4928930583, 'qualifierId': 141, 'value': '33.1'}, {'id': 4928930581, 'qualifierId': 140, 'value': '21.5'}, {'id': 4928930587, 'qualifierId': 213, 'value': '3.10'}, {'id': 4928930579, 'qualifierId': 56, 'value': 'Back'}, {'id': 4928930585, 'qualifierId': 212, 'value': '12.0'}];5n1wehugx0qtun8oopg2jbndg;C. Medina;;;c0ar4065o7ftmt04olzs3byfo;Pass;;;;;;;;;;3,1;;;33,1;21,5;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;21,5;33,1;;;;;;;;0;0;13;North Texas;13;AMC;1,0
