id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_Resume;value_TeamKit;value_Captain;value_TeamFormation;value_DirectionOfPlay;value_PassEndX;value_Angle;value_KickOff;value_Zone;value_PassEndY;value_Length;value_Chipped;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeControl;value_TouchTypeClearance;value_RightFooted;value_GoalmouthZ;value_NotAssisted;value_BlockedX;value_Blocked;value_GkY;value_GoalmouthY;value_LowCentre;value_FirstTouch;value_GkX;value_RegularPlay;value_BoxCentre;value_BlockedY;value_DefBlock;value_Left;value_Right;value_CornerTaken;value_Cross;value_OutSwinger;value_Head;value_FlickOn;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_Launch;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypePass;value_TakeOnOvertake;value_BlockedPass;value_IntendedTackleTarget;value_Straight;value_DrivenCross;value_PullBack;value_SwitchOfPlay;value_LayOff;value_Assist;value_IntentionalAssist;value_Assisted;value_LeftFooted;value_RelatedEventId;value_Feet;value_ParriedDanger;value_Stooping;value_LowGkIntervention;value_PlayersCaughtOffside;value_Indirect;value_OutOfPlay;value_FastBreak;value_35Centre;value_NotPastGoalLine;value_IndividualPlay;value_Shove/Push;value_OutOfBoxCentre;value_MediumGkIntervention;value_Collected;value_Diving;value_Hands;value_KeeperThrow;value_OverArm;value_PenaltyTakerId;value_Penalty;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_High;value_BigChance;value_Missed;value_Standing;value_HighRight;value_FromCorner;value_ParriedSafe;value_GkXTimeOfGoal;value_GoalShotGameClock;value_SmallBoxCentre;value_LowRight;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistType;value_1On1;value_RefereeDelay;value_DrinksBreak;value_CloseLeft;value_BoxRight;value_TakeOnSpace;value_InjuredPlayerId;value_Injury;value_ShirtPull/Holding;value_LowLeft;value_BoxLeft;value_OverhitCross;value_OwnPlayer;value_OwnShotBlocked;value_Minutes;value_Volley;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Unchallenged;value_InSwinger;value_HighLeft;value_SetPiece;value_HitWoodwork;value_HitLeftPost;value_YellowCard;value_TimeWasting;value_NotVisible;value_GkHoof;value_Sliding;value_ThroughBall;value_KeeperTouched;value_RecklessOffence;value_CornerNotTaken;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2721216017;666;49;2;65;58;6ddsx316t3j0z6nolrky9k4r8;1;68,0;34,3;2024-09-15T20:30:43.682Z;2024-09-15T20:30:43Z;[];cwyml9l4tfvb4ceh8tv3au0wk;M. Carrizo;;;5s71ofslswqruvqhxjk1ur6c;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;65;58;Toronto II;3958;MC;1,0
2721216131;667;1;2;66;0;6ddsx316t3j0z6nolrky9k4r8;0;67,2;62,0;2024-09-15T20:30:46.146Z;2024-09-15T20:30:54Z;[{'id': 5215865431, 'qualifierId': 141, 'value': '80.3'}, {'id': 5215865427, 'qualifierId': 56, 'value': 'Left'}, {'id': 5215865433, 'qualifierId': 212, 'value': '38.2'}, {'id': 5215865437, 'qualifierId': 1}, {'id': 5215865429, 'qualifierId': 140, 'value': '100.0'}, {'id': 5215865435, 'qualifierId': 213, 'value': '0.33'}];cwyml9l4tfvb4ceh8tv3au0wk;M. Carrizo;;;5s71ofslswqruvqhxjk1ur6c;Pass;;;;;;;;;;100,0;0,33;;;80,3;38,2;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;100,0;80,3;;;;;;;;0;66;0;Toronto II;3960;MC;1,0
2721216243;580;5;2;66;9;29nx7yxy1rdqv2oobqn5pjf8p;1;-1,0;17,7;2024-09-15T20:30:55.202Z;2024-09-15T20:42:53Z;[{'id': 5215866055, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215866109, 'qualifierId': 233, 'value': '668'}, {'id': 5215866057, 'qualifierId': 346}];2m7xhno7xnktvmzwa6j7wlgfe;A. Rodriguez;;;5s71ofslswqruvqhxjk1ur6c;Out;;;;;;;;;;;;;;;;;;;668,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;66;9;New York City II;3969;GK;1,0
2721216145;668;5;2;66;9;6ddsx316t3j0z6nolrky9k4r8;0;101,0;82,3;2024-09-15T20:30:55.202Z;2024-09-15T20:42:53Z;[{'id': 5215865511, 'qualifierId': 346}, {'id': 5215866179, 'qualifierId': 233, 'value': '580'}, {'id': 5215865509, 'qualifierId': 56, 'value': 'Left'}];duj699i9620tuf3ii9z06bqsq;P. Elias;;;5s71ofslswqruvqhxjk1ur6c;Out;;;;;;;;;;;;;;;;;;;580,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;66;9;Toronto II;3969;MC;1,0
2721216447;581;1;2;66;27;29nx7yxy1rdqv2oobqn5pjf8p;1;5,0;60,6;2024-09-15T20:31:12.737Z;2024-09-15T20:31:15Z;[{'id': 5215867031, 'qualifierId': 213, 'value': '4.34'}, {'id': 5215867039, 'qualifierId': 237}, {'id': 5215867015, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215867023, 'qualifierId': 141, 'value': '52.2'}, {'id': 5215867027, 'qualifierId': 212, 'value': '6.1'}, {'id': 5215867011, 'qualifierId': 124}, {'id': 5215867019, 'qualifierId': 140, 'value': '2.9'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;;5s71ofslswqruvqhxjk1ur6c;Pass;;;;;;;;;;2,9;4,34;;;52,2;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;2,9;52,2;;;;;;;;0;66;27;New York City II;3987;DC;1,0
2721216495;582;1;2;66;30;29nx7yxy1rdqv2oobqn5pjf8p;0;4,9;48,9;2024-09-15T20:31:15.798Z;2024-09-15T20:31:19Z;[{'id': 5215867289, 'qualifierId': 212, 'value': '47.7'}, {'id': 5215867287, 'qualifierId': 141, 'value': '34.7'}, {'id': 5215867283, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215867279, 'qualifierId': 155}, {'id': 5215867291, 'qualifierId': 213, 'value': '6.08'}, {'id': 5215867285, 'qualifierId': 140, 'value': '49.4'}, {'id': 5215867293, 'qualifierId': 1}];2m7xhno7xnktvmzwa6j7wlgfe;A. Rodriguez;;;5s71ofslswqruvqhxjk1ur6c;Pass;;;;;;;;;;49,4;6,08;;;34,7;47,7;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;49,4;34,7;;;;;;;;0;66;30;New York City II;3990;GK;1,0
2721216525;669;1;2;66;36;6ddsx316t3j0z6nolrky9k4r8;0;46,4;66,6;2024-09-15T20:31:21.409Z;2024-09-15T20:31:41Z;[{'id': 5215867461, 'qualifierId': 141, 'value': '60.8'}, {'id': 5215867457, 'qualifierId': 56, 'value': 'Center'}, {'id': 5215867463, 'qualifierId': 212, 'value': '18.8'}, {'id': 5215867459, 'qualifierId': 140, 'value': '63.9'}, {'id': 5215867465, 'qualifierId': 213, 'value': '6.07'}, {'id': 5215867455, 'qualifierId': 3}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;5s71ofslswqruvqhxjk1ur6c;Pass;;;;;;;;;;63,9;6,07;;;60,8;18,8;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;63,9;60,8;;;;;;;;0;66;36;Toronto II;3996;DC;1,0
2721217299;677;61;2;66;37;6ddsx316t3j0z6nolrky9k4r8;0;65,3;45,5;2024-09-15T20:31:22.993Z;2024-09-15T20:32:35Z;[{'id': 5215871791, 'qualifierId': 56, 'value': 'Center'}];2676930j149yvanqev61emh62;J. Rozhansky;;;5s71ofslswqruvqhxjk1ur6c;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;66;37;Toronto II;3997;MC;1,0
2721216549;583;61;2;66;39;29nx7yxy1rdqv2oobqn5pjf8p;0;45,7;53,5;2024-09-15T20:31:25.041Z;2024-09-15T20:31:25Z;[{'id': 5215867583, 'qualifierId': 56, 'value': 'Back'}];6xu5v7x5zge1k83w40mmbxyzu;H. Ayari;;;5s71ofslswqruvqhxjk1ur6c;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;66;39;New York City II;3999;FWR;1,0
2721216557;670;1;2;66;39;6ddsx316t3j0z6nolrky9k4r8;0;52,3;49,0;2024-09-15T20:31:25.233Z;2024-09-15T20:33:06Z;[{'id': 5215867697, 'qualifierId': 233, 'value': '584'}, {'id': 5215867607, 'qualifierId': 141, 'value': '49.0'}, {'id': 5215867615, 'qualifierId': 213, 'value': '0.00'}, {'id': 5215867603, 'qualifierId': 56, 'value': 'Center'}, {'id': 5215867701, 'qualifierId': 286}, {'id': 5215867605, 'qualifierId': 140, 'value': '54.2'}, {'id': 5215867695, 'qualifierId': 236}, {'id': 5215867611, 'qualifierId': 212, 'value': '2.0'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;5s71ofslswqruvqhxjk1ur6c;Pass;;;;;;;;;;54,2;0,0;;;49,0;2,0;;;1,0;584,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;54,2;49,0;;;;;;;;0;66;39;Toronto II;3999;DC;1,0
