id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_Resume;value_TeamFormation;value_DirectionOfPlay;value_Zone;value_Angle;value_KickOff;value_PassEndY;value_Length;value_PassEndX;value_LongBall;value_Chipped;value_Offensive;value_TakeOnSpace;value_OppositeRelatedEventId;value_Defensive;value_TouchTypeClearance;value_NextEventGoalKick;value_Low;value_GoalKick;value_Launch;value_HeadPass;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_TouchTypePass;value_Left;value_CornerTaken;value_RightFooted;value_InSwinger;value_Cross;value_Head;value_SwitchOfPlay;value_TakeOnOvertake;value_OutOfPlay;value_ThroughBall;value_LowGkIntervention;value_KeeperThrow;value_BlockedPass;value_Defensive1V1;value_Foul;value_ShirtPull/Holding;value_Direct;value_FreeKickTaken;value_LayOff;value_Right;value_IntentionalAssist;value_Assist;value_OutSwinger;value_NotPastGoalLine;value_FirstTouch;value_BlockedX;value_GkX;value_BoxCentre;value_BlockedY;value_GkY;value_GoalmouthZ;value_FromCorner;value_RelatedEventId;value_GoalmouthY;value_Assisted;value_HighGkIntervention;value_LeftFooted;value_BlockedCross;value_AttemptedTackle;value_NotVisible;value_Overrun;value_PullBack;value_FlickOn;value_High;value_TouchTypeControl;value_Blocked;value_RegularPlay;value_IndividualPlay;value_LowCentre;value_DefBlock;value_OutOfBoxCentre;value_HighLeft;value_Shove/Push;value_PlayersCaughtOffside;value_Indirect;value_TacticalFoul;value_YellowCard;value_HighClaim;value_OverArm;value_LeadingToAttempt;value_RelatedError1Id;value_BigChance;value_PersistentInfringement;value_CloseRight;value_SmallBoxLeft;value_Minutes;value_EndType;value_OverhitCross;value_HighRight;value_NotAssisted;value_BoxLeft;value_ParriedSafe;value_Diving;value_Hands;value_Handball;value_InjuredPlayerId;value_Injury;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Tactical;value_RecklessOffence;value_OtherObstacle;value_BallHitsReferee;value_FloatedCross;value_Straight;value_HitBar;value_HitWoodwork;value_CaptainChange;value_SixYardBlocked;value_FastBreak;value_OtherBodyPart;value_SetPiece;value_GkKickFromHands;value_GoalShotGameClock;value_GkXTimeOfGoal;value_LowRight;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_SavedOffLine;value_LastLine;value_MediumGkIntervention;value_MisHit;value_Weak;value_LowLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2675939585;672;1;2;93;48;4gymgvqmve0m2vh89v84tt3x0;0;79,2;71,5;2024-04-21T01:54:15.540Z;2024-04-21T02:25:03Z;[{'id': 4967748535, 'qualifierId': 212, 'value': '6.7'}, {'id': 4967748533, 'qualifierId': 141, 'value': '73.3'}, {'id': 4967748531, 'qualifierId': 140, 'value': '72.9'}, {'id': 4967748529, 'qualifierId': 56, 'value': 'Center'}, {'id': 4967748539, 'qualifierId': 213, 'value': '2.96'}];6jzijlp0e2w4qjan9eto35wd0;J. Sangwa;;;cblawdxtk95ijrlwhi7myu044;Pass;;;;;;;;;;;2,96;;73,3;6,7;72,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;72,9;73,3;;;;;;;0;0;93;48;Chattanooga;5628;Sub;1,0
2675939569;913;49;2;93;48;cwnjxlibb02fuh0vwgvac6h45;1;22,6;30,9;2024-04-21T01:54:15.923Z;2024-04-21T01:54:16Z;[];at2xv960peboe9spoag2kn21g;A. McGrath;;;cblawdxtk95ijrlwhi7myu044;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;93;48;Huntsville City;5628;MC;1,0
2675939583;914;1;2;93;49;cwnjxlibb02fuh0vwgvac6h45;1;22,7;30,7;2024-04-21T01:54:16.330Z;2024-04-21T01:54:17Z;[{'id': 4967748517, 'qualifierId': 56, 'value': 'Back'}, {'id': 4967748523, 'qualifierId': 212, 'value': '12.5'}, {'id': 4967748521, 'qualifierId': 141, 'value': '46.6'}, {'id': 4967748519, 'qualifierId': 140, 'value': '28.7'}, {'id': 4967748525, 'qualifierId': 213, 'value': '1.04'}];at2xv960peboe9spoag2kn21g;A. McGrath;;;cblawdxtk95ijrlwhi7myu044;Pass;;;;;;;;;;;1,04;;46,6;12,5;28,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;28,7;46,6;;;;;;;0;0;93;49;Huntsville City;5629;MC;1,0
2675939639;915;1;2;93;50;cwnjxlibb02fuh0vwgvac6h45;1;29,2;45,4;2024-04-21T01:54:17.786Z;2024-04-21T01:54:24Z;[{'id': 4967748887, 'qualifierId': 56, 'value': 'Back'}, {'id': 4967748891, 'qualifierId': 141, 'value': '19.7'}, {'id': 4967748895, 'qualifierId': 213, 'value': '5.26'}, {'id': 4967748889, 'qualifierId': 140, 'value': '39.4'}, {'id': 4967748893, 'qualifierId': 212, 'value': '20.5'}];6zbb5xiauoixj3clxdgud8lxw;C. Watson;;;cblawdxtk95ijrlwhi7myu044;Pass;;;;;;;;;;;5,26;;19,7;20,5;39,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;39,4;19,7;;;;;;;0;0;93;50;Huntsville City;5630;Sub;1,0
2675939691;916;2;2;93;56;cwnjxlibb02fuh0vwgvac6h45;1;34,8;17,4;2024-04-21T01:54:24.123Z;2024-04-28T20:46:02Z;[{'id': 4967749121, 'qualifierId': 140, 'value': '55.1'}, {'id': 4967749169, 'qualifierId': 56, 'value': 'Center'}, {'id': 4967749165, 'qualifierId': 7, 'value': '4hdai9za2ls03tjpcw0ahu5wq'}, {'id': 4967749123, 'qualifierId': 141, 'value': '52.1'}];246vnjq690m4ju1wkfrezlql1;C. Rivas;;;cblawdxtk95ijrlwhi7myu044;Offside Pass;;;;;;;;;;;;;52,1;;55,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;55,1;52,1;;;;;;;0;0;93;56;Huntsville City;5636;Sub;1,0
2675939679;673;55;2;93;56;4gymgvqmve0m2vh89v84tt3x0;1;46,6;54,8;2024-04-21T01:54:24.124Z;2024-04-28T20:46:08Z;[];3c7ia3mxthsolwt8ed68e5xck;K. Coulibaly;;;cblawdxtk95ijrlwhi7myu044;Offside provoked;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;93;56;Chattanooga;5636;Sub;1,0
2675939783;674;1;2;94;9;4gymgvqmve0m2vh89v84tt3x0;1;26,8;29,5;2024-04-21T01:54:36.388Z;2024-04-21T01:54:40Z;[{'id': 4967749625, 'qualifierId': 213, 'value': '1.48'}, {'id': 4967749619, 'qualifierId': 140, 'value': '29.4'}, {'id': 4967749621, 'qualifierId': 141, 'value': '72.4'}, {'id': 4967749615, 'qualifierId': 241}, {'id': 4967749623, 'qualifierId': 212, 'value': '29.3'}, {'id': 4967749613, 'qualifierId': 5}, {'id': 4967749617, 'qualifierId': 56, 'value': 'Back'}];3c7ia3mxthsolwt8ed68e5xck;K. Coulibaly;;;cblawdxtk95ijrlwhi7myu044;Pass;;;;;;;;;;;1,48;;72,4;29,3;29,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;29,4;72,4;;;;;;;0;0;94;9;Chattanooga;5649;Sub;1,0
2675939811;675;1;2;94;13;4gymgvqmve0m2vh89v84tt3x0;1;32,1;75,9;2024-04-21T01:54:40.293Z;2024-04-21T01:54:44Z;[{'id': 4967749759, 'qualifierId': 56, 'value': 'Back'}, {'id': 4967749761, 'qualifierId': 140, 'value': '39.7'}, {'id': 4967749765, 'qualifierId': 212, 'value': '14.9'}, {'id': 4967749767, 'qualifierId': 213, 'value': '1.01'}, {'id': 4967749763, 'qualifierId': 141, 'value': '94.4'}];42zmyz1t6mqap5pyfqxiaadqs;F. Opande;;;cblawdxtk95ijrlwhi7myu044;Pass;;;;;;;;;;;1,01;;94,4;14,9;39,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;39,7;94,4;;;;;;;0;0;94;13;Chattanooga;5653;Sub;1,0
2675939841;676;1;2;94;16;4gymgvqmve0m2vh89v84tt3x0;0;41,7;94,4;2024-04-21T01:54:43.942Z;2024-04-21T01:54:46Z;[{'id': 4967749851, 'qualifierId': 141, 'value': '74.1'}, {'id': 4967749849, 'qualifierId': 140, 'value': '68.8'}, {'id': 4967749855, 'qualifierId': 213, 'value': '5.83'}, {'id': 4967749853, 'qualifierId': 212, 'value': '31.6'}, {'id': 4967749845, 'qualifierId': 155}, {'id': 4967749847, 'qualifierId': 56, 'value': 'Center'}];bmax1bmduvrpp0lfh4do0yj9w;F. Cicéron;;;cblawdxtk95ijrlwhi7myu044;Pass;;;;;;;;;;;5,83;;74,1;31,6;68,8;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;68,8;74,1;;;;;;;0;0;94;16;Chattanooga;5656;DC;1,0
2675939849;917;49;2;94;20;cwnjxlibb02fuh0vwgvac6h45;1;31,2;33,3;2024-04-21T01:54:47.324Z;2024-04-21T01:54:47Z;[];cpbyoj822ivx6qrqbkun1zr3d;A. Prepeliţă;;;cblawdxtk95ijrlwhi7myu044;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;94;20;Huntsville City;5660;DL;1,0
