id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Captain;value_TeamFormation;value_Involved;value_PlayerPosition;value_TeamKit;value_Resume;value_JerseyNumber;value_TeamPlayerFormation;value_DirectionOfPlay;value_Zone;value_Length;value_Angle;value_PassEndX;value_PassEndY;value_KickOff;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_DeletedEventType;value_TakeOnOvertake;value_OutSwinger;value_BlockedPass;value_Cross;value_LeftFooted;value_BlockedCross;value_Left;value_Chipped;value_InSwinger;value_RightFooted;value_CornerTaken;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Head;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_AttemptedTackle;value_TouchTypeClearance;value_NotVisible;value_PlayersCaughtOffside;value_Indirect;value_LayOff;value_SwitchOfPlay;value_OverhitCross;value_IntendedTackleTarget;value_PullBack;value_Assist;value_RegularPlay;value_IntentionalAssist;value_GoalmouthZ;value_Assisted;value_RelatedEventId;value_GkY;value_LowCentre;value_SmallBoxCentre;value_GoalShotGameClock;value_GkX;value_GoalmouthY;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_BigChance;value_FirstTouch;value_Straight;value_DrivenCross;value_NotAssisted;value_LowLeft;value_BlockedY;value_BlockedX;value_Blocked;value_BoxCentre;value_DefBlock;value_FromCorner;value_HighCentre;value_SixYardBlocked;value_IncorrectOutOfPlayDecision;value_InjuredPlayerId;value_Injury;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FantasyAssistId;value_OwnGoal;value_FantasyAssistType;value_1On1;value_BoxLeft;value_Right;value_IndividualPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_ShirtPull/Holding;value_CloseLeft;value_OutOfBoxCentre;value_High;value_AerialFoul;value_KeeperTouched;value_Penalty;value_PenaltyTakerId;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Diving;value_Missed;value_TouchTypePass;value_TouchTypeControl;value_FlickOn;value_TakeOnSpace;value_BoxDeepLeft;value_HighGkIntervention;value_Collected;value_Hands;value_LowGkIntervention;value_Stooping;value_KeeperThrow;value_OverArm;value_LowRight;value_SwerveLeft;value_Minutes;value_HighClaim;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_HitRightPost;value_HitWoodwork;value_CloseRight;value_OwnPlayer;value_OwnShotBlocked;value_Handball;value_Overrun;value_Volley;value_Saved;value_ParriedDanger;value_CloseHigh;value_NotPastGoalLine;value_MisHit;value_YellowCard;value_RecklessOffence;value_Standing;value_MediumGkIntervention;value_GkKickFromHands;value_CaptainChange;value_HighLeft;value_BoxDeepRight;value_FastBreak;value_ThroughBall;value_FollowsADribble;value_Tap;value_Defensive1V1;value_Scored;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2693515781;1;34;16;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-05-31T22:13:59.009Z;2024-05-31T23:18:24Z;[{'id': 5063350369, 'qualifierId': 194, 'value': 'c71n0j2gn476m4fzwxldxfms4'}, {'id': 5063329719, 'qualifierId': 130, 'value': '12'}, {'id': 5063329713, 'qualifierId': 30, 'value': 'dt797hve9mdpnuyy1z4pnpp1w, 5l9js12tsf18c7st0oac3swes, 5qfwg7j8xrfv19ouu4gvrs00k, 2figny7hhxiw29vizhlyta3o4, c71n0j2gn476m4fzwxldxfms4, 8pvvljn4uasfjxdleh56pm38, dqxh3f9qy6lhrwabvnbb6erro, 3wn0nn5q8g2mjzuc8yb4dvu2, c760g3hvhvi7nra7gpdrynn1m, 7w2rw1jd8ouhu8bbvswvysu8k, e8i5fg3tp35k8iys32eiv7jmc, 9n4pw401dtt30wlnwrxvads7o, 7q8y6gbmg9j75zgm3nhs3bfh0, d5del7kcf1zgkd2uvhius8y22, bje8wvncnbbx5w0l08uno88ru, e7tp50kohe1u9hts0geeh3578, 6xu5v7x5zge1k83w40mmbxyzu, d8u6lnk9lmbrgv9obcshpec8a, bx7d0ws7fi7iwgpi9ccomjehg, u5v1owoegnvaqvk214qlvh90'}, {'id': 5063329715, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5063343659, 'qualifierId': 197, 'value': '19221'}, {'id': 5063329723, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5063329717, 'qualifierId': 59, 'value': '40, 92, 95, 58, 65, 51, 79, 71, 82, 73, 89, 80, 68, 38, 70, 76, 81, 85, 91, 97'}, {'id': 5063329721, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;d419p3lh2rq2ou3rp9p15zd3o;Team set up;;12,0;;;19221,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2693515923;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-05-31T22:15:51.452Z;2024-05-31T23:01:52Z;[{'id': 5063330607, 'qualifierId': 30, 'value': '12wcwqu2liyd0zv8ramcevh1w, 79knhnp7bvpjomzz14k715wtm, 9vc2mynd9lg2oyt14n4e7a44q, 64wbk2nsrs0ru0hjcq0lenwgk, 5d341k1dxhlbetyh965z3q784, 72xktsosbsh2uwkwby59mr6z8, 4agnpztnedb7ql14bo477vspg, ctwn52am38jz5ly1h8ac069lg, 6n0x8t513vmsmgfasovvoj7u2, b1p6qcv8wjzoxoax3nt13n5gq, 5ehbz7f56cmfamc29fnk3yuax, 84oe7sbhy91b5xvbo2w28i7f8, 2buy6q56o0ixo30fatz7ps9w4, 2atsox1bassuexlgta8h3us4p, a8t1jn05xxxccikegk8fdaiok, 36pc532bmkvnrq9mw4omzh3bo, 4r4a2d3piuh8wusw8ftrsh016'}, {'id': 5063330615, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5063343321, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}, {'id': 5063330617, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5063343323, 'qualifierId': 197, 'value': '14914'}, {'id': 5063330613, 'qualifierId': 130, 'value': '8'}, {'id': 5063330611, 'qualifierId': 59, 'value': '70, 55, 54, 35, 43, 42, 53, 57, 44, 48, 49, 41, 46, 50, 59, 63, 78'}, {'id': 5063330609, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5'}];;;;;d419p3lh2rq2ou3rp9p15zd3o;Team set up;;8,0;;;14914,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;Toronto II;0;;
2693518001;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-05-31T23:03:30.350Z;2024-05-31T23:03:33Z;[{'id': 5063343361, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d419p3lh2rq2ou3rp9p15zd3o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;Toronto II;0;;
2693517999;2;32;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-05-31T23:03:30.350Z;2024-06-01T10:04:25Z;[{'id': 5063343359, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d419p3lh2rq2ou3rp9p15zd3o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2693518003;3;1;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;50,1;50,1;2024-05-31T23:03:30.418Z;2024-05-31T23:03:32Z;[{'id': 5063343365, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063343371, 'qualifierId': 212, 'value': '25.9'}, {'id': 5063343373, 'qualifierId': 213, 'value': '2.77'}, {'id': 5063343367, 'qualifierId': 140, 'value': '27.1'}, {'id': 5063343369, 'qualifierId': 141, 'value': '64.0'}, {'id': 5063343375, 'qualifierId': 279, 'value': 'S'}];6n0x8t513vmsmgfasovvoj7u2;J. Shokalook;;;d419p3lh2rq2ou3rp9p15zd3o;Pass;;;;;;;;;;;25,9;2,77;27,1;64,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;27,1;64,0;;;;;;;;0;0;0;Toronto II;0;FW;1,0
2693518005;4;1;1;0;4;8o8m08he36u0j4w08aj2iodn8;0;27,9;64,3;2024-05-31T23:03:34.363Z;2024-05-31T23:03:36Z;[{'id': 5063343389, 'qualifierId': 212, 'value': '46.0'}, {'id': 5063343381, 'qualifierId': 157}, {'id': 5063343383, 'qualifierId': 56, 'value': 'Left'}, {'id': 5063343385, 'qualifierId': 140, 'value': '67.6'}, {'id': 5063343391, 'qualifierId': 213, 'value': '0.44'}, {'id': 5063343393, 'qualifierId': 1}, {'id': 5063343387, 'qualifierId': 141, 'value': '93.0'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;d419p3lh2rq2ou3rp9p15zd3o;Pass;;;;;;;;;;;46,0;0,44;67,6;93,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;67,6;93,0;;;;;;;;0;0;4;Toronto II;4;DC;1,0
2693518007;3;44;1;0;7;29nx7yxy1rdqv2oobqn5pjf8p;1;31,0;7,0;2024-05-31T23:03:37.732Z;2024-05-31T23:04:06Z;[{'id': 5063343397, 'qualifierId': 285}, {'id': 5063343427, 'qualifierId': 233, 'value': '6'}, {'id': 5063343395, 'qualifierId': 56, 'value': 'Back'}];5l9js12tsf18c7st0oac3swes;T. Rigopoulos;;;d419p3lh2rq2ou3rp9p15zd3o;Aerial;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;0;7;Chicago Fire II;7;DMR;1,0
2693518013;6;44;1;0;7;8o8m08he36u0j4w08aj2iodn8;0;69,0;93,0;2024-05-31T23:03:37.733Z;2024-05-31T23:54:52Z;[{'id': 5063343423, 'qualifierId': 56, 'value': 'Left'}, {'id': 5063343431, 'qualifierId': 233, 'value': '3'}, {'id': 5063343425, 'qualifierId': 286}];4agnpztnedb7ql14bo477vspg;P. Soudan;;;d419p3lh2rq2ou3rp9p15zd3o;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;7;Toronto II;7;AMR;1,0
2693518009;4;1;1;0;7;29nx7yxy1rdqv2oobqn5pjf8p;0;28,1;6,2;2024-05-31T23:03:38.156Z;2024-05-31T23:04:09Z;[{'id': 5063343409, 'qualifierId': 213, 'value': '0.24'}, {'id': 5063343405, 'qualifierId': 141, 'value': '11.4'}, {'id': 5063343401, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063343399, 'qualifierId': 3}, {'id': 5063343403, 'qualifierId': 140, 'value': '41.7'}, {'id': 5063343407, 'qualifierId': 212, 'value': '14.7'}];5l9js12tsf18c7st0oac3swes;T. Rigopoulos;;;d419p3lh2rq2ou3rp9p15zd3o;Pass;;;;;;;;;;;14,7;0,24;41,7;11,4;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;41,7;11,4;;;;;;;;0;0;7;Chicago Fire II;7;DMR;1,0
2693518011;5;43;1;0;8;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-05-31T23:03:38.923Z;2024-05-31T23:55:03Z;[{'id': 5063377673, 'qualifierId': 144, 'value': '12'}, {'id': 5063343413, 'qualifierId': 56, 'value': 'Left'}, {'id': 5063343419, 'qualifierId': 212, 'value': '0.5'}, {'id': 5063343421, 'qualifierId': 213, 'value': '4.30'}, {'id': 5063343417, 'qualifierId': 141, 'value': '92.3'}, {'id': 5063343415, 'qualifierId': 140, 'value': '66.0'}];6n0x8t513vmsmgfasovvoj7u2;J. Shokalook;;;d419p3lh2rq2ou3rp9p15zd3o;Deleted event;;;;;;;;;;;0,5;4,3;66,0;92,3;;;;;;;;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;66,0;92,3;;;;;;;;0;0;8;Toronto II;8;FW;1,0
