id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Involved;value_TeamFormation;value_Captain;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_JerseyNumber;value_PlayerPosition;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Zone;value_PassEndX;value_Length;value_Angle;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_IncorrectOutOfPlayDecision;value_ThrowIn;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_TakeOnOvertake;value_Defensive1V1;value_Chipped;value_Cross;value_RightFooted;value_InSwinger;value_Head;value_IntendedTackleTarget;value_BlockedPass;value_OutOfPlay;value_DeletedEventType;value_TouchTypeClearance;value_SwitchOfPlay;value_Assist;value_IntentionalAssist;value_LowRight;value_Assisted;value_SixYardBlocked;value_BlockedX;value_FirstTouch;value_GoalmouthZ;value_RelatedEventId;value_BlockedY;value_RegularPlay;value_GoalmouthY;value_GkY;value_Blocked;value_GkX;value_BoxDeepRight;value_DefBlock;value_Left;value_Right;value_LeftFooted;value_CornerTaken;value_MediumGkIntervention;value_KeeperThrow;value_TouchTypeControl;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_OutSwinger;value_FromCorner;value_OutOfBoxCentre;value_High;value_IndividualPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_InjuredPlayerId;value_Injury;value_LayOff;value_TouchTypePass;value_TakeOnSpace;value_FlickOn;value_Handball;value_Penalty;value_PenaltyTakerId;value_GkYTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_NotAssisted;value_FantasyAssistId;value_FantasyAssistTeam;value_CausingPlayer;value_BigChance;value_GkXTimeOfGoal;value_FantasyAssistedBy;value_FantasyAssistType;value_GoalShotGameClock;value_BoxCentre;value_GoalShotTimestamp;value_Scored;value_Diving;value_ThroughBall;value_LastLine;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_Overrun;value_TimeWasting;value_LowCentre;value_Volley;value_BoxLeft;value_LowLeft;value_Hands;value_LowGkIntervention;value_Collected;value_RecklessOffence;value_Minutes;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_OverhitCross;value_Shove/Push;value_BoxRight;value_Unchallenged;value_SwerveLeft;value_HighGkIntervention;value_HighClaim;value_CloseLeft;value_BlockedCross;value_SetPiece;value_FastBreak;value_SmallBoxCentre;value_ParriedDanger;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2677854577;175;1;1;17;44;erwnez7ksfkns4dqmyr1fhbe;1;30,9;95,1;2024-04-24T23:51:40.255Z;2024-04-24T23:51:43Z;[{'id': 4978073187, 'qualifierId': 141, 'value': '51.3'}, {'id': 4978073189, 'qualifierId': 212, 'value': '38.7'}, {'id': 4978073183, 'qualifierId': 56, 'value': 'Back'}, {'id': 4978073193, 'qualifierId': 1}, {'id': 4978073191, 'qualifierId': 213, 'value': '4.02'}, {'id': 4978073185, 'qualifierId': 140, 'value': '7.4'}];bjk2ns3xadow18v3tkvqqrkh6;J. Williams;;c9cid1m9mtcrwzvy5nvufenmc;Pass;;;;;;;;;;51,3;;;7,4;38,7;4,02;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;7,4;51,3;;;;;;;;0;17;44;Chattanooga;1064;DC;1,0
2677854601;176;1;1;17;47;erwnez7ksfkns4dqmyr1fhbe;1;7,4;50,6;2024-04-24T23:51:43.200Z;2024-04-24T23:51:46Z;[{'id': 4978073303, 'qualifierId': 213, 'value': '5.32'}, {'id': 4978073295, 'qualifierId': 56, 'value': 'Back'}, {'id': 4978073299, 'qualifierId': 141, 'value': '10.6'}, {'id': 4978073297, 'qualifierId': 140, 'value': '25.5'}, {'id': 4978073293, 'qualifierId': 155}, {'id': 4978073305, 'qualifierId': 1}, {'id': 4978073301, 'qualifierId': 212, 'value': '33.2'}];cu84s15ig7u7g9iwwcff82yuh;J. Cohen;;c9cid1m9mtcrwzvy5nvufenmc;Pass;;;;;;;;;;10,6;;;25,5;33,2;5,32;;1,0;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;25,5;10,6;;;;;;;;0;17;47;Chattanooga;1067;GK;1,0
2677854613;177;1;1;17;50;erwnez7ksfkns4dqmyr1fhbe;1;25,4;10,6;2024-04-24T23:51:46.335Z;2024-04-24T23:51:49Z;[{'id': 4978073359, 'qualifierId': 141, 'value': '18.8'}, {'id': 4978073357, 'qualifierId': 140, 'value': '41.9'}, {'id': 4978073363, 'qualifierId': 213, 'value': '0.31'}, {'id': 4978073355, 'qualifierId': 56, 'value': 'Back'}, {'id': 4978073361, 'qualifierId': 212, 'value': '18.2'}];5c7gqtyra887hjyg502tvzn1m;M. Edwards;;c9cid1m9mtcrwzvy5nvufenmc;Pass;;;;;;;;;;18,8;;;41,9;18,2;0,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;41,9;18,8;;;;;;;;0;17;50;Chattanooga;1070;DR;1,0
2677854637;178;1;1;17;53;erwnez7ksfkns4dqmyr1fhbe;1;42,6;22,2;2024-04-24T23:51:49.327Z;2024-04-24T23:51:53Z;[{'id': 4978073513, 'qualifierId': 212, 'value': '14.3'}, {'id': 4978073507, 'qualifierId': 56, 'value': 'Center'}, {'id': 4978073509, 'qualifierId': 140, 'value': '56.2'}, {'id': 4978073511, 'qualifierId': 141, 'value': '22.4'}, {'id': 4978073515, 'qualifierId': 213, 'value': '0.01'}];6ahu72g0u39bxbjiz7ggefai1;N. Okello;;c9cid1m9mtcrwzvy5nvufenmc;Pass;;;;;;;;;;22,4;;;56,2;14,3;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;56,2;22,4;;;;;;;;0;17;53;Chattanooga;1073;MC;1,0
2677854653;179;1;1;17;58;erwnez7ksfkns4dqmyr1fhbe;1;71,9;20,4;2024-04-24T23:51:53.775Z;2024-04-24T23:51:56Z;[{'id': 4978073609, 'qualifierId': 141, 'value': '20.6'}, {'id': 4978073607, 'qualifierId': 140, 'value': '89.6'}, {'id': 4978073611, 'qualifierId': 212, 'value': '18.6'}, {'id': 4978073613, 'qualifierId': 213, 'value': '0.01'}, {'id': 4978073605, 'qualifierId': 56, 'value': 'Right'}];eg5gobm8zylt21enud00dfnmy;K. Tmimi;;c9cid1m9mtcrwzvy5nvufenmc;Pass;;;;;;;;;;20,6;;;89,6;18,6;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;89,6;20,6;;;;;;;;0;17;58;Chattanooga;1078;FW;1,0
2677854657;180;1;1;17;59;erwnez7ksfkns4dqmyr1fhbe;0;95,4;18,2;2024-04-24T23:51:54.767Z;2024-04-28T12:28:23Z;[{'id': 4978073645, 'qualifierId': 212, 'value': '4.4'}, {'id': 4978073635, 'qualifierId': 2}, {'id': 4978073641, 'qualifierId': 140, 'value': '95.4'}, {'id': 4988125105, 'qualifierId': 20}, {'id': 4988125103, 'qualifierId': 224}, {'id': 4978073647, 'qualifierId': 213, 'value': '1.57'}, {'id': 4978073637, 'qualifierId': 155}, {'id': 4978073643, 'qualifierId': 141, 'value': '24.6'}, {'id': 4978073639, 'qualifierId': 56, 'value': 'Center'}];a63su8pudaernrvj1fi9006qc;L. Brennan;;c9cid1m9mtcrwzvy5nvufenmc;Pass;;;;;;;;;;24,6;;;95,4;4,4;1,57;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;95,4;24,6;;;;;;;;0;17;59;Chattanooga;1079;AMR;1,0
2677854669;181;4;1;18;0;erwnez7ksfkns4dqmyr1fhbe;1;93,5;26,1;2024-04-24T23:51:56.264Z;2024-04-24T23:53:03Z;[{'id': 4978073895, 'qualifierId': 152}, {'id': 4978074195, 'qualifierId': 233, 'value': '188'}, {'id': 4978073891, 'qualifierId': 10}, {'id': 4978073889, 'qualifierId': 9}, {'id': 4978073897, 'qualifierId': 286}, {'id': 4978075287, 'qualifierId': 348, 'value': 'd5kcfgycj51y6aw82r38sl7o4'}, {'id': 4978073893, 'qualifierId': 56, 'value': 'Center'}];;;;c9cid1m9mtcrwzvy5nvufenmc;Foul;;;;;;;;;;;;;;;;;;;188,0;1,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;1,0;0;18;0;Chattanooga;1080;;
2677854699;188;4;1;18;0;cwnjxlibb02fuh0vwgvac6h45;0;6,5;73,9;2024-04-24T23:51:56.265Z;2024-04-24T23:52:18Z;[{'id': 4978074185, 'qualifierId': 56, 'value': 'Back'}, {'id': 4978074203, 'qualifierId': 233, 'value': '181'}, {'id': 4978074181, 'qualifierId': 9}, {'id': 4978074183, 'qualifierId': 10}, {'id': 4978074187, 'qualifierId': 152}, {'id': 4978074189, 'qualifierId': 285}];87nhafgkozygrd5f06ore0xzo;F. Sar-Sar;;c9cid1m9mtcrwzvy5nvufenmc;Foul;;;;;;;;;;;;;;;;;;1,0;181,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;1,0;0;18;0;Atlanta United II;1080;DC;1,0
2677855017;183;16;1;19;8;erwnez7ksfkns4dqmyr1fhbe;1;88,5;50,0;2024-04-24T23:53:03.919Z;2024-04-28T12:28:46Z;[{'id': 4988126285, 'qualifierId': 396, 'value': '53.1'}, {'id': 4978076419, 'qualifierId': 353, 'value': '189'}, {'id': 4978076355, 'qualifierId': 230, 'value': '99.8'}, {'id': 4978076353, 'qualifierId': 458}, {'id': 4978076357, 'qualifierId': 231, 'value': '50'}, {'id': 4978075331, 'qualifierId': 56, 'value': 'Center'}, {'id': 4978076367, 'qualifierId': 472, 'value': '181'}, {'id': 4978076363, 'qualifierId': 282, 'value': '14156'}, {'id': 4978076351, 'qualifierId': 390, 'value': '615894'}, {'id': 4978075327, 'qualifierId': 9}, {'id': 4978076349, 'qualifierId': 103, 'value': '15.8'}, {'id': 4978075597, 'qualifierId': 20}, {'id': 4978075333, 'qualifierId': 214}, {'id': 4988126283, 'qualifierId': 395, 'value': '99.7'}, {'id': 4978076361, 'qualifierId': 281, 'value': 'a63su8pudaernrvj1fi9006qc'}, {'id': 4978076359, 'qualifierId': 280, 'value': 'HANDBALL_WON'}, {'id': 4978075605, 'qualifierId': 375, 'value': '19:07.760'}, {'id': 4978075329, 'qualifierId': 17}, {'id': 4978076347, 'qualifierId': 102, 'value': '46.1'}, {'id': 4978075601, 'qualifierId': 374, 'value': '2024-04-25 00:53:03.194'}, {'id': 4978076345, 'qualifierId': 80}];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;c9cid1m9mtcrwzvy5nvufenmc;Goal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;1,0;;;;;15,8;;;;46,1;50,0;;99,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;53,1;189,0;1,0;181,0;14156,0;615894,0;1,0;99,7;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;46,1;15.8;;;1,0;1;19;8;Chattanooga;1148;MC;1,0
2677855041;189;58;1;19;8;cwnjxlibb02fuh0vwgvac6h45;0;0,0;0,0;2024-04-24T23:53:03.919Z;2024-04-24T23:53:15Z;[{'id': 4978075427, 'qualifierId': 9}, {'id': 4978075429, 'qualifierId': 186}, {'id': 4978075435, 'qualifierId': 56, 'value': 'Back'}, {'id': 4978075685, 'qualifierId': 233, 'value': '183'}, {'id': 4978075433, 'qualifierId': 75}, {'id': 4978075431, 'qualifierId': 179}];ew3qxbn1ev1qv7wi0iwoc642c;J. Burke;;c9cid1m9mtcrwzvy5nvufenmc;Penalty faced;;;;;;;;;;;;;;;;;;;183,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;1,0;0;19;8;Atlanta United II;1148;GK;1,0
