id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamKit;value_TeamFormation;value_PlayerPosition;value_Resume;value_Captain;value_TeamPlayerFormation;value_JerseyNumber;value_DirectionOfPlay;value_Length;value_Angle;value_PassEndX;value_PassEndY;value_KickOff;value_Zone;value_LongBall;value_Chipped;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_TouchTypePass;value_Head;value_DeletedEventType;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_Handball;value_OutSwinger;value_Cross;value_LeftFooted;value_MediumGkIntervention;value_KeeperThrow;value_Launch;value_TouchTypeClearance;value_BlockedPass;value_IntendedTackleTarget;value_TakeOnSpace;value_TakeOnOvertake;value_OutOfPlay;value_NextEventGoalKick;value_GoalKick;value_Low;value_FloatedCross;value_Assist;value_RightFooted;value_IntentionalAssist;value_Straight;value_GkX;value_GoalmouthY;value_CloseRightAndHigh;value_FirstTouch;value_GoalmouthZ;value_Assisted;value_SmallBoxLeft;value_RelatedEventId;value_RegularPlay;value_BigChance;value_GkY;value_NotVisible;value_SwitchOfPlay;value_FlickOn;value_Overrun;value_ShirtPull/Holding;value_Unchallenged;value_LowGkIntervention;value_TouchTypeControl;value_InSwinger;value_LeadingToGoal;value_GkXTimeOfGoal;value_NotAssisted;value_LowCentre;value_GoalShotTimestamp;value_1On1;value_GoalShotGameClock;value_IndividualPlay;value_RelatedError1Id;value_GkYTimeOfGoal;value_BoxCentre;value_FastBreak;value_PlayersCaughtOffside;value_Indirect;value_Shove/Push;value_ThroughBall;value_OutOfBoxCentre;value_Right;value_Volley;value_High;value_Left;value_CornerTaken;value_FromCorner;value_LayOff;value_HighGkIntervention;value_SetPiece;value_GkHoof;value_BlockedX;value_BlockedY;value_Deflection;value_Hands;value_Standing;value_Collected;value_OverArm;value_RecklessOffence;value_YellowCard;value_HighRight;value_LowRight;value_BoxRight;value_Blocked;value_DefBlock;value_PullBack;value_SixYardBlocked;value_Dissent;value_HighClaim;value_InjuredPlayerId;value_Injury;value_Minutes;value_Defensive1V1;value_BlockedCross;value_PersistentInfringement;value_EndType;value_Diving;value_OwnPlayer;value_GkKickFromHands;value_DrivenCross;value_LowLeft;value_SmallBoxCentre;value_Stooping;value_TacticalFoul;value_FreeKick;value_ByWall;value_OwnShotBlocked;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_NotPastGoalLine;value_GoesToPenalties;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_KeeperTouched;value_Saved;value_HitWoodwork;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2676577129;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-04-21T17:56:16.697Z;2024-04-21T18:48:03Z;[{'id': 4971112837, 'qualifierId': 30, 'value': '2y9o7d8tm1f8fnp6jewxzifis, 15v2azulwhof0p216i7bjp250, 2qz3ojbfedl8psp1tvq0183ro, 81w1fqi66z0ibawynhraybaxg, 3h4x6eh6zkcaww4g6rhkwpbf8, a3qa9kw3vbh8nu5mgns92czro, 993vihjmsn70q9w237fatzgbu, 45v94x6b8g7n4xa3lsfdp6pzo, ngmdu10fjli45jvddeljv8yc, 9j3va21w5i9ypf8qmt4g1vggk, 7bodno8j3qjiqp9wy8kobwmqc, cjhjwaelyypl3ca9gpzu61vys, 5aszabja459117mqykvfpajh0, 82h370aim64ufe2pugftbfxg4, 434xf7moiduhzy9ivp7jxr10, 1ceqwz4ozqi6ft5l4hf5a04r8, 872ifpo3qufi9vv9vy7ty6uj8, cbpm8k301adrmft5fd0kaeiuh, c59pt9nvdpxlp6xvs78un16hg, 20wmdzih6b1t0ekt1v2qd4b2s'}, {'id': 4971112847, 'qualifierId': 197, 'value': '23610'}, {'id': 4971112843, 'qualifierId': 130, 'value': '23'}, {'id': 4971112839, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4971112849, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4971292241, 'qualifierId': 194, 'value': '2qz3ojbfedl8psp1tvq0183ro'}, {'id': 4971112845, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4971112841, 'qualifierId': 59, 'value': '76, 30, 39, 22, 44, 29, 24, 41, 35, 77, 56, 38, 42, 43, 55, 57, 58, 88, 98, 99'}];;;;;cdi8rq3pm3ors98rl4dcw07is;Team set up;;23610,0;23,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;0;New York RB II;0;;
2676580101;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-04-21T17:59:20.553Z;2024-04-21T21:50:32Z;[{'id': 4971128125, 'qualifierId': 197, 'value': '6066'}, {'id': 4971128115, 'qualifierId': 30, 'value': 'bvtvko74cyeqe297mp6shrf2s, 5gd78gkv3k39vofarmapgeuj8, nhhmltlm3ayn7vqmp6etck5w, 5u3ohty1lsm0fn2ltez4g7o5w, 5jqdll75iffj1cykuz06ue7ai, 59kitnlge8bjsxmhy850bsutw, 8q2wozyqz4nveabn71hc614dm, 8u0efvao8rym6mdx0tl0h0qac, 4akvdujqbywk628gok9xbh2j8, afqry84j23xgkhqryrontj190, e4rpnf90oa672lcm8ego7vllg, e23u0x31okggroh6dkoqx5fdg, gz9dek1oxgman9jslfku0zmy, es0bxxdxf6bco25evmg19ic4, o3gftw0hatp1r62ynjmlaaui, 76xo0u2yd2cqf8xdyh8rteqdw, 65g50zt5gbo1lnrbc7uvwsbo4, 35eyloaqnyzxecdatlfdqfbis, ov4fk38lrcculu6tdbnrto2c'}, {'id': 4971128121, 'qualifierId': 130, 'value': '8'}, {'id': 4971852201, 'qualifierId': 194, 'value': '5jqdll75iffj1cykuz06ue7ai'}, {'id': 4971128127, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4971128117, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4971128119, 'qualifierId': 59, 'value': '21, 20, 24, 91, 4, 34, 65, 44, 97, 82, 79, 27, 35, 37, 46, 57, 66, 76, 90'}, {'id': 4971128123, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;cdi8rq3pm3ors98rl4dcw07is;Team set up;;6066,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2676616143;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-04-21T19:03:50.379Z;2024-04-28T21:25:39Z;[{'id': 4971333265, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cdi8rq3pm3ors98rl4dcw07is;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;0;New York RB II;0;;
2676616165;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-04-21T19:03:50.379Z;2024-04-21T19:03:52Z;[{'id': 4971333359, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cdi8rq3pm3ors98rl4dcw07is;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2676616177;3;1;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;49,9;49,1;2024-04-21T19:03:50.380Z;2024-04-21T19:03:53Z;[{'id': 4971333427, 'qualifierId': 212, 'value': '14.1'}, {'id': 4971333429, 'qualifierId': 213, 'value': '3.22'}, {'id': 4971333423, 'qualifierId': 140, 'value': '36.5'}, {'id': 4971333425, 'qualifierId': 141, 'value': '47.5'}, {'id': 4971333431, 'qualifierId': 279, 'value': 'S'}, {'id': 4971333421, 'qualifierId': 56, 'value': 'Back'}];9j3va21w5i9ypf8qmt4g1vggk;E. Davis;;;cdi8rq3pm3ors98rl4dcw07is;Pass;;;;;;;;;;14,1;3,22;36,5;47,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;36,5;47,5;;;;;;;;0;0;0;New York RB II;0;;1,0
2676616213;4;1;1;0;3;1zgjjyruyufrkh4xjvryqsb1i;1;36,5;47,5;2024-04-21T19:03:53.546Z;2024-04-21T19:03:56Z;[{'id': 4971333641, 'qualifierId': 212, 'value': '26.5'}, {'id': 4971333643, 'qualifierId': 213, 'value': '1.79'}, {'id': 4971333639, 'qualifierId': 141, 'value': '85.6'}, {'id': 4971333637, 'qualifierId': 140, 'value': '31.0'}, {'id': 4971333635, 'qualifierId': 56, 'value': 'Back'}];81w1fqi66z0ibawynhraybaxg;S. Ngabo;;;cdi8rq3pm3ors98rl4dcw07is;Pass;;;;;;;;;;26,5;1,79;31,0;85,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;31,0;85,6;;;;;;;;0;0;3;New York RB II;3;;1,0
2676616281;5;1;1;0;5;1zgjjyruyufrkh4xjvryqsb1i;1;30,5;83,6;2024-04-21T19:03:56.218Z;2024-04-21T19:04:01Z;[{'id': 4971334057, 'qualifierId': 212, 'value': '16.9'}, {'id': 4971334055, 'qualifierId': 141, 'value': '61.2'}, {'id': 4971334053, 'qualifierId': 140, 'value': '23.5'}, {'id': 4971334051, 'qualifierId': 56, 'value': 'Back'}, {'id': 4971334059, 'qualifierId': 213, 'value': '4.26'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;cdi8rq3pm3ors98rl4dcw07is;Pass;;;;;;;;;;16,9;4,26;23,5;61,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;23,5;61,2;;;;;;;;0;0;5;New York RB II;5;;1,0
2676616307;6;1;1;0;11;1zgjjyruyufrkh4xjvryqsb1i;0;24,5;62,1;2024-04-21T19:04:01.883Z;2024-04-28T21:30:09Z;[{'id': 4971334189, 'qualifierId': 1}, {'id': 4991130271, 'qualifierId': 155}, {'id': 4971334183, 'qualifierId': 141, 'value': '57.5'}, {'id': 4971334187, 'qualifierId': 213, 'value': '6.21'}, {'id': 4971334181, 'qualifierId': 140, 'value': '65.3'}, {'id': 4971334179, 'qualifierId': 56, 'value': 'Center'}, {'id': 4971334185, 'qualifierId': 212, 'value': '43.0'}];a3qa9kw3vbh8nu5mgns92czro;O. Makhanya;;;cdi8rq3pm3ors98rl4dcw07is;Pass;;;;;;;;;;43,0;6,21;65,3;57,5;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;65,3;57,5;;;;;;;;0;0;11;New York RB II;11;;1,0
2676616343;3;44;1;0;13;4g68p0t2f5jzhzfr67i2rj1ex;1;29,2;46,0;2024-04-21T19:04:03.881Z;2024-04-21T19:04:07Z;[{'id': 4971334425, 'qualifierId': 56, 'value': 'Back'}, {'id': 4971334429, 'qualifierId': 285}, {'id': 4971334485, 'qualifierId': 233, 'value': '7'}];59kitnlge8bjsxmhy850bsutw;J. Gutierrez;;;cdi8rq3pm3ors98rl4dcw07is;Aerial;;;;;;;;;;;;;;;;;;1,0;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;13;Philadelphia Union II;13;DC;1,0
2676616313;7;44;1;0;13;1zgjjyruyufrkh4xjvryqsb1i;0;70,8;54,0;2024-04-21T19:04:03.882Z;2024-04-21T20:02:01Z;[{'id': 4971334219, 'qualifierId': 286}, {'id': 4971334217, 'qualifierId': 56, 'value': 'Center'}, {'id': 4971334521, 'qualifierId': 233, 'value': '3'}];9j3va21w5i9ypf8qmt4g1vggk;E. Davis;;;cdi8rq3pm3ors98rl4dcw07is;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;13;New York RB II;13;;1,0
