id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_TeamPlayerFormation;value_TeamFormation;value_TeamKit;value_Captain;value_JerseyNumber;value_Resume;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_Zone;value_Length;value_PassEndY;value_KickOff;value_Angle;value_PassEndX;value_LongBall;value_Chipped;value_HeadPass;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_BlockedPass;value_Offensive;value_Defensive;value_Launch;value_DeletedEventType;value_OutSwinger;value_Cross;value_RightFooted;value_NextEventGoalKick;value_Low;value_GoalKick;value_FlickOn;value_Head;value_OutOfPlay;value_SwitchOfPlay;value_LayOff;value_TouchTypeClearance;value_IntendedTackleTarget;value_TakeOnOvertake;value_ThroughBall;value_ShirtPull/Holding;value_Direct;value_Foul;value_FreeKickTaken;value_IntentionalAssist;value_Assist;value_BlockedY;value_RelatedEventId;value_FirstTouch;value_GoalmouthZ;value_HitWoodwork;value_IndividualPlay;value_LowRight;value_BlockedX;value_GoalmouthY;value_Assisted;value_LeftFooted;value_RegularPlay;value_OutOfBoxCentre;value_LowGkIntervention;value_ParriedDanger;value_Diving;value_Hands;value_FantasyAssistId;value_FantasyAssistedBy;value_FantasyAssistType;value_GoalShotTimestamp;value_FantasyAssistTeam;value_BoxCentre;value_LowLeft;value_GoalShotGameClock;value_GkX;value_NotAssisted;value_BigChance;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_GkY;value_KeeperThrow;value_MediumGkIntervention;value_Shove/Push;value_Blocked;value_LowCentre;value_DefBlock;value_TakeOnSpace;value_TouchTypeControl;value_AttemptedTackle;value_ParriedSafe;value_BlockedCross;value_PullBack;value_CloseHigh;value_FreeKick;value_SwerveLeft;value_RefereeDelay;value_DrinksBreak;value_IncorrectOutOfPlayDecision;value_High;value_OverArm;value_Left;value_CornerTaken;value_InSwinger;value_Right;value_NotPastGoalLine;value_Volley;value_FromCorner;value_SmallBoxLeft;value_HighGkIntervention;value_GkStart;value_Defensive1V1;value_YellowCard;value_TimeWasting;value_NotVisible;value_Minutes;value_Overrun;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Deflection;value_Standing;value_Handball;value_Dissent;value_CloseRight;value_HighLeft;value_TempBlocked;value_RecklessOffence;value_PlayersCaughtOffside;value_Indirect;value_OverhitCross;value_LeadingToAttempt;value_1On1;value_CloseLeft;value_RelatedError1Id;value_BoxLeft;value_InjuredPlayerId;value_Injury;value_HighClaim;value_Stooping;value_Collected;value_ByWall;value_SetPiece;value_GkKickFromHands;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2680139609;1;34;16;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-04-28T18:05:08.470Z;2024-04-28T19:15:03Z;[{'id': 4990404695, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990404693, 'qualifierId': 130, 'value': '8'}, {'id': 4990404699, 'qualifierId': 197, 'value': '3378'}, {'id': 4990404697, 'qualifierId': 194, 'value': 'i5wj5hcg2r9934e7gauxtgmi'}, {'id': 4990404691, 'qualifierId': 59, 'value': '50, 30, 64, 53, 54, 68, 32, 56, 23, 49, 34, 28, 29, 48, 59, 66, 62, 95, 96, 99'}, {'id': 4990404701, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990404687, 'qualifierId': 30, 'value': 'c2j0af3amobjhnadwf8cucbca, 6g7i7z6m8vts105dny1g6z3hm, 4ulfw4ik3i6ks2t7utgek5l3o, i5wj5hcg2r9934e7gauxtgmi, ex99a6zbacpkkhgvynu80qpzo, 4jkf81djj5h43v8rlnib1tizu, aa4v8xfn3ra4digk5h7gdrbze, 9bv0zjyrsopyv3hw8m47sgr9w, 7tpb4dk9meee0utyu4cosnxn8, p99ze5cksh5tv01knf5oj33e, abemsr9zh7bklu5jboks5ivpw, cqlc423f6bid2uy3togwkvlgq, 2wsgrwgiotfis2l96i0sxlvys, 2meqkx9av039q3cvedrp6jg4q, c2b6h5zwjvzdvdcybyuqd6exg, brzi1qy5hkx7zhxhjykg8ox78, 595bi39ikp8s9sfw6q5981mvo, 25rizu4n91uyax4z6l5jv6dqs, 37uh4n2zngcixlzo8vnk50vtg, 8h2vywep73yn25kus2nda8ga2'}, {'id': 4990404689, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;cgwkg6392h02jq056cf3niw44;Team set up;;8,0;3378,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;0;0;0;0;Toronto II;0;;
2680149997;1;34;16;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-04-28T18:22:53.743Z;2024-05-01T17:07:18Z;[{'id': 4990460469, 'qualifierId': 130, 'value': '13'}, {'id': 4990460467, 'qualifierId': 59, 'value': '40, 92, 73, 58, 65, 51, 89, 71, 38, 72, 12, 79, 80, 68, 78, 81, 82, 85, 95, 97'}, {'id': 4990460463, 'qualifierId': 30, 'value': 'dt797hve9mdpnuyy1z4pnpp1w, 5l9js12tsf18c7st0oac3swes, 7w2rw1jd8ouhu8bbvswvysu8k, 2figny7hhxiw29vizhlyta3o4, c71n0j2gn476m4fzwxldxfms4, 8pvvljn4uasfjxdleh56pm38, e8i5fg3tp35k8iys32eiv7jmc, 3wn0nn5q8g2mjzuc8yb4dvu2, d5del7kcf1zgkd2uvhius8y22, 7z57s6veqr3k87quyd6i7fgx6, 7ldwk5ikbjcfd3zpke7s6to9g, dqxh3f9qy6lhrwabvnbb6erro, 9n4pw401dtt30wlnwrxvads7o, 7q8y6gbmg9j75zgm3nhs3bfh0, 5i11tuepyu9viqkbbzc96do9g, 6xu5v7x5zge1k83w40mmbxyzu, c760g3hvhvi7nra7gpdrynn1m, d8u6lnk9lmbrgv9obcshpec8a, 5qfwg7j8xrfv19ouu4gvrs00k, u5v1owoegnvaqvk214qlvh90'}, {'id': 4990460465, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4995854231, 'qualifierId': 194, 'value': 'c71n0j2gn476m4fzwxldxfms4'}, {'id': 4990460475, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990460473, 'qualifierId': 197, 'value': '3386'}, {'id': 4990460471, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;cgwkg6392h02jq056cf3niw44;Team set up;;13,0;3386,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;0;Orlando City B;0;;
2680174575;2;32;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-04-28T19:03:20.680Z;2024-04-28T19:03:22Z;[{'id': 4990599861, 'qualifierId': 127, 'value': 'Right to Left'}];;;;cgwkg6392h02jq056cf3niw44;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;0;Orlando City B;0;;
2680174555;2;32;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-04-28T19:03:20.680Z;2024-05-01T16:59:28Z;[{'id': 4990599745, 'qualifierId': 127, 'value': 'Left to Right'}];;;;cgwkg6392h02jq056cf3niw44;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;0;0;0;0;Toronto II;0;;
2680174581;3;1;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;50,0;50,0;2024-04-28T19:03:20.681Z;2024-04-28T19:03:23Z;[{'id': 4990599887, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990599895, 'qualifierId': 212, 'value': '12.0'}, {'id': 4990599893, 'qualifierId': 141, 'value': '49.6'}, {'id': 4990599899, 'qualifierId': 279, 'value': 'S'}, {'id': 4990599897, 'qualifierId': 213, 'value': '3.16'}, {'id': 4990599891, 'qualifierId': 140, 'value': '38.6'}];p99ze5cksh5tv01knf5oj33e;J. Solís;;cgwkg6392h02jq056cf3niw44;Pass;;;;;;;;;;;12,0;49,6;;3,16;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;38,6;49,6;;;;;;;0;0;0;0;Toronto II;0;AMC;1,0
2680174623;4;1;1;0;2;479lsfr4cwlzewpbuda3y2xv4;1;38,1;50,3;2024-04-28T19:03:23.553Z;2024-04-28T19:03:25Z;[{'id': 4990600143, 'qualifierId': 213, 'value': '2.43'}, {'id': 4990600133, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990600135, 'qualifierId': 140, 'value': '28.1'}, {'id': 4990600137, 'qualifierId': 141, 'value': '63.6'}, {'id': 4990600139, 'qualifierId': 212, 'value': '13.9'}];i5wj5hcg2r9934e7gauxtgmi;I. Almaguer;;cgwkg6392h02jq056cf3niw44;Pass;;;;;;;;;;;13,9;63,6;;2,43;28,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;28,1;63,6;;;;;;;0;0;0;2;Toronto II;2;MC;1,0
2680174671;5;1;1;0;5;479lsfr4cwlzewpbuda3y2xv4;1;28,1;63,6;2024-04-28T19:03:25.858Z;2024-04-28T19:55:25Z;[{'id': 4990600405, 'qualifierId': 140, 'value': '81.6'}, {'id': 4990600411, 'qualifierId': 213, 'value': '5.70'}, {'id': 4990600403, 'qualifierId': 56, 'value': 'Right'}, {'id': 4990600407, 'qualifierId': 141, 'value': '9.4'}, {'id': 4990600409, 'qualifierId': 212, 'value': '67.2'}, {'id': 4990600413, 'qualifierId': 1}, {'id': 4990600401, 'qualifierId': 155}];4ulfw4ik3i6ks2t7utgek5l3o;M. Cocca;;cgwkg6392h02jq056cf3niw44;Pass;;;;;;;;;;;67,2;9,4;;5,7;81,6;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;81,6;9,4;;;;;;;0;0;0;5;Toronto II;5;DC;1,0
2680174717;6;1;1;0;8;479lsfr4cwlzewpbuda3y2xv4;1;81,6;10,0;2024-04-28T19:03:29.409Z;2024-04-28T19:03:33Z;[{'id': 4990600679, 'qualifierId': 56, 'value': 'Right'}, {'id': 4990600677, 'qualifierId': 3}, {'id': 4990600683, 'qualifierId': 141, 'value': '18.3'}, {'id': 4990600685, 'qualifierId': 212, 'value': '5.7'}, {'id': 4990600681, 'qualifierId': 140, 'value': '81.3'}, {'id': 4990600687, 'qualifierId': 213, 'value': '1.63'}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;cgwkg6392h02jq056cf3niw44;Pass;;;;;;;;;;;5,7;18,3;;1,63;81,3;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;81,3;18,3;;;;;;;0;0;0;8;Toronto II;8;DR;1,0
2680212011;460;1;1;0;9;479lsfr4cwlzewpbuda3y2xv4;1;80,3;15,8;2024-04-28T19:03:29.680Z;2024-05-01T17:11:20Z;[{'id': 4990808881, 'qualifierId': 141, 'value': '24.4'}, {'id': 4990808877, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990808883, 'qualifierId': 212, 'value': '6.4'}, {'id': 4990808879, 'qualifierId': 140, 'value': '77.9'}, {'id': 4990808885, 'qualifierId': 213, 'value': '1.98'}];7tpb4dk9meee0utyu4cosnxn8;S. Mohammed;;cgwkg6392h02jq056cf3niw44;Pass;;;;;;;;;;;6,4;24,4;;1,98;77,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;77,9;24,4;;;;;;;0;0;0;9;Toronto II;9;FW;1,0
2680212059;461;1;1;0;10;479lsfr4cwlzewpbuda3y2xv4;1;77,1;20,0;2024-04-28T19:03:30.680Z;2024-04-28T19:55:50Z;[{'id': 4990809129, 'qualifierId': 212, 'value': '5.2'}, {'id': 4990809127, 'qualifierId': 141, 'value': '15.9'}, {'id': 4990809125, 'qualifierId': 140, 'value': '72.9'}, {'id': 4990809123, 'qualifierId': 56, 'value': 'Right'}, {'id': 4990809131, 'qualifierId': 213, 'value': '3.71'}];aa4v8xfn3ra4digk5h7gdrbze;W. Rivera;;cgwkg6392h02jq056cf3niw44;Pass;;;;;;;;;;;5,2;15,9;;3,71;72,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;72,9;15,9;;;;;;;0;0;0;10;Toronto II;10;AMR;1,0
