id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_Involved;value_TeamFormation;value_Captain;value_Resume;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndX;value_Zone;value_KickOff;value_Angle;value_PassEndY;value_Length;value_LongBall;value_Chipped;value_HeadPass;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_TouchTypeControl;value_Defensive;value_IntendedTackleTarget;value_TakeOnSpace;value_TouchTypePass;value_Launch;value_FlickOn;value_OutOfPlay;value_LayOff;value_SwitchOfPlay;value_DeletedEventType;value_TakeOnOvertake;value_BlockedPass;value_RightFooted;value_OutSwinger;value_Cross;value_BlockedCross;value_Left;value_Right;value_CornerTaken;value_Assist;value_IntentionalAssist;value_GoalmouthZ;value_BlockedX;value_RelatedEventId;value_LowCentre;value_FromCorner;value_BigChance;value_BlockedY;value_BoxCentre;value_FirstTouch;value_GoalmouthY;value_Assisted;value_Head;value_Standing;value_Collected;value_Hands;value_MediumGkIntervention;value_KeeperThrow;value_NotVisible;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_GkY;value_FastBreak;value_LeftFooted;value_IndividualPlay;value_Blocked;value_GkX;value_BoxLeft;value_DefBlock;value_OutOfBoxCentre;value_LowLeft;value_InSwinger;value_TouchTypeClearance;value_PlayersCaughtOffside;value_NextEventGoalKick;value_Indirect;value_AerialFoul;value_OverhitCross;value_Unchallenged;value_LowGkIntervention;value_ThroughBall;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GoalKick;value_High;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_HighClaim;value_HighGkIntervention;value_Defensive1V1;value_Shove/Push;value_RegularPlay;value_LowRight;value_Low;value_RecklessOffence;value_Stooping;value_OverArm;value_IncorrectOutOfPlayDecision;value_2NdAssist;value_CloseRight;value_BoxDeepLeft;value_NotPastGoalLine;value_2NdAssisted;value_2NdRelatedEventId;value_SmallBoxCentre;value_HighRight;value_PullBack;value_ParriedSafe;value_BoxRight;value_Diving;value_Minutes;value_EndType;value_ParriedDanger;value_InjuredPlayerId;value_Injury;value_NotAssisted;value_SwerveRight;value_FreeKick;value_ByWall;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_GkHoof;value_MisHit;value_Overrun;value_HighCentre;value_Straight;value_DrivenCross;value_Penalty;value_PenaltyTakerId;value_Handball;value_Saved;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Feet;value_GkKickFromHands;value_GoesToPenalties;value_Scored;value_KeeperTouched;value_HighLeft;value_HitWoodwork;value_HitLeftPost;value_Missed;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2701138961;848;1;2;84;45;8ijkk62897so5r3bq0wgwx4bu;1;87,5;13,4;2024-07-15T03:46:04.284Z;2024-07-15T03:46:07Z;[{'id': 5105285025, 'qualifierId': 56, 'value': 'Center'}, {'id': 5105285031, 'qualifierId': 212, 'value': '22.1'}, {'id': 5105285027, 'qualifierId': 140, 'value': '68.3'}, {'id': 5105285033, 'qualifierId': 213, 'value': '2.72'}, {'id': 5105285029, 'qualifierId': 141, 'value': '26.7'}];7suq9shgwa8fyip80f1zy1mhg;V. Casillas;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;68,3;;;2,72;26,7;22,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;68,3;26,7;;;;;;;;0;84;45;Los Angeles II;5085;DR;1,0
2701138963;849;1;2;84;48;8ijkk62897so5r3bq0wgwx4bu;1;68,5;28,8;2024-07-15T03:46:06.732Z;2024-07-15T03:46:09Z;[{'id': 5105285051, 'qualifierId': 212, 'value': '26.6'}, {'id': 5105285049, 'qualifierId': 141, 'value': '67.9'}, {'id': 5105285053, 'qualifierId': 213, 'value': '1.60'}, {'id': 5105285045, 'qualifierId': 56, 'value': 'Center'}, {'id': 5105285047, 'qualifierId': 140, 'value': '67.7'}];2eoftsi3eznjjmhu8ybft11ck;N. Schelotto;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;67,7;;;1,6;67,9;26,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;67,7;67,9;;;;;;;;0;84;48;Los Angeles II;5088;Sub;1,0
2701138969;850;1;2;84;51;8ijkk62897so5r3bq0wgwx4bu;1;68,6;67,3;2024-07-15T03:46:09.772Z;2024-07-15T03:46:12Z;[{'id': 5105285099, 'qualifierId': 56, 'value': 'Center'}, {'id': 5105285103, 'qualifierId': 141, 'value': '49.6'}, {'id': 5105285107, 'qualifierId': 213, 'value': '4.34'}, {'id': 5105285105, 'qualifierId': 212, 'value': '12.9'}, {'id': 5105285101, 'qualifierId': 140, 'value': '64.1'}];e23yyl43xtcve09dx234uuj8;A. Essengue;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;64,1;;;4,34;49,6;12,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;64,1;49,6;;;;;;;;0;84;51;Los Angeles II;5091;DC;1,0
2701138973;851;1;2;84;54;8ijkk62897so5r3bq0wgwx4bu;1;64,7;49,6;2024-07-15T03:46:12.524Z;2024-07-15T03:46:14Z;[{'id': 5105285121, 'qualifierId': 212, 'value': '14.2'}, {'id': 5105285125, 'qualifierId': 213, 'value': '4.85'}, {'id': 5105285117, 'qualifierId': 140, 'value': '66.5'}, {'id': 5105285115, 'qualifierId': 56, 'value': 'Center'}, {'id': 5105285119, 'qualifierId': 141, 'value': '28.9'}];e6ocmgjfubq6qvg4wfp8zipsk;C. Tchouante;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;66,5;;;4,85;28,9;14,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;66,5;28,9;;;;;;;;0;84;54;Los Angeles II;5094;DL;1,0
2701138983;852;1;2;84;55;8ijkk62897so5r3bq0wgwx4bu;1;66,4;29,1;2024-07-15T03:46:14.477Z;2024-07-15T03:46:20Z;[{'id': 5105285197, 'qualifierId': 141, 'value': '4.0'}, {'id': 5105285195, 'qualifierId': 140, 'value': '73.5'}, {'id': 5105285199, 'qualifierId': 212, 'value': '18.6'}, {'id': 5105285193, 'qualifierId': 56, 'value': 'Right'}, {'id': 5105285201, 'qualifierId': 213, 'value': '5.12'}];2eoftsi3eznjjmhu8ybft11ck;N. Schelotto;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;73,5;;;5,12;4,0;18,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;73,5;4,0;;;;;;;;0;84;55;Los Angeles II;5095;Sub;1,0
2701138987;853;1;2;85;1;8ijkk62897so5r3bq0wgwx4bu;1;77,9;6,8;2024-07-15T03:46:20.077Z;2024-07-15T03:46:23Z;[{'id': 5105285217, 'qualifierId': 213, 'value': '2.44'}, {'id': 5105285215, 'qualifierId': 212, 'value': '11.4'}, {'id': 5105285211, 'qualifierId': 140, 'value': '69.6'}, {'id': 5105285209, 'qualifierId': 56, 'value': 'Right'}, {'id': 5105285213, 'qualifierId': 141, 'value': '17.7'}];b2sl4wp77nrynvodb6k19yfze;D. Díaz;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;69,6;;;2,44;17,7;11,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;69,6;17,7;;;;;;;;0;85;1;Los Angeles II;5101;AMR;1,0
2701138989;854;1;2;85;4;8ijkk62897so5r3bq0wgwx4bu;0;69,8;21,0;2024-07-15T03:46:23.004Z;2024-07-20T15:00:42Z;[{'id': 5105285225, 'qualifierId': 2}, {'id': 5105285227, 'qualifierId': 155}, {'id': 5110393441, 'qualifierId': 223}, {'id': 5105285229, 'qualifierId': 56, 'value': 'Center'}, {'id': 5110393443, 'qualifierId': 72}, {'id': 5105285231, 'qualifierId': 140, 'value': '100.0'}, {'id': 5105285235, 'qualifierId': 212, 'value': '41.3'}, {'id': 5105285237, 'qualifierId': 213, 'value': '0.67'}, {'id': 5105285233, 'qualifierId': 141, 'value': '58.5'}, {'id': 5105285239, 'qualifierId': 1}];2eoftsi3eznjjmhu8ybft11ck;N. Schelotto;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;100,0;;;0,67;58,5;41,3;1,0;1,0;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;100,0;58,5;;;;;;;;0;85;4;Los Angeles II;5104;Sub;1,0
2701138993;765;5;2;85;7;6gaq85erpkvbyxvivd96wuw44;1;-0,6;41,9;2024-07-15T03:46:26.105Z;2024-07-15T03:46:30Z;[{'id': 5105285245, 'qualifierId': 56, 'value': 'Back'}, {'id': 5105285247, 'qualifierId': 346}, {'id': 5105285249, 'qualifierId': 233, 'value': '855'}];cuxpxs76g96vwhrnhw9rw2ihg;J. Hernandez;;;e2wgkfzh4bywcg6tk7di384yc;Out;;;;;;;;;;;;;;;;;;;855,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;85;7;Ventura County;5107;FW;1,0
2701138991;855;5;2;85;7;8ijkk62897so5r3bq0wgwx4bu;0;100,6;58,1;2024-07-15T03:46:26.105Z;2024-07-15T03:46:27Z;[{'id': 5105285241, 'qualifierId': 56, 'value': 'Center'}, {'id': 5105285253, 'qualifierId': 233, 'value': '765'}, {'id': 5105285243, 'qualifierId': 346}];2eoftsi3eznjjmhu8ybft11ck;N. Schelotto;;;e2wgkfzh4bywcg6tk7di384yc;Out;;;;;;;;;;;;;;;;;;;765,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;;0;85;7;Los Angeles II;5107;Sub;1,0
2701139009;856;18;2;85;19;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-07-15T03:46:38.335Z;2024-07-20T15:01:38Z;[{'id': 5105285395, 'qualifierId': 59, 'value': '53'}, {'id': 5105285391, 'qualifierId': 42}, {'id': 5105285419, 'qualifierId': 55, 'value': '857'}, {'id': 5105285393, 'qualifierId': 44, 'value': 'Midfielder'}];b2sl4wp77nrynvodb6k19yfze;D. Díaz;;;e2wgkfzh4bywcg6tk7di384yc;Player off;53,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;857,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;857,0;byzzgz3ix7vuh6c3hqf7580lw;;0;85;19;Los Angeles II;5119;AMR;1,0
