id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Resume;value_Involved;value_JerseyNumber;value_TeamFormation;value_Captain;value_TeamPlayerFormation;value_TeamKit;value_DirectionOfPlay;value_Zone;value_KickOff;value_PassEndX;value_PassEndY;value_Length;value_Angle;value_Chipped;value_LongBall;value_Launch;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_IntendedTackleTarget;value_Defensive;value_TakeOnSpace;value_Offensive;value_LeadingToAttempt;value_Assist;value_IntentionalAssist;value_RelatedEventId;value_BlockedX;value_Blocked;value_GkX;value_GkY;value_LeftFooted;value_BoxCentre;value_RegularPlay;value_GoalmouthZ;value_LowCentre;value_FirstTouch;value_GoalmouthY;value_BlockedY;value_Assisted;value_DefBlock;value_Left;value_Cross;value_CornerTaken;value_InSwinger;value_RightFooted;value_TouchTypeClearance;value_NotVisible;value_OutOfPlay;value_HeadPass;value_DrivenCross;value_Straight;value_TouchTypePass;value_DeletedEventType;value_LayOff;value_OutSwinger;value_MediumGkIntervention;value_GkKickFromHands;value_Injury;value_InjuredPlayerId;value_SwitchOfPlay;value_Volley;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_KeeperTouched;value_GoalShotTimestamp;value_LowLeft;value_GoalShotGameClock;value_PlayersCaughtOffside;value_FreeKickTaken;value_Direct;value_AttemptedTackle;value_Foul;value_ShirtPull/Holding;value_BlockedPass;value_Head;value_HighGkIntervention;value_TouchTypeControl;value_BoxLeft;value_Hands;value_Diving;value_Collected;value_LowGkIntervention;value_KeeperThrow;value_Indirect;value_LeadingToGoal;value_NotAssisted;value_RelatedError1Id;value_IndividualPlay;value_FastBreak;value_SoloRun;value_Tap;value_BlockedCross;value_NextEventGoalKick;value_GoalKick;value_Low;value_Shove/Push;value_High;value_SetPiece;value_FlickOn;value_OutOfBoxCentre;value_LowRight;value_Overrun;value_TakeOnOvertake;value_35Centre;value_Standing;value_OverArm;value_BigChance;value_Minutes;value_Right;value_FromCorner;value_NotPastGoalLine;value_MisHit;value_SmallBoxCentre;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_RecklessOffence;value_YellowCard;value_FreeKick;value_PullBack;value_SmallBoxLeft;value_AerialFoul;value_ThroughBall;value_ProfessionalFoulLastMan;value_RedCard;value_HighLeft;value_ParriedSafe;value_Reaching;value_SixYardBlocked;value_GkHoof;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2746631759;120;1;1;11;46;99l7fsj6ykgbyqcb9zqqu9dgq;1;32,0;71,8;2024-11-10T01:53:15.628Z;2024-11-12T07:10:50Z;[{'id': 5354794089, 'qualifierId': 212, 'value': '13.1'}, {'id': 5354794085, 'qualifierId': 140, 'value': '31.5'}, {'id': 5354794091, 'qualifierId': 213, 'value': '1.61'}, {'id': 5354794083, 'qualifierId': 56, 'value': 'Back'}, {'id': 5354794087, 'qualifierId': 141, 'value': '91.0'}];74rnjizxzn5a0oag6sue0ja7e;C. Sainté;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;31,5;91,0;13,1;1,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;31,5;91,0;;;;;;;0;0;11;46;Philadelphia Union II;706;MC;1,0
2746631761;121;1;1;11;47;99l7fsj6ykgbyqcb9zqqu9dgq;1;28,0;92,0;2024-11-10T01:53:16.555Z;2024-11-12T07:08:58Z;[{'id': 5354794095, 'qualifierId': 56, 'value': 'Center'}, {'id': 5354794101, 'qualifierId': 212, 'value': '25.4'}, {'id': 5354794099, 'qualifierId': 141, 'value': '78.7'}, {'id': 5354794103, 'qualifierId': 213, 'value': '5.92'}, {'id': 5354794097, 'qualifierId': 140, 'value': '50.6'}];9acojrco6dg2i9otq02gj6904;T. Rose;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;50,6;78,7;25,4;5,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;50,6;78,7;;;;;;;0;0;11;47;Philadelphia Union II;707;DC;1,0
2747793725;933;1;1;11;48;99l7fsj6ykgbyqcb9zqqu9dgq;0;47,0;80,1;2024-11-10T01:53:17.095Z;2024-11-12T07:09:23Z;[{'id': 5361083421, 'qualifierId': 56, 'value': 'Back'}, {'id': 5361083429, 'qualifierId': 213, 'value': '3.18'}, {'id': 5361083427, 'qualifierId': 212, 'value': '15.4'}, {'id': 5361083425, 'qualifierId': 141, 'value': '79.2'}, {'id': 5361083423, 'qualifierId': 140, 'value': '32.3'}];bijyc7qlb2849vos6kn7kd0yc;L. Farrington;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;32,3;79,2;15,4;3,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;32,3;79,2;;;;;;;0;0;11;48;Philadelphia Union II;708;FW;1,0
2746631773;91;1;1;11;48;1zgjjyruyufrkh4xjvryqsb1i;1;60,8;27,7;2024-11-10T01:53:17.106Z;2024-11-12T07:09:47Z;[{'id': 5354794165, 'qualifierId': 212, 'value': '15.2'}, {'id': 5354794163, 'qualifierId': 141, 'value': '46.9'}, {'id': 5354794161, 'qualifierId': 140, 'value': '53.3'}, {'id': 5354794159, 'qualifierId': 56, 'value': 'Center'}, {'id': 5354794167, 'qualifierId': 213, 'value': '2.11'}];20wmdzih6b1t0ekt1v2qd4b2s;C. Sullivan;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;53,3;46,9;15,2;2,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;53,3;46,9;;;;;;;0;0;11;48;North Texas;708;AMC;1,0
2747793987;644;49;1;11;49;1zgjjyruyufrkh4xjvryqsb1i;1;56,8;50,1;2024-11-10T01:53:18.443Z;2024-11-12T07:11:42Z;[];7bodno8j3qjiqp9wy8kobwmqc;C. Olney;;;5ksp4ss5y5uibvn9hr3jps0es;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;0;0;11;49;North Texas;709;ML;1,0
2746631797;92;1;1;11;50;1zgjjyruyufrkh4xjvryqsb1i;1;53,7;46,3;2024-11-10T01:53:19.170Z;2024-11-12T07:11:55Z;[{'id': 5354794291, 'qualifierId': 56, 'value': 'Back'}, {'id': 5354794299, 'qualifierId': 213, 'value': '3.00'}, {'id': 5354794297, 'qualifierId': 212, 'value': '18.2'}, {'id': 5354794295, 'qualifierId': 141, 'value': '50.0'}, {'id': 5354794293, 'qualifierId': 140, 'value': '36.5'}];7bodno8j3qjiqp9wy8kobwmqc;C. Olney;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;36,5;50,0;18,2;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;36,5;50,0;;;;;;;0;0;11;50;North Texas;710;ML;1,0
2746631801;93;43;1;11;52;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-11-10T01:53:21.370Z;2024-11-10T01:53:39Z;[{'id': 5354794327, 'qualifierId': 141, 'value': '50.9'}, {'id': 5354795009, 'qualifierId': 144, 'value': '1'}, {'id': 5354794319, 'qualifierId': 157, 'value': '0'}, {'id': 5354794329, 'qualifierId': 212, 'value': '0'}, {'id': 5354794331, 'qualifierId': 213, 'value': '0.00'}, {'id': 5354794325, 'qualifierId': 140, 'value': '36.5'}, {'id': 5354794323, 'qualifierId': 56, 'value': 'Back'}, {'id': 5354794333, 'qualifierId': 1, 'value': '0'}];a3qa9kw3vbh8nu5mgns92czro;O. Makhanya;;;5ksp4ss5y5uibvn9hr3jps0es;Deleted event;;;;;;;;;;;;36,5;50,9;0,0;0,0;;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;36,5;50,9;;;;;;;0;0;11;52;North Texas;712;DC;1,0
2746631803;94;43;1;11;52;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-11-10T01:53:21.614Z;2024-11-12T07:11:58Z;[{'id': 5361085095, 'qualifierId': 144, 'value': '49'}];a3qa9kw3vbh8nu5mgns92czro;O. Makhanya;;;5ksp4ss5y5uibvn9hr3jps0es;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;0;0;11;52;North Texas;712;DC;1,0
2746631823;95;1;1;11;53;1zgjjyruyufrkh4xjvryqsb1i;1;36,5;50,9;2024-11-10T01:53:22.570Z;2024-11-10T01:53:24Z;[{'id': 5354794449, 'qualifierId': 56, 'value': 'Left'}, {'id': 5354794457, 'qualifierId': 213, 'value': '0.97'}, {'id': 5354794459, 'qualifierId': 1}, {'id': 5354794451, 'qualifierId': 140, 'value': '57.2'}, {'id': 5354794455, 'qualifierId': 212, 'value': '38.4'}, {'id': 5354794453, 'qualifierId': 141, 'value': '97.5'}];a3qa9kw3vbh8nu5mgns92czro;O. Makhanya;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;57,2;97,5;38,4;0,97;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;57,2;97,5;;;;;;;0;0;11;53;North Texas;713;DC;1,0
2746631843;96;1;1;11;55;1zgjjyruyufrkh4xjvryqsb1i;1;57,2;97,5;2024-11-10T01:53:24.682Z;2024-11-10T01:53:26Z;[{'id': 5354794537, 'qualifierId': 213, 'value': '5.04'}, {'id': 5354794535, 'qualifierId': 212, 'value': '14.5'}, {'id': 5354794533, 'qualifierId': 141, 'value': '77.3'}, {'id': 5354794529, 'qualifierId': 56, 'value': 'Center'}, {'id': 5354794531, 'qualifierId': 140, 'value': '61.7'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;61,7;77,3;14,5;5,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;61,7;77,3;;;;;;;0;0;11;55;North Texas;715;DC;1,0
