id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_PlayerPosition;value_TeamKit;value_TeamFormation;value_JerseyNumber;value_Captain;value_Involved;value_Resume;value_TeamPlayerFormation;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Zone;value_Length;value_Angle;value_PassEndY;value_Launch;value_LongBall;value_HeadPass;value_LeadingToAttempt;value_GkY;value_High;value_GoalmouthY;value_GoalmouthZ;value_RegularPlay;value_RightFooted;value_BoxCentre;value_RelatedError1Id;value_BigChance;value_GkX;value_NotAssisted;value_NextEventGoalKick;value_OppositeRelatedEventId;value_NotVisible;value_Low;value_GoalKick;value_TouchTypeClearance;value_DeletedEventType;value_Chipped;value_Defensive;value_TakeOnOvertake;value_Offensive;value_IntendedTackleTarget;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_BlockedY;value_BlockedX;value_FirstTouch;value_IndividualPlay;value_LowCentre;value_OutOfBoxCentre;value_Stooping;value_Hands;value_LowGkIntervention;value_Collected;value_KeeperThrow;value_Head;value_TakeOnSpace;value_Cross;value_OutSwinger;value_TouchTypeControl;value_Direct;value_ShirtPull/Holding;value_Foul;value_RelatedEventId;value_TacticalFoul;value_YellowCard;value_FreeKickTaken;value_Assist;value_ThroughBall;value_IntentionalAssist;value_Standing;value_ParriedSafe;value_GoalShotGameClock;value_FollowsADribble;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_SmallBoxRight;value_Assisted;value_FloatedCross;value_Straight;value_HighGkIntervention;value_HighClaim;value_LayOff;value_AttemptedTackle;value_RecklessOffence;value_TouchTypePass;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_OutOfPlay;value_LeftFooted;value_Blocked;value_LowRight;value_DefBlock;value_Shove/Push;value_Overrun;value_CloseRight;value_Handball;value_BoxRight;value_MediumGkIntervention;value_HighRight;value_OtherBodyPart;value_ParriedDanger;value_Volley;value_BoxDeepRight;value_Reaching;value_FlickOn;value_HighCentre;value_CloseLeft;value_BlockedCross;value_OverhitCross;value_CloseRightAndHigh;value_Diving;value_InSwinger;value_Right;value_Left;value_CornerTaken;value_PenaltyTakerId;value_Penalty;value_DeniedGoalScoringOpp;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistId;value_Scored;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Dissent;value_SwerveLeft;value_FreeKick;value_LowLeft;value_OutOfBoxRight;value_OverArm;value_NotPastGoalLine;value_FromCorner;value_GkKickFromHands;value_Strong;value_BoxLeft;value_TimeWasting;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2691444523;465;1;2;55;35;8o8m08he36u0j4w08aj2iodn8;1;23,1;75,4;2024-05-25T00:18:00.458Z;2024-05-25T00:18:03Z;[{'id': 5051933901, 'qualifierId': 212, 'value': '14.4'}, {'id': 5051933899, 'qualifierId': 141, 'value': '55.4'}, {'id': 5051933897, 'qualifierId': 140, 'value': '27.5'}, {'id': 5051933903, 'qualifierId': 213, 'value': '5.04'}, {'id': 5051933895, 'qualifierId': 56, 'value': 'Back'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;czhnymqc10p92zx3mumgzj5lg;Pass;;;;;;;;;;;27,5;;14,4;5,04;55,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;27,5;55,4;;;;;;;;0;55;35;Columbus Crew II;3335;DC;1,0
2691444547;466;1;2;55;38;8o8m08he36u0j4w08aj2iodn8;1;27,4;52,7;2024-05-25T00:18:03.145Z;2024-05-25T00:18:06Z;[{'id': 5051934021, 'qualifierId': 56, 'value': 'Back'}, {'id': 5051934029, 'qualifierId': 212, 'value': '14.0'}, {'id': 5051934025, 'qualifierId': 141, 'value': '32.7'}, {'id': 5051934033, 'qualifierId': 213, 'value': '4.46'}, {'id': 5051934023, 'qualifierId': 140, 'value': '24.1'}];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;czhnymqc10p92zx3mumgzj5lg;Pass;;;;;;;;;;;24,1;;14,0;4,46;32,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;24,1;32,7;;;;;;;;0;55;38;Columbus Crew II;3338;MR;1,0
2691444565;467;1;2;55;41;8o8m08he36u0j4w08aj2iodn8;1;22,6;28,9;2024-05-25T00:18:06.066Z;2024-05-25T00:18:07Z;[{'id': 5051934143, 'qualifierId': 212, 'value': '19.1'}, {'id': 5051934139, 'qualifierId': 140, 'value': '32.1'}, {'id': 5051934137, 'qualifierId': 56, 'value': 'Back'}, {'id': 5051934145, 'qualifierId': 213, 'value': '5.26'}, {'id': 5051934141, 'qualifierId': 141, 'value': '5.0'}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;czhnymqc10p92zx3mumgzj5lg;Pass;;;;;;;;;;;32,1;;19,1;5,26;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;32,1;5,0;;;;;;;;0;55;41;Columbus Crew II;3341;DC;1,0
2691444581;468;1;2;55;42;8o8m08he36u0j4w08aj2iodn8;1;32,1;5,0;2024-05-25T00:18:07.753Z;2024-05-25T00:18:10Z;[{'id': 5051934217, 'qualifierId': 141, 'value': '11.3'}, {'id': 5051934213, 'qualifierId': 140, 'value': '18.7'}, {'id': 5051934209, 'qualifierId': 56, 'value': 'Back'}, {'id': 5051934219, 'qualifierId': 212, 'value': '14.7'}, {'id': 5051934221, 'qualifierId': 213, 'value': '2.85'}];79knhnp7bvpjomzz14k715wtm;O. Glasgow;;;czhnymqc10p92zx3mumgzj5lg;Pass;;;;;;;;;;;18,7;;14,7;2,85;11,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;18,7;11,3;;;;;;;;0;55;42;Columbus Crew II;3342;DR;1,0
2691444597;469;1;2;55;45;8o8m08he36u0j4w08aj2iodn8;1;18,9;15,0;2024-05-25T00:18:10.612Z;2024-05-25T00:18:13Z;[{'id': 5051934303, 'qualifierId': 212, 'value': '19.2'}, {'id': 5051934299, 'qualifierId': 140, 'value': '6.4'}, {'id': 5051934297, 'qualifierId': 56, 'value': 'Back'}, {'id': 5051934301, 'qualifierId': 141, 'value': '35.7'}, {'id': 5051934305, 'qualifierId': 213, 'value': '2.32'}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;czhnymqc10p92zx3mumgzj5lg;Pass;;;;;;;;;;;6,4;;19,2;2,32;35,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;6,4;35,7;;;;;;;;0;55;45;Columbus Crew II;3345;DC;1,0
2691444621;470;1;2;55;48;8o8m08he36u0j4w08aj2iodn8;0;6,3;35,5;2024-05-25T00:18:12.987Z;2024-05-25T00:18:15Z;[{'id': 5051934433, 'qualifierId': 56, 'value': 'Back'}, {'id': 5051934443, 'qualifierId': 1}, {'id': 5051934439, 'qualifierId': 212, 'value': '44.5'}, {'id': 5051934437, 'qualifierId': 141, 'value': '22.2'}, {'id': 5051934435, 'qualifierId': 140, 'value': '47.8'}, {'id': 5051934441, 'qualifierId': 213, 'value': '6.08'}, {'id': 5051934431, 'qualifierId': 157}];99hdzy5s45xr72d3lgttdmne1;J. Gal;;;czhnymqc10p92zx3mumgzj5lg;Pass;;;;;;;;;;;47,8;;44,5;6,08;22,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;47,8;22,2;;;;;;;;0;55;48;Columbus Crew II;3348;GK;1,0
2691444631;557;1;2;55;51;5b4ccd62yeeqdl2qk6jzsmjv8;0;58,2;86,9;2024-05-25T00:18:16.692Z;2024-05-25T00:18:17Z;[{'id': 5051934489, 'qualifierId': 3}, {'id': 5051934499, 'qualifierId': 213, 'value': '6.28'}, {'id': 5051934491, 'qualifierId': 56, 'value': 'Left'}, {'id': 5051934493, 'qualifierId': 140, 'value': '70.6'}, {'id': 5051934495, 'qualifierId': 141, 'value': '86.8'}, {'id': 5051934497, 'qualifierId': 212, 'value': '13.0'}];1cc8cz8wtm8f05109tjb02xka;D. Almeida;;;czhnymqc10p92zx3mumgzj5lg;Pass;;;;;;;;;;;70,6;;13,0;6,28;86,8;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;70,6;86,8;;;;;;;;0;55;51;Chicago Fire II;3351;DC;1,0
2691444651;471;1;2;55;53;8o8m08he36u0j4w08aj2iodn8;1;27,4;15,5;2024-05-25T00:18:18.829Z;2024-05-25T00:18:20Z;[{'id': 5051934601, 'qualifierId': 56, 'value': 'Back'}, {'id': 5051934609, 'qualifierId': 213, 'value': '0.09'}, {'id': 5051934607, 'qualifierId': 212, 'value': '7.0'}, {'id': 5051934605, 'qualifierId': 141, 'value': '16.4'}, {'id': 5051934603, 'qualifierId': 140, 'value': '34.0'}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;czhnymqc10p92zx3mumgzj5lg;Pass;;;;;;;;;;;34,0;;7,0;0,09;16,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;34,0;16,4;;;;;;;;0;55;53;Columbus Crew II;3353;DC;1,0
2691444671;472;3;2;55;55;8o8m08he36u0j4w08aj2iodn8;1;33,0;17,9;2024-05-25T00:18:20.688Z;2024-05-30T14:39:44Z;[{'id': 5051934715, 'qualifierId': 233, 'value': '558'}, {'id': 5051934707, 'qualifierId': 56, 'value': 'Back'}, {'id': 5061978123, 'qualifierId': 464}, {'id': 5051934719, 'qualifierId': 285}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;czhnymqc10p92zx3mumgzj5lg;Take On;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;558,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;55;55;Columbus Crew II;3355;ML;1,0
2691444653;558;45;2;55;55;5b4ccd62yeeqdl2qk6jzsmjv8;0;67,0;82,1;2024-05-25T00:18:20.688Z;2024-05-25T00:18:24Z;[{'id': 5051934733, 'qualifierId': 233, 'value': '472'}, {'id': 5051934619, 'qualifierId': 286}, {'id': 5051934617, 'qualifierId': 56, 'value': 'Left'}];37zynr7fwzqg4c9w5ydefywyy;A. González;;;czhnymqc10p92zx3mumgzj5lg;Challenge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;472,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;55;55;Chicago Fire II;3355;MC;1,0
