id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_JerseyNumber;value_Resume;value_PlayerPosition;value_TeamFormation;value_Captain;value_Involved;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndY;value_Zone;value_Length;value_KickOff;value_Angle;value_PassEndX;value_LayOff;value_Defensive;value_OppositeRelatedEventId;value_TakeOnOvertake;value_Offensive;value_Straight;value_LongBall;value_Cross;value_LeftFooted;value_DrivenCross;value_DeletedEventType;value_Chipped;value_HeadPass;value_InSwinger;value_RightFooted;value_IntendedTackleTarget;value_InjuredPlayerId;value_Injury;value_RelatedEventId;value_Launch;value_FlickOn;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_Foul;value_AttemptedTackle;value_OutSwinger;value_FreeKickTaken;value_OutOfPlay;value_Head;value_TouchTypeControl;value_SwitchOfPlay;value_PlayersCaughtOffside;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Indirect;value_TakeOnSpace;value_TouchTypeClearance;value_BlockedPass;value_Left;value_CornerTaken;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_OverArm;value_NextEventGoalKick;value_GoalKick;value_High;value_TouchTypePass;value_LowGkIntervention;value_Right;value_Assist;value_IntentionalAssist;value_GkX;value_GkY;value_Assisted;value_GoalmouthY;value_FirstTouch;value_BoxCentre;value_FromCorner;value_GoalmouthZ;value_Low;value_IndividualPlay;value_CloseRight;value_NotAssisted;value_OutOfBoxCentre;value_RegularPlay;value_Shove/Push;value_SwerveRight;value_Blocked;value_LowRight;value_FreeKick;value_BlockedX;value_BlockedY;value_ByWall;value_DefBlock;value_GkKickFromHands;value_CloseHigh;value_SetPiece;value_NotPastGoalLine;value_Overrun;value_BoxRight;value_LowLeft;value_ParriedSafe;value_Hands;value_Diving;value_BoxLeft;value_LowCentre;value_Defensive1V1;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_NotVisible;value_RecklessOffence;value_Minutes;value_ThrowInSetPiece;value_FastBreak;value_Standing;value_ParriedDanger;value_MediumGkIntervention;value_EndType;value_Tactical;value_BlockedCross;value_Collected;value_Stooping;value_ThroughBall;value_AerialFoul;value_GoalShotGameClock;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_Penalty;value_PenaltyTakerId;value_HitWoodwork;value_BigChance;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Dissent;value_HighRight;value_Handball;value_HighCentre;value_Volley;value_GkHoof;value_MisHit;value_FoulAndAbusiveLanguage;value_RedCard;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2705844671;690;18;2;86;5;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-08-04T03:49:30.230Z;2024-08-07T22:18:56Z;[{'id': 5131367963, 'qualifierId': 55, 'value': '691'}, {'id': 5131367939, 'qualifierId': 59, 'value': '42'}, {'id': 5131367937, 'qualifierId': 44, 'value': 'Midfielder'}, {'id': 5131367935, 'qualifierId': 42}];etyqw24tl6zko0qarctyv6ane;R. Peña;;;ega2vwtqvq22dz9evmnim4vf8;Player off;;42,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;691,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;691,0;aa5n9va0fkquh5xqfdgbijvv8;;0;86;5;Houston Dynamo II;5165;MC;1,0
2705844673;691;19;2;86;5;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-08-04T03:49:30.231Z;2024-08-07T22:18:56Z;[{'id': 5131367951, 'qualifierId': 59, 'value': '78'}, {'id': 5131367957, 'qualifierId': 44, 'value': 'Midfielder'}, {'id': 5131367945, 'qualifierId': 42}, {'id': 5131367949, 'qualifierId': 145, 'value': '8'}, {'id': 5131367953, 'qualifierId': 292, 'value': '7'}, {'id': 5131367959, 'qualifierId': 55, 'value': '690'}, {'id': 5131367955, 'qualifierId': 293, 'value': '5'}];aa5n9va0fkquh5xqfdgbijvv8;M. Simpson;;;ega2vwtqvq22dz9evmnim4vf8;Player on;;78,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;690,0;;;;;;;;;;;;;;;8,0;5,0;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;690,0;etyqw24tl6zko0qarctyv6ane;;0;86;5;Houston Dynamo II;5165;Sub;1,0
2705844693;757;1;2;86;26;7pmw399vh2v44cjle4fkklp1w;1;85,1;100,0;2024-08-04T03:49:51.498Z;2024-08-04T03:49:53Z;[{'id': 5131368087, 'qualifierId': 141, 'value': '95.0'}, {'id': 5131368081, 'qualifierId': 107}, {'id': 5131368089, 'qualifierId': 212, 'value': '15.8'}, {'id': 5131368085, 'qualifierId': 140, 'value': '70.6'}, {'id': 5131368083, 'qualifierId': 56, 'value': 'Left'}, {'id': 5131368091, 'qualifierId': 213, 'value': '3.40'}];2wj1w4opn7f0jyz1ps6ebvc6i;K. Sargeant;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;95,0;;15,8;;3,4;70,6;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;70,6;95,0;;;;;;;;0;86;26;Colorado Rapids II;5186;DC;1,0
2705844711;758;1;2;86;28;7pmw399vh2v44cjle4fkklp1w;1;69,8;93,3;2024-08-04T03:49:53.419Z;2024-08-04T03:49:56Z;[{'id': 5131368207, 'qualifierId': 212, 'value': '48.8'}, {'id': 5131368211, 'qualifierId': 1}, {'id': 5131368201, 'qualifierId': 56, 'value': 'Center'}, {'id': 5131368205, 'qualifierId': 141, 'value': '24.3'}, {'id': 5131368209, 'qualifierId': 213, 'value': '4.99'}, {'id': 5131368203, 'qualifierId': 140, 'value': '82.6'}, {'id': 5131368195, 'qualifierId': 155}, {'id': 5131368199, 'qualifierId': 196}];bk0ik8kr1gpu372ibbbv87ndg;J. Burbano;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;24,3;;48,8;;4,99;82,6;;;;;;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;82,6;24,3;;;;;;;;0;86;28;Colorado Rapids II;5188;Sub;1,0
2705844729;759;1;2;86;31;7pmw399vh2v44cjle4fkklp1w;1;82,6;24,3;2024-08-04T03:49:56.395Z;2024-08-04T03:51:16Z;[{'id': 5131368285, 'qualifierId': 213, 'value': '1.74'}, {'id': 5131368279, 'qualifierId': 140, 'value': '80.8'}, {'id': 5131368275, 'qualifierId': 3}, {'id': 5131368283, 'qualifierId': 212, 'value': '11.0'}, {'id': 5131368277, 'qualifierId': 56, 'value': 'Center'}, {'id': 5131368281, 'qualifierId': 141, 'value': '40.3'}, {'id': 5131370161, 'qualifierId': 210, 'value': '15'}];azzpjrq2pndxuz0waw25p7r6y;I. Reid;1,0;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;40,3;;11,0;;1,74;80,8;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;80,8;40,3;;;;;;;;0;86;31;Colorado Rapids II;5191;Sub;1,0
2705844733;760;15;2;86;33;7pmw399vh2v44cjle4fkklp1w;1;86,4;38,5;2024-08-04T03:49:59.131Z;2024-08-08T15:15:08Z;[{'id': 5131370183, 'qualifierId': 29}, {'id': 5131370185, 'qualifierId': 55, 'value': '759'}, {'id': 5131370189, 'qualifierId': 102, 'value': '51.1'}, {'id': 5131368297, 'qualifierId': 17}, {'id': 5131370217, 'qualifierId': 233, 'value': '695'}, {'id': 5131370191, 'qualifierId': 103, 'value': '20.9'}, {'id': 5131368295, 'qualifierId': 22}, {'id': 5131368299, 'qualifierId': 56, 'value': 'Center'}, {'id': 5131370195, 'qualifierId': 215}, {'id': 5131370199, 'qualifierId': 146, 'value': '98.5'}, {'id': 5131370181, 'qualifierId': 79}, {'id': 5131370203, 'qualifierId': 147, 'value': '47.8'}, {'id': 5131369943, 'qualifierId': 20}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;ega2vwtqvq22dz9evmnim4vf8;Attempt Saved;;;;;;;;;;;;;;;;;;695,0;;;;;;;;;;;;1,0;;;;759,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;51,1;;1,0;;20,9;;1,0;;;;1,0;;;;;;98,5;47,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;98,5;47,8;51,1;20.9;759,0;azzpjrq2pndxuz0waw25p7r6y;;0;86;33;Colorado Rapids II;5193;AML;1,0
2705844799;695;10;2;86;34;iiolvosiuokkrl5iuoxcjo4p;1;4,6;53,6;2024-08-04T03:49:59.231Z;2024-08-08T15:15:10Z;[{'id': 5131368549, 'qualifierId': 182}, {'id': 5131369965, 'qualifierId': 233, 'value': '760'}, {'id': 5136125839, 'qualifierId': 178}, {'id': 5136125875, 'qualifierId': 377}, {'id': 5131368551, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136125925, 'qualifierId': 174}];7vhhtm49u9nzdpc9d60empxxw;Z. Campagnolo;;;ega2vwtqvq22dz9evmnim4vf8;Save;;;;;;;;;;;;;;;;;;760,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;86;34;Houston Dynamo II;5194;GK;1,0
2705844751;761;61;2;86;38;7pmw399vh2v44cjle4fkklp1w;0;84,5;79,3;2024-08-04T03:50:03.450Z;2024-08-04T03:50:03Z;[{'id': 5131368373, 'qualifierId': 56, 'value': 'Left'}];bp0a3bvzsxokh4nu3bq96yx3o;J. Bell;;;ega2vwtqvq22dz9evmnim4vf8;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;86;38;Colorado Rapids II;5198;Sub;1,0
2705844761;692;49;2;86;40;iiolvosiuokkrl5iuoxcjo4p;1;21,3;10,0;2024-08-04T03:50:05.753Z;2024-08-04T03:50:05Z;[];1p1ektnr3l7lj518cbs2dnmdw;R. Garcia;;;ega2vwtqvq22dz9evmnim4vf8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;86;40;Houston Dynamo II;5200;Sub;1,0
2705844771;693;61;2;86;42;iiolvosiuokkrl5iuoxcjo4p;0;27,0;1,4;2024-08-04T03:50:08.098Z;2024-08-04T03:50:08Z;[{'id': 5131368431, 'qualifierId': 56, 'value': 'Back'}];1p1ektnr3l7lj518cbs2dnmdw;R. Garcia;;;ega2vwtqvq22dz9evmnim4vf8;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;86;42;Houston Dynamo II;5202;Sub;1,0
