id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_TeamFormation;value_Involved;value_JerseyNumber;value_TeamKit;value_Captain;value_Resume;value_TeamPlayerFormation;value_PlayerPosition;value_DirectionOfPlay;value_PassEndX;value_Length;value_KickOff;value_Zone;value_PassEndY;value_Angle;value_Chipped;value_LongBall;value_TouchTypePass;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_Direct;value_Foul;value_Shove/Push;value_FreeKickTaken;value_DeletedEventType;value_BlockedPass;value_AttemptedTackle;value_Launch;value_HeadPass;value_IntendedTackleTarget;value_NextEventThrowIn;value_ThrowIn;value_IntentionalAssist;value_ThroughBall;value_Assist;value_IndividualPlay;value_RegularPlay;value_GoalmouthY;value_BigChance;value_BoxCentre;value_RightFooted;value_GoalmouthZ;value_BlockedX;value_RelatedEventId;value_BlockedY;value_LowRight;value_Assisted;value_ParriedDanger;value_OtherBodyPart;value_Sliding;value_LowGkIntervention;value_TouchTypeClearance;value_NextEventGoalKick;value_Low;value_GoalKick;value_TouchTypeControl;value_TakeOnSpace;value_PlayersCaughtOffside;value_Indirect;value_LayOff;value_ShirtPull/Holding;value_Cross;value_InSwinger;value_LeftFooted;value_OutOfPlay;value_Head;value_Left;value_CornerTaken;value_OutSwinger;value_TakeOnOvertake;value_NotAssisted;value_OutOfBoxCentre;value_HighLeft;value_GkY;value_GkX;value_KeeperThrow;value_HighGkIntervention;value_HighClaim;value_FlickOn;value_1On1;value_NotPastGoalLine;value_CloseRight;value_MisHit;value_Right;value_FromCorner;value_FirstTouch;value_NotVisible;value_MediumGkIntervention;value_SwitchOfPlay;value_Blocked;value_LowCentre;value_DefBlock;value_Overrun;value_InjuredPlayerId;value_Injury;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_Hands;value_Diving;value_BlockedClearance;value_BoxRight;value_CloseLeft;value_SwerveRight;value_Minutes;value_EndType;value_YellowCard;value_RecklessOffence;value_OverhitCross;value_SmallBoxCentre;value_High;value_OverArm;value_BlockedCross;value_Penalty;value_PenaltyTakerId;value_Scored;value_CausingPlayer;value_GkYTimeOfGoal;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistType;value_GoalShotTimestamp;value_FantasyAssistTeam;value_GoalShotGameClock;value_GkXTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_FreeKick;value_Tactical;value_LowLeft;value_BoxLeft;value_Feet;value_ParriedSafe;value_Stooping;value_FastBreak;value_TacticalFoul;value_HighRight;value_35Centre;value_GkHoof;value_Straight;value_DrivenCross;value_Volley;value_Defensive1V1;value_Handball;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2725295893;1;34;16;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-09-24T01:48:28.242Z;2024-09-24T02:58:32Z;[{'id': 5238162021, 'qualifierId': 130, 'value': '2'}, {'id': 5238162015, 'qualifierId': 30, 'value': 'd8jipeh184bc6p9c0uervzytw, ahl3kfbfeubf6zfl7x8qrlm38, mm0bv35ngf0sqh2yx2eza4x6, 9p86jgzpsokma52ifxswk4woa, 1z750xyx7stmv6uf51h1y6ehh, 5gg2mxmy9ff40oku3s09gavl6, 72xq9zy27facbbowtwsuzw0lw, 3wkej06590b61lyqm7vt1kwes, 9rgkh8j5l8n0ld96ojr47xy7e, 6kpb5yyfk2ifjgtfkspb8xwd0, dzo2odov052991qseshgfruju, 929ogu77f1e7edncwll3wv4t0, 2ig362xub2syd45v3usgymbkk, 5gl31qop7zlj9mfbtolvj7xuc, 48vc423tkz4mx7oql1ahqneac, 8rq61cgteiomxej2p0nxaw6c4, 8y2nsfsangmn1qa389y25b76c, tw82u87mw6kggtjblt1hhdzo, 4p6hgtbpfzxzsrnhbbcceswoa, 4pecy6elniy71xp1ql9a9mbro'}, {'id': 5238162019, 'qualifierId': 59, 'value': '95, 42, 70, 99, 20, 32, 72, 81, 97, 77, 41, 88, 57, 37, 51, 34, 40, 39, 74, 80'}, {'id': 5238197971, 'qualifierId': 197, 'value': '6183'}, {'id': 5238213731, 'qualifierId': 194, 'value': '1z750xyx7stmv6uf51h1y6ehh'}, {'id': 5238162025, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5238162023, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5238162017, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;dc1g7lojdap9j7xe5b3hldsk;Team set up;2,0;;;6183,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;;0;0;0;Los Angeles II;0;;
2725296305;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-09-24T01:50:52.088Z;2024-09-30T19:47:51Z;[{'id': 5238164893, 'qualifierId': 30, 'value': 'd4xd9fxqjwfe7x46byn60dx49, 4x8eu2y112ini9hx6b72bh46i, ajxa2yfzwct5nd0ded1sa9vmy, a55do2tx3wz5tsboyf355aiok, 7s32iecltoopsjddclg0ixzx0, e2912gyiutvn3aky0z9ijz384, d1w4zs63sx3cc7wnc8wshbfv8, m4w1lmkfi8siwrxs9ny5ihhw, 3v3b0z3d5czty8zcxrhy5uyac, 17ni4ntnt7b6b0bwst3e4djze, 3fbekr02uy605ppv5pzw9321g, 5reylt0uyetl6qavkvd8inai, 6mm2h3x9hmyea3bu2wt80uo7o, 8f5h44hnjdt4rdflu8qqhx5d6, cuxpxs76g96vwhrnhw9rw2ihg, eu6pktmlz3r7qlbwoodmlgdn8, a0vc8g0evrfmws5en2229h5as, 7ruu7rxicp3r2ftyg50cf3dhw, 2t5xlnzc4uiaae7x0yof4djx0'}, {'id': 5238164899, 'qualifierId': 130, 'value': '4'}, {'id': 5238199385, 'qualifierId': 197, 'value': '18751'}, {'id': 5238164903, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5238228343, 'qualifierId': 194, 'value': 'ajxa2yfzwct5nd0ded1sa9vmy'}, {'id': 5238164895, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5238164901, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5238164897, 'qualifierId': 59, 'value': '31, 73, 40, 66, 44, 65, 46, 56, 39, 91, 81, 55, 70, 36, 49, 60, 47, 51, 79'}];;;;dc1g7lojdap9j7xe5b3hldsk;Team set up;4,0;;;18751,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;0;Real Monarchs;0;;
2725302679;2;32;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-09-24T02:33:31.802Z;2024-09-24T02:33:31Z;[{'id': 5238198157, 'qualifierId': 127, 'value': 'Left to Right'}];;;;dc1g7lojdap9j7xe5b3hldsk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;;0;0;0;Los Angeles II;0;;
2725302681;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-09-24T02:33:31.802Z;2024-09-30T10:19:34Z;[{'id': 5238198159, 'qualifierId': 127, 'value': 'Right to Left'}];;;;dc1g7lojdap9j7xe5b3hldsk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;0;Real Monarchs;0;;
2725302689;3;1;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;49,7;50,2;2024-09-24T02:33:31.803Z;2024-09-24T02:33:36Z;[{'id': 5238198175, 'qualifierId': 140, 'value': '33.8'}, {'id': 5238198179, 'qualifierId': 212, 'value': '16.7'}, {'id': 5238198183, 'qualifierId': 279, 'value': 'S'}, {'id': 5238198173, 'qualifierId': 56, 'value': 'Back'}, {'id': 5238198177, 'qualifierId': 141, 'value': '49.0'}, {'id': 5238198181, 'qualifierId': 213, 'value': '3.19'}];3v3b0z3d5czty8zcxrhy5uyac;N. Sullivan;;dc1g7lojdap9j7xe5b3hldsk;Pass;;;;;;;;;;33,8;16,7;;;49,0;3,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;33,8;49,0;;;;;;;;0;0;0;Real Monarchs;0;FW;1,0
2725302697;4;1;1;0;4;6gaq85erpkvbyxvivd96wuw44;1;34,3;47,1;2024-09-24T02:33:35.974Z;2024-09-24T02:33:39Z;[{'id': 5238198219, 'qualifierId': 56, 'value': 'Right'}, {'id': 5238198227, 'qualifierId': 213, 'value': '5.56'}, {'id': 5238198221, 'qualifierId': 140, 'value': '62.4'}, {'id': 5238198223, 'qualifierId': 141, 'value': '8.9'}, {'id': 5238198217, 'qualifierId': 155}, {'id': 5238198225, 'qualifierId': 212, 'value': '39.3'}, {'id': 5238198229, 'qualifierId': 1}];a55do2tx3wz5tsboyf355aiok;B. Moyado;;dc1g7lojdap9j7xe5b3hldsk;Pass;;;;;;;;;;62,4;39,3;;;8,9;5,56;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;62,4;8,9;;;;;;;;0;0;4;Real Monarchs;4;MC;1,0
2725302703;5;1;1;0;7;6gaq85erpkvbyxvivd96wuw44;1;63,3;7,5;2024-09-24T02:33:39.290Z;2024-09-24T02:33:41Z;[{'id': 5238198263, 'qualifierId': 212, 'value': '20.3'}, {'id': 5238198257, 'qualifierId': 56, 'value': 'Back'}, {'id': 5238198265, 'qualifierId': 213, 'value': '3.11'}, {'id': 5238198261, 'qualifierId': 141, 'value': '8.3'}, {'id': 5238198259, 'qualifierId': 140, 'value': '44.0'}];17ni4ntnt7b6b0bwst3e4djze;L. Müller;;dc1g7lojdap9j7xe5b3hldsk;Pass;;;;;;;;;;44,0;20,3;;;8,3;3,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;44,0;8,3;;;;;;;;0;0;7;Real Monarchs;7;FWR;1,0
2725302707;6;1;1;0;9;6gaq85erpkvbyxvivd96wuw44;1;42,1;5,0;2024-09-24T02:33:41.273Z;2024-09-24T02:33:44Z;[{'id': 5238198295, 'qualifierId': 212, 'value': '14.7'}, {'id': 5238198289, 'qualifierId': 56, 'value': 'Back'}, {'id': 5238198297, 'qualifierId': 213, 'value': '2.75'}, {'id': 5238198291, 'qualifierId': 140, 'value': '29.1'}, {'id': 5238198293, 'qualifierId': 141, 'value': '13.2'}];4x8eu2y112ini9hx6b72bh46i;E. Berumen;;dc1g7lojdap9j7xe5b3hldsk;Pass;;;;;;;;;;29,1;14,7;;;13,2;2,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;29,1;13,2;;;;;;;;0;0;9;Real Monarchs;9;DR;1,0
2725302725;7;1;1;0;12;6gaq85erpkvbyxvivd96wuw44;1;28,3;14,9;2024-09-24T02:33:44.298Z;2024-09-24T02:33:48Z;[{'id': 5238198369, 'qualifierId': 141, 'value': '42.8'}, {'id': 5238198373, 'qualifierId': 213, 'value': '1.99'}, {'id': 5238198367, 'qualifierId': 140, 'value': '20.3'}, {'id': 5238198365, 'qualifierId': 56, 'value': 'Back'}, {'id': 5238198371, 'qualifierId': 212, 'value': '20.7'}];7s32iecltoopsjddclg0ixzx0;C. Díaz;;dc1g7lojdap9j7xe5b3hldsk;Pass;;;;;;;;;;20,3;20,7;;;42,8;1,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;20,3;42,8;;;;;;;;0;0;12;Real Monarchs;12;DL;1,0
2725302735;8;1;1;0;16;6gaq85erpkvbyxvivd96wuw44;1;20,0;43,0;2024-09-24T02:33:48.314Z;2024-09-24T02:33:51Z;[{'id': 5238198419, 'qualifierId': 212, 'value': '16.7'}, {'id': 5238198415, 'qualifierId': 140, 'value': '23.3'}, {'id': 5238198421, 'qualifierId': 213, 'value': '1.36'}, {'id': 5238198413, 'qualifierId': 56, 'value': 'Back'}, {'id': 5238198417, 'qualifierId': 141, 'value': '67.0'}];d4xd9fxqjwfe7x46byn60dx49;D. Ochoa;;dc1g7lojdap9j7xe5b3hldsk;Pass;;;;;;;;;;23,3;16,7;;;67,0;1,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;23,3;67,0;;;;;;;;0;0;16;Real Monarchs;16;GK;1,0
