id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Resume;value_Captain;value_TeamPlayerFormation;value_TeamFormation;value_Involved;value_PlayerPosition;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Length;value_Zone;value_PassEndY;value_Angle;value_PassEndX;value_OppositeRelatedEventId;value_TakeOnOvertake;value_Offensive;value_OutOfPlay;value_Defensive;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_IntendedTackleTarget;value_DeletedEventType;value_LongBall;value_Chipped;value_SwitchOfPlay;value_TouchTypePass;value_Foul;value_AttemptedTackle;value_Direct;value_FreeKickTaken;value_TouchTypeControl;value_Shove/Push;value_TakeOnSpace;value_Launch;value_Cross;value_OutSwinger;value_LeftFooted;value_HeadPass;value_NextEventGoalKick;value_GoalKick;value_High;value_Assist;value_BoxCentre;value_BlockedX;value_LowRight;value_GkY;value_Blocked;value_GoalmouthY;value_Assisted;value_RightFooted;value_RelatedEventId;value_RegularPlay;value_IndividualPlay;value_BlockedY;value_GkX;value_GoalmouthZ;value_DefBlock;value_LayOff;value_Head;value_IntentionalAssist;value_LowLeft;value_BigChance;value_1On1;value_OtherBodyPart;value_Sliding;value_ParriedSafe;value_MediumGkIntervention;value_Left;value_InSwinger;value_CornerTaken;value_BlockedCross;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_FlickOn;value_NotVisible;value_BoxLeft;value_FirstTouch;value_Stooping;value_Collected;value_Hands;value_OverArm;value_KeeperThrow;value_LowGkIntervention;value_HighGkIntervention;value_Diving;value_Caught;value_PlayersCaughtOffside;value_Indirect;value_Right;value_DrinksBreak;value_RefereeDelay;value_GoalShotGameClock;value_LowCentre;value_GkXTimeOfGoal;value_NotAssisted;value_SmallBoxRight;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_InjuredPlayerId;value_Injury;value_Minutes;value_CloseRightAndHigh;value_SwerveLeft;value_OutOfBoxCentre;value_Weak;value_BoxRight;value_GkHoof;value_EndType;value_Overrun;value_Low;value_NotPastGoalLine;value_Volley;value_FromCorner;value_OutOnSideline;value_ThroughBall;value_Straight;value_DrivenCross;value_HighClaim;value_SmallBoxCentre;value_SixYardBlocked;value_SavedOffLine;value_LastLine;value_PullBack;value_OwnShotBlocked;value_Feet;value_ParriedDanger;value_HighCentre;value_Standing;value_TempBlocked;value_OverhitCross;value_TimeWasting;value_Defensive1V1;value_Handball;value_OffTheBallFoul;value_SetPiece;value_GkKickFromHands;value_RecklessOffence;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2701116123;4;3;1;0;15;ew2zirzye0sw1txr2m33nr25y;0;60,9;96,8;2024-07-15T00:05:58.418Z;2024-07-20T08:38:33Z;[{'id': 5109864713, 'qualifierId': 233, 'value': '8'}, {'id': 5109840619, 'qualifierId': 465}, {'id': 5105154187, 'qualifierId': 286}, {'id': 5105154185, 'qualifierId': 56, 'value': 'Left'}];1on6mxrbdqnh12s4h1y0vb3mc;E. Mendoza;;;e25bk8nmfo9hdxla9nhwwmy38;Take On;;;;;;;;;;;;;;;;8,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;0;0;0;15;Sporting KC II;15;MC;1,0
2701116129;8;7;1;0;15;7fbej4xwoq4imaf5l39304m37;1;39,1;3,2;2024-07-15T00:05:58.419Z;2024-07-20T07:03:23Z;[{'id': 5105154219, 'qualifierId': 56, 'value': 'Back'}, {'id': 5105154217, 'qualifierId': 167}, {'id': 5105154253, 'qualifierId': 233, 'value': '4'}, {'id': 5105154221, 'qualifierId': 285}, {'id': 5109840621, 'qualifierId': 385}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;;e25bk8nmfo9hdxla9nhwwmy38;Tackle;;;;;;;;;;;;;;;;4,0;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;0;0;0;15;The Town;15;FW;1,0
2701116149;5;5;1;0;16;ew2zirzye0sw1txr2m33nr25y;1;57,8;101,8;2024-07-15T00:05:59.377Z;2024-07-15T00:06:09Z;[{'id': 5105154359, 'qualifierId': 233, 'value': '9'}, {'id': 5105154335, 'qualifierId': 56, 'value': 'Left'}, {'id': 5105154337, 'qualifierId': 347}];f2nxaemhqi8kbtbejnqekgd4a;J. Garcia;;;e25bk8nmfo9hdxla9nhwwmy38;Out;;;;;;;;;;;;;;;;9,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;0;0;0;16;Sporting KC II;16;DR;1,0
2701116135;9;5;1;0;16;7fbej4xwoq4imaf5l39304m37;0;42,2;-1,8;2024-07-15T00:05:59.377Z;2024-07-15T00:08:34Z;[{'id': 5105154251, 'qualifierId': 347}, {'id': 5105154247, 'qualifierId': 56, 'value': 'Back'}, {'id': 5105154365, 'qualifierId': 233, 'value': '5'}];bhhdcubw5vyxzf0lc1fcfftka;D. Flores;;;e25bk8nmfo9hdxla9nhwwmy38;Out;;;;;;;;;;;;;;;;5,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;0;0;0;16;The Town;16;MC;1,0
2701116159;6;1;1;0;25;ew2zirzye0sw1txr2m33nr25y;1;56,2;100,0;2024-07-15T00:06:09.042Z;2024-07-15T00:09:42Z;[{'id': 5105154397, 'qualifierId': 212, 'value': '5.8'}, {'id': 5105154395, 'qualifierId': 141, 'value': '94.8'}, {'id': 5105154399, 'qualifierId': 213, 'value': '5.36'}, {'id': 5105154389, 'qualifierId': 107}, {'id': 5105154391, 'qualifierId': 56, 'value': 'Left'}, {'id': 5105154393, 'qualifierId': 140, 'value': '59.5'}];3q8dpwqkikbugz3ikwcmkbg4q;R. Ibarra;;;e25bk8nmfo9hdxla9nhwwmy38;Pass;;;;;;;;;;;5,8;;94,8;5,36;59,5;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;59,5;94,8;;;;;;;0;0;0;25;Sporting KC II;25;DC;1,0
2701116167;7;1;1;0;28;ew2zirzye0sw1txr2m33nr25y;0;53,7;96,8;2024-07-15T00:06:11.442Z;2024-07-15T00:06:12Z;[{'id': 5105154421, 'qualifierId': 141, 'value': '97.1'}, {'id': 5105154423, 'qualifierId': 212, 'value': '8.4'}, {'id': 5105154417, 'qualifierId': 56, 'value': 'Back'}, {'id': 5105154419, 'qualifierId': 140, 'value': '45.7'}, {'id': 5105154425, 'qualifierId': 213, 'value': '3.12'}];1bmbt6h6bsiimpzxt07cqwfvu;E. Blancas;;;e25bk8nmfo9hdxla9nhwwmy38;Pass;;;;;;;;;;;8,4;;97,1;3,12;45,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;45,7;97,1;;;;;;;0;0;0;28;Sporting KC II;28;MC;1,0
2701116171;10;49;1;0;29;7fbej4xwoq4imaf5l39304m37;1;67,6;12,3;2024-07-15T00:06:13.122Z;2024-07-20T07:04:09Z;[];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;;e25bk8nmfo9hdxla9nhwwmy38;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;0;0;0;29;The Town;29;FW;1,0
2701116175;11;1;1;0;30;7fbej4xwoq4imaf5l39304m37;0;67,6;12,3;2024-07-15T00:06:13.425Z;2024-07-20T07:04:11Z;[{'id': 5105154431, 'qualifierId': 141, 'value': '27.0'}, {'id': 5105154429, 'qualifierId': 140, 'value': '64.6'}, {'id': 5105154433, 'qualifierId': 212, 'value': '10.5'}, {'id': 5105154427, 'qualifierId': 56, 'value': 'Center'}, {'id': 5105154435, 'qualifierId': 213, 'value': '1.88'}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;;e25bk8nmfo9hdxla9nhwwmy38;Pass;;;;;;;;;;;10,5;;27,0;1,88;64,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;64,6;27,0;;;;;;;0;0;0;30;The Town;30;FW;1,0
2701116173;8;49;1;0;33;ew2zirzye0sw1txr2m33nr25y;1;39,7;70,9;2024-07-15T00:06:16.354Z;2024-07-15T00:06:16Z;[];dhrxi7hj8xh15ky7q6u5wqi5m;B. Leroux;;;e25bk8nmfo9hdxla9nhwwmy38;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;0;0;0;33;Sporting KC II;33;MC;1,0
2701116189;9;1;1;0;33;ew2zirzye0sw1txr2m33nr25y;1;38,6;67,0;2024-07-15T00:06:17.201Z;2024-07-15T00:06:23Z;[{'id': 5105154501, 'qualifierId': 212, 'value': '23.8'}, {'id': 5105154503, 'qualifierId': 213, 'value': '4.49'}, {'id': 5105154499, 'qualifierId': 141, 'value': '32.8'}, {'id': 5105154495, 'qualifierId': 56, 'value': 'Back'}, {'id': 5105154497, 'qualifierId': 140, 'value': '33.6'}];dhrxi7hj8xh15ky7q6u5wqi5m;B. Leroux;;;e25bk8nmfo9hdxla9nhwwmy38;Pass;;;;;;;;;;;23,8;;32,8;4,49;33,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;33,6;32,8;;;;;;;0;0;0;33;Sporting KC II;33;MC;1,0
