id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_PlayerPosition;value_TeamPlayerFormation;value_TeamKit;value_Captain;value_Resume;value_TeamFormation;value_Involved;value_DirectionOfPlay;value_PassEndX;value_Zone;value_Angle;value_KickOff;value_Length;value_PassEndY;value_LongBall;value_Launch;value_HeadPass;value_Chipped;value_FlickOn;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Head;value_IntendedTackleTarget;value_NextEventGoalKick;value_High;value_GoalKick;value_LowGkIntervention;value_KeeperThrow;value_TouchTypeClearance;value_LayOff;value_BlockedPass;value_Offensive;value_Defensive;value_TakeOnOvertake;value_OutOfPlay;value_TouchTypePass;value_DeletedEventType;value_Cross;value_RightFooted;value_InSwinger;value_Overrun;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_AerialFoul;value_ThroughBall;value_MediumGkIntervention;value_TakeOnSpace;value_LeftFooted;value_OutSwinger;value_HighGkIntervention;value_TouchTypeControl;value_IntentionalAssist;value_Assist;value_GkY;value_BlockedY;value_GkX;value_RelatedEventId;value_LowLeft;value_Assisted;value_BoxCentre;value_BlockedX;value_RegularPlay;value_FirstTouch;value_GoalmouthY;value_GoalmouthZ;value_Blocked;value_DefBlock;value_Right;value_Left;value_CornerTaken;value_IndividualPlay;value_CloseRightAndHigh;value_NotAssisted;value_OutOfBoxCentre;value_Low;value_CloseHigh;value_BoxRight;value_Handball;value_HighClaim;value_AttemptedTackle;value_35Centre;value_ShirtPull/Holding;value_OverhitCross;value_LastLine;value_Volley;value_HighCentre;value_Collected;value_Hands;value_Standing;value_ParriedSafe;value_OverArm;value_LeadingToAttempt;value_LowRight;value_RelatedError1Id;value_Defensive1V1;value_SwitchOfPlay;value_PullBack;value_SwerveLeft;value_LowCentre;value_NotVisible;value_GkHoof;value_RefereeDelay;value_DrinksBreak;value_GkKickFromHands;value_BoxLeft;value_ParriedDanger;value_Stooping;value_Fumble;value_Minutes;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_BigChance;value_EndType;value_Injury;value_InjuredPlayerId;value_BlockedCross;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Diving;value_Caught;value_YellowCard;value_TacticalFoul;value_BlockByHand;value_FromCorner;value_Penalty;value_PenaltyTakerId;value_Dissent;value_Scored;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistedBy;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistId;value_CausingPlayer;value_BlockedClearance;value_OtherReason;value_Tap;value_FreeKick;value_Deflection;value_CloseLeft;value_Unchallenged;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2699576627;443;1;2;48;27;cwnjxlibb02fuh0vwgvac6h45;1;73,8;86,2;2024-07-07T00:11:39.913Z;2024-07-07T00:11:43Z;[{'id': 5096764273, 'qualifierId': 213, 'value': '3.27'}, {'id': 5096764271, 'qualifierId': 212, 'value': '6.5'}, {'id': 5096764269, 'qualifierId': 141, 'value': '85.0'}, {'id': 5096764265, 'qualifierId': 56, 'value': 'Left'}, {'id': 5096764267, 'qualifierId': 140, 'value': '67.7'}];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;67,7;;3,27;;6,5;85,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;67,7;85,0;;;;;;;;0;48;27;Crown Legacy;2907;DC;1,0
2699576647;444;1;2;48;30;cwnjxlibb02fuh0vwgvac6h45;0;67,9;74,5;2024-07-07T00:11:42.912Z;2024-07-14T07:01:41Z;[{'id': 5096764373, 'qualifierId': 56, 'value': 'Center'}, {'id': 5104156103, 'qualifierId': 2}, {'id': 5104156153, 'qualifierId': 20}, {'id': 5096764379, 'qualifierId': 212, 'value': '36.5'}, {'id': 5096764383, 'qualifierId': 1}, {'id': 5096764371, 'qualifierId': 155}, {'id': 5104156151, 'qualifierId': 223}, {'id': 5096764381, 'qualifierId': 213, 'value': '5.66'}, {'id': 5096764377, 'qualifierId': 141, 'value': '43.4'}, {'id': 5096764375, 'qualifierId': 140, 'value': '96.2'}];4hdai9za2ls03tjpcw0ahu5wq;T. Gray;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;96,2;;5,66;;36,5;43,4;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;96,2;43,4;;;;;;;;0;48;30;Crown Legacy;2910;FWL;1,0
2699576657;437;12;2;48;31;6ubc4y1v6hr63mca7ica4hp90;1;5,9;57,0;2024-07-07T00:11:44.714Z;2024-07-07T00:11:46Z;[{'id': 5096764433, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096764441, 'qualifierId': 213, 'value': '2.26'}, {'id': 5096764437, 'qualifierId': 141, 'value': '69.3'}, {'id': 5096764435, 'qualifierId': 140, 'value': '0.0'}, {'id': 5096764475, 'qualifierId': 167}, {'id': 5096764439, 'qualifierId': 212, 'value': '10.9'}];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;dvcrb9b459b1qqi3gh8kpu6ms;Clearance;;;;;;;;;;0,0;;2,26;;10,9;69,3;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;0,0;69,3;;;;;;;;0;48;31;Chattanooga;2911;DC;1,0
2699576659;438;6;2;48;32;6ubc4y1v6hr63mca7ica4hp90;0;4,8;56,2;2024-07-07T00:11:45.307Z;2024-07-14T07:01:49Z;[{'id': 5096764627, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096764629, 'qualifierId': 73}, {'id': 5096764699, 'qualifierId': 233, 'value': '445'}];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;dvcrb9b459b1qqi3gh8kpu6ms;Corner Awarded;;;;;;;;;;;;;;;;;;;;;445,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;48;32;Chattanooga;2912;DC;1,0
2699576663;445;6;2;48;32;cwnjxlibb02fuh0vwgvac6h45;1;95,2;43,8;2024-07-07T00:11:45.307Z;2024-07-07T00:11:57Z;[{'id': 5096764685, 'qualifierId': 233, 'value': '438'}, {'id': 5096764513, 'qualifierId': 56, 'value': 'Center'}, {'id': 5096764515, 'qualifierId': 75}];4hdai9za2ls03tjpcw0ahu5wq;T. Gray;;;dvcrb9b459b1qqi3gh8kpu6ms;Corner Awarded;;;;;;;;;;;;;;;;;;;;;438,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;48;32;Crown Legacy;2912;FWL;1,0
2699576869;446;1;2;49;3;cwnjxlibb02fuh0vwgvac6h45;0;99,5;0,5;2024-07-07T00:12:16.361Z;2024-07-14T07:01:53Z;[{'id': 5096765657, 'qualifierId': 2}, {'id': 5096765671, 'qualifierId': 212, 'value': '35.7'}, {'id': 5096765665, 'qualifierId': 56, 'value': 'Center'}, {'id': 5096765667, 'qualifierId': 140, 'value': '91.0'}, {'id': 5096765659, 'qualifierId': 6}, {'id': 5096765663, 'qualifierId': 224}, {'id': 5096765669, 'qualifierId': 141, 'value': '51.3'}, {'id': 5104156269, 'qualifierId': 20}, {'id': 5096765661, 'qualifierId': 155}, {'id': 5096765675, 'qualifierId': 1}, {'id': 5096765673, 'qualifierId': 213, 'value': '1.82'}];at2xv960peboe9spoag2kn21g;A. McGrath;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;91,0;;1,82;;35,7;51,3;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;91,0;51,3;;;;;;;;0;49;3;Crown Legacy;2943;MC;1,0
2699576877;439;44;2;49;4;6ubc4y1v6hr63mca7ica4hp90;1;7,0;44,7;2024-07-07T00:12:17.719Z;2024-07-07T00:12:19Z;[{'id': 5096765739, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096765741, 'qualifierId': 285}, {'id': 5096765771, 'qualifierId': 233, 'value': '447'}];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;dvcrb9b459b1qqi3gh8kpu6ms;Aerial;;;;;;;;;;;;;;;;;;;;;447,0;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;49;4;Chattanooga;2944;DC;1,0
2699576873;447;44;2;49;4;cwnjxlibb02fuh0vwgvac6h45;0;93,0;55,3;2024-07-07T00:12:17.720Z;2024-07-07T00:12:19Z;[{'id': 5096765777, 'qualifierId': 233, 'value': '439'}, {'id': 5096765689, 'qualifierId': 56, 'value': 'Center'}, {'id': 5096765691, 'qualifierId': 286}];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;dvcrb9b459b1qqi3gh8kpu6ms;Aerial;;;;;;;;;;;;;;;;;;;;;439,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;49;4;Crown Legacy;2944;DC;1,0
2699576883;440;12;2;49;4;6ubc4y1v6hr63mca7ica4hp90;1;5,0;40,7;2024-07-07T00:12:17.732Z;2024-07-14T07:02:08Z;[{'id': 5096765785, 'qualifierId': 141, 'value': '41.2'}, {'id': 5096765793, 'qualifierId': 213, 'value': '0.24'}, {'id': 5096765781, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096765789, 'qualifierId': 212, 'value': '1.4'}, {'id': 5096765783, 'qualifierId': 140, 'value': '6.3'}, {'id': 5096765803, 'qualifierId': 15}];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;dvcrb9b459b1qqi3gh8kpu6ms;Clearance;;;;;;;;;;6,3;;0,24;;1,4;41,2;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;6,3;41,2;;;;;;;;0;49;4;Chattanooga;2944;DC;1,0
2699576881;448;61;2;49;5;cwnjxlibb02fuh0vwgvac6h45;1;91,0;51,3;2024-07-07T00:12:18.438Z;2024-07-07T00:12:19Z;[{'id': 5096765775, 'qualifierId': 56, 'value': 'Center'}];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;dvcrb9b459b1qqi3gh8kpu6ms;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;49;5;Crown Legacy;2945;DC;1,0
