id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_PlayerPosition;value_Captain;value_TeamFormation;value_TeamPlayerFormation;value_Resume;value_Involved;value_JerseyNumber;value_DirectionOfPlay;value_Zone;value_Angle;value_PassEndY;value_KickOff;value_Length;value_PassEndX;value_IllegalRestart;value_OppositeRelatedEventId;value_Indirect;value_Defensive;value_Offensive;value_FreeKickTaken;value_LongBall;value_Launch;value_Standing;value_DeletedEventType;value_Hands;value_ParriedSafe;value_MediumGkIntervention;value_KeeperThrow;value_OverArm;value_Direct;value_Foul;value_AttemptedTackle;value_Chipped;value_Cross;value_OutSwinger;value_LeftFooted;value_GoalmouthZ;value_FirstTouch;value_RelatedEventId;value_HighLeft;value_GoalmouthY;value_Assisted;value_BoxCentre;value_GkX;value_Volley;value_SetPiece;value_GkY;value_NextEventGoalKick;value_GoalKick;value_Low;value_HeadPass;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_Head;value_InSwinger;value_RightFooted;value_NotAssisted;value_Left;value_BoxLeft;value_RegularPlay;value_MisHit;value_IntendedTackleTarget;value_FlickOn;value_LowGkIntervention;value_Defensive1V1;value_TakeOnSpace;value_TouchTypeControl;value_Assist;value_BlockedY;value_LowLeft;value_OutOfBoxCentre;value_IndividualPlay;value_BlockedX;value_Diving;value_Collected;value_BlockedPass;value_Shove/Push;value_TakeOnOvertake;value_LayOff;value_TouchTypePass;value_SmallBoxRight;value_CloseHigh;value_High;value_ThroughBall;value_IntentionalAssist;value_1On1;value_GoalShotGameClock;value_BigChance;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_Overrun;value_OutOfPlay;value_Right;value_CornerTaken;value_HighGkIntervention;value_SwitchOfPlay;value_PlayersCaughtOffside;value_Blocked;value_LowCentre;value_DefBlock;value_FromCorner;value_LowRight;value_RefereeDelay;value_DrinksBreak;value_HighClaim;value_ShirtPull/Holding;value_YellowCard;value_RecklessOffence;value_NotVisible;value_FantasyAssistTeam;value_SmallBoxCentre;value_HitWoodwork;value_FantasyAssistedBy;value_OwnGoal;value_FantasyAssistId;value_FantasyAssistType;value_Minutes;value_Unchallenged;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_FromShotOffTarget;value_LastLine;value_Deflection;value_Stooping;value_BoxDeepRight;value_Feet;value_HighRight;value_ParriedDanger;value_DrivenCross;value_Straight;value_AerialFoul;value_InjuredPlayerId;value_Injury;value_Strong;value_TacticalFoul;value_PullBack;value_LeadingToAttempt;value_RelatedError1Id;value_BoxRight;value_CloseRight;value_BlockedCross;value_2NdAssist;value_2NdRelatedEventId;value_2NdAssisted;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2699899159;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-07-07T22:09:47.225Z;2024-07-07T23:03:17Z;[{'id': 5098610795, 'qualifierId': 197, 'value': '4451'}, {'id': 5098525375, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5098525383, 'qualifierId': 194, 'value': 'd5kcfgycj51y6aw82r38sl7o4'}, {'id': 5098525379, 'qualifierId': 130, 'value': '4'}, {'id': 5098525381, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5098525385, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5098525373, 'qualifierId': 30, 'value': 'a0wpfy3ac4q8lwyiwvlj6m590, cbjd834y2hdx5jr3bda1zz6ga, bjk2ns3xadow18v3tkvqqrkh6, d5kcfgycj51y6aw82r38sl7o4, 3uzxhd8g0jnft5xcd59yztm95, 2iz7apzo49byqz0ws65h9d7v8, 216tgeofjnxr75ehcftkvxkpg, 6ahu72g0u39bxbjiz7ggefai1, eg5gobm8zylt21enud00dfnmy, 7y5v3oex0pnupaahm8arguluc, astn4ytzoaav30ifi17s4dn8, 2xkp7vkeqahj9hg171ramritw, 3lafo3mzfkp2kmf2fj8d6lnv8, 8dcbkmm7ktscumo0c6qcpy1p0, f69xf0cdfn1qe63t5tr5in10, b56zx0iumlw5cpjctu307c74k, 6q634opy4rb3nki6ydmgpbhg4'}, {'id': 5098525377, 'qualifierId': 59, 'value': '51, 52, 75, 86, 36, 95, 23, 45, 99, 55, 41, 94, 38, 48, 50, 57, 70'}];;;;;dwuu54d9tbnvz8z7h48nqscus;Team set up;4451,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;0;0;0;0;New York RB II;0;;
2699900337;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-07-07T22:12:41.216Z;2024-07-07T23:19:20Z;[{'id': 5098531831, 'qualifierId': 30, 'value': 'bvtvko74cyeqe297mp6shrf2s, 6rgdv71lxh4cpz487ygvy5nv8, nhhmltlm3ayn7vqmp6etck5w, 5u3ohty1lsm0fn2ltez4g7o5w, 59kitnlge8bjsxmhy850bsutw, e2tuar1frliervcr2mnmvfspg, ov4fk38lrcculu6tdbnrto2c, 8q2wozyqz4nveabn71hc614dm, 8y7kqet5swj9dmqama0z5ngus, 65g50zt5gbo1lnrbc7uvwsbo4, e4rpnf90oa672lcm8ego7vllg, 5gd78gkv3k39vofarmapgeuj8, e23u0x31okggroh6dkoqx5fdg, gz9dek1oxgman9jslfku0zmy, 8u0efvao8rym6mdx0tl0h0qac, 4gp2d7oltfq4uwzj78gr6q9sk, d49aa9fx8oddpsucnnicby8k, 80p7shawtxjiydizsg5fo5a1g, afqry84j23xgkhqryrontj190, 4akvdujqbywk628gok9xbh2j8'}, {'id': 5098531835, 'qualifierId': 59, 'value': '21, 45, 24, 91, 34, 23, 90, 65, 16, 66, 79, 20, 27, 35, 44, 50, 56, 77, 82, 97'}, {'id': 5098610775, 'qualifierId': 197, 'value': '23373'}, {'id': 5098531841, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5098531837, 'qualifierId': 130, 'value': '2'}, {'id': 5098531833, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5098638143, 'qualifierId': 194, 'value': 'e2tuar1frliervcr2mnmvfspg'}, {'id': 5098531839, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;dwuu54d9tbnvz8z7h48nqscus;Team set up;23373,0;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;0;0;Atlanta United II;0;;
2699915045;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-07-07T23:03:43.114Z;2024-07-07T23:03:43Z;[{'id': 5098611249, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dwuu54d9tbnvz8z7h48nqscus;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;0;0;0;0;New York RB II;0;;
2699915049;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-07-07T23:03:43.114Z;2024-07-13T08:47:53Z;[{'id': 5098611273, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dwuu54d9tbnvz8z7h48nqscus;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;0;0;Atlanta United II;0;;
2699915093;3;1;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;0;50,0;50,0;2024-07-07T23:03:43.115Z;2024-07-07T23:06:22Z;[{'id': 5098611497, 'qualifierId': 56, 'value': 'Back'}, {'id': 5098611505, 'qualifierId': 213, 'value': '3.47'}, {'id': 5098611501, 'qualifierId': 141, 'value': '41.9'}, {'id': 5098611507, 'qualifierId': 279, 'value': 'S'}, {'id': 5098611503, 'qualifierId': 212, 'value': '16.9'}, {'id': 5098611499, 'qualifierId': 140, 'value': '34.8'}];8q2wozyqz4nveabn71hc614dm;S. Sserwadda;;;dwuu54d9tbnvz8z7h48nqscus;Pass;;;;;;;;;;;3,47;41,9;;16,9;34,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;34,8;41,9;;;;;;;0;0;0;0;Atlanta United II;0;MC;1,0
2699915103;4;4;1;0;1;erwnez7ksfkns4dqmyr1fhbe;1;1,7;79,2;2024-07-07T23:03:44.721Z;2024-07-08T00:05:00Z;[{'id': 5098707349, 'qualifierId': 313}, {'id': 5098631993, 'qualifierId': 233, 'value': '44'}, {'id': 5098707351, 'qualifierId': 241}, {'id': 5098611569, 'qualifierId': 56, 'value': 'Back'}, {'id': 5098707353, 'qualifierId': 285}];;;;;dwuu54d9tbnvz8z7h48nqscus;Foul;;;;;;;;;;;;;;;;1,0;44,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;0;0;0;1;New York RB II;1;;
2699916429;44;4;1;0;1;4g68p0t2f5jzhzfr67i2rj1ex;0;98,3;20,8;2024-07-07T23:03:44.722Z;2024-07-13T13:35:25Z;[{'id': 5098619499, 'qualifierId': 313}, {'id': 5098619503, 'qualifierId': 241}, {'id': 5098707355, 'qualifierId': 286}, {'id': 5098632003, 'qualifierId': 233, 'value': '4'}, {'id': 5098619501, 'qualifierId': 56, 'value': 'Right'}];8q2wozyqz4nveabn71hc614dm;S. Sserwadda;;;dwuu54d9tbnvz8z7h48nqscus;Foul;;;;;;;;;;;;;;;;1,0;4,0;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;0;1;Atlanta United II;1;MC;1,0
2699915089;3;1;1;0;13;erwnez7ksfkns4dqmyr1fhbe;0;50,0;50,3;2024-07-07T23:03:56.195Z;2024-07-13T13:38:51Z;[{'id': 5102466745, 'qualifierId': 5}, {'id': 5102464797, 'qualifierId': 213, 'value': '6.20'}, {'id': 5102464793, 'qualifierId': 141, 'value': '45.4'}, {'id': 5102464799, 'qualifierId': 1}, {'id': 5102464791, 'qualifierId': 140, 'value': '90.0'}, {'id': 5102464789, 'qualifierId': 157}, {'id': 5098611469, 'qualifierId': 56, 'value': 'Center'}, {'id': 5102464795, 'qualifierId': 212, 'value': '42.1'}, {'id': 5102466749, 'qualifierId': 241}];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;;dwuu54d9tbnvz8z7h48nqscus;Pass;;;;;;;;;;;6,2;45,4;;42,1;90,0;;;1,0;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;90,0;45,4;;;;;;;0;0;0;13;New York RB II;13;MC;1,0
2699915097;5;43;1;0;16;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-07-07T23:03:59.295Z;2024-07-13T13:37:09Z;[{'id': 5098611517, 'qualifierId': 178, 'value': '0'}, {'id': 5102465305, 'qualifierId': 144, 'value': '10'}, {'id': 5098707947, 'qualifierId': 233, 'value': '3'}, {'id': 5098611519, 'qualifierId': 182, 'value': '0'}, {'id': 5098611515, 'qualifierId': 173, 'value': '0'}, {'id': 5098611521, 'qualifierId': 56, 'value': 'Back'}, {'id': 5102079215, 'qualifierId': 377, 'value': '0'}];bvtvko74cyeqe297mp6shrf2s;A. Stokes;;;dwuu54d9tbnvz8z7h48nqscus;Deleted event;;;;;;;;;;;;;;;;;3,0;;;;;;;0,0;10,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;0;16;Atlanta United II;16;GK;1,0
2699915095;4;52;1;0;16;4g68p0t2f5jzhzfr67i2rj1ex;1;6,4;62,0;2024-07-07T23:03:59.849Z;2024-07-13T13:38:07Z;[{'id': 5102079253, 'qualifierId': 377}];bvtvko74cyeqe297mp6shrf2s;A. Stokes;;;dwuu54d9tbnvz8z7h48nqscus;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;0;16;Atlanta United II;16;GK;1,0
