id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_PlayerPosition;value_Resume;value_TeamKit;value_JerseyNumber;value_Involved;value_TeamFormation;value_Captain;value_DirectionOfPlay;value_Zone;value_Length;value_KickOff;value_PassEndX;value_PassEndY;value_Angle;value_Chipped;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_TouchTypePass;value_TouchTypeClearance;value_DeletedEventType;value_TouchTypeControl;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_Foul;value_Direct;value_Shove/Push;value_FreeKickTaken;value_PlayersCaughtOffside;value_Indirect;value_Cross;value_LeftFooted;value_OutSwinger;value_BlockedClearance;value_Launch;value_TakeOnSpace;value_TakeOnOvertake;value_OutOfPlay;value_Assist;value_OutOfBoxCentre;value_RegularPlay;value_RightFooted;value_BlockedX;value_GkY;value_GoalmouthZ;value_RelatedEventId;value_Assisted;value_LowCentre;value_BlockedY;value_IndividualPlay;value_Blocked;value_GkX;value_GoalmouthY;value_DefBlock;value_InSwinger;value_Head;value_NextEventGoalKick;value_GoalKick;value_Low;value_SwitchOfPlay;value_IntendedTackleTarget;value_AttemptedTackle;value_LayOff;value_NotVisible;value_LowGkIntervention;value_KeeperThrow;value_BlockedCross;value_Left;value_Right;value_CornerTaken;value_Overrun;value_LeadingToAttempt;value_RelatedError1Id;value_NotAssisted;value_BoxCentre;value_FirstTouch;value_BigChance;value_SavedOffLine;value_LastLine;value_LowLeft;value_FromCorner;value_Volley;value_HighGkIntervention;value_BoxRight;value_MediumGkIntervention;value_OverArm;value_HighCentre;value_Deflection;value_Collected;value_Hands;value_Standing;value_FlickOn;value_ShirtPull/Holding;value_HighClaim;value_High;value_Minutes;value_EndType;value_FastBreak;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_BoxLeft;value_GoalShotGameClock;value_GkYTimeOfGoal;value_LowRight;value_IntentionalAssist;value_HitBar;value_HighRight;value_HitWoodwork;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Defensive1V1;value_Unchallenged;value_TempShotOn;value_ParriedSafe;value_PullBack;value_HighLeft;value_SwerveRight;value_CloseLeft;value_CloseHigh;value_MisHit;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695496493;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-06-10T00:12:28.559Z;2024-06-10T01:35:22Z;[{'id': 5074266949, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5074266943, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5074266951, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5074324231, 'qualifierId': 197, 'value': '23554'}, {'id': 5074266945, 'qualifierId': 59, 'value': '31, 32, 82, 36, 43, 44, 46, 60, 77, 70, 40, 41, 49, 55, 62, 65, 71, 81'}, {'id': 5074266941, 'qualifierId': 30, 'value': 'd4xd9fxqjwfe7x46byn60dx49, 24rxb4eeoakxkmritog6a7x90, baixarx1kvqgs5c8d0v1xd9g4, 8f5h44hnjdt4rdflu8qqhx5d6, do2o6ka25talswmmillufejqi, 1pv6xhgaeshfrhzenz7y14glw, d1w4zs63sx3cc7wnc8wshbfv8, eu6pktmlz3r7qlbwoodmlgdn8, 18b4rpeia26xq688ieqaw2z2s, 6mm2h3x9hmyea3bu2wt80uo7o, ajxa2yfzwct5nd0ded1sa9vmy, 5cqlrvp5sqbjwjztpxswwmolw, cuxpxs76g96vwhrnhw9rw2ihg, 5reylt0uyetl6qavkvd8inai, 6l42zrdxpzb126gpy26v965g4, e2912gyiutvn3aky0z9ijz384, 9fnfncaw5h743wythc6zjgw7o, 3fbekr02uy605ppv5pzw9321g'}, {'id': 5074266947, 'qualifierId': 130, 'value': '4'}, {'id': 5074326443, 'qualifierId': 194, 'value': 'do2o6ka25talswmmillufejqi'}];;;;;ddh698ik8ddfkray0yi4tskyc;Team set up;;;;23554,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;0;Vancouver Whitecaps II;0;;
2695498337;1;34;16;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-06-10T00:20:00.510Z;2024-06-10T02:01:30Z;[{'id': 5074277569, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5074277575, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5074366153, 'qualifierId': 194, 'value': '5et4reh22bzqjp1wcr5sqldnu'}, {'id': 5074277577, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5074277571, 'qualifierId': 59, 'value': '50, 56, 54, 59, 53, 83, 41, 48, 44, 52, 49, 46, 61, 95, 96, 97, 99, 63, 93'}, {'id': 5074277573, 'qualifierId': 130, 'value': '2'}, {'id': 5074277567, 'qualifierId': 30, 'value': '6cdhdb44atdm9b3n7swgi002y, 57yplpr6jgwlqoon231ydqp04, 249t35evpr3aasx0uczjs2j9w, bhzjqo4qidpkmh7lqqir9h4ic, 5et4reh22bzqjp1wcr5sqldnu, 3yk1gwm7jptmbal0vcwr24is4, 441plehxckmdj5gb2mr6y8ne2, 8hf35b309tq3wuc59xgshmbro, 5n7a8mn92t3qajms7udeolmok, 84wint64ygxx3pi5fz3mr12j8, 4lyhopb6ddaz08hd5tu2pos9g, 3jw4ui4rr60p2jb2rt9hhoetw, 7ierspejw09stwtcg1tyswr9w, 4y4mypo5jyzbp0dtvm6y7ajxm, 2mdvkj8gcfmn6wve50ewfi7mc, 9b02cix263jvavj538nkj3m6s, 1hfhnfbma8w2hxiin3dkxos9g, 3zd7mw27i3s6y7kkuu5xxmkgk, cjjuvnhklgmui45anhykhb384'}, {'id': 5074325907, 'qualifierId': 197, 'value': '19280'}];;;;;ddh698ik8ddfkray0yi4tskyc;Team set up;;;;19280,0;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;0;Los Angeles II;0;;
2695506599;2;32;1;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-06-10T01:04:18.414Z;2024-06-14T19:50:53Z;[{'id': 5074324899, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ddh698ik8ddfkray0yi4tskyc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;0;Los Angeles II;0;;
2695506603;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-06-10T01:04:18.414Z;2024-06-10T01:04:19Z;[{'id': 5074324917, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ddh698ik8ddfkray0yi4tskyc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;0;Vancouver Whitecaps II;0;;
2695506607;3;1;1;0;0;eo64tqkioegeb09iice2hf8bt;1;50,0;49,6;2024-06-10T01:04:18.415Z;2024-06-10T01:04:21Z;[{'id': 5074324933, 'qualifierId': 56, 'value': 'Back'}, {'id': 5074324939, 'qualifierId': 212, 'value': '16.0'}, {'id': 5074324943, 'qualifierId': 279, 'value': 'S'}, {'id': 5074324935, 'qualifierId': 140, 'value': '35.5'}, {'id': 5074324937, 'qualifierId': 141, 'value': '56.8'}, {'id': 5074324941, 'qualifierId': 213, 'value': '2.83'}];bhzjqo4qidpkmh7lqqir9h4ic;J. Badwal;;;ddh698ik8ddfkray0yi4tskyc;Pass;;;;;;;;;;;16,0;;35,5;56,8;2,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;35,5;56,8;;;;;;;0;0;0;0;Los Angeles II;0;MC;1,0
2695506615;4;1;1;0;3;eo64tqkioegeb09iice2hf8bt;1;35,5;56,8;2024-06-10T01:04:21.813Z;2024-06-10T01:59:14Z;[{'id': 5074324971, 'qualifierId': 140, 'value': '72.1'}, {'id': 5074324977, 'qualifierId': 213, 'value': '5.57'}, {'id': 5074324975, 'qualifierId': 212, 'value': '50.8'}, {'id': 5074324969, 'qualifierId': 56, 'value': 'Right'}, {'id': 5074324967, 'qualifierId': 155}, {'id': 5074324973, 'qualifierId': 141, 'value': '7.9'}, {'id': 5074324979, 'qualifierId': 1}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;ddh698ik8ddfkray0yi4tskyc;Pass;;;;;;;;;;;50,8;;72,1;7,9;5,57;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;72,1;7,9;;;;;;;0;0;0;3;Los Angeles II;3;DL;1,0
2695506617;5;44;1;0;6;eo64tqkioegeb09iice2hf8bt;1;73,2;6,9;2024-06-10T01:04:25.351Z;2024-06-10T01:04:27Z;[{'id': 5074324983, 'qualifierId': 56, 'value': 'Right'}, {'id': 5074324985, 'qualifierId': 286}, {'id': 5074325015, 'qualifierId': 233, 'value': '3'}];441plehxckmdj5gb2mr6y8ne2;E. Goldthorp;;;ddh698ik8ddfkray0yi4tskyc;Aerial;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;6;Los Angeles II;6;MR;1,0
2695506613;3;44;1;0;6;6gaq85erpkvbyxvivd96wuw44;0;26,8;93,1;2024-06-10T01:04:25.352Z;2024-06-10T01:04:28Z;[{'id': 5074325019, 'qualifierId': 233, 'value': '5'}, {'id': 5074324963, 'qualifierId': 56, 'value': 'Back'}, {'id': 5074324965, 'qualifierId': 285}];baixarx1kvqgs5c8d0v1xd9g4;A. Martin;;;ddh698ik8ddfkray0yi4tskyc;Aerial;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;6;Vancouver Whitecaps II;6;DC;1,0
2695506621;6;1;1;0;8;eo64tqkioegeb09iice2hf8bt;0;70,8;3,5;2024-06-10T01:04:27.140Z;2024-06-14T16:18:26Z;[{'id': 5074325001, 'qualifierId': 3}, {'id': 5074325007, 'qualifierId': 141, 'value': '4.9'}, {'id': 5074325011, 'qualifierId': 213, 'value': '0.32'}, {'id': 5074325009, 'qualifierId': 212, 'value': '3.0'}, {'id': 5074325003, 'qualifierId': 56, 'value': 'Right'}, {'id': 5074325005, 'qualifierId': 140, 'value': '73.5'}];441plehxckmdj5gb2mr6y8ne2;E. Goldthorp;;;ddh698ik8ddfkray0yi4tskyc;Pass;;;;;;;;;;;3,0;;73,5;4,9;0,32;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;73,5;4,9;;;;;;;0;0;0;8;Los Angeles II;8;MR;1,0
2696010471;969;61;1;0;9;6gaq85erpkvbyxvivd96wuw44;1;25,1;95,7;2024-06-10T01:04:27.832Z;2024-06-14T16:18:50Z;[{'id': 5077065261, 'qualifierId': 56, 'value': 'Back'}];baixarx1kvqgs5c8d0v1xd9g4;A. Martin;;;ddh698ik8ddfkray0yi4tskyc;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;9;Vancouver Whitecaps II;9;DC;1,0
