id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_PlayerPosition;value_Captain;value_JerseyNumber;value_TeamPlayerFormation;value_TeamFormation;value_TeamKit;value_Resume;value_DirectionOfPlay;value_Zone;value_Angle;value_PassEndX;value_Length;value_PassEndY;value_KickOff;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_NextEventGoalKick;value_GoalKick;value_Low;value_Chipped;value_TakeOnSpace;value_Offensive;value_Defensive;value_HeadPass;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_TakeOnOvertake;value_OutOfPlay;value_LowGkIntervention;value_KeeperThrow;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_LayOff;value_DeletedEventType;value_TouchTypePass;value_Right;value_Left;value_OutSwinger;value_IntentionalAssist;value_Cross;value_RightFooted;value_CornerTaken;value_Assist;value_HighLeft;value_BoxCentre;value_GkX;value_Head;value_FirstTouch;value_FromCorner;value_GoalmouthZ;value_RelatedEventId;value_GkY;value_GoalmouthY;value_Assisted;value_PlayersCaughtOffside;value_Indirect;value_YellowCard;value_TacticalFoul;value_BlockedX;value_NotAssisted;value_LowCentre;value_OutOfBoxCentre;value_FreeKick;value_Blocked;value_BlockedY;value_DefBlock;value_ByWall;value_BlockedPass;value_FlickOn;value_InSwinger;value_IntendedTackleTarget;value_Overrun;value_MediumGkIntervention;value_OverArm;value_35Centre;value_RegularPlay;value_IndividualPlay;value_LeftFooted;value_LowRight;value_Collected;value_Hands;value_Stooping;value_TouchTypeControl;value_HighGkIntervention;value_ThroughBall;value_LowLeft;value_BoxLeft;value_SwitchOfPlay;value_BoxRight;value_SmallBoxLeft;value_CloseLeft;value_High;value_HighCentre;value_ParriedSafe;value_Diving;value_AttemptedTackle;value_BigChance;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_Standing;value_HighClaim;value_GkKickFromHands;value_SetPiece;value_HighRight;value_Minutes;value_SmallBoxCentre;value_Volley;value_SixYardBlocked;value_EndType;value_SwerveLeft;value_BlockedCross;value_Shove/Push;value_Handball;value_PullBack;value_NotVisible;value_Straight;value_DrivenCross;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_HitWoodwork;value_HitRightPost;value_TimeWasting;value_BoxDeepLeft;value_LeadingToGoal;value_RelatedError1Id;value_OwnGoal;value_SmallBoxRight;value_ParriedDanger;value_Feet;value_Unchallenged;value_FantasyAssistType;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FantasyAssistId;value_Tap;value_NotPastGoalLine;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695963969;444;1;2;47;7;eo64tqkioegeb09iice2hf8bt;0;60,1;22,2;2024-06-14T02:08:19.982Z;2024-06-14T02:08:23Z;[{'id': 5076824133, 'qualifierId': 213, 'value': '2.30'}, {'id': 5076824129, 'qualifierId': 141, 'value': '32.8'}, {'id': 5076824127, 'qualifierId': 140, 'value': '54.0'}, {'id': 5076824125, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076824131, 'qualifierId': 212, 'value': '9.6'}];3jw4ui4rr60p2jb2rt9hhoetw;D. Ilić;;;dg57z2j0ky55vrt3t8x6jkydw;Pass;;;;;;;;;;;2,3;54,0;9,6;32,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;54,0;32,8;;;;;;;0;0;47;7;Minnesota United II;2827;DMR;1,0
2695963971;389;3;2;47;12;1pc6sx2h4rp113ldkbp5d2xas;1;44,9;71,2;2024-06-14T02:08:24.215Z;2024-06-19T16:15:37Z;[{'id': 5081885937, 'qualifierId': 464}, {'id': 5076824135, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076824137, 'qualifierId': 286}, {'id': 5076824155, 'qualifierId': 233, 'value': '445'}];iu61re9bbusv2w7fu7w6505w;L. Mesanvi;;;dg57z2j0ky55vrt3t8x6jkydw;Take On;;;;;;;;;;;;;;;;;;445,0;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;47;12;Vancouver Whitecaps II;2832;FWL;1,0
2695963973;445;45;2;47;12;eo64tqkioegeb09iice2hf8bt;0;55,1;28,8;2024-06-14T02:08:24.215Z;2024-06-14T02:08:26Z;[{'id': 5076824141, 'qualifierId': 285}, {'id': 5076824139, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076824159, 'qualifierId': 233, 'value': '389'}];8hf35b309tq3wuc59xgshmbro;M. Simmons;;;dg57z2j0ky55vrt3t8x6jkydw;Challenge;;;;;;;;;;;;;;;;;;389,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;47;12;Minnesota United II;2832;MC;1,0
2695963975;390;49;2;47;12;1pc6sx2h4rp113ldkbp5d2xas;1;45,9;59,7;2024-06-14T02:08:25Z;2024-06-14T02:08:25Z;[];iu61re9bbusv2w7fu7w6505w;L. Mesanvi;;;dg57z2j0ky55vrt3t8x6jkydw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;47;12;Vancouver Whitecaps II;2832;FWL;1,0
2695963979;391;3;2;47;13;1pc6sx2h4rp113ldkbp5d2xas;0;45,8;54,2;2024-06-14T02:08:25.639Z;2024-06-19T16:15:53Z;[{'id': 5076824165, 'qualifierId': 286}, {'id': 5076824163, 'qualifierId': 56, 'value': 'Back'}, {'id': 5081886159, 'qualifierId': 464}, {'id': 5076824213, 'qualifierId': 233, 'value': '446'}];iu61re9bbusv2w7fu7w6505w;L. Mesanvi;;;dg57z2j0ky55vrt3t8x6jkydw;Take On;;;;;;;;;;;;;;;;;;446,0;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;47;13;Vancouver Whitecaps II;2833;FWL;1,0
2695963985;446;7;2;47;13;eo64tqkioegeb09iice2hf8bt;1;54,2;45,8;2024-06-14T02:08:25.640Z;2024-06-19T16:15:50Z;[{'id': 5076824187, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076824189, 'qualifierId': 285}, {'id': 5081886103, 'qualifierId': 383}, {'id': 5076824209, 'qualifierId': 233, 'value': '391'}];9b02cix263jvavj538nkj3m6s;L. Mackenzie;;;dg57z2j0ky55vrt3t8x6jkydw;Tackle;;;;;;;;;;;;;;;;;;391,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;47;13;Minnesota United II;2833;MC;1,0
2695963989;447;49;2;47;15;eo64tqkioegeb09iice2hf8bt;1;56,0;43,3;2024-06-14T02:08:27.822Z;2024-06-14T02:08:28Z;[];9b02cix263jvavj538nkj3m6s;L. Mackenzie;;;dg57z2j0ky55vrt3t8x6jkydw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;47;15;Minnesota United II;2835;MC;1,0
2695963993;448;1;2;47;15;eo64tqkioegeb09iice2hf8bt;0;56,1;43,3;2024-06-14T02:08:28.174Z;2024-06-14T02:08:29Z;[{'id': 5076824235, 'qualifierId': 212, 'value': '35.8'}, {'id': 5076824233, 'qualifierId': 141, 'value': '49.1'}, {'id': 5076824229, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076824231, 'qualifierId': 140, 'value': '90.0'}, {'id': 5076824239, 'qualifierId': 1}, {'id': 5076824237, 'qualifierId': 213, 'value': '0.11'}];9b02cix263jvavj538nkj3m6s;L. Mackenzie;;;dg57z2j0ky55vrt3t8x6jkydw;Pass;;;;;;;;;;;0,11;90,0;35,8;49,1;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;90,0;49,1;;;;;;;0;0;47;15;Minnesota United II;2835;MC;1,0
2695964015;392;49;2;47;20;1pc6sx2h4rp113ldkbp5d2xas;1;8,7;49,8;2024-06-14T02:08:33.176Z;2024-06-14T02:08:33Z;[];dmeyu5u98jwawdkmyv3a0vi8k;O. Kelly;;;dg57z2j0ky55vrt3t8x6jkydw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;47;20;Vancouver Whitecaps II;2840;GK;1,0
2695964025;393;1;2;47;21;1pc6sx2h4rp113ldkbp5d2xas;1;8,7;49,8;2024-06-14T02:08:33.895Z;2024-06-14T02:08:36Z;[{'id': 5076824377, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076824383, 'qualifierId': 212, 'value': '15.1'}, {'id': 5076824379, 'qualifierId': 140, 'value': '15.9'}, {'id': 5076824385, 'qualifierId': 213, 'value': '1.05'}, {'id': 5076824381, 'qualifierId': 141, 'value': '69.1'}];dmeyu5u98jwawdkmyv3a0vi8k;O. Kelly;;;dg57z2j0ky55vrt3t8x6jkydw;Pass;;;;;;;;;;;1,05;15,9;15,1;69,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;15,9;69,1;;;;;;;0;0;47;21;Vancouver Whitecaps II;2841;GK;1,0
