id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_Captain;value_JerseyNumber;value_TeamKit;value_PlayerPosition;value_Resume;value_TeamFormation;value_Involved;value_DirectionOfPlay;value_PassEndX;value_Length;value_KickOff;value_Zone;value_Angle;value_PassEndY;value_Chipped;value_LongBall;value_Launch;value_HeadPass;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_TouchTypeControl;value_IntendedTackleTarget;value_OutOfPlay;value_TouchTypeClearance;value_Left;value_InSwinger;value_RightFooted;value_CornerTaken;value_Cross;value_Head;value_OutSwinger;value_HighGkIntervention;value_HighClaim;value_KeeperThrow;value_NextEventThrowIn;value_ThrowIn;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_LeftFooted;value_DeletedEventType;value_LayOff;value_SwitchOfPlay;value_NotVisible;value_AttemptedTackle;value_PlayersCaughtOffside;value_Indirect;value_RelatedEventId;value_RecklessOffence;value_YellowCard;value_InjuredPlayerId;value_Injury;value_PullBack;value_Assist;value_HighLeft;value_OutOfBoxCentre;value_BlockedY;value_GoalmouthZ;value_BlockedX;value_RegularPlay;value_GoalmouthY;value_Assisted;value_MediumGkIntervention;value_Hands;value_Fumble;value_Standing;value_ParriedDanger;value_IntentionalAssist;value_GkY;value_CloseHigh;value_BoxCentre;value_FromCorner;value_FirstTouch;value_GkX;value_NextEventGoalKick;value_High;value_GoalKick;value_LowGkIntervention;value_BlockedPass;value_Low;value_BigChance;value_Unchallenged;value_Deflection;value_IndividualPlay;value_LowCentre;value_Diving;value_TouchTypePass;value_TakeOnOvertake;value_TacticalFoul;value_SetPiece;value_CloseLeft;value_FlickOn;value_Blocked;value_BoxLeft;value_LowLeft;value_DefBlock;value_GoalShotGameClock;value_GkXTimeOfGoal;value_SwerveLeft;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_LowRight;value_NotAssisted;value_TakeOnSpace;value_BlockedCross;value_Right;value_Minutes;value_SecondYellow;value_EndType;value_OverhitCross;value_Dissent;value_Overrun;value_BlockedClearance;value_HighCentre;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_BoxDeepLeft;value_SmallBoxRight;value_Volley;value_FreeKick;value_NotPastGoalLine;value_GoesToPenalties;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_Saved;value_Feet;value_ParriedSafe;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2726656953;375;1;2;52;49;eo64tqkioegeb09iice2hf8bt;1;33,7;60,2;2024-09-28T02:18:15.240Z;2024-09-28T02:18:17Z;[{'id': 5245788191, 'qualifierId': 212, 'value': '15.9'}, {'id': 5245788185, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245788187, 'qualifierId': 140, 'value': '44.2'}, {'id': 5245788193, 'qualifierId': 213, 'value': '5.48'}, {'id': 5245788189, 'qualifierId': 141, 'value': '43.3'}];bsufynk2wfvpz40nrndah1kb8;D. Saidykhan;;;eimsr1l6zvgixknl2cs8c0lw;Pass;;;;;;;;;;44,2;15,9;;;5,48;43,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;44,2;43,3;;;;;;;;0;52;49;Austin II;3169;DC;1,0
2726656959;376;1;2;52;52;eo64tqkioegeb09iice2hf8bt;1;45,4;43,0;2024-09-28T02:18:17.720Z;2024-09-28T02:18:19Z;[{'id': 5245788217, 'qualifierId': 141, 'value': '40.0'}, {'id': 5245788213, 'qualifierId': 56, 'value': 'Center'}, {'id': 5245788215, 'qualifierId': 140, 'value': '52.2'}, {'id': 5245788219, 'qualifierId': 212, 'value': '7.4'}, {'id': 5245788221, 'qualifierId': 213, 'value': '6.00'}];bhzjqo4qidpkmh7lqqir9h4ic;J. Badwal;;;eimsr1l6zvgixknl2cs8c0lw;Pass;;;;;;;;;;52,2;7,4;;;6,0;40,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;52,2;40,0;;;;;;;;0;52;52;Austin II;3172;MC;1,0
2726656979;377;1;2;52;53;eo64tqkioegeb09iice2hf8bt;1;52,2;40,1;2024-09-28T02:18:19.080Z;2024-09-28T02:18:20Z;[{'id': 5245788289, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245788293, 'qualifierId': 141, 'value': '37.7'}, {'id': 5245788297, 'qualifierId': 213, 'value': '3.33'}, {'id': 5245788295, 'qualifierId': 212, 'value': '8.7'}, {'id': 5245788291, 'qualifierId': 140, 'value': '44.1'}];9b02cix263jvavj538nkj3m6s;L. Mackenzie;;;eimsr1l6zvgixknl2cs8c0lw;Pass;;;;;;;;;;44,1;8,7;;;3,33;37,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;44,1;37,7;;;;;;;;0;52;53;Austin II;3173;MC;1,0
2726656993;378;1;2;52;56;eo64tqkioegeb09iice2hf8bt;1;49,7;32,8;2024-09-28T02:18:21.776Z;2024-09-28T02:18:25Z;[{'id': 5245788425, 'qualifierId': 213, 'value': '5.35'}, {'id': 5245788419, 'qualifierId': 140, 'value': '63.6'}, {'id': 5245788421, 'qualifierId': 141, 'value': '4.1'}, {'id': 5245788423, 'qualifierId': 212, 'value': '24.4'}, {'id': 5245788415, 'qualifierId': 56, 'value': 'Right'}];bhzjqo4qidpkmh7lqqir9h4ic;J. Badwal;;;eimsr1l6zvgixknl2cs8c0lw;Pass;;;;;;;;;;63,6;24,4;;;5,35;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;63,6;4,1;;;;;;;;0;52;56;Austin II;3176;MC;1,0
2726656997;379;1;2;52;59;eo64tqkioegeb09iice2hf8bt;0;71,4;7,4;2024-09-28T02:18:25.216Z;2024-10-02T10:56:45Z;[{'id': 5245788447, 'qualifierId': 155}, {'id': 5245788455, 'qualifierId': 212, 'value': '29.4'}, {'id': 5260708415, 'qualifierId': 20}, {'id': 5245788457, 'qualifierId': 213, 'value': '1.22'}, {'id': 5245788445, 'qualifierId': 2}, {'id': 5245788451, 'qualifierId': 140, 'value': '81.1'}, {'id': 5245788449, 'qualifierId': 56, 'value': 'Center'}, {'id': 5260708413, 'qualifierId': 224}, {'id': 5245788453, 'qualifierId': 141, 'value': '47.9'}];1ksu0c3adavx1gqbrhalfpatw;C. Kachwele;;;eimsr1l6zvgixknl2cs8c0lw;Pass;;;;;;;;;;81,1;29,4;;;1,22;47,9;1,0;;;;;;;;;;;;;1,0;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;81,1;47,9;;;;;;;;0;52;59;Austin II;3179;FW;1,0
2726657003;550;12;2;53;1;d0c07im4a6oj8qa7f1zlt3pqs;1;22,1;48,1;2024-09-28T02:18:27.011Z;2024-09-28T02:18:30Z;[{'id': 5245788475, 'qualifierId': 212, 'value': '13.1'}, {'id': 5245788469, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245788473, 'qualifierId': 141, 'value': '44.3'}, {'id': 5245788487, 'qualifierId': 15}, {'id': 5245788471, 'qualifierId': 140, 'value': '34.3'}, {'id': 5245788477, 'qualifierId': 213, 'value': '6.08'}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;eimsr1l6zvgixknl2cs8c0lw;Clearance;;;;;;;;;;34,3;13,1;;;6,08;44,3;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;34,3;44,3;;;;;;;;0;53;1;Vancouver Whitecaps II;3181;DL;1,0
2726657029;380;1;2;53;2;eo64tqkioegeb09iice2hf8bt;1;72,2;53,4;2024-09-28T02:18:28.400Z;2024-09-28T02:18:31Z;[{'id': 5245788595, 'qualifierId': 56, 'value': 'Center'}, {'id': 5245788599, 'qualifierId': 141, 'value': '52.2'}, {'id': 5245788597, 'qualifierId': 140, 'value': '80.0'}, {'id': 5245788601, 'qualifierId': 212, 'value': '8.2'}, {'id': 5245788603, 'qualifierId': 213, 'value': '6.18'}];441plehxckmdj5gb2mr6y8ne2;E. Goldthorp;;;eimsr1l6zvgixknl2cs8c0lw;Pass;;;;;;;;;;80,0;8,2;;;6,18;52,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;80,0;52,2;;;;;;;;0;53;2;Austin II;3182;ML;1,0
2726657031;381;50;2;53;4;eo64tqkioegeb09iice2hf8bt;1;79,2;53,2;2024-09-28T02:18:30.353Z;2024-09-28T02:18:35Z;[{'id': 5245788607, 'qualifierId': 56, 'value': 'Center'}, {'id': 5245788609, 'qualifierId': 286}, {'id': 5245788643, 'qualifierId': 233, 'value': '551'}];84wint64ygxx3pi5fz3mr12j8;N. Fleuriau Chateau;;;eimsr1l6zvgixknl2cs8c0lw;Dispossessed;;;;;;;;;;;;;;;;;;;;551,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;;0;53;4;Austin II;3184;FW;1,0
2726657039;551;7;2;53;4;d0c07im4a6oj8qa7f1zlt3pqs;1;20,8;46,8;2024-09-28T02:18:30.354Z;2024-10-02T10:57:10Z;[{'id': 5260708513, 'qualifierId': 384}, {'id': 5245788631, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245788635, 'qualifierId': 285}, {'id': 5245788651, 'qualifierId': 233, 'value': '381'}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;eimsr1l6zvgixknl2cs8c0lw;Tackle;;;;;;;;;;;;;;;;;;;;381,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;53;4;Vancouver Whitecaps II;3184;DL;1,0
2726657055;552;49;2;53;8;d0c07im4a6oj8qa7f1zlt3pqs;1;3,2;33,3;2024-09-28T02:18:33.954Z;2024-09-28T02:18:35Z;[];dcypf9mqtlcn5wetj1z7g3mui;A. Cervantes;;;eimsr1l6zvgixknl2cs8c0lw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;53;8;Vancouver Whitecaps II;3188;GK;1,0
