id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_JerseyNumber;value_TeamKit;value_Involved;value_TeamFormation;value_Captain;value_Resume;value_TeamPlayerFormation;value_DirectionOfPlay;value_Angle;value_KickOff;value_PassEndX;value_PassEndY;value_Zone;value_Length;value_Chipped;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_LayOff;value_LongBall;value_NextEventThrowIn;value_ThrowIn;value_NotVisible;value_HeadPass;value_OutOfPlay;value_Cross;value_HighClaim;value_KeeperThrow;value_OverArm;value_IntendedTackleTarget;value_DeletedEventType;value_Left;value_InSwinger;value_CornerTaken;value_Head;value_Assist;value_RegularPlay;value_LeftFooted;value_OutOfBoxCentre;value_RelatedEventId;value_IndividualPlay;value_BlockedY;value_GoalmouthY;value_Assisted;value_BlockedX;value_GoalmouthZ;value_LowRight;value_Diving;value_Hands;value_Collected;value_Foul;value_Direct;value_Shove/Push;value_FreeKickTaken;value_NextEventGoalKick;value_GoalKick;value_Low;value_Launch;value_Handball;value_BlockedPass;value_PlayersCaughtOffside;value_Indirect;value_LowLeft;value_Standing;value_RightFooted;value_GkX;value_BoxRight;value_Blocked;value_GkY;value_DefBlock;value_Right;value_FromCorner;value_LowCentre;value_ShirtPull/Holding;value_BigChance;value_BoxLeft;value_NotAssisted;value_ParriedSafe;value_IntentionalAssist;value_BoxCentre;value_FirstTouch;value_TimeWasting;value_YellowCard;value_SwitchOfPlay;value_AttemptedTackle;value_OtherObstacle;value_Feet;value_BlockedCross;value_DrinksBreak;value_RefereeDelay;value_RecklessOffence;value_ThroughBall;value_GoalShotTimestamp;value_GoalShotGameClock;value_Unchallenged;value_FlickOn;value_Minutes;value_Weak;value_GkKickFromHands;value_EndType;value_High;value_FastBreak;value_MisHit;value_Overrun;value_35Centre;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_CaptainChange;value_ParriedDanger;value_Sliding;value_OtherBodyPart;value_1On1;value_SmallBoxLeft;value_Volley;value_SixYardBlocked;value_CloseHigh;value_HighLeft;value_Caught;value_SwerveRight;value_CloseLeft;value_SecondYellow;value_PenaltyTakerId;value_Penalty;value_Scored;value_FantasyAssistType;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FantasyAssistId;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Tap;value_NotPastGoalLine;value_35Right;value_SmallBoxCentre;value_CloseRightAndHigh;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2704430277;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-07-28T21:08:30.707Z;2024-07-28T22:06:44Z;[{'id': 5123529965, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5'}, {'id': 5123529967, 'qualifierId': 59, 'value': '13, 17, 49, 45, 5, 2, 20, 8, 52, 18, 43, 22, 9, 10, 11, 12'}, {'id': 5123617661, 'qualifierId': 197, 'value': '14908'}, {'id': 5123529963, 'qualifierId': 30, 'value': '9bn2zid7u305xii6alm8a58us, 58w3qcq1xrkpq5f9miuxp4ys4, 4nvz6yrxluelbpsjavcjtgnx0, a12t1zv0y8gzzf6p3jrotkoic, ba9m1xd2b3b2zvuuogn4uxkwk, cc7auv8d89ohifqg7qwz62mwa, 9jy9vyn7y1bomsbjhjujynb4k, 8warl67c0id3dorr48mn7h82c, e0pkyzm6eqzlrxme33k7dwgt0, dgosg1mymhuajg0rz2ts6alpm, 290iohuheoqdrdocbg25ipgk4, 3me8mlpj9tgn82v2mwyibpkb8, xxu2xv2n6f5d51ksa8z4rv2s, 37zynr7fwzqg4c9w5ydefywyy, 79606fy6lyfs1h12645q4shzo, bezle40rjwnkdskjbf9yg4sq2'}, {'id': 5123529969, 'qualifierId': 130, 'value': '13'}, {'id': 5123617659, 'qualifierId': 194, 'value': '8warl67c0id3dorr48mn7h82c'}, {'id': 5123529973, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5123529971, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0'}];;;;;ebd9ql6s4s7oe7o0mz66btc7o;Team set up;;;14908,0;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2704430943;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-07-28T21:12:00.502Z;2024-07-28T22:34:10Z;[{'id': 5123533945, 'qualifierId': 130, 'value': '3'}, {'id': 5123616187, 'qualifierId': 194, 'value': 'cbpm8k301adrmft5fd0kaeiuh'}, {'id': 5123533941, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5123533947, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5123533943, 'qualifierId': 59, 'value': '57, 58, 30, 22, 44, 29, 88, 6, 77, 35, 24, 36, 42, 45, 47, 55, 62, 63, 81, 68'}, {'id': 5123533949, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5123689913, 'qualifierId': 197, 'value': '23521'}, {'id': 5123533939, 'qualifierId': 30, 'value': '1ceqwz4ozqi6ft5l4hf5a04r8, 872ifpo3qufi9vv9vy7ty6uj8, 15v2azulwhof0p216i7bjp250, 81w1fqi66z0ibawynhraybaxg, 3h4x6eh6zkcaww4g6rhkwpbf8, a3qa9kw3vbh8nu5mgns92czro, cbpm8k301adrmft5fd0kaeiuh, 20wmdzih6b1t0ekt1v2qd4b2s, 9j3va21w5i9ypf8qmt4g1vggk, ngmdu10fjli45jvddeljv8yc, 993vihjmsn70q9w237fatzgbu, dvems493n5l4twsq6cq2fg26s, 5aszabja459117mqykvfpajh0, de6bz3uyz5ta17f0jnnfhzims, d4spt2529fmys8d26x61lk36c, 434xf7moiduhzy9ivp7jxr10, sqm6jwnogmzp7u7rsv3rtel0, efgfakk5g8sp1u42583pt632s, ao8lbslcj9wswv1jx15t59444, dkkg923101zraafj7la0j8cus'}];;;;;ebd9ql6s4s7oe7o0mz66btc7o;Team set up;;;23521,0;;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2704445645;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-07-28T22:03:57.566Z;2024-07-28T22:04:00Z;[{'id': 5123611481, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ebd9ql6s4s7oe7o0mz66btc7o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2704445643;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-07-28T22:03:57.566Z;2024-07-28T22:03:57Z;[{'id': 5123611475, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ebd9ql6s4s7oe7o0mz66btc7o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2704445661;3;1;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;50,0;50,0;2024-07-28T22:03:57.567Z;2024-07-28T22:55:33Z;[{'id': 5123611591, 'qualifierId': 213, 'value': '3.14'}, {'id': 5123611593, 'qualifierId': 279, 'value': 'S'}, {'id': 5123611585, 'qualifierId': 140, 'value': '34.9'}, {'id': 5123611587, 'qualifierId': 141, 'value': '50.1'}, {'id': 5123611583, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123611589, 'qualifierId': 212, 'value': '15.9'}];9j3va21w5i9ypf8qmt4g1vggk;E. Davis;;;ebd9ql6s4s7oe7o0mz66btc7o;Pass;;;;;;;;;;3,14;;34,9;50,1;;15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;34,9;50,1;;;;;;;;0;0;0;Columbus Crew II;0;FW;1,0
2704445681;4;1;1;0;5;1zgjjyruyufrkh4xjvryqsb1i;1;41,7;50,7;2024-07-28T22:04:03.075Z;2024-07-28T22:04:06Z;[{'id': 5123611671, 'qualifierId': 213, 'value': '6.19'}, {'id': 5123611653, 'qualifierId': 155}, {'id': 5123611659, 'qualifierId': 140, 'value': '66.0'}, {'id': 5123611663, 'qualifierId': 141, 'value': '47.2'}, {'id': 5123611667, 'qualifierId': 212, 'value': '25.6'}, {'id': 5123611657, 'qualifierId': 56, 'value': 'Center'}];81w1fqi66z0ibawynhraybaxg;S. Ngabo;;;ebd9ql6s4s7oe7o0mz66btc7o;Pass;;;;;;;;;;6,19;;66,0;47,2;;25,6;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;66,0;47,2;;;;;;;;0;0;5;Columbus Crew II;5;DMC;1,0
2704445687;5;50;1;0;8;1zgjjyruyufrkh4xjvryqsb1i;1;67,3;47,7;2024-07-28T22:04:06.173Z;2024-07-28T22:04:07Z;[{'id': 5123611697, 'qualifierId': 286}, {'id': 5123611703, 'qualifierId': 233, 'value': '3'}, {'id': 5123611693, 'qualifierId': 56, 'value': 'Center'}];ngmdu10fjli45jvddeljv8yc;M. Anderson;;;ebd9ql6s4s7oe7o0mz66btc7o;Dispossessed;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;;0;0;8;Columbus Crew II;8;FW;1,0
2704445685;3;7;1;0;8;5b4ccd62yeeqdl2qk6jzsmjv8;0;32,7;52,3;2024-07-28T22:04:06.174Z;2024-07-28T22:59:42Z;[{'id': 5123611683, 'qualifierId': 285}, {'id': 5123611699, 'qualifierId': 233, 'value': '5'}, {'id': 5123611681, 'qualifierId': 56, 'value': 'Back'}];a12t1zv0y8gzzf6p3jrotkoic;O. Presthus;;;ebd9ql6s4s7oe7o0mz66btc7o;Tackle;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;;0;0;8;Philadelphia Union II;8;DC;1,0
2704445693;6;1;1;0;10;1zgjjyruyufrkh4xjvryqsb1i;0;64,3;47,3;2024-07-28T22:04:07.667Z;2024-07-28T22:04:08Z;[{'id': 5123611723, 'qualifierId': 141, 'value': '53.8'}, {'id': 5123611727, 'qualifierId': 213, 'value': '0.42'}, {'id': 5123611719, 'qualifierId': 56, 'value': 'Center'}, {'id': 5123611721, 'qualifierId': 140, 'value': '73.8'}, {'id': 5123611725, 'qualifierId': 212, 'value': '10.9'}];20wmdzih6b1t0ekt1v2qd4b2s;C. Sullivan;;;ebd9ql6s4s7oe7o0mz66btc7o;Pass;;;;;;;;;;0,42;;73,8;53,8;;10,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;73,8;53,8;;;;;;;;0;0;10;Columbus Crew II;10;AMC;1,0
2704445745;4;12;1;0;10;5b4ccd62yeeqdl2qk6jzsmjv8;1;24,5;48,2;2024-07-28T22:04:08.053Z;2024-07-28T22:04:25Z;[{'id': 5123612023, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123612029, 'qualifierId': 212, 'value': '14.6'}, {'id': 5123612025, 'qualifierId': 140, 'value': '38.3'}, {'id': 5123612031, 'qualifierId': 213, 'value': '0.13'}, {'id': 5123612027, 'qualifierId': 141, 'value': '51.0'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;ebd9ql6s4s7oe7o0mz66btc7o;Clearance;;;;;;;;;;0,13;;38,3;51,0;;14,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;38,3;51,0;;;;;;;;0;0;10;Philadelphia Union II;10;DC;1,0
