id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamKit;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_Resume;value_JerseyNumber;value_Involved;value_DirectionOfPlay;value_KickOff;value_Length;value_Zone;value_PassEndY;value_Angle;value_PassEndX;value_LongBall;value_Launch;value_TouchTypeClearance;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_SwitchOfPlay;value_IntendedTackleTarget;value_OutOfPlay;value_Head;value_MediumGkIntervention;value_KeeperThrow;value_Direct;value_Offensive;value_Foul;value_AttemptedTackle;value_Defensive;value_FreeKickTaken;value_BlockedPass;value_RelatedEventId;value_YellowCard;value_RecklessOffence;value_HeadPass;value_TouchTypeControl;value_TakeOnSpace;value_Chipped;value_DeletedEventType;value_TakeOnOvertake;value_TouchTypePass;value_OutOfBoxCentre;value_BlockedY;value_GoalmouthZ;value_GoalmouthY;value_Assisted;value_LowCentre;value_RegularPlay;value_LeftFooted;value_BlockedX;value_Hands;value_Stooping;value_Collected;value_LowGkIntervention;value_Assist;value_GkY;value_BoxDeepLeft;value_IndividualPlay;value_HighLeft;value_GkX;value_GkXTimeOfGoal;value_BigChance;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_Shove/Push;value_RightFooted;value_Blocked;value_BoxLeft;value_LowRight;value_DefBlock;value_Left;value_Right;value_CornerTaken;value_Cross;value_InSwinger;value_LayOff;value_FastBreak;value_NotAssisted;value_IntentionalAssist;value_HitWoodwork;value_BoxCentre;value_LowLeft;value_Deflection;value_HitLeftPost;value_FirstTouch;value_FromCorner;value_Diving;value_OverArm;value_Overrun;value_OutSwinger;value_FreeKick;value_SwerveLeft;value_CloseLeft;value_NextEventGoalKick;value_Low;value_GoalKick;value_PlayersCaughtOffside;value_Indirect;value_HighClaim;value_HighGkIntervention;value_LeadingToAttempt;value_High;value_RelatedError1Id;value_OverhitCross;value_BlockedCross;value_BoxRight;value_ParriedSafe;value_NotVisible;value_GkKickFromHands;value_WeatherProblem;value_RefereeStop;value_ClockAffecting;value_ShirtPull/Holding;value_Injury;value_InjuredPlayerId;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_HighRight;value_BoxDeepRight;value_Standing;value_MisHit;value_PenaltyTakerId;value_Penalty;value_Scored;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistedBy;value_FantasyAssistType;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_NotPastGoalLine;value_OtherBodyPart;value_OwnGoal;value_Handball;value_NotRetreating;value_FlickOn;value_TimeWasting;value_HighCentre;value_TacticalFoul;value_SoloRun;value_FollowsADribble;value_Volley;value_CloseRight;value_Caught;value_ParriedDanger;value_Sliding;value_Feet;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2687124951;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-05-13T17:37:55.884Z;2024-05-13T18:40:16Z;[{'id': 5028423075, 'qualifierId': 130, 'value': '4'}, {'id': 5028521453, 'qualifierId': 197, 'value': '14913'}, {'id': 5028423077, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0'}, {'id': 5028423071, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5'}, {'id': 5028521451, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}, {'id': 5028423079, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5028423073, 'qualifierId': 59, 'value': '18, 59, 54, 35, 64, 42, 48, 53, 68, 51, 50, 57, 58, 66, 67, 78'}, {'id': 5028423069, 'qualifierId': 30, 'value': '3oca1lvb4fr3l6efbstc8k6ad, a8t1jn05xxxccikegk8fdaiok, 9vc2mynd9lg2oyt14n4e7a44q, 64wbk2nsrs0ru0hjcq0lenwgk, b3xoqrbmua9uzr0tw8kmnw9as, 72xktsosbsh2uwkwby59mr6z8, b1p6qcv8wjzoxoax3nt13n5gq, 4agnpztnedb7ql14bo477vspg, 9ii1zrimesdnqccy8dki8knx0, do6z0g81t9avcjuhjc1szukgk, 2atsox1bassuexlgta8h3us4p, ctwn52am38jz5ly1h8ac069lg, 5fuu627ozaxgv8ibhyxi4zcic, 4ycsifqidpgttuanylwsyts7o, 1x9uiwhoqu3qumt0urv5trlec, 4r4a2d3piuh8wusw8ftrsh016'}];;;;;coilkp3hp8av7hez1mtkxry1g;Team set up;4,0;14913,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;0;New York City II;0;;
2687125693;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-05-13T17:40:05.454Z;2024-05-13T18:34:46Z;[{'id': 5028427151, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5028427157, 'qualifierId': 130, 'value': '8'}, {'id': 5028519717, 'qualifierId': 197, 'value': '23611'}, {'id': 5028519715, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}, {'id': 5028427161, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5028427155, 'qualifierId': 59, 'value': '44, 38, 68, 37, 47, 31, 20, 70, 99, 77, 74, 29, 32, 42, 50, 61, 63, 75'}, {'id': 5028427147, 'qualifierId': 30, 'value': 'bn7qfn71x24fjl5d8t4p97kve, 6sf0pdlzomnt3e1hlc4twyv4k, 7uk47vm92xsvwdofmw1ppawyy, 4k6c9nnzytq9qhc9uol64wg7o, eq98gflais2v26wgbkw9wrxg4, eiyzqnfh8r8aduel0seou7nu2, 1kuo66geyyz9gu2n39w0bvr4k, 2676930j149yvanqev61emh62, 1d20nyyvmp0doobj6heejkowk, 3ei1s8oyub83owfxxbsygmsmi, 1p4rbf4wumfagv2ntlewdxey, cwyml9l4tfvb4ceh8tv3au0wk, 1cfm4ne1po0mld4bl37deg36c, duj699i9620tuf3ii9z06bqsq, 3mq1g1pyo3flkaorg9wqmfhuc, 9ijxde56q9ayy0v9kgt2osx04, 1ni0mewxcbo26d1xxetkdy3ca, 3o4uxnvpnf3cwjs3srwegxp90'}, {'id': 5028427159, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}];;;;;coilkp3hp8av7hez1mtkxry1g;Team set up;8,0;23611,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2687142935;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-05-13T18:34:02.509Z;2024-05-13T18:34:05Z;[{'id': 5028528033, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;coilkp3hp8av7hez1mtkxry1g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2687142929;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-05-13T18:34:02.509Z;2024-06-01T10:27:27Z;[{'id': 5028528009, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;coilkp3hp8av7hez1mtkxry1g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;0;New York City II;0;;
2687142979;3;1;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;50,1;49,5;2024-05-13T18:34:02.510Z;2024-05-13T18:34:07Z;[{'id': 5028528329, 'qualifierId': 279, 'value': 'S'}, {'id': 5028528325, 'qualifierId': 212, 'value': '24.9'}, {'id': 5028528319, 'qualifierId': 56, 'value': 'Back'}, {'id': 5028528323, 'qualifierId': 141, 'value': '34.3'}, {'id': 5028528327, 'qualifierId': 213, 'value': '3.57'}, {'id': 5028528321, 'qualifierId': 140, 'value': '28.5'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;coilkp3hp8av7hez1mtkxry1g;Pass;;;;;;;;;;;24,9;;34,3;3,57;28,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;28,5;34,3;;;;;;;;0;0;0;New York City II;0;MC;1,0
2687143005;4;1;1;0;4;8o8m08he36u0j4w08aj2iodn8;1;32,8;40,5;2024-05-13T18:34:07.259Z;2024-06-01T11:05:21Z;[{'id': 5028528473, 'qualifierId': 213, 'value': '1.68'}, {'id': 5028528465, 'qualifierId': 56, 'value': 'Back'}, {'id': 5028528471, 'qualifierId': 212, 'value': '20.5'}, {'id': 5028528469, 'qualifierId': 141, 'value': '70.5'}, {'id': 5028528467, 'qualifierId': 140, 'value': '30.6'}];b3xoqrbmua9uzr0tw8kmnw9as;C. Cupps;;;coilkp3hp8av7hez1mtkxry1g;Pass;;;;;;;;;;;20,5;;70,5;1,68;30,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;30,6;70,5;;;;;;;;0;0;4;New York City II;4;DL;1,0
2687143035;5;1;1;0;7;8o8m08he36u0j4w08aj2iodn8;1;31,7;73,7;2024-05-13T18:34:09.540Z;2024-05-13T18:34:11Z;[{'id': 5028528627, 'qualifierId': 212, 'value': '12.4'}, {'id': 5028528623, 'qualifierId': 140, 'value': '35.7'}, {'id': 5028528621, 'qualifierId': 56, 'value': 'Back'}, {'id': 5028528625, 'qualifierId': 141, 'value': '90.8'}, {'id': 5028528629, 'qualifierId': 213, 'value': '1.22'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;coilkp3hp8av7hez1mtkxry1g;Pass;;;;;;;;;;;12,4;;90,8;1,22;35,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;35,7;90,8;;;;;;;;0;0;7;New York City II;7;DC;1,0
2687143063;6;1;1;0;8;8o8m08he36u0j4w08aj2iodn8;1;34,9;89,2;2024-05-13T18:34:11.446Z;2024-05-13T18:34:15Z;[{'id': 5028528789, 'qualifierId': 213, 'value': '3.76'}, {'id': 5028528779, 'qualifierId': 140, 'value': '19.0'}, {'id': 5028528777, 'qualifierId': 56, 'value': 'Back'}, {'id': 5028528787, 'qualifierId': 212, 'value': '20.5'}, {'id': 5028528783, 'qualifierId': 141, 'value': '71.7'}];9vc2mynd9lg2oyt14n4e7a44q;L. Rochester;;;coilkp3hp8av7hez1mtkxry1g;Pass;;;;;;;;;;;20,5;;71,7;3,76;19,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;19,0;71,7;;;;;;;;0;0;8;New York City II;8;DC;1,0
2687143099;7;1;1;0;12;8o8m08he36u0j4w08aj2iodn8;1;18,3;71,5;2024-05-13T18:34:15.165Z;2024-05-13T18:34:18Z;[{'id': 5028528975, 'qualifierId': 56, 'value': 'Back'}, {'id': 5028528979, 'qualifierId': 141, 'value': '29.3'}, {'id': 5028528977, 'qualifierId': 140, 'value': '6.5'}, {'id': 5028528981, 'qualifierId': 212, 'value': '31.3'}, {'id': 5028528983, 'qualifierId': 213, 'value': '4.30'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;coilkp3hp8av7hez1mtkxry1g;Pass;;;;;;;;;;;31,3;;29,3;4,3;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;6,5;29,3;;;;;;;;0;0;12;New York City II;12;DC;1,0
2687143129;8;1;1;0;15;8o8m08he36u0j4w08aj2iodn8;1;7,1;22,8;2024-05-13T18:34:18.056Z;2024-05-13T18:34:22Z;[{'id': 5028529189, 'qualifierId': 56, 'value': 'Back'}, {'id': 5028529195, 'qualifierId': 212, 'value': '33.5'}, {'id': 5028529197, 'qualifierId': 213, 'value': '0.12'}, {'id': 5028529191, 'qualifierId': 140, 'value': '38.8'}, {'id': 5028529199, 'qualifierId': 1}, {'id': 5028529193, 'qualifierId': 141, 'value': '28.7'}, {'id': 5028529187, 'qualifierId': 157}];3oca1lvb4fr3l6efbstc8k6ad;S. Richey;;;coilkp3hp8av7hez1mtkxry1g;Pass;;;;;;;;;;;33,5;;28,7;0,12;38,8;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;38,8;28,7;;;;;;;;0;0;15;New York City II;15;GK;1,0
