id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamKit;value_Captain;value_Resume;value_PlayerPosition;value_Involved;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_Length;value_PassEndX;value_Zone;value_PassEndY;value_Angle;value_KickOff;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_DeletedEventType;value_Chipped;value_TouchTypePass;value_Head;value_TakeOnSpace;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_Cross;value_OutSwinger;value_LeftFooted;value_IntendedTackleTarget;value_SwitchOfPlay;value_OutOfPlay;value_TouchTypeClearance;value_ShirtPull/Holding;value_TouchTypeControl;value_IntentionalAssist;value_Assist;value_BlockedX;value_BlockedY;value_GoalmouthY;value_GoalmouthZ;value_FastBreak;value_Volley;value_Assisted;value_LowLeft;value_FirstTouch;value_BoxLeft;value_RelatedEventId;value_Standing;value_LowGkIntervention;value_Collected;value_Hands;value_KeeperThrow;value_PlayersCaughtOffside;value_Indirect;value_LayOff;value_Left;value_CornerTaken;value_FlickOn;value_Right;value_GkX;value_Blocked;value_LowCentre;value_OutOfBoxCentre;value_GkY;value_FromCorner;value_RightFooted;value_DefBlock;value_TacticalFoul;value_YellowCard;value_TakeOnOvertake;value_IndividualPlay;value_RegularPlay;value_Diving;value_ParriedSafe;value_BlockedClearance;value_OtherObstacle;value_OtherReason;value_RefereeDelay;value_RefereeStop;value_BallHitsReferee;value_NextEventGoalKick;value_GoalKick;value_Low;value_Injury;value_InjuredPlayerId;value_InSwinger;value_BoxCentre;value_NotAssisted;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_SmallBoxRight;value_GkYTimeOfGoal;value_Obstruction;value_DrivenCross;value_Straight;value_Overrun;value_Penalty;value_PenaltyTakerId;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_BigChance;value_LowRight;value_Scored;value_Handball;value_HighLeft;value_NotVisible;value_MediumGkIntervention;value_PullBack;value_Minutes;value_HighClaim;value_HighGkIntervention;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_HighRight;value_Shove/Push;value_1On1;value_Sliding;value_Stooping;value_BoxRight;value_OwnPlayer;value_OwnShotBlocked;value_ThroughBall;value_OverArm;value_CaptainChange;value_High;value_OverhitCross;value_SmallBoxCentre;value_BoxDeepLeft;value_BoxDeepRight;value_TimeWasting;value_CornerNotTaken;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706333307;9;43;1;0;9;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-08-05T02:04:05.350Z;2024-08-08T08:16:09Z;[{'id': 5134032627, 'qualifierId': 286, 'value': '0'}, {'id': 5136473523, 'qualifierId': 144, 'value': '3'}, {'id': 5134032645, 'qualifierId': 233, 'value': '154'}, {'id': 5134032625, 'qualifierId': 56, 'value': 'Center'}];3v3b0z3d5czty8zcxrhy5uyac;N. Sullivan;;;ei580gms3rif3204j7dn9gljo;Deleted event;;;;;;;;;;;;;;;;;;154,0;;0,0;;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;9;Real Monarchs;9;FWR;1,0
2706335113;154;43;1;0;9;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-08-05T02:04:05.351Z;2024-08-08T08:16:13Z;[{'id': 5134032503, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136473527, 'qualifierId': 144, 'value': '45'}, {'id': 5134032505, 'qualifierId': 285, 'value': '0'}];asy97zdxk0352toy38huzk222;T. Silva;;;ei580gms3rif3204j7dn9gljo;Deleted event;;;;;;;;;;;;;;;;;;;0,0;;;45,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;;0;0;9;Los Angeles II;9;DC;1,0
2706333287;7;1;1;0;12;6gaq85erpkvbyxvivd96wuw44;1;92,0;4,4;2024-08-05T02:04:08.430Z;2024-08-05T02:04:14Z;[{'id': 5134022087, 'qualifierId': 212, 'value': '20.8'}, {'id': 5134022083, 'qualifierId': 141, 'value': '26.4'}, {'id': 5134022089, 'qualifierId': 213, 'value': '2.34'}, {'id': 5134022081, 'qualifierId': 140, 'value': '78.3'}, {'id': 5134022079, 'qualifierId': 56, 'value': 'Center'}];3v3b0z3d5czty8zcxrhy5uyac;N. Sullivan;;;ei580gms3rif3204j7dn9gljo;Pass;;;;;;;;;;20,8;78,3;;26,4;2,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;78,3;26,4;;;;;;;;0;0;12;Real Monarchs;12;FWR;1,0
2706333289;8;1;1;0;16;6gaq85erpkvbyxvivd96wuw44;1;76,6;27,4;2024-08-05T02:04:13.174Z;2024-08-05T02:51:58Z;[{'id': 5134022447, 'qualifierId': 213, 'value': '5.63'}, {'id': 5134022443, 'qualifierId': 141, 'value': '22.7'}, {'id': 5134022441, 'qualifierId': 140, 'value': '80.6'}, {'id': 5134022445, 'qualifierId': 212, 'value': '5.3'}, {'id': 5134022101, 'qualifierId': 56, 'value': 'Center'}];8f5h44hnjdt4rdflu8qqhx5d6;T. Musto;;;ei580gms3rif3204j7dn9gljo;Pass;;;;;;;;;;5,3;80,6;;22,7;5,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;80,6;22,7;;;;;;;;0;0;16;Real Monarchs;16;MC;1,0
2706333313;10;1;1;0;17;6gaq85erpkvbyxvivd96wuw44;0;81,3;19,7;2024-08-05T02:04:13.547Z;2024-08-12T14:51:08Z;[{'id': 5145865487, 'qualifierId': 212, 'value': '2.0'}, {'id': 5134047299, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145865483, 'qualifierId': 140, 'value': '80.2'}, {'id': 5145865485, 'qualifierId': 141, 'value': '22.1'}, {'id': 5145865481, 'qualifierId': 155}, {'id': 5145865489, 'qualifierId': 213, 'value': '2.19'}];m4w1lmkfi8siwrxs9ny5ihhw;J. Terry;;;ei580gms3rif3204j7dn9gljo;Pass;;;;;;;;;;2,0;80,2;;22,1;2,19;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;80,2;22,1;;;;;;;;0;0;17;Real Monarchs;17;MC;1,0
2706340027;474;43;1;0;18;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-08-05T02:04:14.214Z;2024-08-12T15:23:10Z;[{'id': 5134059831, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136473733, 'qualifierId': 384, 'value': '0'}, {'id': 5145865785, 'qualifierId': 15, 'value': '0'}, {'id': 5145869519, 'qualifierId': 144, 'value': '8'}];3wkej06590b61lyqm7vt1kwes;G. Dillon;;;ei580gms3rif3204j7dn9gljo;Deleted event;;;;;;;;;;;;;;;;;;;;;;8,0;;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;;0;0;18;Los Angeles II;18;MC;1,0
2706333295;5;12;1;0;19;cbip96wzs3jc2xadoluhhxotl;1;23,9;74,5;2024-08-05T02:04:15.900Z;2024-08-12T15:23:58Z;[{'id': 5134022141, 'qualifierId': 213, 'value': '0.97'}, {'id': 5134022139, 'qualifierId': 212, 'value': '3.1'}, {'id': 5134022137, 'qualifierId': 141, 'value': '78.3'}, {'id': 5145869675, 'qualifierId': 15}, {'id': 5134022135, 'qualifierId': 140, 'value': '25.6'}, {'id': 5134022133, 'qualifierId': 56, 'value': 'Back'}];tw82u87mw6kggtjblt1hhdzo;A. Hezarkhani;;;ei580gms3rif3204j7dn9gljo;Clearance;;;;;;;;;;3,1;25,6;;78,3;0,97;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;25,6;78,3;;;;;;;;0;0;19;Los Angeles II;19;FW;1,0
2706333297;6;49;1;0;20;cbip96wzs3jc2xadoluhhxotl;1;27,3;80,8;2024-08-05T02:04:16.780Z;2024-08-05T04:11:06Z;[];17x0wwjg47boyx7jua6vqf0gk;M. Bell;;;ei580gms3rif3204j7dn9gljo;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;;0;0;20;Los Angeles II;20;ML;1,0
2706333315;7;1;1;0;20;cbip96wzs3jc2xadoluhhxotl;1;27,3;80,8;2024-08-05T02:04:16.860Z;2024-08-05T04:11:05Z;[{'id': 5134022209, 'qualifierId': 56, 'value': 'Back'}, {'id': 5134022217, 'qualifierId': 213, 'value': '3.54'}, {'id': 5134022211, 'qualifierId': 140, 'value': '16.2'}, {'id': 5134022215, 'qualifierId': 212, 'value': '12.6'}, {'id': 5134022213, 'qualifierId': 141, 'value': '73.6'}];17x0wwjg47boyx7jua6vqf0gk;M. Bell;;;ei580gms3rif3204j7dn9gljo;Pass;;;;;;;;;;12,6;16,2;;73,6;3,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;16,2;73,6;;;;;;;;0;0;20;Los Angeles II;20;ML;1,0
2706333323;8;1;1;0;20;cbip96wzs3jc2xadoluhhxotl;1;14,1;74,4;2024-08-05T02:04:17.100Z;2024-08-05T02:04:21Z;[{'id': 5134022245, 'qualifierId': 141, 'value': '72.0'}, {'id': 5134022241, 'qualifierId': 56, 'value': 'Back'}, {'id': 5134022249, 'qualifierId': 213, 'value': '5.98'}, {'id': 5134022243, 'qualifierId': 140, 'value': '19.1'}, {'id': 5134022247, 'qualifierId': 212, 'value': '5.5'}];5gg2mxmy9ff40oku3s09gavl6;Z. Farnsworth;;;ei580gms3rif3204j7dn9gljo;Pass;;;;;;;;;;5,5;19,1;;72,0;5,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;19,1;72,0;;;;;;;;0;0;20;Los Angeles II;20;DC;1,0
