id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_PlayerPosition;value_TeamPlayerFormation;value_Involved;value_Resume;value_TeamKit;value_JerseyNumber;value_Captain;value_DirectionOfPlay;value_Angle;value_PassEndX;value_Zone;value_KickOff;value_Length;value_PassEndY;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_TouchTypeControl;value_NextEventGoalKick;value_Low;value_GoalKick;value_IntendedTackleTarget;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_TakeOnSpace;value_TouchTypePass;value_DeletedEventType;value_Assist;value_IntentionalAssist;value_Assisted;value_GoalmouthZ;value_FirstTouch;value_BoxLeft;value_RelatedEventId;value_BlockedX;value_LowLeft;value_GoalmouthY;value_RegularPlay;value_BlockedY;value_LeftFooted;value_Collected;value_Stooping;value_LowGkIntervention;value_Hands;value_KeeperThrow;value_TakeOnOvertake;value_OutOfPlay;value_Chipped;value_LowCentre;value_GoalShotGameClock;value_BoxCentre;value_GkYTimeOfGoal;value_BigChance;value_GkXTimeOfGoal;value_GkY;value_1On1;value_RightFooted;value_GoalShotTimestamp;value_GkX;value_BlockedPass;value_Injury;value_InjuredPlayerId;value_Head;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_SwitchOfPlay;value_PullBack;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_Cross;value_OutSwinger;value_IndividualPlay;value_FromCorner;value_Blocked;value_NotAssisted;value_DefBlock;value_OutOfBoxCentre;value_Feet;value_ParriedSafe;value_Reaching;value_LayOff;value_Overrun;value_CloseRight;value_FreeKick;value_High;value_SmallBoxCentre;value_FlickOn;value_AerialFoul;value_MediumGkIntervention;value_PlayersCaughtOffside;value_Indirect;value_ThroughBall;value_LastLine;value_Shove/Push;value_ParriedDanger;value_Sliding;value_NotVisible;value_Diving;value_HighGkIntervention;value_LowRight;value_SixYardBlocked;value_BoxRight;value_HighRight;value_SmallBoxRight;value_Strong;value_Volley;value_HighCentre;value_HighClaim;value_GkKickFromHands;value_Minutes;value_RecklessOffence;value_YellowCard;value_Standing;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_OverArm;value_Defensive1V1;value_Handball;value_SmallBoxLeft;value_HighLeft;value_SetPiece;value_OtherBodyPart;value_FantasyAssistedBy;value_OwnGoal;value_FantasyAssistTeam;value_FantasyAssistId;value_BoxDeepRight;value_FantasyAssistType;value_TacticalFoul;value_BlockedCross;value_GkHoof;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2693769783;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-06-01T22:08:12.352Z;2024-06-01T23:16:20Z;[{'id': 5064710699, 'qualifierId': 130, 'value': '8'}, {'id': 5064710695, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5064710701, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5064710693, 'qualifierId': 30, 'value': '76xo0u2yd2cqf8xdyh8rteqdw, 59kitnlge8bjsxmhy850bsutw, 92np3jwhxchmtfeov82ehe13o, 8q2wozyqz4nveabn71hc614dm, e23u0x31okggroh6dkoqx5fdg, 4gp2d7oltfq4uwzj78gr6q9sk, es0bxxdxf6bco25evmg19ic4, o3gftw0hatp1r62ynjmlaaui, 4akvdujqbywk628gok9xbh2j8, afqry84j23xgkhqryrontj190, e4rpnf90oa672lcm8ego7vllg, bvtvko74cyeqe297mp6shrf2s, nhhmltlm3ayn7vqmp6etck5w, gz9dek1oxgman9jslfku0zmy, 8u0efvao8rym6mdx0tl0h0qac, 65g50zt5gbo1lnrbc7uvwsbo4, 35eyloaqnyzxecdatlfdqfbis, 80p7shawtxjiydizsg5fo5a1g, ov4fk38lrcculu6tdbnrto2c'}, {'id': 5064710703, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5064798695, 'qualifierId': 197, 'value': '23373'}, {'id': 5064710697, 'qualifierId': 59, 'value': '57, 34, 42, 65, 27, 50, 37, 46, 97, 82, 79, 21, 24, 35, 44, 66, 76, 77, 90'}, {'id': 5064798693, 'qualifierId': 194, 'value': 'o3gftw0hatp1r62ynjmlaaui'}];;;;;d5izy9ptxpt812xrnrqw1bm6s;Team set up;8,0;;;;;23373,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;0;New York City II;0;;
2693771547;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-06-01T22:13:12.024Z;2024-06-01T23:07:08Z;[{'id': 5064719675, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5064798455, 'qualifierId': 197, 'value': '23611'}, {'id': 5064719673, 'qualifierId': 130, 'value': '8'}, {'id': 5064719667, 'qualifierId': 30, 'value': 'bn7qfn71x24fjl5d8t4p97kve, 6sf0pdlzomnt3e1hlc4twyv4k, 7uk47vm92xsvwdofmw1ppawyy, duj699i9620tuf3ii9z06bqsq, eiyzqnfh8r8aduel0seou7nu2, 9ijxde56q9ayy0v9kgt2osx04, 1kuo66geyyz9gu2n39w0bvr4k, 4k6c9nnzytq9qhc9uol64wg7o, 3ei1s8oyub83owfxxbsygmsmi, a0do5kh5akr89kst2p1hohixg, 4h2k5kwclhlgjk2koqin5r2fo, cwyml9l4tfvb4ceh8tv3au0wk, eq98gflais2v26wgbkw9wrxg4, 3mq1g1pyo3flkaorg9wqmfhuc, 1ni0mewxcbo26d1xxetkdy3ca, 8qkw6bkxcucb5jnsfotm816ac, 2676930j149yvanqev61emh62, 3o4uxnvpnf3cwjs3srwegxp90'}, {'id': 5064719677, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5064802509, 'qualifierId': 194, 'value': '4k6c9nnzytq9qhc9uol64wg7o'}, {'id': 5064719669, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5064719671, 'qualifierId': 59, 'value': '44, 38, 68, 42, 31, 61, 20, 37, 77, 83, 64, 29, 47, 50, 63, 67, 70, 75'}];;;;;d5izy9ptxpt812xrnrqw1bm6s;Team set up;8,0;;;;;23611,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;0;New York RB II;0;;
2693786943;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-06-01T23:06:37.753Z;2024-06-01T23:06:37Z;[{'id': 5064801649, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d5izy9ptxpt812xrnrqw1bm6s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;0;New York City II;0;;
2693786945;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-06-01T23:06:37.753Z;2024-06-07T08:05:50Z;[{'id': 5064801651, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d5izy9ptxpt812xrnrqw1bm6s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;0;New York RB II;0;;
2693786953;3;1;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;50,2;50,1;2024-06-01T23:06:37.754Z;2024-06-01T23:06:41Z;[{'id': 5064801697, 'qualifierId': 213, 'value': '3.06'}, {'id': 5064801691, 'qualifierId': 140, 'value': '28.0'}, {'id': 5064801689, 'qualifierId': 56, 'value': 'Back'}, {'id': 5064801699, 'qualifierId': 279, 'value': 'S'}, {'id': 5064801695, 'qualifierId': 212, 'value': '23.4'}, {'id': 5064801693, 'qualifierId': 141, 'value': '53.0'}];es0bxxdxf6bco25evmg19ic4;M. Sofo;;;d5izy9ptxpt812xrnrqw1bm6s;Pass;;;;;;;;;;3,06;28,0;;;23,4;53,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;28,0;53,0;;;;;;;0;0;0;0;New York City II;0;AMR;1,0
2693786969;4;1;1;0;3;4g68p0t2f5jzhzfr67i2rj1ex;1;28,0;53,0;2024-06-01T23:06:41.282Z;2024-06-07T08:07:16Z;[{'id': 5071165633, 'qualifierId': 157}, {'id': 5064801811, 'qualifierId': 56, 'value': 'Center'}, {'id': 5064801821, 'qualifierId': 1}, {'id': 5064801817, 'qualifierId': 212, 'value': '48.1'}, {'id': 5064801813, 'qualifierId': 140, 'value': '71.1'}, {'id': 5064801819, 'qualifierId': 213, 'value': '5.94'}, {'id': 5064801815, 'qualifierId': 141, 'value': '29.1'}];4gp2d7oltfq4uwzj78gr6q9sk;J. Collahuazo;;;d5izy9ptxpt812xrnrqw1bm6s;Pass;;;;;;;;;;5,94;71,1;;;48,1;29,1;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;71,1;29,1;;;;;;;0;0;0;3;New York City II;3;DC;1,0
2693786973;5;44;1;0;7;4g68p0t2f5jzhzfr67i2rj1ex;1;74,5;31,4;2024-06-01T23:06:45.186Z;2024-06-01T23:06:47Z;[{'id': 5064801829, 'qualifierId': 56, 'value': 'Center'}, {'id': 5064801835, 'qualifierId': 233, 'value': '3'}, {'id': 5064801831, 'qualifierId': 286}];4akvdujqbywk628gok9xbh2j8;F. Ssebufu;;;d5izy9ptxpt812xrnrqw1bm6s;Aerial;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;7;New York City II;7;FW;1,0
2693786971;3;44;1;0;7;6ddsx316t3j0z6nolrky9k4r8;0;25,5;68,6;2024-06-01T23:06:45.187Z;2024-06-01T23:06:47Z;[{'id': 5064801839, 'qualifierId': 233, 'value': '5'}, {'id': 5064801825, 'qualifierId': 56, 'value': 'Back'}, {'id': 5064801827, 'qualifierId': 285}];9ijxde56q9ayy0v9kgt2osx04;A. Hauschild;;;d5izy9ptxpt812xrnrqw1bm6s;Aerial;;;;;;;;;;;;;;;;;;5,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;7;New York RB II;7;DC;1,0
2693786975;6;1;1;0;8;4g68p0t2f5jzhzfr67i2rj1ex;0;73,8;37,0;2024-06-01T23:06:46.594Z;2024-06-07T08:07:27Z;[{'id': 5064801853, 'qualifierId': 213, 'value': '0.55'}, {'id': 5064801851, 'qualifierId': 212, 'value': '10.4'}, {'id': 5064801843, 'qualifierId': 3}, {'id': 5064801849, 'qualifierId': 141, 'value': '45.0'}, {'id': 5064801845, 'qualifierId': 56, 'value': 'Center'}, {'id': 5064801847, 'qualifierId': 140, 'value': '82.2'}];4akvdujqbywk628gok9xbh2j8;F. Ssebufu;;;d5izy9ptxpt812xrnrqw1bm6s;Pass;;;;;;;;;;0,55;82,2;;;10,4;45,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;82,2;45,0;;;;;;;0;0;0;8;New York City II;8;FW;1,0
2693787007;4;1;1;0;9;6ddsx316t3j0z6nolrky9k4r8;1;17,7;56,0;2024-06-01T23:06:47.668Z;2024-06-07T08:07:30Z;[{'id': 5064802001, 'qualifierId': 141, 'value': '56.3'}, {'id': 5064802007, 'qualifierId': 1}, {'id': 5064801997, 'qualifierId': 56, 'value': 'Center'}, {'id': 5064802003, 'qualifierId': 212, 'value': '38.4'}, {'id': 5064802005, 'qualifierId': 213, 'value': '0.01'}, {'id': 5064801999, 'qualifierId': 140, 'value': '54.3'}, {'id': 5064801995, 'qualifierId': 157}];eiyzqnfh8r8aduel0seou7nu2;S. Owusu;;;d5izy9ptxpt812xrnrqw1bm6s;Pass;;;;;;;;;;0,01;54,3;;;38,4;56,3;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;54,3;56,3;;;;;;;0;0;0;9;New York RB II;9;DL;1,0
