id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Involved;value_TeamFormation;value_TeamPlayerFormation;value_PlayerPosition;value_Resume;value_TeamKit;value_Captain;value_DirectionOfPlay;value_KickOff;value_Angle;value_PassEndY;value_Length;value_Zone;value_PassEndX;value_LongBall;value_Launch;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Direct;value_Offensive;value_Foul;value_Shove/Push;value_Defensive;value_Cross;value_FreeKickTaken;value_Chipped;value_OutOfPlay;value_KeeperThrow;value_SwitchOfPlay;value_NextEventGoalKick;value_GoalKick;value_Low;value_AttemptedTackle;value_BlockedPass;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_Head;value_LayOff;value_Assist;value_OutOfBoxCentre;value_GkX;value_RegularPlay;value_RightFooted;value_IndividualPlay;value_CloseRight;value_GoalmouthY;value_Assisted;value_GoalmouthZ;value_GkY;value_RelatedEventId;value_IntendedTackleTarget;value_HeadPass;value_High;value_BlockedY;value_Blocked;value_HitWoodwork;value_LowCentre;value_HitBar;value_BlockedX;value_DefBlock;value_PlayersCaughtOffside;value_FollowsShotRebound;value_DeletedEventType;value_Indirect;value_TacticalFoul;value_YellowCard;value_LeftFooted;value_BoxRight;value_NotAssisted;value_Stooping;value_Collected;value_Hands;value_NotVisible;value_BoxCentre;value_CloseLeft;value_IntentionalAssist;value_SwerveLeft;value_LowLeft;value_BoxLeft;value_FirstTouch;value_Fumble;value_ParriedDanger;value_ShirtPull/Holding;value_PenaltyTakerId;value_Penalty;value_Scored;value_Diving;value_GoalShotGameClock;value_GoalShotTimestamp;value_Second(2Nd)OppositeRelatedEventId;value_BigChance;value_CausingPlayer;value_RecklessOffence;value_FlickOn;value_DrinksBreak;value_RefereeDelay;value_HighLeft;value_SmallBoxLeft;value_LowRight;value_FollowsADribble;value_CloseHigh;value_Minutes;value_PullBack;value_35Centre;value_FreeKick;value_EndType;value_GkHoof;value_OutSwinger;value_Overrun;value_InjuredPlayerId;value_Injury;value_ThroughBall;value_2NdAssist;value_2NdAssisted;value_2NdRelatedEventId;value_FastBreak;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_FromCorner;value_NotPastGoalLine;value_Feet;value_Sliding;value_ParriedSafe;value_SetPiece;value_AerialFoul;value_CloseRightAndHigh;value_BlockedCross;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2711607027;2;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-08-21T23:33:06.461Z;2024-08-22T00:07:28Z;[{'id': 5163253363, 'qualifierId': 59, 'value': '1, 30, 3, 13, 6, 14, 43, 19, 8, 31, 21, 9, 70, 50, 48, 45, 4, 33, 12, 11'}, {'id': 5163253359, 'qualifierId': 30, 'value': 'e81zc97bmfjgwo978gplrx46i, 1snfyu5dmv164k5cl87chjlsk, 2wj1w4opn7f0jyz1ps6ebvc6i, bfsjxpmiflhdz2162ulqlo0lw, 2jzuij8p7eoy42aqem688ltuy, 48p3wcjai97tpt50ia7bi7ok4, 7yt2ddw0yntv9xq1hrv1jx05w, aa4ut2fmswha43fxnrxp1obo4, 60ej9rpig6xzj1d80w0ki92i, bp0a3bvzsxokh4nu3bq96yx3o, 7qt4r82kyz05r8kd8cmdh1xqs, 9ph8wasuz3ndre586gople49g, bk0ik8kr1gpu372ibbbv87ndg, 2p2lvzr6lk92tevfvb5u6uiac, 1es4nynrpc8sz3enj46i9zeok, eirbk0b1nni4vfpeqgxvdrmz8, e4vvdd1cn5ezrocpequewmwic, 3ehrq9mryoug8osgxkpg4eo7o, 3my8ymhvy1bysbllwpoj3qctm, azzpjrq2pndxuz0waw25p7r6y'}, {'id': 5163253365, 'qualifierId': 130, 'value': '8'}, {'id': 5163253367, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5163253361, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5163253373, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5163253371, 'qualifierId': 197, 'value': '15044'}, {'id': 5163253369, 'qualifierId': 194, 'value': '2jzuij8p7eoy42aqem688ltuy'}];;;;;bzxivr33jhmizbymk316otj4k;Team set up;;;8,0;;;;15044,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;0;0;Minnesota United II;0;;
2711609459;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-08-21T23:39:54.319Z;2024-08-22T01:43:27Z;[{'id': 5163267311, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5163267317, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5163267321, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5163316149, 'qualifierId': 194, 'value': 'a4staqjshva5lhcr0dw744nze'}, {'id': 5163267319, 'qualifierId': 197, 'value': '15045'}, {'id': 5163267309, 'qualifierId': 30, 'value': '9r22tf7lu2q4un35qwfsnpw5w, a1rc6kukly42y5j5smz3w72tw, 98tyw392rp4ow3apn0ygrbtp0, 2pka62t1zg04jwkcx6zbc4wlw, cz98wcy8nq9hqncb2z33p4hec, 1795jw1oc3pkthyq0kqexh65m, a4staqjshva5lhcr0dw744nze, e2olfsduxvaqsx6rdbaasa356, 1gmj4ge2sog221wqkmap8kidw, byelagxi3qg0rb06tjl3fodn8, tc5nl1hz1w06jobp5ckktr3e, dbc343lsh3l20pi4a4gmd94wk, f4gpras1h3k8qfz71u84iyyok, 39kv8a6a82fos9hw9esb84k16, clqg0gusupd6cehokpggbslck, 2mpx1zzsiryzqjqqnko17jzmc, 4tcyjpnhwsxlay9mqedrpspp0, 6e688gqc8qzt0h9cutptkcd90'}, {'id': 5163267315, 'qualifierId': 130, 'value': '18'}, {'id': 5163267313, 'qualifierId': 59, 'value': '60, 48, 59, 39, 51, 35, 34, 44, 50, 57, 99, 45, 49, 98, 95, 65, 66, 42'}];;;;;bzxivr33jhmizbymk316otj4k;Team set up;;;18,0;;;;15045,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2711617797;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-08-22T00:04:12.942Z;2024-08-22T00:04:13Z;[{'id': 5163314907, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;bzxivr33jhmizbymk316otj4k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2711617801;3;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-08-22T00:04:12.942Z;2024-08-22T00:04:16Z;[{'id': 5163314925, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;bzxivr33jhmizbymk316otj4k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;0;0;Minnesota United II;0;;
2711617821;3;1;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;49,9;50,1;2024-08-22T00:04:12.943Z;2024-08-22T00:04:16Z;[{'id': 5163315031, 'qualifierId': 279, 'value': 'S'}, {'id': 5163315029, 'qualifierId': 213, 'value': '2.70'}, {'id': 5163315025, 'qualifierId': 141, 'value': '65.4'}, {'id': 5163315027, 'qualifierId': 212, 'value': '24.6'}, {'id': 5163315021, 'qualifierId': 56, 'value': 'Back'}, {'id': 5163315023, 'qualifierId': 140, 'value': '28.7'}];tc5nl1hz1w06jobp5ckktr3e;J. Adebayo-Smith;;;bzxivr33jhmizbymk316otj4k;Pass;;;;;;;;;;;2,7;65,4;24,6;;28,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;28,7;65,4;;;;;;;;0;0;0;Houston Dynamo II;0;FW;1,0
2711617835;4;1;1;0;2;1pc6sx2h4rp113ldkbp5d2xas;1;28,9;65,4;2024-08-22T00:04:15.235Z;2024-08-22T00:04:20Z;[{'id': 5163315089, 'qualifierId': 140, 'value': '22.7'}, {'id': 5163315085, 'qualifierId': 56, 'value': 'Back'}, {'id': 5163315097, 'qualifierId': 212, 'value': '26.3'}, {'id': 5163315099, 'qualifierId': 213, 'value': '4.46'}, {'id': 5163315093, 'qualifierId': 141, 'value': '28.0'}];e2olfsduxvaqsx6rdbaasa356;M. Nyeman;;;bzxivr33jhmizbymk316otj4k;Pass;;;;;;;;;;;4,46;28,0;26,3;;22,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;22,7;28,0;;;;;;;;0;0;2;Houston Dynamo II;2;DMC;1,0
2711617859;5;1;1;0;6;1pc6sx2h4rp113ldkbp5d2xas;1;22,9;28,0;2024-08-22T00:04:19.924Z;2024-08-22T00:04:25Z;[{'id': 5163315215, 'qualifierId': 140, 'value': '81.9'}, {'id': 5163315223, 'qualifierId': 1}, {'id': 5163315213, 'qualifierId': 56, 'value': 'Right'}, {'id': 5163315219, 'qualifierId': 212, 'value': '63.1'}, {'id': 5163315221, 'qualifierId': 213, 'value': '6.09'}, {'id': 5163315211, 'qualifierId': 157}, {'id': 5163315217, 'qualifierId': 141, 'value': '10.6'}];1795jw1oc3pkthyq0kqexh65m;B. Fischer;;;bzxivr33jhmizbymk316otj4k;Pass;;;;;;;;;;;6,09;10,6;63,1;;81,9;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;81,9;10,6;;;;;;;;0;0;6;Houston Dynamo II;6;DC;1,0
2711617875;6;1;1;0;12;1pc6sx2h4rp113ldkbp5d2xas;1;81,9;10,6;2024-08-22T00:04:25.251Z;2024-08-22T00:04:27Z;[{'id': 5163315299, 'qualifierId': 212, 'value': '6.8'}, {'id': 5163315297, 'qualifierId': 141, 'value': '13.1'}, {'id': 5163315301, 'qualifierId': 213, 'value': '2.89'}, {'id': 5163315295, 'qualifierId': 140, 'value': '75.6'}, {'id': 5163315293, 'qualifierId': 56, 'value': 'Right'}];tc5nl1hz1w06jobp5ckktr3e;J. Adebayo-Smith;;;bzxivr33jhmizbymk316otj4k;Pass;;;;;;;;;;;2,89;13,1;6,8;;75,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;75,6;13,1;;;;;;;;0;0;12;Houston Dynamo II;12;FW;1,0
2711617879;7;61;1;0;14;1pc6sx2h4rp113ldkbp5d2xas;0;76,3;13,1;2024-08-22T00:04:27.107Z;2024-08-22T00:04:27Z;[{'id': 5163315305, 'qualifierId': 56, 'value': 'Right'}];byelagxi3qg0rb06tjl3fodn8;D. Randell;;;bzxivr33jhmizbymk316otj4k;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;;0;0;14;Houston Dynamo II;14;FW;1,0
2711617891;4;61;1;0;15;7pmw399vh2v44cjle4fkklp1w;0;22,1;88,7;2024-08-22T00:04:28.184Z;2024-08-22T00:55:15Z;[{'id': 5163315355, 'qualifierId': 56, 'value': 'Back'}];48p3wcjai97tpt50ia7bi7ok4;J. Medina;;;bzxivr33jhmizbymk316otj4k;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;0;15;Minnesota United II;15;DC;1,0
