id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_PlayerPosition;value_TeamPlayerFormation;value_TeamFormation;value_JerseyNumber;value_TeamKit;value_Resume;value_Involved;value_DirectionOfPlay;value_PassEndX;value_PassEndY;value_Angle;value_Length;value_KickOff;value_Zone;value_Launch;value_LongBall;value_LowGkIntervention;value_KeeperThrow;value_LayOff;value_FlickOn;value_DeletedEventType;value_OppositeRelatedEventId;value_Defensive;value_TouchTypeControl;value_Offensive;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_SwitchOfPlay;value_Chipped;value_Head;value_HeadPass;value_TakeOnOvertake;value_IntendedTackleTarget;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_TakeOnSpace;value_Defensive1V1;value_OutOfPlay;value_Right;value_Left;value_InSwinger;value_LeftFooted;value_CornerTaken;value_Cross;value_Shove/Push;value_RelatedEventId;value_TacticalFoul;value_YellowCard;value_RightFooted;value_NextEventGoalKick;value_Low;value_GoalKick;value_TouchTypeClearance;value_BlockedPass;value_Assist;value_BoxRight;value_GkY;value_Assisted;value_GkX;value_GoalmouthY;value_RegularPlay;value_GoalmouthZ;value_IndividualPlay;value_DefBlock;value_ShirtPull/Holding;value_InjuredPlayerId;value_Injury;value_OverArm;value_BlockedX;value_BlockedY;value_OutOfBoxCentre;value_HighCentre;value_Reaching;value_Fingertip;value_Hands;value_HighGkIntervention;value_IntentionalAssist;value_OutSwinger;value_BoxCentre;value_FromCorner;value_Volley;value_FirstTouch;value_BigChance;value_LowCentre;value_Feet;value_Stooping;value_ParriedSafe;value_SetPiece;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_PullBack;value_Diving;value_ParriedDanger;value_MediumGkIntervention;value_PlayersCaughtOffside;value_Indirect;value_BoxLeft;value_Collected;value_NotVisible;value_ThroughBall;value_Overrun;value_NotPastGoalLine;value_FollowsShotRebound;value_Minutes;value_RecklessOffence;value_Dissent;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_LowLeft;value_LowRight;value_HighClaim;value_FastBreak;value_35Centre;value_Standing;value_GkStart;value_HighRight;value_BlockedCross;value_Blocked;value_DrivenCross;value_Straight;value_RefereeStop;value_WeatherProblem;value_ClockAffecting;value_NotAssisted;value_HighLeft;value_High;value_AerialFoul;value_1On1;value_GkKickFromHands;value_BlockedClearance;value_HitWoodwork;value_HitRightPost;value_PenaltyTakerId;value_Penalty;value_Missed;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_GoesToPenalties;value_Scored;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2716832523;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-09-01T23:53:25.362Z;2024-09-05T13:02:11Z;[{'id': 5192264929, 'qualifierId': 194, 'value': '608d9yxcn99up33girsspyaga'}, {'id': 5191875245, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5191875251, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191875249, 'qualifierId': 130, 'value': '4'}, {'id': 5191875247, 'qualifierId': 59, 'value': '13, 27, 7, 5, 6, 32, 35, 18, 41, 10, 99, 51, 2, 34, 50, 30, 23, 36, 4, 14'}, {'id': 5192035107, 'qualifierId': 197, 'value': '23486'}, {'id': 5191875253, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191875243, 'qualifierId': 30, 'value': '608d9yxcn99up33girsspyaga, rtca480n5ehey5ffvt8nudck, 3risld5mac5ns2rrv6namc2l0, 1j010cibh247p8kjchww6ny3u, 7al9w77ailhli8g487tkl32tw, 14sld3djevxpcce9co1aqxn9w, akgtib8zyv5lrvh9mxunj2rdg, 74rnjizxzn5a0oag6sue0ja7e, 19ckwd2oz9uyfjznuq2c41btg, 6ggqe5gi2w2jjclmbjev6dd78, 3h8rx5wumr7hktll4hnvx7or8, 8vnnownnzz2ksuuitbw3ax5yi, auomns9j08ffqknhs9007ju38, 6girdg17h5o2qr8stoywy3vv8, 32c9e26wcnr5kmab8ep4zph5g, 6agfr3usj1pblrbq2i9mdpmcq, bijyc7qlb2849vos6kn7kd0yc, fgue58g7u6f2c53ggb0r2oa2, e7vsajjh4e7t51ciycjg0skd0, 741wavjzdmc04j4i8a3chq9zo'}];;;;;f2zlw7uedqzyikhx5derov9jo;Team set up;;;;4,0;;23486,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2716833417;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-09-01T23:55:21.417Z;2024-09-05T13:02:43Z;[{'id': 5191880475, 'qualifierId': 130, 'value': '4'}, {'id': 5191880471, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5191880479, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5192264877, 'qualifierId': 194, 'value': 'ew8oodr9hiuqve7xlz24xznfu'}, {'id': 5192024239, 'qualifierId': 197, 'value': '23808'}, {'id': 5191880469, 'qualifierId': 30, 'value': '7vhhtm49u9nzdpc9d60empxxw, 8qqehla9xvhut6uua4a0zcju2, 4wu5ystem7t4d7veep83j2qne, etyqw24tl6zko0qarctyv6ane, a9w6952jyw6x83gxp94zs8ro4, 8p3y7tm4lzwp39tojonnohaay, 6kfmf44wdx1btf9mwqdmo36z8, 38z2cuwmbeanujqho9cqwozmy, btqe4tigm004n7dj039au2sfe, 7pegcq6kh8s6naujxky714ys4, ew8oodr9hiuqve7xlz24xznfu, 28kg6zbpgbb8zrnhidogpxi0a, 2miuqwzjmcoxmgdyil758no5w, 86piuxs9tep01rcbsp3t8vx90, am8ndwmm4m03ys6wkad29lst0, 45nz5h9qtf9bnucuxuh3b4qhg, eh27y0usldxsj6ouf3pkvbg9g, aa5n9va0fkquh5xqfdgbijvv8'}, {'id': 5191880477, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191880473, 'qualifierId': 59, 'value': '51, 22, 53, 42, 44, 56, 24, 40, 77, 80, 39, 47, 61, 55, 72, 90, 75, 78'}];;;;;f2zlw7uedqzyikhx5derov9jo;Team set up;;;;4,0;;23808,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;0;North Texas;0;;
2716861665;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-09-02T00:49:59.852Z;2024-09-05T05:20:45Z;[{'id': 5192035375, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;f2zlw7uedqzyikhx5derov9jo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2716861667;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-09-02T00:49:59.852Z;2024-09-02T00:50:00Z;[{'id': 5192035395, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;f2zlw7uedqzyikhx5derov9jo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;0;North Texas;0;;
2716861669;3;1;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;49,9;50,0;2024-09-02T00:49:59.954Z;2024-09-02T01:08:54Z;[{'id': 5192035399, 'qualifierId': 140, 'value': '37.9'}, {'id': 5192035401, 'qualifierId': 141, 'value': '51.8'}, {'id': 5192035405, 'qualifierId': 213, 'value': '3.04'}, {'id': 5192035403, 'qualifierId': 212, 'value': '12.7'}, {'id': 5192035407, 'qualifierId': 279, 'value': 'S'}, {'id': 5192035397, 'qualifierId': 56, 'value': 'Back'}];19ckwd2oz9uyfjznuq2c41btg;T. Scott;;;f2zlw7uedqzyikhx5derov9jo;Pass;;;;;;;;;;37,9;51,8;3,04;12,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;37,9;51,8;;;;;;;;0;0;0;Colorado Rapids II;0;FW;1,0
2716861687;4;1;1;0;1;99l7fsj6ykgbyqcb9zqqu9dgq;1;37,9;51,8;2024-09-02T00:50:01.125Z;2024-09-05T05:45:34Z;[{'id': 5192035533, 'qualifierId': 141, 'value': '49.8'}, {'id': 5192035537, 'qualifierId': 213, 'value': '6.15'}, {'id': 5192035529, 'qualifierId': 56, 'value': 'Back'}, {'id': 5192035531, 'qualifierId': 140, 'value': '47.4'}, {'id': 5192035535, 'qualifierId': 212, 'value': '10.1'}];14sld3djevxpcce9co1aqxn9w;N. Norris;;;f2zlw7uedqzyikhx5derov9jo;Pass;;;;;;;;;;47,4;49,8;6,15;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;47,4;49,8;;;;;;;;0;0;1;Colorado Rapids II;1;DC;1,0
2716861725;5;1;1;0;2;99l7fsj6ykgbyqcb9zqqu9dgq;1;47,4;49,8;2024-09-02T00:50:02.309Z;2024-09-02T01:09:00Z;[{'id': 5192035751, 'qualifierId': 141, 'value': '58.1'}, {'id': 5192035753, 'qualifierId': 212, 'value': '11.8'}, {'id': 5192035749, 'qualifierId': 140, 'value': '37.5'}, {'id': 5192035755, 'qualifierId': 213, 'value': '2.64'}, {'id': 5192035747, 'qualifierId': 56, 'value': 'Back'}];19ckwd2oz9uyfjznuq2c41btg;T. Scott;;;f2zlw7uedqzyikhx5derov9jo;Pass;;;;;;;;;;37,5;58,1;2,64;11,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;37,5;58,1;;;;;;;;0;0;2;Colorado Rapids II;2;FW;1,0
2716861735;6;1;1;0;7;99l7fsj6ykgbyqcb9zqqu9dgq;0;37,5;58,1;2024-09-02T00:50:07.558Z;2024-09-02T01:47:47Z;[{'id': 5192035823, 'qualifierId': 213, 'value': '6.11'}, {'id': 5192035817, 'qualifierId': 140, 'value': '93.6'}, {'id': 5192035813, 'qualifierId': 157}, {'id': 5192035821, 'qualifierId': 212, 'value': '59.8'}, {'id': 5192035815, 'qualifierId': 56, 'value': 'Center'}, {'id': 5192035825, 'qualifierId': 1}, {'id': 5192035819, 'qualifierId': 141, 'value': '42.7'}];6ggqe5gi2w2jjclmbjev6dd78;Pedrinho;;;f2zlw7uedqzyikhx5derov9jo;Pass;;;;;;;;;;93,6;42,7;6,11;59,8;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;93,6;42,7;;;;;;;;0;0;7;Colorado Rapids II;7;FWR;1,0
2716861739;3;52;1;0;9;iiolvosiuokkrl5iuoxcjo4p;1;10,5;37,8;2024-09-02T00:50:09.444Z;2024-09-05T05:50:47Z;[{'id': 5196215579, 'qualifierId': 376}];7vhhtm49u9nzdpc9d60empxxw;Z. Campagnolo;;;f2zlw7uedqzyikhx5derov9jo;Keeper pick-up;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;9;North Texas;9;GK;1,0
2716861771;4;1;1;0;12;iiolvosiuokkrl5iuoxcjo4p;1;5,2;44,5;2024-09-02T00:50:12.227Z;2024-09-02T00:50:14Z;[{'id': 5192036027, 'qualifierId': 141, 'value': '33.4'}, {'id': 5192036031, 'qualifierId': 213, 'value': '5.39'}, {'id': 5192036023, 'qualifierId': 56, 'value': 'Back'}, {'id': 5192036025, 'qualifierId': 140, 'value': '11.0'}, {'id': 5192036021, 'qualifierId': 123}, {'id': 5192036029, 'qualifierId': 212, 'value': '9.7'}];7vhhtm49u9nzdpc9d60empxxw;Z. Campagnolo;;;f2zlw7uedqzyikhx5derov9jo;Pass;;;;;;;;;;11,0;33,4;5,39;9,7;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;11,0;33,4;;;;;;;;0;0;12;North Texas;12;GK;1,0
