id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamKit;value_Involved;value_PlayerPosition;value_Resume;value_JerseyNumber;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_PassEndX;value_Zone;value_Angle;value_Length;value_LongBall;value_Launch;value_OutOfPlay;value_Head;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_BlockedPass;value_Defensive;value_TouchTypePass;value_Chipped;value_Cross;value_LeftFooted;value_OutSwinger;value_BlockedCross;value_Left;value_Assist;value_IntentionalAssist;value_InSwinger;value_CornerTaken;value_RightFooted;value_CloseLeft;value_GkX;value_Assisted;value_GkY;value_FromCorner;value_FirstTouch;value_BoxCentre;value_GoalmouthZ;value_GoalmouthY;value_RelatedEventId;value_NextEventGoalKick;value_GoalKick;value_High;value_TakeOnOvertake;value_Overrun;value_DeletedEventType;value_TakeOnSpace;value_LayOff;value_RegularPlay;value_LowLeft;value_BoxLeft;value_GoalShotTimestamp;value_IndividualPlay;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_HeadPass;value_TouchTypeControl;value_LowCentre;value_Blocked;value_BlockedX;value_BoxRight;value_BlockedY;value_SixYardBlocked;value_DefBlock;value_Right;value_FloatedCross;value_Straight;value_TouchTypeClearance;value_DrivenCross;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_ShirtPull/Holding;value_HighGkIntervention;value_HighClaim;value_GkHoof;value_CloseLeftAndHigh;value_OutOfBoxCentre;value_Low;value_Shove/Push;value_NotRetreating;value_YellowCard;value_IntendedTackleTarget;value_SmallBoxRight;value_Volley;value_SetPiece;value_LowRight;value_FreeKick;value_OutOfBoxDeepRight;value_NotAssisted;value_LeadingToGoal;value_BigChance;value_RelatedError1Id;value_FlickOn;value_MediumGkIntervention;value_KeeperThrow;value_LowGkIntervention;value_HitLeftPost;value_HitWoodwork;value_HighCentre;value_Hands;value_Fumble;value_Standing;value_ParriedDanger;value_HitRightPost;value_NotVisible;value_GkKickFromHands;value_SwitchOfPlay;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_Minutes;value_SwerveLeft;value_Diving;value_ParriedSafe;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_CaptainChange;value_PlayersCaughtOffside;value_Indirect;value_OtherReason;value_RefereeDelay;value_CloseRight;value_ProfessionalFoulLastMan;value_RedCard;value_Collected;value_TacticalFoul;value_VideoCoverageLost;value_CloseHigh;value_TimeWasting;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2716850387;143;1;1;24;14;29nx7yxy1rdqv2oobqn5pjf8p;1;61,0;60,1;2024-09-02T00:27:59.630Z;2024-09-02T00:28:02Z;[{'id': 5191972917, 'qualifierId': 56, 'value': 'Left'}, {'id': 5191972921, 'qualifierId': 141, 'value': '88.4'}, {'id': 5191972919, 'qualifierId': 140, 'value': '71.6'}, {'id': 5191972923, 'qualifierId': 212, 'value': '22.2'}, {'id': 5191972925, 'qualifierId': 213, 'value': '1.05'}];d5del7kcf1zgkd2uvhius8y22;C. Sharp;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;88,4;;71,6;;1,05;22,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;71,6;88,4;;;;;;;0;0;24;14;Cincinnati II;1454;FW;1,0
2716850401;144;1;1;24;17;29nx7yxy1rdqv2oobqn5pjf8p;0;70,2;86,4;2024-09-02T00:28:02.191Z;2024-09-02T00:28:06Z;[{'id': 5191973031, 'qualifierId': 213, 'value': '3.51'}, {'id': 5191973021, 'qualifierId': 56, 'value': 'Left'}, {'id': 5191973189, 'qualifierId': 286}, {'id': 5191973027, 'qualifierId': 212, 'value': '2.8'}, {'id': 5191973183, 'qualifierId': 236}, {'id': 5191973025, 'qualifierId': 141, 'value': '84.9'}, {'id': 5191973185, 'qualifierId': 233, 'value': '230'}, {'id': 5191973023, 'qualifierId': 140, 'value': '67.7'}];7w2rw1jd8ouhu8bbvswvysu8k;J. Batiz;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;84,9;;67,7;;3,51;2,8;;;;;;230,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;67,7;84,9;;;;;;;0;0;24;17;Cincinnati II;1457;DML;1,0
2716850433;230;74;1;24;17;bd0378yx50xpdcgwkt9p9bmz8;1;25,9;7,0;2024-09-02T00:28:02.192Z;2024-09-02T01:08:57Z;[{'id': 5191973175, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191973191, 'qualifierId': 233, 'value': '144'}, {'id': 5191973177, 'qualifierId': 285}];44nrrrjr233eellmujjz45h5g;B. Halsey;;;f28rgiegrw553krvj4ckl8fmc;Blocked Pass;;;;;;;;;;;;;;;;;;;;;144,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;24;17;Toronto II;1457;DMR;1,0
2716851717;160;50;1;24;18;29nx7yxy1rdqv2oobqn5pjf8p;1;69,0;93,2;2024-09-02T00:28:02.717Z;2024-09-05T09:52:41Z;[{'id': 5191980441, 'qualifierId': 233, 'value': '231'}, {'id': 5191980255, 'qualifierId': 286}, {'id': 5191980253, 'qualifierId': 56, 'value': 'Left'}];c760g3hvhvi7nra7gpdrynn1m;J. Altobelli;;;f28rgiegrw553krvj4ckl8fmc;Dispossessed;;;;;;;;;;;;;;;;;;;;;231,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;24;18;Cincinnati II;1458;FWL;1,0
2716850443;231;7;1;24;18;bd0378yx50xpdcgwkt9p9bmz8;0;31,0;6,8;2024-09-02T00:28:02.718Z;2024-09-05T10:06:03Z;[{'id': 5191973209, 'qualifierId': 285}, {'id': 5191973207, 'qualifierId': 56, 'value': 'Back'}, {'id': 5196255563, 'qualifierId': 383}, {'id': 5191980413, 'qualifierId': 233, 'value': '160'}];44nrrrjr233eellmujjz45h5g;B. Halsey;;;f28rgiegrw553krvj4ckl8fmc;Tackle;;;;;;;;;;;;;;;;;;;;;160,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;24;18;Toronto II;1458;DMR;1,0
2716850539;145;1;1;24;28;29nx7yxy1rdqv2oobqn5pjf8p;1;60,0;72,0;2024-09-02T00:28:12.782Z;2024-09-02T00:28:16Z;[{'id': 5191973789, 'qualifierId': 212, 'value': '33.8'}, {'id': 5191973793, 'qualifierId': 1}, {'id': 5191973787, 'qualifierId': 141, 'value': '25.4'}, {'id': 5191973785, 'qualifierId': 140, 'value': '48.7'}, {'id': 5191973791, 'qualifierId': 213, 'value': '4.35'}, {'id': 5191973783, 'qualifierId': 56, 'value': 'Back'}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;25,4;;48,7;;4,35;33,8;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;48,7;25,4;;;;;;;0;0;24;28;Cincinnati II;1468;MC;1,0
2716850543;146;3;1;24;31;29nx7yxy1rdqv2oobqn5pjf8p;1;63,4;21,8;2024-09-02T00:28:16.430Z;2024-09-05T10:06:39Z;[{'id': 5196255701, 'qualifierId': 465}, {'id': 5191973811, 'qualifierId': 286}, {'id': 5191973873, 'qualifierId': 233, 'value': '232'}, {'id': 5191973809, 'qualifierId': 56, 'value': 'Center'}];8pvvljn4uasfjxdleh56pm38;A. Pearlman;;;f28rgiegrw553krvj4ckl8fmc;Take On;;;;;;;;;;;;;;;;;;;;;232,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;24;31;Cincinnati II;1471;DC;1,0
2716850545;232;45;1;24;31;bd0378yx50xpdcgwkt9p9bmz8;0;36,6;78,2;2024-09-02T00:28:16.430Z;2024-09-02T01:38:34Z;[{'id': 5191973889, 'qualifierId': 233, 'value': '146'}, {'id': 5191973813, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191973815, 'qualifierId': 285}];4uo9isxivewjrtdg9v7lku9zo;S. Jimenez;;;f28rgiegrw553krvj4ckl8fmc;Challenge;;;;;;;;;;;;;;;;;;;;;146,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;24;31;Toronto II;1471;DMC;1,0
2716850577;147;1;1;24;32;29nx7yxy1rdqv2oobqn5pjf8p;1;59,2;14,2;2024-09-02T00:28:17.230Z;2024-09-02T00:28:19Z;[{'id': 5191973983, 'qualifierId': 141, 'value': '3.1'}, {'id': 5191973985, 'qualifierId': 212, 'value': '21.8'}, {'id': 5191973987, 'qualifierId': 213, 'value': '5.93'}, {'id': 5191973979, 'qualifierId': 56, 'value': 'Right'}, {'id': 5191973981, 'qualifierId': 140, 'value': '78.7'}];8pvvljn4uasfjxdleh56pm38;A. Pearlman;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;3,1;;78,7;;5,93;21,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;78,7;3,1;;;;;;;0;0;24;32;Cincinnati II;1472;DC;1,0
2716850603;148;1;1;24;34;29nx7yxy1rdqv2oobqn5pjf8p;1;79,2;3,1;2024-09-02T00:28:19.406Z;2024-09-02T00:28:20Z;[{'id': 5191974111, 'qualifierId': 212, 'value': '7.2'}, {'id': 5191974113, 'qualifierId': 213, 'value': '2.89'}, {'id': 5191974105, 'qualifierId': 56, 'value': 'Right'}, {'id': 5191974109, 'qualifierId': 141, 'value': '5.7'}, {'id': 5191974107, 'qualifierId': 140, 'value': '72.6'}];5qfwg7j8xrfv19ouu4gvrs00k;N. Edwards;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;5,7;;72,6;;2,89;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;72,6;5,7;;;;;;;0;0;24;34;Cincinnati II;1474;DMR;1,0
