id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_Captain;value_Resume;value_Involved;value_TeamFormation;value_TeamKit;value_PlayerPosition;value_DirectionOfPlay;value_KickOff;value_Zone;value_PassEndY;value_PassEndX;value_Length;value_Angle;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_SwitchOfPlay;value_BlockedPass;value_IntendedTackleTarget;value_DeletedEventType;value_ShirtPull/Holding;value_RightFooted;value_Cross;value_OutSwinger;value_LayOff;value_TouchTypeClearance;value_TouchTypePass;value_PullBack;value_OutOfPlay;value_Left;value_Right;value_CornerTaken;value_IntentionalAssist;value_RegularPlay;value_Assist;value_TakeOnSpace;value_GkY;value_BoxCentre;value_RelatedEventId;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_GoalmouthY;value_Assisted;value_GkX;value_LowLeft;value_GkXTimeOfGoal;value_GoalmouthZ;value_FollowsADribble;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_TakeOnOvertake;value_DrivenCross;value_Straight;value_LeftFooted;value_ThroughBall;value_BoxLeft;value_FirstTouch;value_NextEventGoalKick;value_GoalKick;value_Low;value_Overrun;value_BlockedCross;value_InSwinger;value_Head;value_TouchTypeControl;value_High;value_FlickOn;value_VideoCoverageLost;value_YellowCard;value_TimeWasting;value_Defensive1V1;value_AerialFoul;value_HighGkIntervention;value_FastBreak;value_Shove/Push;value_SetPiece;value_NotAssisted;value_Volley;value_MisHit;value_IndividualPlay;value_OutOfBoxCentre;value_Minutes;value_EndType;value_LowGkIntervention;value_KeeperThrow;value_FantasyAssistedBy;value_FromCorner;value_SmallBoxCentre;value_OwnGoal;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistId;value_BigChance;value_1On1;value_LowRight;value_BlockedX;value_BlockedY;value_Diving;value_ParriedSafe;value_Hands;value_LowCentre;value_Collected;value_GkHoof;value_Simulation;value_Blocked;value_DefBlock;value_OtherObstacle;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_MediumGkIntervention;value_OverArm;value_Stooping;value_Injury;value_TacticalFoul;value_BoxRight;value_RecklessOffence;value_SixYardBlocked;value_GkKickFromHands;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2698084551;649;1;2;78;20;c7c4wwva2u1vb3rr7rwava044;1;52,7;58,8;2024-06-27T00:39:34.561Z;2024-06-27T00:39:35Z;[{'id': 5088475005, 'qualifierId': 141, 'value': '73.2'}, {'id': 5088475001, 'qualifierId': 56, 'value': 'Center'}, {'id': 5088474997, 'qualifierId': 5}, {'id': 5088475007, 'qualifierId': 212, 'value': '16.8'}, {'id': 5088475003, 'qualifierId': 140, 'value': '65.7'}, {'id': 5088474999, 'qualifierId': 152}, {'id': 5088475009, 'qualifierId': 213, 'value': '0.62'}];3x8f4j8q49d8hft60a6k8l5as;T. Barton;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;73,2;65,7;16,8;0,62;;;;;;;;;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;65,7;73,2;;;;;;;0;0;78;20;Toronto II;4700;DC;1,0
2698084573;650;1;2;78;21;c7c4wwva2u1vb3rr7rwava044;1;65,9;70,8;2024-06-27T00:39:35.489Z;2024-06-27T00:39:38Z;[{'id': 5088475103, 'qualifierId': 141, 'value': '91.2'}, {'id': 5088475107, 'qualifierId': 213, 'value': '1.14'}, {'id': 5088475101, 'qualifierId': 140, 'value': '72.0'}, {'id': 5088475099, 'qualifierId': 56, 'value': 'Left'}, {'id': 5088475105, 'qualifierId': 212, 'value': '15.3'}];cjjvy22j5q0piz5omn2tf18us;Pep Casas;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;91,2;72,0;15,3;1,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;72,0;91,2;;;;;;;0;0;78;21;Toronto II;4701;MC;1,0
2698084603;651;1;2;78;24;c7c4wwva2u1vb3rr7rwava044;1;66,5;76,9;2024-06-27T00:39:38.417Z;2024-06-27T00:39:42Z;[{'id': 5088475243, 'qualifierId': 213, 'value': '4.44'}, {'id': 5088475239, 'qualifierId': 141, 'value': '56.9'}, {'id': 5088475241, 'qualifierId': 212, 'value': '14.1'}, {'id': 5088475231, 'qualifierId': 56, 'value': 'Center'}, {'id': 5088475235, 'qualifierId': 140, 'value': '62.9'}];bn5ic0uuxaupf6hs2tgqqq0b8;S. Morales;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;56,9;62,9;14,1;4,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;62,9;56,9;;;;;;;0;0;78;24;Toronto II;4704;Sub;1,0
2698084607;652;1;2;78;28;c7c4wwva2u1vb3rr7rwava044;1;67,0;48,7;2024-06-27T00:39:42.497Z;2024-06-27T00:39:44Z;[{'id': 5088475251, 'qualifierId': 141, 'value': '28.6'}, {'id': 5088475255, 'qualifierId': 213, 'value': '3.94'}, {'id': 5088475247, 'qualifierId': 56, 'value': 'Center'}, {'id': 5088475253, 'qualifierId': 212, 'value': '19.1'}, {'id': 5088475249, 'qualifierId': 140, 'value': '54.3'}];7ve3vmg19c3g91j7zs32oecd0;R. Montenegro;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;28,6;54,3;19,1;3,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;54,3;28,6;;;;;;;0;0;78;28;Toronto II;4708;AMC;1,0
2698084621;653;1;2;78;30;c7c4wwva2u1vb3rr7rwava044;1;54,3;28,6;2024-06-27T00:39:44.128Z;2024-06-27T00:39:47Z;[{'id': 5088475311, 'qualifierId': 140, 'value': '67.9'}, {'id': 5088475315, 'qualifierId': 212, 'value': '22.3'}, {'id': 5088475313, 'qualifierId': 141, 'value': '3.5'}, {'id': 5088475309, 'qualifierId': 56, 'value': 'Right'}, {'id': 5088475317, 'qualifierId': 213, 'value': '5.41'}];c1fvknrf94i05q738d5r7vmdw;T. Hall;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;3,5;67,9;22,3;5,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;67,9;3,5;;;;;;;0;0;78;30;Toronto II;4710;DC;1,0
2698084643;654;1;2;78;33;c7c4wwva2u1vb3rr7rwava044;1;65,9;6,1;2024-06-27T00:39:47.552Z;2024-06-27T00:39:51Z;[{'id': 5088475421, 'qualifierId': 140, 'value': '54.9'}, {'id': 5088475425, 'qualifierId': 212, 'value': '28.8'}, {'id': 5088475419, 'qualifierId': 56, 'value': 'Center'}, {'id': 5088475423, 'qualifierId': 141, 'value': '44.9'}, {'id': 5088475427, 'qualifierId': 213, 'value': '1.98'}];3vssz1vq3p0tv1ks0hqrpxjis;A. Ristano;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;44,9;54,9;28,8;1,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;54,9;44,9;;;;;;;0;0;78;33;Toronto II;4713;Sub;1,0
2698084675;655;1;2;78;37;c7c4wwva2u1vb3rr7rwava044;1;54,9;44,9;2024-06-27T00:39:50.976Z;2024-06-27T00:39:58Z;[{'id': 5088475659, 'qualifierId': 140, 'value': '60.9'}, {'id': 5088475663, 'qualifierId': 212, 'value': '12.0'}, {'id': 5088475665, 'qualifierId': 213, 'value': '1.02'}, {'id': 5088475657, 'qualifierId': 56, 'value': 'Center'}, {'id': 5088475661, 'qualifierId': 141, 'value': '60.0'}];3x8f4j8q49d8hft60a6k8l5as;T. Barton;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;60,0;60,9;12,0;1,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;60,9;60,0;;;;;;;0;0;78;37;Toronto II;4717;DC;1,0
2698084693;656;1;2;78;44;c7c4wwva2u1vb3rr7rwava044;1;68,2;66,4;2024-06-27T00:39:58.400Z;2024-06-27T00:40:01Z;[{'id': 5088475761, 'qualifierId': 213, 'value': '1.10'}, {'id': 5088475759, 'qualifierId': 212, 'value': '12.7'}, {'id': 5088475753, 'qualifierId': 56, 'value': 'Left'}, {'id': 5088475757, 'qualifierId': 141, 'value': '83.0'}, {'id': 5088475755, 'qualifierId': 140, 'value': '73.7'}];cjjvy22j5q0piz5omn2tf18us;Pep Casas;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;83,0;73,7;12,7;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;73,7;83,0;;;;;;;0;0;78;44;Toronto II;4724;MC;1,0
2698084703;657;1;2;78;47;c7c4wwva2u1vb3rr7rwava044;1;73,5;84,5;2024-06-27T00:40:01.105Z;2024-06-27T00:40:03Z;[{'id': 5088475817, 'qualifierId': 56, 'value': 'Center'}, {'id': 5088475823, 'qualifierId': 212, 'value': '16.4'}, {'id': 5088475825, 'qualifierId': 213, 'value': '4.45'}, {'id': 5088475819, 'qualifierId': 140, 'value': '69.4'}, {'id': 5088475821, 'qualifierId': 141, 'value': '61.2'}];bn5ic0uuxaupf6hs2tgqqq0b8;S. Morales;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;61,2;69,4;16,4;4,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;69,4;61,2;;;;;;;0;0;78;47;Toronto II;4727;Sub;1,0
2698084711;658;1;2;78;49;c7c4wwva2u1vb3rr7rwava044;1;69,4;61,2;2024-06-27T00:40:03.793Z;2024-06-27T00:40:05Z;[{'id': 5088475859, 'qualifierId': 56, 'value': 'Center'}, {'id': 5088475867, 'qualifierId': 213, 'value': '4.18'}, {'id': 5088475863, 'qualifierId': 141, 'value': '46.7'}, {'id': 5088475865, 'qualifierId': 212, 'value': '11.4'}, {'id': 5088475861, 'qualifierId': 140, 'value': '63.9'}];9z7fz0c95ib7oniguzwbihs0k;A. Flores;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;46,7;63,9;11,4;4,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;63,9;46,7;;;;;;;0;0;78;49;Toronto II;4729;MC;1,0
