id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamFormation;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_Involved;value_TeamKit;value_Resume;value_DirectionOfPlay;value_Length;value_Angle;value_PassEndY;value_PassEndX;value_KickOff;value_Zone;value_LongBall;value_Chipped;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_Launch;value_TouchTypePass;value_LowGkIntervention;value_OverArm;value_KeeperThrow;value_TouchTypeControl;value_IntendedTackleTarget;value_DeletedEventType;value_SwitchOfPlay;value_TakeOnSpace;value_HeadPass;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_TouchTypeClearance;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_AttemptedTackle;value_Foul;value_LayOff;value_ShirtPull/Holding;value_MediumGkIntervention;value_Injury;value_InjuredPlayerId;value_RelatedEventId;value_TakeOnOvertake;value_Overrun;value_Cross;value_Assist;value_IntentionalAssist;value_InSwinger;value_RightFooted;value_Volley;value_LowCentre;value_BlockedY;value_Assisted;value_BoxCentre;value_FirstTouch;value_BigChance;value_GoalmouthZ;value_GoalmouthY;value_RegularPlay;value_LeftFooted;value_BlockedX;value_Standing;value_ParriedSafe;value_Feet;value_OutSwinger;value_Head;value_HighGkIntervention;value_HighClaim;value_Shove/Push;value_LeadingToAttempt;value_Left;value_GkX;value_GkY;value_SetPiece;value_NextEventGoalKick;value_Low;value_GoalKick;value_NotVisible;value_BlockedPass;value_Blocked;value_IndividualPlay;value_DefBlock;value_Right;value_CornerTaken;value_Straight;value_DrivenCross;value_OutOfBoxCentre;value_RelatedError1Id;value_ThroughBall;value_BoxLeft;value_FastBreak;value_High;value_FloatedCross;value_NotPastGoalLine;value_LowLeft;value_Hands;value_Stooping;value_Collected;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_BoxRight;value_GoalShotGameClock;value_GkXTimeOfGoal;value_NotAssisted;value_CloseRight;value_FlickOn;value_OwnPlayer;value_OwnShotBlocked;value_CloseRightAndHigh;value_Minutes;value_SwerveLeft;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_Defensive1V1;value_PullBack;value_FromCorner;value_LowRight;value_SixYardBlocked;value_SmallBoxRight;value_BlockedCross;value_AerialFoul;value_HighCentre;value_KeeperTouched;value_YellowCard;value_RecklessOffence;value_LastLine;value_CaptainChange;value_HighLeft;value_Deflection;value_TacticalFoul;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2703222053;816;61;2;58;55;7pmw399vh2v44cjle4fkklp1w;1;49,4;6,9;2024-07-22T01:23:50.241Z;2024-07-25T12:05:43Z;[{'id': 5116880991, 'qualifierId': 56, 'value': 'Back'}];3c1xz4vpfoum0jbq6bmtdrtux;I. Achara;;;e75bqy7vz0rzi0z9hobuznod0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;58;55;North Texas;3535;Sub;1,0
2702738089;541;5;2;58;56;7pmw399vh2v44cjle4fkklp1w;0;48,8;-1,5;2024-07-22T01:23:50.932Z;2024-07-22T01:28:34Z;[{'id': 5114163831, 'qualifierId': 56, 'value': 'Back'}, {'id': 5114163927, 'qualifierId': 233, 'value': '568'}, {'id': 5114163833, 'qualifierId': 347}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;e75bqy7vz0rzi0z9hobuznod0;Out;;;;;;;;;;;;;;;;;;568,0;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;58;56;North Texas;3536;Sub;1,0
2702738097;568;5;2;58;56;99l7fsj6ykgbyqcb9zqqu9dgq;1;51,2;101,5;2024-07-22T01:23:50.932Z;2024-07-22T01:23:56Z;[{'id': 5114163883, 'qualifierId': 347}, {'id': 5114163881, 'qualifierId': 56, 'value': 'Left'}, {'id': 5114163921, 'qualifierId': 233, 'value': '541'}];3risld5mac5ns2rrv6namc2l0;A. Zanne;;;e75bqy7vz0rzi0z9hobuznod0;Out;;;;;;;;;;;;;;;;;;541,0;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;58;56;Houston Dynamo II;3536;DC;1,0
2702738117;569;1;2;59;6;99l7fsj6ykgbyqcb9zqqu9dgq;1;48,0;100,0;2024-07-22T01:24:00.882Z;2024-07-22T01:24:02Z;[{'id': 5114163989, 'qualifierId': 212, 'value': '20.1'}, {'id': 5114163981, 'qualifierId': 107}, {'id': 5114163983, 'qualifierId': 56, 'value': 'Left'}, {'id': 5114163991, 'qualifierId': 213, 'value': '5.76'}, {'id': 5114163985, 'qualifierId': 140, 'value': '64.6'}, {'id': 5114163987, 'qualifierId': 141, 'value': '86.2'}];3risld5mac5ns2rrv6namc2l0;A. Zanne;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;20,1;5,76;86,2;64,6;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;64,6;86,2;;;;;;;0;0;59;6;Houston Dynamo II;3546;DC;1,0
2702738121;570;61;2;59;7;99l7fsj6ykgbyqcb9zqqu9dgq;0;64,7;86,2;2024-07-22T01:24:02.385Z;2024-07-22T01:24:02Z;[{'id': 5114164017, 'qualifierId': 56, 'value': 'Left'}];fgue58g7u6f2c53ggb0r2oa2;M. Henry-Scott;;;e75bqy7vz0rzi0z9hobuznod0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;59;7;Houston Dynamo II;3547;FW;1,0
2702738127;542;61;2;59;8;7pmw399vh2v44cjle4fkklp1w;1;37,1;24,4;2024-07-22T01:24:03.232Z;2024-07-22T01:24:03Z;[{'id': 5114164021, 'qualifierId': 56, 'value': 'Back'}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;e75bqy7vz0rzi0z9hobuznod0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;59;8;North Texas;3548;Sub;1,0
2702738143;571;1;2;59;8;99l7fsj6ykgbyqcb9zqqu9dgq;1;65,8;86,0;2024-07-22T01:24:03.459Z;2024-07-22T01:24:06Z;[{'id': 5114164107, 'qualifierId': 213, 'value': '6.24'}, {'id': 5114164101, 'qualifierId': 140, 'value': '78.7'}, {'id': 5114164099, 'qualifierId': 56, 'value': 'Left'}, {'id': 5114164105, 'qualifierId': 212, 'value': '13.6'}, {'id': 5114164103, 'qualifierId': 141, 'value': '85.1'}, {'id': 5114164097, 'qualifierId': 155}];fgue58g7u6f2c53ggb0r2oa2;M. Henry-Scott;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;13,6;6,24;85,1;78,7;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;78,7;85,1;;;;;;;0;0;59;8;Houston Dynamo II;3548;FW;1,0
2702738145;572;1;2;59;12;99l7fsj6ykgbyqcb9zqqu9dgq;0;78,0;83,8;2024-07-22T01:24:06.818Z;2024-07-22T01:24:07Z;[{'id': 5114164111, 'qualifierId': 56, 'value': 'Left'}, {'id': 5114164115, 'qualifierId': 141, 'value': '82.7'}, {'id': 5114164117, 'qualifierId': 212, 'value': '0.8'}, {'id': 5114164119, 'qualifierId': 213, 'value': '4.85'}, {'id': 5114164113, 'qualifierId': 140, 'value': '78.1'}];741wavjzdmc04j4i8a3chq9zo;D. Baran;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;0,8;4,85;82,7;78,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;78,1;82,7;;;;;;;0;0;59;12;Houston Dynamo II;3552;FWL;1,0
2702738147;543;43;2;59;13;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-07-22T01:24:07.973Z;2024-07-25T12:06:50Z;[{'id': 5114164135, 'qualifierId': 56, 'value': 'Back'}, {'id': 5116881189, 'qualifierId': 144, 'value': '61'}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;e75bqy7vz0rzi0z9hobuznod0;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;61,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;59;13;North Texas;3553;DL;1,0
2702738165;544;1;2;59;16;7pmw399vh2v44cjle4fkklp1w;0;17,5;36,7;2024-07-22T01:24:10.773Z;2024-07-22T01:24:12Z;[{'id': 5114164209, 'qualifierId': 56, 'value': 'Back'}, {'id': 5114164217, 'qualifierId': 213, 'value': '5.52'}, {'id': 5114164215, 'qualifierId': 212, 'value': '32.2'}, {'id': 5114164211, 'qualifierId': 140, 'value': '39.7'}, {'id': 5114164213, 'qualifierId': 141, 'value': '4.1'}, {'id': 5114164207, 'qualifierId': 157}, {'id': 5114164219, 'qualifierId': 1}];48p3wcjai97tpt50ia7bi7ok4;J. Medina;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;32,2;5,52;4,1;39,7;;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;39,7;4,1;;;;;;;0;0;59;16;North Texas;3556;DC;1,0
