id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Resume;value_TeamPlayerFormation;value_Captain;value_Involved;value_PlayerPosition;value_TeamFormation;value_JerseyNumber;value_DirectionOfPlay;value_DeletedEventType;value_Angle;value_KickOff;value_Length;value_PassEndX;value_Zone;value_PassEndY;value_Chipped;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_TakeOnSpace;value_TouchTypePass;value_OutOfPlay;value_TouchTypeClearance;value_IntendedTackleTarget;value_BlockedPass;value_Assist;value_IntentionalAssist;value_Assisted;value_BlockedY;value_GoalmouthY;value_LowCentre;value_GoalmouthZ;value_BlockedX;value_FastBreak;value_RightFooted;value_FirstTouch;value_BoxRight;value_RelatedEventId;value_ParriedDanger;value_Hands;value_Diving;value_LowGkIntervention;value_NotVisible;value_Launch;value_Overrun;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_PlayersCaughtOffside;value_Indirect;value_FlickOn;value_LayOff;value_NextEventGoalKick;value_Low;value_GoalKick;value_Blocked;value_BoxCentre;value_GkY;value_RegularPlay;value_LowRight;value_GkX;value_DefBlock;value_Right;value_Left;value_Cross;value_CornerTaken;value_OutSwinger;value_Head;value_IncorrectOutOfPlayDecision;value_2NdAssist;value_FromCorner;value_NotPastGoalLine;value_2NdAssisted;value_2NdRelatedEventId;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_LowLeft;value_GkYTimeOfGoal;value_GoalShotGameClock;value_OtherObstacle;value_OtherReason;value_RefereeDelay;value_BallHitsReferee;value_DangerousPlay;value_IndividualPlay;value_SwerveRight;value_Volley;value_HighRight;value_NotAssisted;value_OutOfBoxCentre;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_KeeperThrow;value_MediumGkIntervention;value_OverArm;value_Collected;value_FromShotOffTarget;value_Shove/Push;value_Defensive1V1;value_TakeOnOvertake;value_SwerveLeft;value_FreeKick;value_Stooping;value_TouchTypeControl;value_InSwinger;value_HighClaim;value_HighGkIntervention;value_SwitchOfPlay;value_BlockedCross;value_OverhitCross;value_LeftFooted;value_High;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_HitWoodwork;value_HitBar;value_OutOfBoxDeepLeft;value_HighCentre;value_Reaching;value_OtherBodyPart;value_BigChance;value_SetPiece;value_FantasyAssistId;value_SmallBoxCentre;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistedBy;value_DrinksBreak;value_CloseLeft;value_Penalty;value_Handball;value_PenaltyTakerId;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_Minutes;value_LeadingToAttempt;value_RelatedError1Id;value_Weak;value_Standing;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Straight;value_DrivenCross;value_ThroughBall;value_HitRightPost;value_Caught;value_GkHoof;value_SmallBoxRight;value_GkKickFromHands;value_BoxDeepRight;value_FloatedCross;value_TimeWasting;value_AerialFoul;value_Saved;value_MisHit;value_SixYardBlocked;value_BoxLeft;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2699943099;1;34;16;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-07-08T01:12:19.436Z;2024-07-08T03:16:59Z;[{'id': 5098801703, 'qualifierId': 197, 'value': '23614'}, {'id': 5098771511, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5098771509, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5098852963, 'qualifierId': 194, 'value': 'e1e506479mqo8j3geie6amuj8'}, {'id': 5098771501, 'qualifierId': 30, 'value': 'e53v53mch02yplr516gcm3v2s, 2iusvkm9t8r1widsfvbesnjf8, 7mnh4dln104xhunf6u9f2546i, ez0t0pl5qxy0sa3zp1l77sjro, 6u67oyyybg2bljzmzo6ujsl3p, e1e506479mqo8j3geie6amuj8, e5oov2tctv9yrbh5uldfyrey2, 8khtu1w0lp1f5d5t4zmfxiei, 3y5rrahty1k0l1hnww3bcozmy, errrv56acc41z74f8kumo7qlm, 7zr3gif60ntltgt3s5yi6qjca, 5rcj1mef6u2jbosy1urou0d7t, 4s56s6f9nw96wergw7ix5zp0q, 7ajceczjsu9ci4nqv9gg2860a, dil2b9u1omrsdbxba5swbe9gq, 9fbj8njpn0q6j87le4rnafjf8, 5jal3zhkwodffivsq89wfd15g, e2t6sxwsa5ll4zvsxh96512zu, cdyrj15oxu3l5sgzgwof8ohgq, s9a51dj3nkad2e53b2jbgl5g, 3007iihmvmlzgpgtxri3v3hg4'}, {'id': 5098771503, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5098771507, 'qualifierId': 130, 'value': '8'}, {'id': 5098771505, 'qualifierId': 59, 'value': '43, 85, 33, 37, 4, 39, 99, 77, 95, 75, 31, 30, 32, 34, 35, 36, 80, 83, 88, 90, 96'}];;;;;dyct050hhmkjjox911y3io3kk;Team set up;23614,0;;;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;;0;0;0;Sporting KC II;0;;
2699944557;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-07-08T01:23:01.441Z;2024-07-08T02:20:26Z;[{'id': 5098779725, 'qualifierId': 59, 'value': '36, 35, 40, 52, 77, 28, 38, 98, 47, 99, 39, 70, 74, 80, 88, 89, 90, 91, 96'}, {'id': 5098779731, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5098779723, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5098779727, 'qualifierId': 130, 'value': '2'}, {'id': 5098779721, 'qualifierId': 30, 'value': '8xpddjq19wzsf3mdlnjdx6e7e, 5n0su1a4r7kb7it3ghxbhrf56, 9kahvwswke29dt3uumulbktpm, c7luarkv7hwdspd9xhidhisk4, 4sw7pq7xhnf7pqii16lhtf7ro, 4cfvnypovkt900sfxmdhvxtec, 3tkdn8arq1j3il4ako7rcio2y, vhjelesjaxtgjcgfv7yxp2lm, 4oz12ku4mdjsq7y4sgogpwg2y, cqmvrx028gh19yh8qh7w01y0a, a8ngovgs2qfu5udzb97kelg16, 32t6g252ti1peycjite40qiy2, 1wa60ccrpw2zqguj4ayeeacyc, 1pm343qga3zwdbrjngpeqhtnu, 9ts3xs5p912m8f3pph7ni9vkk, tvbjgz0zeq5irumgofxrko44, 2gawx03wls5vwtlocjir3u7vu, 3f52lf1p2xmtzysfi8n18m044, hranx8amv6zdzmvzda4to0lw'}, {'id': 5098779729, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5098801893, 'qualifierId': 197, 'value': '23616'}, {'id': 5098801891, 'qualifierId': 194, 'value': 'a8ngovgs2qfu5udzb97kelg16'}];;;;;dyct050hhmkjjox911y3io3kk;Team set up;23616,0;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;0;Tacoma Defiance;0;;
2699948487;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-07-08T02:04:33.616Z;2024-07-08T02:04:36Z;[{'id': 5098802015, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dyct050hhmkjjox911y3io3kk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;0;Tacoma Defiance;0;;
2699948483;2;32;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-07-08T02:04:33.616Z;2024-07-13T06:39:04Z;[{'id': 5098801997, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dyct050hhmkjjox911y3io3kk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;;0;0;0;Sporting KC II;0;;
2699957079;390;43;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-07-08T02:04:33.616Z;2024-07-08T03:06:56Z;[{'id': 5098851277, 'qualifierId': 144, 'value': '27'}];;;;;dyct050hhmkjjox911y3io3kk;Deleted event;;;;;;;;;;27,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;0;Tacoma Defiance;0;;
2699948493;3;1;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;49,9;50,1;2024-07-08T02:04:33.617Z;2024-07-08T02:04:37Z;[{'id': 5098802051, 'qualifierId': 213, 'value': '3.24'}, {'id': 5098802053, 'qualifierId': 279, 'value': 'S'}, {'id': 5098802049, 'qualifierId': 212, 'value': '9.8'}, {'id': 5098802045, 'qualifierId': 140, 'value': '40.6'}, {'id': 5098802043, 'qualifierId': 56, 'value': 'Back'}, {'id': 5098802047, 'qualifierId': 141, 'value': '48.7'}];errrv56acc41z74f8kumo7qlm;D. Leyva;;;dyct050hhmkjjox911y3io3kk;Pass;;;;;;;;;;;3,24;;9,8;40,6;;48,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;40,6;48,7;;;;;;;;0;0;0;Sporting KC II;0;AMC;1,0
2699948497;4;1;1;0;2;5icuo8utnztpsd9l03gdd68dl;1;41,2;52,1;2024-07-08T02:04:36.116Z;2024-07-08T02:04:38Z;[{'id': 5098802077, 'qualifierId': 213, 'value': '2.09'}, {'id': 5098802069, 'qualifierId': 56, 'value': 'Back'}, {'id': 5098802073, 'qualifierId': 141, 'value': '66.7'}, {'id': 5098802075, 'qualifierId': 212, 'value': '11.4'}, {'id': 5098802071, 'qualifierId': 140, 'value': '35.8'}];ez0t0pl5qxy0sa3zp1l77sjro;S. Brunell;;;dyct050hhmkjjox911y3io3kk;Pass;;;;;;;;;;;2,09;;11,4;35,8;;66,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;35,8;66,7;;;;;;;;0;0;2;Sporting KC II;2;MC;1,0
2699948501;5;1;1;0;4;5icuo8utnztpsd9l03gdd68dl;1;34,9;63,0;2024-07-08T02:04:38.037Z;2024-07-08T02:04:40Z;[{'id': 5098802101, 'qualifierId': 213, 'value': '4.59'}, {'id': 5098802099, 'qualifierId': 212, 'value': '21.8'}, {'id': 5098802095, 'qualifierId': 140, 'value': '32.3'}, {'id': 5098802097, 'qualifierId': 141, 'value': '31.2'}, {'id': 5098802093, 'qualifierId': 56, 'value': 'Back'}];8khtu1w0lp1f5d5t4zmfxiei;S. Kitahara;;;dyct050hhmkjjox911y3io3kk;Pass;;;;;;;;;;;4,59;;21,8;32,3;;31,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;32,3;31,2;;;;;;;;0;0;4;Sporting KC II;4;MC;1,0
2699948505;6;1;1;0;7;5icuo8utnztpsd9l03gdd68dl;1;29,1;37,3;2024-07-08T02:04:40.819Z;2024-07-08T02:04:44Z;[{'id': 5098802129, 'qualifierId': 213, 'value': '2.86'}, {'id': 5098802121, 'qualifierId': 56, 'value': 'Back'}, {'id': 5098802123, 'qualifierId': 140, 'value': '7.3'}, {'id': 5098802127, 'qualifierId': 212, 'value': '23.9'}, {'id': 5098802125, 'qualifierId': 141, 'value': '47.2'}];2iusvkm9t8r1widsfvbesnjf8;K. Kossa-Rienzi;;;dyct050hhmkjjox911y3io3kk;Pass;;;;;;;;;;;2,86;;23,9;7,3;;47,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;7,3;47,2;;;;;;;;0;0;7;Sporting KC II;7;DR;1,0
2699948513;7;1;1;0;10;5icuo8utnztpsd9l03gdd68dl;0;8,0;42,8;2024-07-08T02:04:44.505Z;2024-07-08T02:04:48Z;[{'id': 5098802177, 'qualifierId': 212, 'value': '43.6'}, {'id': 5098802169, 'qualifierId': 155}, {'id': 5098802173, 'qualifierId': 140, 'value': '43.9'}, {'id': 5098802181, 'qualifierId': 1}, {'id': 5098802175, 'qualifierId': 141, 'value': '10.6'}, {'id': 5098802179, 'qualifierId': 213, 'value': '5.76'}, {'id': 5098802171, 'qualifierId': 56, 'value': 'Back'}];e53v53mch02yplr516gcm3v2s;T. Wilson;;;dyct050hhmkjjox911y3io3kk;Pass;;;;;;;;;;;5,76;;43,6;43,9;;10,6;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;43,9;10,6;;;;;;;;0;0;10;Sporting KC II;10;GK;1,0
