id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_Resume;value_Captain;value_PlayerPosition;value_JerseyNumber;value_TeamKit;value_Involved;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndX;value_Angle;value_Length;value_PassEndY;value_KickOff;value_Zone;value_Chipped;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_Launch;value_DeletedEventType;value_LayOff;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeControl;value_IntendedTackleTarget;value_BlockedPass;value_Assist;value_IntentionalAssist;value_LowLeft;value_BlockedY;value_Blocked;value_GoalmouthZ;value_RightFooted;value_Assisted;value_RelatedEventId;value_RegularPlay;value_GkY;value_FirstTouch;value_BoxCentre;value_BlockedX;value_GoalmouthY;value_GkX;value_DefBlock;value_Left;value_InSwinger;value_Cross;value_CornerTaken;value_Head;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_TouchTypeClearance;value_TakeOnSpace;value_TakeOnOvertake;value_OutOfPlay;value_FlickOn;value_Shove/Push;value_HighCentre;value_NotAssisted;value_FreeKick;value_OutOfBoxCentre;value_Collected;value_Reaching;value_HighGkIntervention;value_Hands;value_MediumGkIntervention;value_KeeperThrow;value_BoxRight;value_FastBreak;value_IndividualPlay;value_NextEventGoalKick;value_GoalKick;value_High;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_NotVisible;value_Low;value_Volley;value_LeadingToAttempt;value_LowCentre;value_RelatedError1Id;value_Stooping;value_OverArm;value_YellowCard;value_TacticalFoul;value_35Right;value_LowGkIntervention;value_DrivenCross;value_Straight;value_ShirtPull/Holding;value_ThroughBall;value_GkKickFromHands;value_HighClaim;value_FloatedCross;value_LeftFooted;value_GkHoof;value_OutSwinger;value_DrinksBreak;value_RefereeDelay;value_OutOfBoxDeepRight;value_OverhitCross;value_BigChance;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_Minutes;value_EndType;value_Overrun;value_Right;value_LowRight;value_InjuredPlayerId;value_Injury;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_PullBack;value_Diving;value_ParriedSafe;value_SmallBoxLeft;value_FromCorner;value_HighRight;value_RecklessOffence;value_BlockedCross;value_OutOfBoxDeepLeft;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2718504327;4;1;1;0;11;cwnjxlibb02fuh0vwgvac6h45;1;33,7;41,5;2024-09-08T19:06:22.014Z;2024-09-08T19:07:03Z;[{'id': 5201121009, 'qualifierId': 213, 'value': '1.61'}, {'id': 5201121003, 'qualifierId': 140, 'value': '32.8'}, {'id': 5201121005, 'qualifierId': 141, 'value': '73.0'}, {'id': 5201121001, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201121007, 'qualifierId': 212, 'value': '21.4'}];4cwccglaxz5sf71eptnj6kzfu;A. Jiménez;;;f4x8tfkk8t2z8xl8euz0kyfbo;Pass;;;;;;;;;;32,8;1,61;21,4;73,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;32,8;73,0;;;;;;;0;0;0;11;Columbus Crew II;11;AMC;1,0
2718504333;5;49;1;0;14;cwnjxlibb02fuh0vwgvac6h45;1;33,9;77,2;2024-09-08T19:06:25.246Z;2024-09-08T20:00:41Z;[];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;f4x8tfkk8t2z8xl8euz0kyfbo;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;0;0;0;14;Columbus Crew II;14;DML;1,0
2718504335;6;1;1;0;15;cwnjxlibb02fuh0vwgvac6h45;0;33,9;77,2;2024-09-08T19:06:25.750Z;2024-09-08T20:00:44Z;[{'id': 5201121025, 'qualifierId': 141, 'value': '61.4'}, {'id': 5201121021, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201121027, 'qualifierId': 212, 'value': '32.3'}, {'id': 5201121031, 'qualifierId': 1}, {'id': 5201121029, 'qualifierId': 213, 'value': '5.94'}, {'id': 5201121023, 'qualifierId': 140, 'value': '62.9'}];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;f4x8tfkk8t2z8xl8euz0kyfbo;Pass;;;;;;;;;;62,9;5,94;32,3;61,4;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;62,9;61,4;;;;;;;0;0;0;15;Columbus Crew II;15;DML;1,0
2718504337;5;1;1;0;15;5b4ccd62yeeqdl2qk6jzsmjv8;0;34,1;32,8;2024-09-08T19:06:25.768Z;2024-09-08T19:06:27Z;[{'id': 5201121041, 'qualifierId': 212, 'value': '10.6'}, {'id': 5201121045, 'qualifierId': 1}, {'id': 5201121037, 'qualifierId': 140, 'value': '44.2'}, {'id': 5201121035, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201121043, 'qualifierId': 213, 'value': '6.22'}, {'id': 5201121033, 'qualifierId': 157}, {'id': 5201121039, 'qualifierId': 141, 'value': '31.8'}];bezle40rjwnkdskjbf9yg4sq2;X. Zengue;;;f4x8tfkk8t2z8xl8euz0kyfbo;Pass;;;;;;;;;;44,2;6,22;10,6;31,8;;;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;44,2;31,8;;;;;;;0;0;0;15;Chattanooga;15;DC;1,0
2718522139;397;1;1;0;15;cwnjxlibb02fuh0vwgvac6h45;0;57,8;71,1;2024-09-08T19:06:25.849Z;2024-09-11T13:21:15Z;[{'id': 5201216273, 'qualifierId': 212, 'value': '14.2'}, {'id': 5201216269, 'qualifierId': 140, 'value': '71.3'}, {'id': 5201216277, 'qualifierId': 1}, {'id': 5201216265, 'qualifierId': 157}, {'id': 5201216271, 'qualifierId': 141, 'value': '71.2'}, {'id': 5201216267, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201216275, 'qualifierId': 213, 'value': '0.00'}];at2xv960peboe9spoag2kn21g;A. McGrath;;;f4x8tfkk8t2z8xl8euz0kyfbo;Pass;;;;;;;;;;71,3;0,0;14,2;71,2;;;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;71,3;71,2;;;;;;;0;0;0;15;Columbus Crew II;15;MC;1,0
2718522211;501;44;1;0;16;5b4ccd62yeeqdl2qk6jzsmjv8;1;29,9;26,8;2024-09-08T19:06:26.649Z;2024-09-11T13:24:14Z;[{'id': 5201216619, 'qualifierId': 285}, {'id': 5201216617, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201216639, 'qualifierId': 233, 'value': '7'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;f4x8tfkk8t2z8xl8euz0kyfbo;Aerial;;;;;;;;;;;;;;;;;;1,0;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;16;Chattanooga;16;DC;1,0
2718504351;7;44;1;0;16;cwnjxlibb02fuh0vwgvac6h45;0;70,1;73,2;2024-09-08T19:06:26.650Z;2024-09-11T13:24:14Z;[{'id': 5201121111, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201121113, 'qualifierId': 286}, {'id': 5201121137, 'qualifierId': 233, 'value': '501'}];4hdai9za2ls03tjpcw0ahu5wq;T. Gray;;;f4x8tfkk8t2z8xl8euz0kyfbo;Aerial;;;;;;;;;;;;;;;;;;;501,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;0;0;0;16;Columbus Crew II;16;FW;1,0
2719122303;1000;61;1;0;17;5b4ccd62yeeqdl2qk6jzsmjv8;1;38,4;16,7;2024-09-08T19:06:27.649Z;2024-09-11T13:21:54Z;[{'id': 5204520395, 'qualifierId': 56, 'value': 'Back'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;f4x8tfkk8t2z8xl8euz0kyfbo;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;17;Chattanooga;17;DC;1,0
2718504345;6;44;1;0;17;5b4ccd62yeeqdl2qk6jzsmjv8;1;29,9;26,8;2024-09-08T19:06:27.748Z;2024-09-11T13:24:15Z;[{'id': 5201121099, 'qualifierId': 285}, {'id': 5201121097, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201121125, 'qualifierId': 233, 'value': '398'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;f4x8tfkk8t2z8xl8euz0kyfbo;Aerial;;;;;;;;;;;;;;;;;;1,0;398,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;17;Chattanooga;17;DC;1,0
2718522265;398;44;1;0;17;cwnjxlibb02fuh0vwgvac6h45;0;70,1;73,2;2024-09-08T19:06:27.749Z;2024-09-11T13:24:15Z;[{'id': 5201216943, 'qualifierId': 233, 'value': '6'}, {'id': 5201216927, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201216929, 'qualifierId': 286}];4hdai9za2ls03tjpcw0ahu5wq;T. Gray;;;f4x8tfkk8t2z8xl8euz0kyfbo;Aerial;;;;;;;;;;;;;;;;;;;6,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;0;0;0;17;Columbus Crew II;17;FW;1,0
