id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_Resume;value_PlayerPosition;value_TeamKit;value_JerseyNumber;value_Captain;value_DirectionOfPlay;value_Length;value_Angle;value_PassEndX;value_Zone;value_PassEndY;value_KickOff;value_LongBall;value_Overrun;value_Offensive;value_OutOfPlay;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Defensive;value_Chipped;value_DeletedEventType;value_Foul;value_AttemptedTackle;value_Direct;value_Penalty;value_PenaltyTakerId;value_Diving;value_Right;value_Scored;value_GoalShotTimestamp;value_GoalmouthY;value_GkX;value_CausingPlayer;value_LeftFooted;value_BoxCentre;value_GoalShotGameClock;value_GkY;value_Second(2Nd)OppositeRelatedEventId;value_BigChance;value_GoalmouthZ;value_NotAssisted;value_LowLeft;value_Launch;value_Head;value_IntendedTackleTarget;value_HeadPass;value_IntentionalAssist;value_Assist;value_Cross;value_Assisted;value_RelatedEventId;value_NotPastGoalLine;value_FirstTouch;value_BlockedX;value_MisHit;value_BlockedY;value_RegularPlay;value_KeeperThrow;value_LayOff;value_BlockedPass;value_NextEventGoalKick;value_Low;value_GoalKick;value_PullBack;value_LowCentre;value_RightFooted;value_Weak;value_Stooping;value_Collected;value_Hands;value_NotVisible;value_FreeKickTaken;value_Left;value_OutOfBoxCentre;value_IndividualPlay;value_SixYardBlocked;value_BoxDeepRight;value_Blocked;value_DefBlock;value_BlockedCross;value_Shove/Push;value_BoxLeft;value_FlickOn;value_CornerTaken;value_OutSwinger;value_SwitchOfPlay;value_ShirtPull/Holding;value_PlayersCaughtOffside;value_TempBlocked;value_35Centre;value_Indirect;value_SmallBoxCentre;value_High;value_RefereeDelay;value_DrinksBreak;value_HighCentre;value_OverhitCross;value_ThroughBall;value_Minutes;value_BoxRight;value_GkKickFromHands;value_HitWoodwork;value_HitLeftPost;value_KeeperTouched;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_OverArm;value_ParriedDanger;value_BlockedClearance;value_Injury;value_InjuredPlayerId;value_ProfessionalFoulLastMan;value_RedCard;value_FreeKick;value_Volley;value_LowRight;value_BallHitsReferee;value_InSwinger;value_FromCorner;value_TacticalFoul;value_YellowCard;value_SetPiece;value_Standing;value_Fumble;value_HighClaim;value_HighRight;value_ParriedSafe;value_Reaching;value_FastBreak;value_1On1;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706185803;157;1;1;16;17;1pc6sx2h4rp113ldkbp5d2xas;1;63,2;64,2;2024-08-04T19:20:26.826Z;2024-08-04T19:20:28Z;[{'id': 5133186215, 'qualifierId': 141, 'value': '50.8'}, {'id': 5133186219, 'qualifierId': 213, 'value': '4.00'}, {'id': 5133186217, 'qualifierId': 212, 'value': '12.0'}, {'id': 5133186211, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133186213, 'qualifierId': 140, 'value': '55.7'}];1gmj4ge2sog221wqkmap8kidw;A. Martinez;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;12,0;4,0;55,7;;50,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;55,7;50,8;;;;;;;;0;16;17;Tacoma Defiance;977;MC;1,0
2706185875;158;1;1;16;20;1pc6sx2h4rp113ldkbp5d2xas;1;70,6;47,0;2024-08-04T19:20:30.138Z;2024-08-04T19:20:54Z;[{'id': 5133186607, 'qualifierId': 212, 'value': '30.0'}, {'id': 5133186609, 'qualifierId': 213, 'value': '5.21'}, {'id': 5133186601, 'qualifierId': 56, 'value': 'Right'}, {'id': 5133186605, 'qualifierId': 141, 'value': '8.2'}, {'id': 5133186603, 'qualifierId': 140, 'value': '84.2'}];8hftsf1ff8839jdbe3e6lmm1g;K. Romanshyn;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;30,0;5,21;84,2;;8,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;84,2;8,2;;;;;;;;0;16;20;Tacoma Defiance;980;MC;1,0
2706185919;159;1;1;16;23;1pc6sx2h4rp113ldkbp5d2xas;1;86,8;8,0;2024-08-04T19:20:32.634Z;2024-08-04T19:20:35Z;[{'id': 5133186835, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133186847, 'qualifierId': 141, 'value': '30.5'}, {'id': 5133186843, 'qualifierId': 140, 'value': '69.1'}, {'id': 5133186855, 'qualifierId': 213, 'value': '2.45'}, {'id': 5133186851, 'qualifierId': 212, 'value': '24.1'}];1795jw1oc3pkthyq0kqexh65m;B. Fischer;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;24,1;2,45;69,1;;30,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;69,1;30,5;;;;;;;;0;16;23;Tacoma Defiance;983;DMR;1,0
2706185945;160;1;1;16;26;1pc6sx2h4rp113ldkbp5d2xas;1;68,3;31,4;2024-08-04T19:20:35.625Z;2024-08-04T19:20:37Z;[{'id': 5133186967, 'qualifierId': 213, 'value': '5.74'}, {'id': 5133186959, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133186961, 'qualifierId': 140, 'value': '74.9'}, {'id': 5133186965, 'qualifierId': 212, 'value': '8.1'}, {'id': 5133186963, 'qualifierId': 141, 'value': '25.3'}];8hftsf1ff8839jdbe3e6lmm1g;K. Romanshyn;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;8,1;5,74;74,9;;25,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;74,9;25,3;;;;;;;;0;16;26;Tacoma Defiance;986;MC;1,0
2706185965;161;1;1;16;27;1pc6sx2h4rp113ldkbp5d2xas;1;74,7;26,4;2024-08-04T19:20:37.017Z;2024-08-04T19:20:39Z;[{'id': 5133187107, 'qualifierId': 56, 'value': 'Right'}, {'id': 5133187113, 'qualifierId': 212, 'value': '18.9'}, {'id': 5133187109, 'qualifierId': 140, 'value': '86.6'}, {'id': 5133187115, 'qualifierId': 213, 'value': '5.43'}, {'id': 5133187111, 'qualifierId': 141, 'value': '5.5'}];clqg0gusupd6cehokpggbslck;E. Nieves;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;18,9;5,43;86,6;;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;86,6;5,5;;;;;;;;0;16;27;Tacoma Defiance;987;FW;1,0
2706185987;162;1;1;16;30;1pc6sx2h4rp113ldkbp5d2xas;1;81,2;7,2;2024-08-04T19:20:39.242Z;2024-08-04T19:20:41Z;[{'id': 5133187233, 'qualifierId': 140, 'value': '73.5'}, {'id': 5133187237, 'qualifierId': 212, 'value': '11.3'}, {'id': 5133187239, 'qualifierId': 213, 'value': '2.37'}, {'id': 5133187235, 'qualifierId': 141, 'value': '18.8'}, {'id': 5133187231, 'qualifierId': 56, 'value': 'Right'}];1795jw1oc3pkthyq0kqexh65m;B. Fischer;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;11,3;2,37;73,5;;18,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;73,5;18,8;;;;;;;;0;16;30;Tacoma Defiance;990;DMR;1,0
2706186021;163;1;1;16;32;1pc6sx2h4rp113ldkbp5d2xas;1;71,6;19,1;2024-08-04T19:20:41.290Z;2024-08-04T19:20:44Z;[{'id': 5133187393, 'qualifierId': 213, 'value': '6.08'}, {'id': 5133187385, 'qualifierId': 56, 'value': 'Right'}, {'id': 5133187389, 'qualifierId': 141, 'value': '16.7'}, {'id': 5133187391, 'qualifierId': 212, 'value': '8.1'}, {'id': 5133187387, 'qualifierId': 140, 'value': '79.2'}];clqg0gusupd6cehokpggbslck;E. Nieves;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;8,1;6,08;79,2;;16,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;79,2;16,7;;;;;;;;0;16;32;Tacoma Defiance;992;FW;1,0
2706186037;164;1;1;16;34;1pc6sx2h4rp113ldkbp5d2xas;0;82,4;28,0;2024-08-04T19:20:44.138Z;2024-08-04T19:20:44Z;[{'id': 5133187461, 'qualifierId': 140, 'value': '87.4'}, {'id': 5133187467, 'qualifierId': 213, 'value': '0.31'}, {'id': 5133187465, 'qualifierId': 212, 'value': '5.5'}, {'id': 5133187463, 'qualifierId': 141, 'value': '30.5'}, {'id': 5133187459, 'qualifierId': 56, 'value': 'Center'}];8hftsf1ff8839jdbe3e6lmm1g;K. Romanshyn;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;5,5;0,31;87,4;;30,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;87,4;30,5;;;;;;;;0;16;34;Tacoma Defiance;994;MC;1,0
2706186041;183;8;1;16;35;5icuo8utnztpsd9l03gdd68dl;1;13,3;64,9;2024-08-04T19:20:44.879Z;2024-08-04T19:20:45Z;[{'id': 5133187477, 'qualifierId': 56, 'value': 'Back'}];ez0t0pl5qxy0sa3zp1l77sjro;S. Brunell;;;eiim2xxga2jfmxnrw4yr7dz4k;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;;0;16;35;Minnesota United II;995;MC;1,0
2706186049;165;6;1;16;36;1pc6sx2h4rp113ldkbp5d2xas;1;94,4;21,4;2024-08-04T19:20:45.962Z;2024-08-04T19:20:47Z;[{'id': 5133187549, 'qualifierId': 75}, {'id': 5133187547, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133187559, 'qualifierId': 233, 'value': '184'}];8hftsf1ff8839jdbe3e6lmm1g;K. Romanshyn;;;eiim2xxga2jfmxnrw4yr7dz4k;Corner Awarded;;;;;;;;;;;;;;;;;;;;;184,0;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;;0;16;36;Tacoma Defiance;996;MC;1,0
