id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_TeamPlayerFormation;value_Involved;value_PlayerPosition;value_TeamKit;value_TeamFormation;value_JerseyNumber;value_Resume;value_Captain;value_DirectionOfPlay;value_PassEndY;value_PassEndX;value_KickOff;value_Angle;value_Zone;value_Length;value_LongBall;value_Chipped;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_HeadPass;value_NextEventGoalKick;value_Low;value_GoalKick;value_Launch;value_Defensive;value_Offensive;value_FlickOn;value_TouchTypePass;value_Head;value_BlockedPass;value_IntentionalAssist;value_Assist;value_BlockedX;value_LeftFooted;value_GkY;value_RegularPlay;value_GoalmouthY;value_LowLeft;value_RelatedEventId;value_BlockedY;value_IndividualPlay;value_Blocked;value_Assisted;value_GoalmouthZ;value_GkX;value_BoxRight;value_DefBlock;value_LowCentre;value_BoxCentre;value_RightFooted;value_NotAssisted;value_ParriedDanger;value_Diving;value_Hands;value_MediumGkIntervention;value_SwitchOfPlay;value_DeletedEventType;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_Cross;value_OutSwinger;value_NotVisible;value_KeeperThrow;value_TouchTypeClearance;value_OutOfPlay;value_Left;value_InSwinger;value_CornerTaken;value_OutOfBoxDeepLeft;value_FreeKick;value_ByWall;value_LayOff;value_ThroughBall;value_PlayersCaughtOffside;value_TempShotOn;value_Indirect;value_TakeOnOvertake;value_Shove/Push;value_FirstTouch;value_IntendedTackleTarget;value_ShirtPull/Holding;value_TakeOnSpace;value_Right;value_High;value_TouchTypeControl;value_Injury;value_InjuredPlayerId;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_BigChance;value_SetPiece;value_SmallBoxCentre;value_OtherBodyPart;value_Stooping;value_LowGkIntervention;value_OverArm;value_HighGkIntervention;value_YellowCard;value_Dissent;value_LowRight;value_OutOfBoxCentre;value_GkStart;value_FloatedCross;value_Straight;value_Minutes;value_GkKickFromHands;value_EndType;value_HighClaim;value_Overrun;value_HighRight;value_Strong;value_Collected;value_Standing;value_RecklessOffence;value_Defensive1V1;value_NotPastGoalLine;value_ThrowInSetPiece;value_Volley;value_HighLeft;value_DrivenCross;value_1On1;value_ParriedSafe;value_Feet;value_Tactical;value_Handball;value_CaptainChange;value_FromCorner;value_OverhitCross;value_Penalty;value_PenaltyTakerId;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_CausingPlayer;value_GoalShotGameClock;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotTimestamp;value_Scored;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706292099;1;34;16;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-08-04T23:15:51.970Z;2024-08-05T01:07:54Z;[{'id': 5133797303, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5133797295, 'qualifierId': 30, 'value': 'aja8uwk6vyjzzd5nvkh7pbtux, 5nykil6w1bxfevpp2c5rr32fo, a89drfd4adts1cbtqa77l1boq, d1xlw5bza316m39f9n82hir1m, dv0qqd4mx117y4al165nsdic4, 33l8nq6xbj3pm1lkxo2qs5vfu, 1qfm9519iq3jailrtnk9c0nbo, druwx3n136woly4objqgk7tp0, 1l275l4mj1o6y4ntho7bap016, 7t8o8pe93me2pef74vw21nr6y, 8p8xhni028mqjv6kz6fdz850q, 36nlk9spjf591wxuzvimi0eay, 3f5g2kijev81v9nzwsyxwiiju, 5lwarg9t4o7hxcq5exe8gwydw, a5tjyddv4t8eg9wcum3o15qfo, e076q290ab1o6qz9vthl2c0a2, 80t7hhg69bq9imj3nlu8b0ums, c88etxtac9g49m3usj08lm1hw, 6zolwstla33ppx84k1o2v8rv8, 4wr32d93f1q1v8qjq2ywmnbze'}, {'id': 5133797297, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5133858201, 'qualifierId': 197, 'value': '24422'}, {'id': 5133797301, 'qualifierId': 130, 'value': '13'}, {'id': 5133797299, 'qualifierId': 59, 'value': '25, 80, 45, 48, 39, 40, 55, 46, 17, 70, 77, 38, 42, 47, 51, 68, 78, 84, 87, 96'}, {'id': 5133797305, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5133959467, 'qualifierId': 194, 'value': '33l8nq6xbj3pm1lkxo2qs5vfu'}];;;;ehrltz9n09d567x7mfxzdacd0;Team set up;;;;24422,0;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;0;0;The Town;0;;
2706292111;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-08-04T23:15:55.115Z;2024-08-05T01:21:11Z;[{'id': 5133797385, 'qualifierId': 130, 'value': '8'}, {'id': 5133797387, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5133797379, 'qualifierId': 30, 'value': '23j7p7rylg9rwke4vbgquzjai, 35jkg2v338kipzlf0iwvvypuy, 3q8dpwqkikbugz3ikwcmkbg4q, 1on6mxrbdqnh12s4h1y0vb3mc, dqa88ma3jbk33lsyzo45uy2cq, 79z5vt08ga8prn33vi2a260kq, dwyatw1wz3nrh1fcwu27ie8ve, dhrxi7hj8xh15ky7q6u5wqi5m, cac9hjmdwt1gsz0qt3f6d4b2s, 1bmbt6h6bsiimpzxt07cqwfvu, 7jtxek694d60c5udhyv0zsjro, 4h8dml0qrwpqza4kqazp5dnqi, 3514h23j8mh5m37hsg90245ck, bpfl7nj8llr3dfadhtju52rro, 79vuqfgilwa4eyqmowr5me42c, 4nzrv75trp05nqos781kk62hg, 4sot8voc25coo4dqsqrinantg, 1f1x4s6m83dyn9tv9faubwob8, 4fevpkfk07vvz1lek5eu9ukus, 7b0z3s1wde3iu6vjvfbio6m8k'}, {'id': 5133797381, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5133797383, 'qualifierId': 59, 'value': '51, 63, 72, 38, 66, 77, 50, 64, 52, 60, 71, 45, 53, 54, 56, 58, 91, 93, 95, 96'}, {'id': 5133896601, 'qualifierId': 194, 'value': '1bmbt6h6bsiimpzxt07cqwfvu'}, {'id': 5133797389, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5133858107, 'qualifierId': 197, 'value': '15342'}];;;;ehrltz9n09d567x7mfxzdacd0;Team set up;;;;15342,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;;0;0;0;Portland Timbers II;0;;
2706303143;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-08-05T00:03:32.883Z;2024-08-14T09:08:56Z;[{'id': 5133858253, 'qualifierId': 127, 'value': 'Left to Right'}];;;;ehrltz9n09d567x7mfxzdacd0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;;0;0;0;Portland Timbers II;0;;
2706303147;2;32;1;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-08-05T00:03:32.883Z;2024-08-05T00:03:33Z;[{'id': 5133858265, 'qualifierId': 127, 'value': 'Right to Left'}];;;;ehrltz9n09d567x7mfxzdacd0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;0;0;The Town;0;;
2706303153;3;1;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;50,0;50,0;2024-08-05T00:03:32.884Z;2024-08-05T00:04:12Z;[{'id': 5133858287, 'qualifierId': 141, 'value': '52.1'}, {'id': 5133858285, 'qualifierId': 140, 'value': '43.6'}, {'id': 5133858293, 'qualifierId': 279, 'value': 'S'}, {'id': 5133858291, 'qualifierId': 213, 'value': '2.93'}, {'id': 5133858283, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133858289, 'qualifierId': 212, 'value': '6.9'}];cac9hjmdwt1gsz0qt3f6d4b2s;J. Donnery;;ehrltz9n09d567x7mfxzdacd0;Pass;;;;;;;;;;52,1;43,6;;2,93;;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;43,6;52,1;;;;;;;;0;0;0;Portland Timbers II;0;FW;1,0
2706303177;4;1;1;0;2;ew2zirzye0sw1txr2m33nr25y;1;44,4;51,8;2024-08-05T00:03:35.435Z;2024-08-05T00:04:10Z;[{'id': 5133858329, 'qualifierId': 213, 'value': '3.85'}, {'id': 5133858323, 'qualifierId': 140, 'value': '32.4'}, {'id': 5133858321, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133858327, 'qualifierId': 212, 'value': '16.6'}, {'id': 5133858325, 'qualifierId': 141, 'value': '35.8'}];1bmbt6h6bsiimpzxt07cqwfvu;E. Blancas;;ehrltz9n09d567x7mfxzdacd0;Pass;;;;;;;;;;35,8;32,4;;3,85;;16,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;32,4;35,8;;;;;;;;0;0;2;Portland Timbers II;2;AMC;1,0
2706303189;5;1;1;0;5;ew2zirzye0sw1txr2m33nr25y;1;32,4;36,7;2024-08-05T00:03:38.013Z;2024-08-05T00:03:41Z;[{'id': 5133858377, 'qualifierId': 140, 'value': '28.0'}, {'id': 5133858375, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133858381, 'qualifierId': 212, 'value': '29.0'}, {'id': 5133858383, 'qualifierId': 213, 'value': '1.73'}, {'id': 5133858379, 'qualifierId': 141, 'value': '78.8'}];dhrxi7hj8xh15ky7q6u5wqi5m;B. Leroux;;ehrltz9n09d567x7mfxzdacd0;Pass;;;;;;;;;;78,8;28,0;;1,73;;29,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;28,0;78,8;;;;;;;;0;0;5;Portland Timbers II;5;MC;1,0
2706303211;6;1;1;0;8;ew2zirzye0sw1txr2m33nr25y;1;29,8;77,0;2024-08-05T00:03:41.212Z;2024-08-05T00:03:47Z;[{'id': 5133858481, 'qualifierId': 212, 'value': '23.3'}, {'id': 5133858479, 'qualifierId': 141, 'value': '51.8'}, {'id': 5133858483, 'qualifierId': 213, 'value': '3.97'}, {'id': 5133858475, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133858477, 'qualifierId': 140, 'value': '14.7'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;ehrltz9n09d567x7mfxzdacd0;Pass;;;;;;;;;;51,8;14,7;;3,97;;23,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;14,7;51,8;;;;;;;;0;0;8;Portland Timbers II;8;DC;1,0
2706303221;7;1;1;0;14;ew2zirzye0sw1txr2m33nr25y;1;14,8;51,2;2024-08-05T00:03:46.892Z;2024-09-04T09:44:10Z;[{'id': 5133858549, 'qualifierId': 213, 'value': '1.45'}, {'id': 5133858543, 'qualifierId': 140, 'value': '16.9'}, {'id': 5133858547, 'qualifierId': 212, 'value': '17.9'}, {'id': 5133858545, 'qualifierId': 141, 'value': '77.3'}, {'id': 5133858541, 'qualifierId': 56, 'value': 'Back'}];23j7p7rylg9rwke4vbgquzjai;D. Sweeney;;ehrltz9n09d567x7mfxzdacd0;Pass;;;;;;;;;;77,3;16,9;;1,45;;17,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;16,9;77,3;;;;;;;;0;0;14;Portland Timbers II;14;GK;1,0
2706303225;8;1;1;0;17;ew2zirzye0sw1txr2m33nr25y;1;17,3;82,9;2024-08-05T00:03:50.635Z;2024-08-05T00:03:52Z;[{'id': 5133858569, 'qualifierId': 140, 'value': '40.8'}, {'id': 5133858575, 'qualifierId': 213, 'value': '0.05'}, {'id': 5133858573, 'qualifierId': 212, 'value': '24.7'}, {'id': 5133858567, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133858571, 'qualifierId': 141, 'value': '84.7'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;ehrltz9n09d567x7mfxzdacd0;Pass;;;;;;;;;;84,7;40,8;;0,05;;24,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;40,8;84,7;;;;;;;;0;0;17;Portland Timbers II;17;DC;1,0
