id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_JerseyNumber;value_Captain;value_Resume;value_TeamKit;value_DirectionOfPlay;value_Length;value_Angle;value_Zone;value_PassEndY;value_PassEndX;value_KickOff;value_LongBall;value_PlayersCaughtOffside;value_Direct;value_FreeKickTaken;value_NotVisible;value_Indirect;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_Cross;value_Foul;value_ShirtPull/Holding;value_DeletedEventType;value_Chipped;value_IntendedTackleTarget;value_Assist;value_IntentionalAssist;value_BlockedX;value_RegularPlay;value_Blocked;value_Deflection;value_GkY;value_GoalmouthZ;value_BlockedY;value_RelatedEventId;value_LowLeft;value_GoalmouthY;value_SixYardBlocked;value_RightFooted;value_Assisted;value_BoxCentre;value_FirstTouch;value_GkX;value_DefBlock;value_NotAssisted;value_LeftFooted;value_LowCentre;value_BigChance;value_AerialFoul;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_HeadPass;value_Launch;value_OutOfPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_SwitchOfPlay;value_ThroughBall;value_GoalShotTimestamp;value_GoalShotGameClock;value_HighRight;value_IndividualPlay;value_OutOfBoxCentre;value_Standing;value_ParriedDanger;value_OtherBodyPart;value_KeeperThrow;value_AttemptedTackle;value_YellowCard;value_RecklessOffence;value_Head;value_SetPiece;value_Diving;value_Hands;value_Overrun;value_High;value_Left;value_CornerTaken;value_OutSwinger;value_LayOff;value_CloseHigh;value_BoxRight;value_Handball;value_VideoCoverageLost;value_Right;value_InSwinger;value_LeadingToAttempt;value_FromCorner;value_RelatedError1Id;value_Minutes;value_TacticalFoul;value_FlickOn;value_EndType;value_OverArm;value_BoxLeft;value_SoloRun;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_CaptainChange;value_GkKickFromHands;value_NotPastGoalLine;value_35Right;value_OwnPlayer;value_OwnShotBlocked;value_FairPlay;value_Injury;value_InjuredPlayerId;value_Shove/Push;value_BlockedCross;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2703956145;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-07-28T00:02:16.042Z;2024-07-28T02:28:18Z;[{'id': 5120962647, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5120962653, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5120962645, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, auomns9j08ffqknhs9007ju38, 9acojrco6dg2i9otq02gj6904, 7al9w77ailhli8g487tkl32tw, 1j010cibh247p8kjchww6ny3u, e7vsajjh4e7t51ciycjg0skd0, 6girdg17h5o2qr8stoywy3vv8, 32c9e26wcnr5kmab8ep4zph5g, fgue58g7u6f2c53ggb0r2oa2, 3h8rx5wumr7hktll4hnvx7or8, 741wavjzdmc04j4i8a3chq9zo, ey1qygcdrcu0sn7yu3iyneyok, e6rtym9ymave9py9el1yrxafo, 3risld5mac5ns2rrv6namc2l0, f3bqitwkt3mitemcjd61hi044, 8g1piun8acm9udttt1795qnhm, da3mzb093sxf8i2xznedau8t0, 32zkl0xfnbj3sgjmq8esn4wt0, 96vw0idg7gce5yeohqwtonbis, 8oa72acrno9ybfo1hdof5efbo'}, {'id': 5120962651, 'qualifierId': 130, 'value': '4'}, {'id': 5120962649, 'qualifierId': 59, 'value': '30, 2, 12, 6, 5, 4, 34, 50, 36, 99, 14, 25, 46, 7, 8, 21, 22, 42, 52, 79'}, {'id': 5121510677, 'qualifierId': 194, 'value': '6agfr3usj1pblrbq2i9mdpmcq'}, {'id': 5120962655, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5121021981, 'qualifierId': 197, 'value': '23314'}];;;;;eam8fvksb4dxnr3419yzo6uxg;Team set up;;;;4,0;;;;23314,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2703957539;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-07-28T00:06:52.318Z;2024-07-28T01:36:31Z;[{'id': 5121356231, 'qualifierId': 194, 'value': '8bwjj53jwbsi0emx370uka5g4'}, {'id': 5120970075, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5120970077, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5120970069, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5121022503, 'qualifierId': 197, 'value': '15002'}, {'id': 5120970067, 'qualifierId': 30, 'value': '8bwjj53jwbsi0emx370uka5g4, 1b1vsi0l9xd0xy42q4p1bdk44, 2dqtrnq0k1fphyw71yh41gvtg, 3dyn7hheqvs3gm3m84jrra9lg, 9ulwk81vyj5rbz88h62i2ejv8, 276kl5oc1k19y1linbxml0xec, 1extjwx4b7nlpu8fm6526dsrt, 4eh46qse8ocmutobremniuolw, 92oqt9q51us5rpmqmvvrdso6i, 9k050zmkegfu3gdw2b4g4uwwk, 9gswafduy82n4o6f0uk0khhck, 9kenrfar4jy606ll3s1rdk44, 5xz7ooniokkcu9a1p8diq74t0, c51ttt2cn2mguvgay18wfgzdg, 1fp3tuonth7ojrf2lcqjj1fys, 632mpv8dpnxjm69f8ip1e4l5g, bbnk87q7t8pahznohwjjcvu5m, f2nvagw4mjjpn1ytj6rdl5ene, 4m010dpxldl44ll34fozy9fro, 8hg6c5ehhaa37lwduf5977i3u'}, {'id': 5120970073, 'qualifierId': 130, 'value': '2'}, {'id': 5120970071, 'qualifierId': 59, 'value': '77, 97, 33, 49, 50, 42, 98, 94, 56, 46, 59, 52, 53, 61, 62, 64, 72, 80, 83, 88'}];;;;;eam8fvksb4dxnr3419yzo6uxg;Team set up;;;;2,0;;;;15002,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2703966953;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-07-28T00:18:57.471Z;2024-07-28T00:18:57Z;[{'id': 5121022835, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;eam8fvksb4dxnr3419yzo6uxg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2703966977;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-07-28T00:18:57.471Z;2024-07-28T00:18:58Z;[{'id': 5121022985, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;eam8fvksb4dxnr3419yzo6uxg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2703967027;3;1;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;50,0;50,0;2024-07-28T00:18:57.472Z;2024-07-28T00:19:01Z;[{'id': 5121023215, 'qualifierId': 212, 'value': '31.9'}, {'id': 5121023217, 'qualifierId': 213, 'value': '3.74'}, {'id': 5121023209, 'qualifierId': 56, 'value': 'Back'}, {'id': 5121023213, 'qualifierId': 141, 'value': '23.6'}, {'id': 5121023211, 'qualifierId': 140, 'value': '24.9'}, {'id': 5121023219, 'qualifierId': 279, 'value': 'S'}];32c9e26wcnr5kmab8ep4zph5g;D. García;;;eam8fvksb4dxnr3419yzo6uxg;Pass;;;;;;;;;;31,9;3,74;;23,6;24,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;24,9;23,6;;;;;;;0;0;0;0;St. Louis City II;0;MC;1,0
2703967081;4;1;1;0;4;99l7fsj6ykgbyqcb9zqqu9dgq;1;22,8;21,3;2024-07-28T00:19:01.554Z;2024-07-28T00:19:06Z;[{'id': 5121023467, 'qualifierId': 56, 'value': 'Back'}, {'id': 5121023469, 'qualifierId': 140, 'value': '33.9'}, {'id': 5121023477, 'qualifierId': 213, 'value': '5.48'}, {'id': 5121023473, 'qualifierId': 212, 'value': '16.9'}, {'id': 5121023471, 'qualifierId': 141, 'value': '3.4'}];1j010cibh247p8kjchww6ny3u;N. Gordon;;;eam8fvksb4dxnr3419yzo6uxg;Pass;;;;;;;;;;16,9;5,48;;3,4;33,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;33,9;3,4;;;;;;;0;0;0;4;St. Louis City II;4;DL;1,0
2703967121;5;1;1;0;8;99l7fsj6ykgbyqcb9zqqu9dgq;0;32,1;20,3;2024-07-28T00:19:06.130Z;2024-07-28T00:19:40Z;[{'id': 5121023713, 'qualifierId': 56, 'value': 'Back'}, {'id': 5121023725, 'qualifierId': 212, 'value': '5.7'}, {'id': 5121023719, 'qualifierId': 141, 'value': '13.5'}, {'id': 5121023717, 'qualifierId': 140, 'value': '28.9'}, {'id': 5121023727, 'qualifierId': 213, 'value': '4.08'}];3h8rx5wumr7hktll4hnvx7or8;E. Sali;;;eam8fvksb4dxnr3419yzo6uxg;Pass;;;;;;;;;;5,7;4,08;;13,5;28,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;28,9;13,5;;;;;;;0;0;0;8;St. Louis City II;8;FWR;1,0
2703967105;3;61;1;0;10;dqx48fglv1l96cyrmjdod0xec;1;58,5;85,4;2024-07-28T00:19:07.989Z;2024-07-28T00:19:08Z;[{'id': 5121023615, 'qualifierId': 56, 'value': 'Left'}];92oqt9q51us5rpmqmvvrdso6i;R. Becher;;;eam8fvksb4dxnr3419yzo6uxg;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;10;North Texas;10;FW;1,0
2703967183;6;2;1;0;12;99l7fsj6ykgbyqcb9zqqu9dgq;1;23,7;11,7;2024-07-28T00:19:10.354Z;2024-07-28T00:19:15Z;[{'id': 5121024051, 'qualifierId': 141, 'value': '54.0'}, {'id': 5121024049, 'qualifierId': 140, 'value': '67.1'}, {'id': 5121024285, 'qualifierId': 1}, {'id': 5121024287, 'qualifierId': 56, 'value': 'Center'}, {'id': 5121024283, 'qualifierId': 7, 'value': 'fgue58g7u6f2c53ggb0r2oa2'}];1j010cibh247p8kjchww6ny3u;N. Gordon;;;eam8fvksb4dxnr3419yzo6uxg;Offside Pass;;;;;;;;;;;;;54,0;67,1;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;67,1;54,0;;;;;;;0;0;0;12;St. Louis City II;12;DL;1,0
2703967231;4;55;1;0;12;dqx48fglv1l96cyrmjdod0xec;1;30,7;48,7;2024-07-28T00:19:10.355Z;2024-07-28T00:58:36Z;[];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;eam8fvksb4dxnr3419yzo6uxg;Offside provoked;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;12;North Texas;12;DL;1,0
