id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamFormation;value_TeamKit;value_Resume;value_Captain;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndX;value_Length;value_KickOff;value_PassEndY;value_Zone;value_Angle;value_Launch;value_LongBall;value_HeadPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_FlickOn;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_Foul;value_Shove/Push;value_Cross;value_FreeKickTaken;value_Head;value_KeeperThrow;value_SwitchOfPlay;value_OverhitCross;value_DeletedEventType;value_OutOfBoxCentre;value_BlockedY;value_GoalmouthZ;value_IndividualPlay;value_BlockedX;value_Assisted;value_RegularPlay;value_RelatedEventId;value_GoalmouthY;value_RightFooted;value_LowCentre;value_Hands;value_Standing;value_Collected;value_AttemptedTackle;value_TacticalFoul;value_YellowCard;value_Assist;value_GkY;value_LeftFooted;value_Blocked;value_GkX;value_DefBlock;value_Left;value_NextEventGoalKick;value_CornerTaken;value_IntentionalAssist;value_FromCorner;value_Right;value_BoxCentre;value_FirstTouch;value_GoalKick;value_Low;value_Injury;value_InjuredPlayerId;value_LayOff;value_High;value_IntendedTackleTarget;value_BlockedPass;value_BlockedCross;value_InSwinger;value_Volley;value_SwerveLeft;value_BoxLeft;value_MisHit;value_PullBack;value_BigChance;value_ShirtPull/Holding;value_HighRight;value_Overrun;value_NotVisible;value_BoxRight;value_GoalShotTimestamp;value_HighLeft;value_GoalShotGameClock;value_BlockedClearance;value_OutOfPlay;value_ThroughBall;value_1On1;value_ParriedSafe;value_Feet;value_Stooping;value_LowRight;value_NotAssisted;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistedBy;value_FantasyAssistTeam;value_Handball;value_FreeKick;value_LowLeft;value_Diving;value_Minutes;value_OverArm;value_PlayersCaughtOffside;value_Indirect;value_SetPiece;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_BoxDeepLeft;value_OtherBodyPart;value_CloseRight;value_RecklessOffence;value_GkKickFromHands;value_Argument;value_VideoCoverageLost;value_TempShotOn;value_HighClaim;value_SixYardBlocked;value_AerialFoul;value_Simulation;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2736904643;7;1;1;0;11;7pmw399vh2v44cjle4fkklp1w;0;63,9;45,1;2024-10-20T22:04:46.211Z;2024-10-20T22:04:47Z;[{'id': 5301635481, 'qualifierId': 213, 'value': '0.28'}, {'id': 5301635471, 'qualifierId': 3}, {'id': 5301635477, 'qualifierId': 141, 'value': '47.8'}, {'id': 5301635473, 'qualifierId': 56, 'value': 'Center'}, {'id': 5301635475, 'qualifierId': 140, 'value': '70.0'}, {'id': 5301635479, 'qualifierId': 212, 'value': '6.7'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;3vkw6dmi0j2xaufizrgvze9ec;Pass;;;;;;;;;;70,0;6,7;;47,8;;0,28;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;70,0;47,8;;;;;;;0;0;0;11;The Town;11;FW;1,0
2736904667;5;1;1;0;13;ew2zirzye0sw1txr2m33nr25y;0;36,0;50,1;2024-10-20T22:04:48.359Z;2024-10-20T23:02:53Z;[{'id': 5301635605, 'qualifierId': 1}, {'id': 5301635595, 'qualifierId': 56, 'value': 'Center'}, {'id': 5301635593, 'qualifierId': 157}, {'id': 5301635597, 'qualifierId': 140, 'value': '63.9'}, {'id': 5301635601, 'qualifierId': 212, 'value': '33.0'}, {'id': 5301635603, 'qualifierId': 213, 'value': '0.48'}, {'id': 5301635599, 'qualifierId': 141, 'value': '72.3'}];1on6mxrbdqnh12s4h1y0vb3mc;E. Mendoza;;;3vkw6dmi0j2xaufizrgvze9ec;Pass;;;;;;;;;;63,9;33,0;;72,3;;0,48;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;63,9;72,3;;;;;;;0;0;0;13;Houston Dynamo II;13;MC;1,0
2736904699;8;1;1;0;14;7pmw399vh2v44cjle4fkklp1w;1;34,7;26,1;2024-10-20T22:04:49.330Z;2024-10-20T22:04:51Z;[{'id': 5301635771, 'qualifierId': 3}, {'id': 5301635783, 'qualifierId': 213, 'value': '0.64'}, {'id': 5301635777, 'qualifierId': 141, 'value': '36.1'}, {'id': 5301635773, 'qualifierId': 56, 'value': 'Back'}, {'id': 5301635779, 'qualifierId': 212, 'value': '11.4'}, {'id': 5301635775, 'qualifierId': 140, 'value': '43.4'}];1snfyu5dmv164k5cl87chjlsk;I. Mwakutuya;;;3vkw6dmi0j2xaufizrgvze9ec;Pass;;;;;;;;;;43,4;11,4;;36,1;;0,64;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;43,4;36,1;;;;;;;0;0;0;14;The Town;14;DR;1,0
2736904709;9;1;1;0;17;7pmw399vh2v44cjle4fkklp1w;0;43,3;36,1;2024-10-20T22:04:51.667Z;2024-10-20T22:04:53Z;[{'id': 5301635823, 'qualifierId': 140, 'value': '54.4'}, {'id': 5301635827, 'qualifierId': 212, 'value': '14.8'}, {'id': 5301635819, 'qualifierId': 168}, {'id': 5301635821, 'qualifierId': 56, 'value': 'Center'}, {'id': 5301635829, 'qualifierId': 213, 'value': '0.67'}, {'id': 5301635825, 'qualifierId': 141, 'value': '49.6'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;3vkw6dmi0j2xaufizrgvze9ec;Pass;;;;;;;;;;54,4;14,8;;49,6;;0,67;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;54,4;49,6;;;;;;;0;0;0;17;The Town;17;FW;1,0
2736904761;6;1;1;0;19;ew2zirzye0sw1txr2m33nr25y;1;43,2;37,0;2024-10-20T22:04:53.905Z;2024-10-20T22:04:57Z;[{'id': 5301636071, 'qualifierId': 56, 'value': 'Left'}, {'id': 5301636081, 'qualifierId': 1}, {'id': 5301636073, 'qualifierId': 140, 'value': '70.2'}, {'id': 5301636077, 'qualifierId': 212, 'value': '49.2'}, {'id': 5301636075, 'qualifierId': 141, 'value': '96.2'}, {'id': 5301636069, 'qualifierId': 157}, {'id': 5301636079, 'qualifierId': 213, 'value': '0.96'}];dqa88ma3jbk33lsyzo45uy2cq;A. Cano;;;3vkw6dmi0j2xaufizrgvze9ec;Pass;;;;;;;;;;70,2;49,2;;96,2;;0,96;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;70,2;96,2;;;;;;;0;0;0;19;Houston Dynamo II;19;DL;1,0
2736904765;7;49;1;0;22;ew2zirzye0sw1txr2m33nr25y;1;70,2;96,2;2024-10-20T22:04:56.904Z;2024-10-20T22:04:57Z;[];658wqca9ctixqav113prm06ei;J. Ricketts;;;3vkw6dmi0j2xaufizrgvze9ec;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;0;0;0;22;Houston Dynamo II;22;FWL;1,0
2736904831;8;50;1;0;28;ew2zirzye0sw1txr2m33nr25y;1;79,2;95,4;2024-10-20T22:05:02.762Z;2024-10-20T23:10:52Z;[{'id': 5301636395, 'qualifierId': 286}, {'id': 5301636545, 'qualifierId': 233, 'value': '10'}, {'id': 5301636393, 'qualifierId': 56, 'value': 'Left'}];658wqca9ctixqav113prm06ei;J. Ricketts;;;3vkw6dmi0j2xaufizrgvze9ec;Dispossessed;;;;;;;;;;;;;;;;;;;1,0;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;0;0;0;28;Houston Dynamo II;28;FWL;1,0
2736904855;10;7;1;0;28;7pmw399vh2v44cjle4fkklp1w;1;20,8;4,6;2024-10-20T22:05:02.763Z;2024-10-20T23:10:51Z;[{'id': 5301636521, 'qualifierId': 233, 'value': '8'}, {'id': 5301636495, 'qualifierId': 285}, {'id': 5301636493, 'qualifierId': 56, 'value': 'Back'}];1snfyu5dmv164k5cl87chjlsk;I. Mwakutuya;;;3vkw6dmi0j2xaufizrgvze9ec;Tackle;;;;;;;;;;;;;;;;;;;;8,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;28;The Town;28;DR;1,0
2736904859;11;49;1;0;31;7pmw399vh2v44cjle4fkklp1w;1;25,4;4,9;2024-10-20T22:05:05.650Z;2024-10-20T22:05:06Z;[];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;3vkw6dmi0j2xaufizrgvze9ec;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;31;The Town;31;MC;1,0
2736904869;12;1;1;0;31;7pmw399vh2v44cjle4fkklp1w;1;25,4;4,9;2024-10-20T22:05:05.698Z;2024-10-20T22:05:07Z;[{'id': 5301636575, 'qualifierId': 140, 'value': '30.3'}, {'id': 5301636579, 'qualifierId': 141, 'value': '50.3'}, {'id': 5301636581, 'qualifierId': 212, 'value': '31.3'}, {'id': 5301636571, 'qualifierId': 56, 'value': 'Back'}, {'id': 5301636583, 'qualifierId': 213, 'value': '1.41'}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;3vkw6dmi0j2xaufizrgvze9ec;Pass;;;;;;;;;;30,3;31,3;;50,3;;1,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;30,3;50,3;;;;;;;0;0;0;31;The Town;31;MC;1,0
