id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamPlayerFormation;value_Resume;value_Captain;value_TeamFormation;value_TeamKit;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_KickOff;value_Length;value_PassEndX;value_Angle;value_Zone;value_PassEndY;value_LongBall;value_Launch;value_Foul;value_OppositeRelatedEventId;value_Defensive;value_Direct;value_Shove/Push;value_Offensive;value_FreeKickTaken;value_DeletedEventType;value_HeadPass;value_FlickOn;value_InjuredPlayerId;value_Injury;value_RelatedEventId;value_Chipped;value_TouchTypeControl;value_BlockedPass;value_IntendedTackleTarget;value_LayOff;value_Assist;value_GoalmouthY;value_IndividualPlay;value_LowRight;value_OutOfBoxCentre;value_Assisted;value_GoalmouthZ;value_LeftFooted;value_RegularPlay;value_BlockedY;value_BlockedX;value_Diving;value_LowGkIntervention;value_Hands;value_Collected;value_KeeperThrow;value_NextEventThrowIn;value_ThrowIn;value_ShirtPull/Holding;value_TouchTypePass;value_OutSwinger;value_Cross;value_RightFooted;value_Head;value_TakeOnOvertake;value_TakeOnSpace;value_Handball;value_GkX;value_BoxLeft;value_HighLeft;value_GkY;value_NextEventGoalKick;value_Low;value_GoalKick;value_SwitchOfPlay;value_OutOfPlay;value_TouchTypeClearance;value_AttemptedTackle;value_NotAssisted;value_LowCentre;value_MediumGkIntervention;value_Stooping;value_GkHoof;value_HighRight;value_Overrun;value_Standing;value_ParriedSafe;value_PlayersCaughtOffside;value_Indirect;value_TacticalFoul;value_YellowCard;value_NotVisible;value_Straight;value_FloatedCross;value_ThroughBall;value_IntentionalAssist;value_BigChance;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_1On1;value_GoalShotGameClock;value_GoalShotTimestamp;value_BoxCentre;value_Tap;value_SwerveLeft;value_High;value_Left;value_CornerTaken;value_DrivenCross;value_SmallBoxRight;value_FirstTouch;value_CloseRight;value_Minutes;value_EndType;value_BlockedCross;value_CloseLeft;value_BoxDeepLeft;value_RecklessOffence;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_PullBack;value_SmallBoxLeft;value_SetPiece;value_Blocked;value_DefBlock;value_InSwinger;value_LowLeft;value_BoxRight;value_Dissent;value_ViolentConduct;value_RedCard;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2728496047;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-29T22:06:29.552Z;2024-09-29T23:09:55Z;[{'id': 5255744663, 'qualifierId': 59, 'value': '44, 38, 68, 70, 47, 31, 29, 42, 99, 77, 32, 75, 74, 37, 81, 64, 63, 83, 57'}, {'id': 5255744667, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5255744669, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5255959271, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}, {'id': 5255744665, 'qualifierId': 130, 'value': '4'}, {'id': 5255959277, 'qualifierId': 197, 'value': '19205'}, {'id': 5255744661, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5255744659, 'qualifierId': 30, 'value': 'bn7qfn71x24fjl5d8t4p97kve, 6sf0pdlzomnt3e1hlc4twyv4k, 7uk47vm92xsvwdofmw1ppawyy, 2676930j149yvanqev61emh62, eq98gflais2v26wgbkw9wrxg4, eiyzqnfh8r8aduel0seou7nu2, cwyml9l4tfvb4ceh8tv3au0wk, duj699i9620tuf3ii9z06bqsq, 1d20nyyvmp0doobj6heejkowk, 3ei1s8oyub83owfxxbsygmsmi, 1cfm4ne1po0mld4bl37deg36c, 3o4uxnvpnf3cwjs3srwegxp90, 1p4rbf4wumfagv2ntlewdxey, 4k6c9nnzytq9qhc9uol64wg7o, 5bjavs7mhqjh1tlrfp4vj7od0, 4h2k5kwclhlgjk2koqin5r2fo, 1ni0mewxcbo26d1xxetkdy3ca, a0do5kh5akr89kst2p1hohixg, 2s085s5fgmzsmf7oup7aekm0a'}];;;;;fmsuib8m4nr04g27yr07scno;Team set up;;;;;4,0;19205,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2728497613;1;34;16;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-09-29T22:08:49.278Z;2024-09-29T23:30:09Z;[{'id': 5255961455, 'qualifierId': 197, 'value': '23703'}, {'id': 5255752855, 'qualifierId': 30, 'value': '3fjb8lymm7grc7nqyfpzw1a8k, 8bjjne12yudwbzfzjdlygqx62, 5bgt61vb5lnzyoczqnr202lpm, 2f5ymqh1j87xhi9ynovnujpm2, 2l6v8ab245wzmb1litvkir1ii, 8sydisziijh84elb8dprtlduy, 4uo9isxivewjrtdg9v7lku9zo, bu0qf3q6j69an4i0gz7xhqcd0, b94wogguhbhpo2mal3pfpo26s, aw0ngrym0lzn2paoz70wtlgyc, bfm4xr4ue74v0li53slarf9t6, bpr7u1cp7bzt1w2t1tsmru73e, b82dmhiv5rfrczfcx26cnvo16, 9asj8t10cvfumot9hr3dprsic, 6ihxsnp8rmyvu0xjm4oquxd04, 6hq9a0pz5ybc67wdttd54xvbp, 14etj499a213gtgymith3htec, dfkazpw3p03p6umdchplgivx0, 1ofx4ncf6w5twjbaam5w0mu7e'}, {'id': 5255752863, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5255752859, 'qualifierId': 59, 'value': '25, 42, 45, 38, 96, 41, 37, 52, 35, 77, 49, 43, 30, 44, 64, 40, 50, 80, 46'}, {'id': 5256035943, 'qualifierId': 194, 'value': '8sydisziijh84elb8dprtlduy'}, {'id': 5255752861, 'qualifierId': 130, 'value': '19'}, {'id': 5255752865, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5255752857, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;fmsuib8m4nr04g27yr07scno;Team set up;;;;;19,0;23703,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;0;New York City II;0;;
2728538683;2;32;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-09-29T23:07:06.494Z;2024-09-29T23:07:07Z;[{'id': 5255963007, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;fmsuib8m4nr04g27yr07scno;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;0;New York City II;0;;
2728538659;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-29T23:07:06.494Z;2024-10-03T05:45:35Z;[{'id': 5255962917, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;fmsuib8m4nr04g27yr07scno;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2728538719;3;1;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;49,7;50,3;2024-09-29T23:07:06.495Z;2024-09-29T23:07:11Z;[{'id': 5255963181, 'qualifierId': 279, 'value': 'S'}, {'id': 5255963177, 'qualifierId': 212, 'value': '13.7'}, {'id': 5255963173, 'qualifierId': 140, 'value': '36.7'}, {'id': 5255963179, 'qualifierId': 213, 'value': '3.14'}, {'id': 5255963171, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255963175, 'qualifierId': 141, 'value': '50.3'}];1d20nyyvmp0doobj6heejkowk;T. Calheira;;;fmsuib8m4nr04g27yr07scno;Pass;;;;;;;;;;;13,7;36,7;3,14;;50,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;36,7;50,3;;;;;;;0;0;0;0;Cincinnati II;0;FW;1,0
2728538749;4;1;1;0;5;6ddsx316t3j0z6nolrky9k4r8;1;36,2;60,0;2024-09-29T23:07:11.713Z;2024-09-29T23:07:14Z;[{'id': 5255963343, 'qualifierId': 141, 'value': '93.6'}, {'id': 5255963339, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255963347, 'qualifierId': 213, 'value': '1.42'}, {'id': 5255963345, 'qualifierId': 212, 'value': '23.1'}, {'id': 5255963341, 'qualifierId': 140, 'value': '39.4'}];2676930j149yvanqev61emh62;J. Rozhansky;;;fmsuib8m4nr04g27yr07scno;Pass;;;;;;;;;;;23,1;39,4;1,42;;93,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;39,4;93,6;;;;;;;0;0;0;5;Cincinnati II;5;MC;1,0
2728538767;5;1;1;0;7;6ddsx316t3j0z6nolrky9k4r8;1;38,4;92,9;2024-09-29T23:07:14.386Z;2024-09-29T23:07:16Z;[{'id': 5255963437, 'qualifierId': 212, 'value': '22.5'}, {'id': 5255963433, 'qualifierId': 140, 'value': '22.1'}, {'id': 5255963435, 'qualifierId': 141, 'value': '71.4'}, {'id': 5255963431, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255963439, 'qualifierId': 213, 'value': '3.85'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;fmsuib8m4nr04g27yr07scno;Pass;;;;;;;;;;;22,5;22,1;3,85;;71,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;22,1;71,4;;;;;;;0;0;0;7;Cincinnati II;7;DC;1,0
2728538793;6;1;1;0;9;6ddsx316t3j0z6nolrky9k4r8;1;22,1;71,4;2024-09-29T23:07:16.209Z;2024-09-29T23:07:51Z;[{'id': 5255963561, 'qualifierId': 212, 'value': '17.3'}, {'id': 5255963557, 'qualifierId': 140, 'value': '10.8'}, {'id': 5255963555, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255963563, 'qualifierId': 213, 'value': '3.96'}, {'id': 5255963559, 'qualifierId': 141, 'value': '52.8'}];eiyzqnfh8r8aduel0seou7nu2;S. Owusu;;;fmsuib8m4nr04g27yr07scno;Pass;;;;;;;;;;;17,3;10,8;3,96;;52,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;10,8;52,8;;;;;;;0;0;0;9;Cincinnati II;9;DC;1,0
2728538829;7;1;1;0;11;6ddsx316t3j0z6nolrky9k4r8;1;10,8;52,8;2024-09-29T23:07:18.017Z;2024-09-29T23:07:21Z;[{'id': 5255963755, 'qualifierId': 140, 'value': '15.1'}, {'id': 5255963757, 'qualifierId': 141, 'value': '24.3'}, {'id': 5255963753, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255963759, 'qualifierId': 212, 'value': '19.9'}, {'id': 5255963761, 'qualifierId': 213, 'value': '4.94'}];bn7qfn71x24fjl5d8t4p97kve;A. Rando;;;fmsuib8m4nr04g27yr07scno;Pass;;;;;;;;;;;19,9;15,1;4,94;;24,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;15,1;24,3;;;;;;;0;0;0;11;Cincinnati II;11;GK;1,0
2728538881;8;1;1;0;15;6ddsx316t3j0z6nolrky9k4r8;1;15,1;24,3;2024-09-29T23:07:21.777Z;2024-09-29T23:07:26Z;[{'id': 5255964011, 'qualifierId': 212, 'value': '18.8'}, {'id': 5255964005, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255964009, 'qualifierId': 141, 'value': '50.0'}, {'id': 5255964013, 'qualifierId': 213, 'value': '1.94'}, {'id': 5255964007, 'qualifierId': 140, 'value': '8.6'}];eq98gflais2v26wgbkw9wrxg4;K. Haxhari;;;fmsuib8m4nr04g27yr07scno;Pass;;;;;;;;;;;18,8;8,6;1,94;;50,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;8,6;50,0;;;;;;;0;0;0;15;Cincinnati II;15;DL;1,0
