id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Captain;value_TeamPlayerFormation;value_TeamKit;value_Resume;value_JerseyNumber;value_TeamFormation;value_Involved;value_DirectionOfPlay;value_PassEndY;value_Angle;value_KickOff;value_PassEndX;value_Zone;value_Length;value_Launch;value_LongBall;value_HeadPass;value_OppositeRelatedEventId;value_NextEventGoalKick;value_GoalKick;value_Low;value_IntendedTackleTarget;value_TouchTypeClearance;value_Left;value_Right;value_OutSwinger;value_RightFooted;value_Cross;value_CornerTaken;value_Chipped;value_Head;value_Offensive;value_DeletedEventType;value_Defensive;value_TakeOnSpace;value_TakeOnOvertake;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_Assist;value_LowRight;value_GoalmouthZ;value_Blocked;value_BlockedY;value_OutOfBoxCentre;value_GkX;value_GkY;value_Assisted;value_IndividualPlay;value_RelatedEventId;value_BlockedX;value_RegularPlay;value_GoalmouthY;value_DefBlock;value_TouchTypePass;value_SwitchOfPlay;value_LayOff;value_IntentionalAssist;value_BoxRight;value_Collected;value_Hands;value_LowGkIntervention;value_Stooping;value_NotVisible;value_High;value_Volley;value_BoxCentre;value_SwerveRight;value_FirstTouch;value_TouchTypeControl;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_BigChance;value_LeftFooted;value_GoalShotGameClock;value_LowCentre;value_SmallBoxCentre;value_Direct;value_Foul;value_AttemptedTackle;value_YellowCard;value_RecklessOffence;value_FreeKickTaken;value_InSwinger;value_FromCorner;value_NotAssisted;value_OutOfPlay;value_PlayersCaughtOffside;value_Indirect;value_MisHit;value_HighRight;value_BlockedCross;value_HighLeft;value_OutOfBoxRight;value_OverArm;value_Shove/Push;value_Handball;value_LeadingToGoal;value_RelatedError1Id;value_KeeperTouched;value_BoxLeft;value_CloseLeft;value_Minutes;value_EndType;value_ThroughBall;value_MediumGkIntervention;value_SetPiece;value_LowLeft;value_ShirtPull/Holding;value_CloseHigh;value_SwerveLeft;value_FreeKick;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_CloseLeftAndHigh;value_Weak;value_CloseRight;value_Diving;value_HighCentre;value_OutOfBoxDeepRight;value_Fingertip;value_Reaching;value_HitWoodwork;value_HitBar;value_ParriedDanger;value_SixYardBlocked;value_BoxDeepLeft;value_Dissent;value_FollowsADribble;value_GkKickFromHands;value_GoesToPenalties;value_Scored;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Saved;value_ParriedSafe;value_Standing;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2678519333;601;45;2;68;52;d0c07im4a6oj8qa7f1zlt3pqs;0;35,0;36,7;2024-04-27T02:31:57.627Z;2024-04-27T03:17:34Z;[{'id': 4981635481, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981635497, 'qualifierId': 233, 'value': '604'}, {'id': 4981635483, 'qualifierId': 285}];ov91zkisppven9tp72gfbjf8;B. Byaruhanga;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Challenge;;;;;;;;;;;;;;;;;;;604,0;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;68;52;Ventura County;4132;MC;1,0
2678519327;604;3;2;68;52;8ijkk62897so5r3bq0wgwx4bu;1;65,0;63,3;2024-04-27T02:31:57.627Z;2024-04-29T16:16:52Z;[{'id': 4981635459, 'qualifierId': 286}, {'id': 4981635493, 'qualifierId': 233, 'value': '601'}, {'id': 4981635457, 'qualifierId': 56, 'value': 'Center'}, {'id': 4992814369, 'qualifierId': 465}];5zawuirp825t4brhaj90k9duy;S. Karani;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Take On;;;;;;;;;;;;;;;;;;;601,0;;;;;;;;;;;;;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;;0;68;52;Austin II;4132;AML;1,0
2678519337;605;1;2;68;55;8ijkk62897so5r3bq0wgwx4bu;1;77,5;38,9;2024-04-27T02:32:00.811Z;2024-04-27T02:32:04Z;[{'id': 4981635529, 'qualifierId': 213, 'value': '5.58'}, {'id': 4981635525, 'qualifierId': 141, 'value': '25.3'}, {'id': 4981635521, 'qualifierId': 56, 'value': 'Center'}, {'id': 4981635523, 'qualifierId': 140, 'value': '87.8'}, {'id': 4981635527, 'qualifierId': 212, 'value': '14.2'}];5zawuirp825t4brhaj90k9duy;S. Karani;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Pass;;;;;;;;;;25,3;5,58;;87,8;;14,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;87,8;25,3;;;;;;;;0;68;55;Austin II;4135;AML;1,0
2678519339;606;1;2;68;59;8ijkk62897so5r3bq0wgwx4bu;0;89,2;25,9;2024-04-27T02:32:04.411Z;2024-04-27T02:32:22Z;[{'id': 4981635541, 'qualifierId': 213, 'value': '1.00'}, {'id': 4981635537, 'qualifierId': 141, 'value': '28.3'}, {'id': 4981635555, 'qualifierId': 286}, {'id': 4981635549, 'qualifierId': 236}, {'id': 4981635533, 'qualifierId': 56, 'value': 'Center'}, {'id': 4981635535, 'qualifierId': 140, 'value': '90.2'}, {'id': 4981635539, 'qualifierId': 212, 'value': '1.9'}, {'id': 4981635551, 'qualifierId': 233, 'value': '602'}];byzzgz3ix7vuh6c3hqf7580lw;S. Villalpando;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Pass;;;;;;;;;;28,3;1,0;;90,2;;1,9;;;;602,0;;;;;;;;;;;;;;1,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;90,2;28,3;;;;;;;;0;68;59;Austin II;4139;Sub;1,0
2678519341;602;74;2;68;59;d0c07im4a6oj8qa7f1zlt3pqs;1;4,9;64,0;2024-04-27T02:32:04.412Z;2024-04-27T03:09:49Z;[{'id': 4981635545, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981635547, 'qualifierId': 285}, {'id': 4981635573, 'qualifierId': 233, 'value': '606'}];9nlw8tihbzfnvkt5uproa79jo;Rubén Bonachera;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Blocked Pass;;;;;;;;;;;;;;;;;;;606,0;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;68;59;Ventura County;4139;DC;1,0
2678519345;603;6;2;69;0;d0c07im4a6oj8qa7f1zlt3pqs;0;7,4;67,8;2024-04-27T02:32:05.915Z;2024-04-29T16:17:06Z;[{'id': 4981635585, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981635609, 'qualifierId': 233, 'value': '607'}, {'id': 4981635587, 'qualifierId': 73}];9nlw8tihbzfnvkt5uproa79jo;Rubén Bonachera;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Corner Awarded;;;;;;;;;;;;;;;;;;;607,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;69;0;Ventura County;4140;DC;1,0
2678519349;607;6;2;69;0;8ijkk62897so5r3bq0wgwx4bu;1;92,6;32,2;2024-04-27T02:32:05.915Z;2024-04-27T02:32:25Z;[{'id': 4981635601, 'qualifierId': 56, 'value': 'Center'}, {'id': 4981635605, 'qualifierId': 233, 'value': '603'}, {'id': 4981635603, 'qualifierId': 75}];byzzgz3ix7vuh6c3hqf7580lw;S. Villalpando;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Corner Awarded;;;;;;;;;;;;;;;;;;;603,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;;0;69;0;Austin II;4140;Sub;1,0
2678519411;608;1;2;69;26;8ijkk62897so5r3bq0wgwx4bu;1;99,5;0,5;2024-04-27T02:32:31.292Z;2024-04-29T16:17:10Z;[{'id': 4981635895, 'qualifierId': 212, 'value': '40.8'}, {'id': 4981635879, 'qualifierId': 2}, {'id': 4981635885, 'qualifierId': 223}, {'id': 4992814807, 'qualifierId': 72}, {'id': 4981635891, 'qualifierId': 140, 'value': '98.8'}, {'id': 4981635881, 'qualifierId': 6}, {'id': 4981635897, 'qualifierId': 213, 'value': '1.59'}, {'id': 4981635889, 'qualifierId': 56, 'value': 'Center'}, {'id': 4981635899, 'qualifierId': 1}, {'id': 4981635883, 'qualifierId': 155}, {'id': 4981635893, 'qualifierId': 141, 'value': '60.5'}];1o0ew8fp44fuo3o7c8ef8pd2i;T. Lepley;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Pass;;;;;;;;;;60,5;1,59;;98,8;;40,8;;1,0;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;98,8;60,5;;;;;;;;0;69;26;Austin II;4166;MC;1,0
2678519427;609;1;2;69;30;8ijkk62897so5r3bq0wgwx4bu;1;98,8;60,5;2024-04-27T02:32:35.980Z;2024-04-27T02:32:59Z;[{'id': 4981635973, 'qualifierId': 3}, {'id': 4981635983, 'qualifierId': 213, 'value': '3.91'}, {'id': 4981635979, 'qualifierId': 141, 'value': '50.4'}, {'id': 4981635975, 'qualifierId': 56, 'value': 'Center'}, {'id': 4981635977, 'qualifierId': 140, 'value': '92.1'}, {'id': 4981635981, 'qualifierId': 212, 'value': '9.8'}];e7q60ne93c6289xwnt9zj65wq;M. Ferkranus;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Pass;;;;;;;;;;50,4;3,91;;92,1;;9,8;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;92,1;50,4;;;;;;;;0;69;30;Austin II;4170;DL;1,0
2678519429;610;1;2;69;32;8ijkk62897so5r3bq0wgwx4bu;1;85,2;49,5;2024-04-27T02:32:37.188Z;2024-04-27T03:00:38Z;[{'id': 4981635993, 'qualifierId': 56, 'value': 'Center'}, {'id': 4981636589, 'qualifierId': 212, 'value': '7.0'}, {'id': 4981636585, 'qualifierId': 140, 'value': '91.9'}, {'id': 4981636583, 'qualifierId': 3}, {'id': 4981636591, 'qualifierId': 213, 'value': '6.26'}, {'id': 4981638145, 'qualifierId': 154}, {'id': 4981636587, 'qualifierId': 141, 'value': '49.3'}, {'id': 4981638143, 'qualifierId': 210, 'value': '13'}];70e7dozhms3xdkr0n6kas00es;H. Miller;1,0;;cf0wj8cwbvzvjfk5ysd9r7bpw;Pass;;;;;;;;;;49,3;6,26;;91,9;;7,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;13,0;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;91,9;49,3;;;;;;;;0;69;32;Austin II;4172;DR;1,0
