id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Captain;value_JerseyNumber;value_TeamKit;value_PlayerPosition;value_Involved;value_TeamPlayerFormation;value_Resume;value_TeamFormation;value_DirectionOfPlay;value_Length;value_Angle;value_KickOff;value_PassEndY;value_PassEndX;value_Zone;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_IntendedTackleTarget;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_SwitchOfPlay;value_FlickOn;value_TakeOnSpace;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnOvertake;value_TouchTypeClearance;value_TouchTypeControl;value_Head;value_OutOfPlay;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_BlockedPass;value_Left;value_Right;value_CornerTaken;value_Assist;value_IntentionalAssist;value_GkY;value_BlockedX;value_FirstTouch;value_GkX;value_GoalmouthY;value_LowRight;value_RightFooted;value_BlockedY;value_GoalmouthZ;value_Assisted;value_FromCorner;value_IndividualPlay;value_Blocked;value_OutOfBoxCentre;value_RelatedEventId;value_DefBlock;value_Cross;value_InSwinger;value_HighCentre;value_Volley;value_NotAssisted;value_BoxCentre;value_Deflection;value_Hands;value_Standing;value_MediumGkIntervention;value_Collected;value_KeeperThrow;value_OverArm;value_TouchTypePass;value_LowLeft;value_RegularPlay;value_Defensive1V1;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_HighLeft;value_GoalShotTimestamp;value_FreeKick;value_SwerveRight;value_GoalShotGameClock;value_LeftFooted;value_LowCentre;value_Diving;value_LayOff;value_BoxLeft;value_SwerveLeft;value_ParriedSafe;value_OutSwinger;value_Shove/Push;value_FairPlay;value_InjuredPlayerId;value_Injury;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_LeadingToAttempt;value_RelatedError1Id;value_Stooping;value_LowGkIntervention;value_HighClaim;value_NotVisible;value_Handball;value_SetPiece;value_BlockedCross;value_KeeperTouched;value_HitWoodwork;value_HitLeftPost;value_PlayersCaughtOffside;value_Indirect;value_ThroughBall;value_ShirtPull/Holding;value_HighGkIntervention;value_Caught;value_Reaching;value_Minutes;value_GkHoof;value_EndType;value_RecklessOffence;value_YellowCard;value_High;value_HighRight;value_NotRetreating;value_NotPastGoalLine;value_CloseLeft;value_BoxRight;value_Weak;value_ParriedDanger;value_Sliding;value_Feet;value_TacticalFoul;value_Dissent;value_CoachId;value_OutOfBoxDeepLeft;value_Tactical;value_CloseRight;value_AerialFoul;value_OtherObstacle;value_OtherReason;value_RefereeDelay;value_BallHitsReferee;value_BigChance;value_CloseHigh;value_SmallBoxRight;value_Overrun;value_FastBreak;value_GoesToPenalties;value_Penalty;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_Saved;value_Missed;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2693550951;357;1;1;43;31;5ou8b446l1sl8frblkz3xi17g;1;46,2;69,9;2024-06-01T03:17:28.185Z;2024-06-01T03:17:30Z;[{'id': 5063529589, 'qualifierId': 213, 'value': '3.33'}, {'id': 5063529587, 'qualifierId': 212, 'value': '16.2'}, {'id': 5063529585, 'qualifierId': 141, 'value': '65.5'}, {'id': 5063529581, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063529583, 'qualifierId': 140, 'value': '31.0'}];6zolwstla33ppx84k1o2v8rv8;C. Mendoza;;d55mevom9f4azxf6dtmfp5d04;Pass;;;;;;;;;;16,2;3,33;;65,5;31,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;31,0;65,5;;;;;;;;0;43;31;Houston Dynamo II;2611;AMC;1,0
2693550957;358;1;1;43;33;5ou8b446l1sl8frblkz3xi17g;1;30,8;67,3;2024-06-01T03:17:30.281Z;2024-06-01T03:17:33Z;[{'id': 5063529619, 'qualifierId': 140, 'value': '35.6'}, {'id': 5063529617, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063529621, 'qualifierId': 141, 'value': '67.6'}, {'id': 5063529625, 'qualifierId': 213, 'value': '0.04'}, {'id': 5063529623, 'qualifierId': 212, 'value': '5.0'}];dv0qqd4mx117y4al165nsdic4;T. Clegg;;d55mevom9f4azxf6dtmfp5d04;Pass;;;;;;;;;;5,0;0,04;;67,6;35,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;35,6;67,6;;;;;;;;0;43;33;Houston Dynamo II;2613;DC;1,0
2693550965;359;1;1;43;36;5ou8b446l1sl8frblkz3xi17g;1;35,8;60,2;2024-06-01T03:17:33.129Z;2024-06-01T03:17:36Z;[{'id': 5063529649, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063529657, 'qualifierId': 213, 'value': '4.55'}, {'id': 5063529651, 'qualifierId': 140, 'value': '33.5'}, {'id': 5063529655, 'qualifierId': 212, 'value': '15.3'}, {'id': 5063529653, 'qualifierId': 141, 'value': '38.0'}];druwx3n136woly4objqgk7tp0;A. Enriquez;;d55mevom9f4azxf6dtmfp5d04;Pass;;;;;;;;;;15,3;4,55;;38,0;33,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;33,5;38,0;;;;;;;;0;43;36;Houston Dynamo II;2616;MC;1,0
2693550979;360;1;1;43;39;5ou8b446l1sl8frblkz3xi17g;1;41,0;35,4;2024-06-01T03:17:36.570Z;2024-06-01T03:17:41Z;[{'id': 5063529747, 'qualifierId': 141, 'value': '3.7'}, {'id': 5063529749, 'qualifierId': 212, 'value': '27.0'}, {'id': 5063529751, 'qualifierId': 213, 'value': '5.36'}, {'id': 5063529743, 'qualifierId': 56, 'value': 'Right'}, {'id': 5063529745, 'qualifierId': 140, 'value': '56.5'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;d55mevom9f4azxf6dtmfp5d04;Pass;;;;;;;;;;27,0;5,36;;3,7;56,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;56,5;3,7;;;;;;;;0;43;39;Houston Dynamo II;2619;DL;1,0
2693550985;361;1;1;43;44;5ou8b446l1sl8frblkz3xi17g;1;46,9;7,6;2024-06-01T03:17:40.905Z;2024-06-01T03:17:43Z;[{'id': 5063529785, 'qualifierId': 212, 'value': '20.8'}, {'id': 5063529783, 'qualifierId': 141, 'value': '21.3'}, {'id': 5063529781, 'qualifierId': 140, 'value': '29.2'}, {'id': 5063529779, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063529787, 'qualifierId': 213, 'value': '2.68'}];5nykil6w1bxfevpp2c5rr32fo;J. Jones-Riley;;d55mevom9f4azxf6dtmfp5d04;Pass;;;;;;;;;;20,8;2,68;;21,3;29,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;29,2;21,3;;;;;;;;0;43;44;Houston Dynamo II;2624;DR;1,0
2693550997;362;1;1;43;46;5ou8b446l1sl8frblkz3xi17g;1;27,7;22,7;2024-06-01T03:17:43.665Z;2024-06-01T03:17:47Z;[{'id': 5063529851, 'qualifierId': 141, 'value': '55.2'}, {'id': 5063529845, 'qualifierId': 140, 'value': '15.1'}, {'id': 5063529843, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063529855, 'qualifierId': 212, 'value': '25.8'}, {'id': 5063529859, 'qualifierId': 213, 'value': '2.11'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;d55mevom9f4azxf6dtmfp5d04;Pass;;;;;;;;;;25,8;2,11;;55,2;15,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;15,1;55,2;;;;;;;;0;43;46;Houston Dynamo II;2626;DL;1,0
2693551017;363;1;1;43;50;5ou8b446l1sl8frblkz3xi17g;1;14,9;58,5;2024-06-01T03:17:47.010Z;2024-06-01T03:17:50Z;[{'id': 5063529951, 'qualifierId': 213, 'value': '0.88'}, {'id': 5063529943, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063529945, 'qualifierId': 140, 'value': '27.8'}, {'id': 5063529949, 'qualifierId': 212, 'value': '21.2'}, {'id': 5063529947, 'qualifierId': 141, 'value': '82.4'}];aja8uwk6vyjzzd5nvkh7pbtux;T. Muse;;d55mevom9f4azxf6dtmfp5d04;Pass;;;;;;;;;;21,2;0,88;;82,4;27,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;27,8;82,4;;;;;;;;0;43;50;Houston Dynamo II;2630;GK;1,0
2693551045;364;1;1;43;53;5ou8b446l1sl8frblkz3xi17g;1;31,4;88,4;2024-06-01T03:17:50.698Z;2024-06-01T03:18:00Z;[{'id': 5063530107, 'qualifierId': 213, 'value': '0.23'}, {'id': 5063530099, 'qualifierId': 56, 'value': 'Left'}, {'id': 5063530105, 'qualifierId': 212, 'value': '27.6'}, {'id': 5063530103, 'qualifierId': 141, 'value': '97.8'}, {'id': 5063530101, 'qualifierId': 140, 'value': '57.0'}];dv0qqd4mx117y4al165nsdic4;T. Clegg;;d55mevom9f4azxf6dtmfp5d04;Pass;;;;;;;;;;27,6;0,23;;97,8;57,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;57,0;97,8;;;;;;;;0;43;53;Houston Dynamo II;2633;DC;1,0
2693551061;365;1;1;44;3;5ou8b446l1sl8frblkz3xi17g;1;65,5;57,6;2024-06-01T03:18:00.090Z;2024-06-01T05:11:12Z;[{'id': 5063530205, 'qualifierId': 213, 'value': '5.22'}, {'id': 5063530201, 'qualifierId': 141, 'value': '45.4'}, {'id': 5063530311, 'qualifierId': 210, 'value': '15'}, {'id': 5063530203, 'qualifierId': 212, 'value': '9.5'}, {'id': 5063530197, 'qualifierId': 56, 'value': 'Center'}, {'id': 5063530199, 'qualifierId': 140, 'value': '69.9'}];8p8xhni028mqjv6kz6fdz850q;K. Linhares;1,0;d55mevom9f4azxf6dtmfp5d04;Pass;;;;;;;;;;9,5;5,22;;45,4;69,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;69,9;45,4;;;;;;;;0;44;3;Houston Dynamo II;2643;AML;1,0
2693551053;372;83;1;44;6;7pmw399vh2v44cjle4fkklp1w;0;37,5;58,8;2024-06-01T03:18:02.963Z;2024-06-01T03:18:32Z;[{'id': 5063530611, 'qualifierId': 399, 'value': '5gvvjvj3aw75jrxcmajcx2b6c'}];60ej9rpig6xzj1d80w0ki92i;G. Segal;;d55mevom9f4azxf6dtmfp5d04;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;44;6;Portland Timbers II;2646;FWL;1,0
