id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_Captain;value_Resume;value_PlayerPosition;value_DirectionOfPlay;value_Angle;value_PassEndX;value_PassEndY;value_KickOff;value_Zone;value_Length;value_Chipped;value_LongBall;value_Launch;value_FlickOn;value_HeadPass;value_TouchTypePass;value_DeletedEventType;value_Assist;value_GoalmouthY;value_Left;value_IndividualPlay;value_OutOfBoxCentre;value_GkX;value_RightFooted;value_RelatedEventId;value_RegularPlay;value_GoalmouthZ;value_GkY;value_Assisted;value_IntendedTackleTarget;value_TakeOnOvertake;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_TouchTypeClearance;value_Defensive1V1;value_Foul;value_Shove/Push;value_Direct;value_FreeKick;value_NotAssisted;value_LowRight;value_BlockedY;value_SwerveLeft;value_BlockedX;value_Standing;value_HighGkIntervention;value_Hands;value_ParriedSafe;value_MediumGkIntervention;value_KeeperThrow;value_Head;value_OutSwinger;value_Cross;value_BoxRight;value_LowLeft;value_Diving;value_LowGkIntervention;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_TakeOnSpace;value_OutOfPlay;value_LayOff;value_IntentionalAssist;value_BoxCentre;value_GoalShotGameClock;value_GkYTimeOfGoal;value_FirstTouch;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_BigChance;value_SwitchOfPlay;value_SmallBoxRight;value_CloseRight;value_NextEventGoalKick;value_GoalKick;value_Low;value_CornerTaken;value_InSwinger;value_OverhitCross;value_LeftFooted;value_LowCentre;value_Blocked;value_DefBlock;value_OverArm;value_High;value_AttemptedTackle;value_FreeKickTaken;value_TouchTypeControl;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_Volley;value_MisHit;value_YellowCard;value_TimeWasting;value_TacticalFoul;value_CloseLeft;value_NotPastGoalLine;value_RecklessOffence;value_SetPiece;value_DrinksBreak;value_RefereeDelay;value_Right;value_Overrun;value_ParriedDanger;value_HighCentre;value_Stooping;value_Collected;value_LastLine;value_Handball;value_SecondYellow;value_ShirtPull/Holding;value_Minutes;value_HighClaim;value_BlockedCross;value_BoxLeft;value_FromCorner;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_OtherObstacle;value_BallHitsReferee;value_Weak;value_ThroughBall;value_CloseLeftAndHigh;value_CloseRightAndHigh;value_FastBreak;value_InjuredPlayerId;value_Injury;value_Deflection;value_FollowsADribble;value_HighRight;value_HighLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2673169917;189;8;1;23;18;7fbej4xwoq4imaf5l39304m37;1;25,3;36,6;2024-04-14T22:27:36.982Z;2024-04-18T13:02:00Z;[{'id': 4959365077, 'qualifierId': 384}, {'id': 4952737041, 'qualifierId': 56, 'value': 'Back'}];1pm343qga3zwdbrjngpeqhtnu;J. Swallen;;;c7fwfgnk29e39p4ru70bsoe8k;Interception;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;23;18;Houston Dynamo II;1398;MC;1,0
2673169931;190;49;1;23;19;7fbej4xwoq4imaf5l39304m37;1;31,5;41,8;2024-04-14T22:27:38.582Z;2024-04-14T22:27:38Z;[];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;;c7fwfgnk29e39p4ru70bsoe8k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;23;19;Houston Dynamo II;1399;MC;1,0
2673169943;191;1;1;23;20;7fbej4xwoq4imaf5l39304m37;1;31,5;41,8;2024-04-14T22:27:38.725Z;2024-04-14T22:27:40Z;[{'id': 4952737155, 'qualifierId': 141, 'value': '71.4'}, {'id': 4952737159, 'qualifierId': 213, 'value': '1.09'}, {'id': 4952737157, 'qualifierId': 212, 'value': '22.7'}, {'id': 4952737151, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952737153, 'qualifierId': 140, 'value': '41.4'}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;;c7fwfgnk29e39p4ru70bsoe8k;Pass;;;;;;;;;;1,09;41,4;71,4;;;22,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;41,4;71,4;;;;;;;0;0;23;20;Houston Dynamo II;1400;MC;1,0
2673170001;192;1;1;23;21;7fbej4xwoq4imaf5l39304m37;1;41,8;70,8;2024-04-14T22:27:40.006Z;2024-04-14T22:27:44Z;[{'id': 4952737395, 'qualifierId': 141, 'value': '87.1'}, {'id': 4952737399, 'qualifierId': 213, 'value': '0.51'}, {'id': 4952737391, 'qualifierId': 56, 'value': 'Left'}, {'id': 4952737397, 'qualifierId': 212, 'value': '22.8'}, {'id': 4952737393, 'qualifierId': 140, 'value': '60.8'}];4oz12ku4mdjsq7y4sgogpwg2y;K. Habibullah;;;c7fwfgnk29e39p4ru70bsoe8k;Pass;;;;;;;;;;0,51;60,8;87,1;;;22,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;60,8;87,1;;;;;;;0;0;23;21;Houston Dynamo II;1401;MC;1,0
2673170049;193;1;1;23;25;7fbej4xwoq4imaf5l39304m37;0;62,9;87,5;2024-04-14T22:27:44.341Z;2024-04-18T13:02:13Z;[{'id': 4952737641, 'qualifierId': 141, 'value': '91.1'}, {'id': 4952737639, 'qualifierId': 140, 'value': '66.0'}, {'id': 4952737645, 'qualifierId': 213, 'value': '0.64'}, {'id': 4952737637, 'qualifierId': 56, 'value': 'Left'}, {'id': 4952737643, 'qualifierId': 212, 'value': '4.1'}];32t6g252ti1peycjite40qiy2;R. Hațegan;;;c7fwfgnk29e39p4ru70bsoe8k;Pass;;;;;;;;;;0,64;66,0;91,1;;;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;66,0;91,1;;;;;;;0;0;23;25;Houston Dynamo II;1405;FWL;1,0
2673170055;194;4;1;23;29;7fbej4xwoq4imaf5l39304m37;1;66,0;88,3;2024-04-14T22:27:48.289Z;2024-04-14T22:27:57Z;[{'id': 4952738045, 'qualifierId': 152}, {'id': 4952738041, 'qualifierId': 294}, {'id': 4952738047, 'qualifierId': 286}, {'id': 4952738039, 'qualifierId': 13}, {'id': 4952738061, 'qualifierId': 233, 'value': '200'}, {'id': 4952738043, 'qualifierId': 56, 'value': 'Left'}];4oz12ku4mdjsq7y4sgogpwg2y;K. Habibullah;;;c7fwfgnk29e39p4ru70bsoe8k;Foul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200,0;1,0;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;23;29;Houston Dynamo II;1409;MC;1,0
2673170045;200;4;1;23;29;7pmw399vh2v44cjle4fkklp1w;0;34,0;11,7;2024-04-14T22:27:48.290Z;2024-04-14T22:27:58Z;[{'id': 4952737657, 'qualifierId': 152}, {'id': 4952737651, 'qualifierId': 13}, {'id': 4952738121, 'qualifierId': 55, 'value': '201'}, {'id': 4952738073, 'qualifierId': 233, 'value': '194'}, {'id': 4952737661, 'qualifierId': 285}, {'id': 4952738189, 'qualifierId': 294}, {'id': 4952737655, 'qualifierId': 56, 'value': 'Back'}];1d43ue54zl1o9rvnwz5zfotm;O. Grey;;;c7fwfgnk29e39p4ru70bsoe8k;Foul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201,0;;;;;;;1,0;194,0;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;201,0;1d43ue54zl1o9rvnwz5zfotm;0;0;23;29;Sporting KC II;1409;DR;1,0
2673170081;201;17;1;23;32;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-04-14T22:27:51.330Z;2024-04-14T22:27:55Z;[{'id': 4952738103, 'qualifierId': 13, 'value': '243'}, {'id': 4952738105, 'qualifierId': 55, 'value': '200'}, {'id': 4952738097, 'qualifierId': 31}, {'id': 4952738099, 'qualifierId': 393}];1d43ue54zl1o9rvnwz5zfotm;O. Grey;;;c7fwfgnk29e39p4ru70bsoe8k;Card;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200,0;;;;;;;;;;;;243,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;200,0;1d43ue54zl1o9rvnwz5zfotm;0;0;23;32;Sporting KC II;1412;DR;1,0
2673170605;195;1;1;24;32;7fbej4xwoq4imaf5l39304m37;0;70,3;80,8;2024-04-14T22:28:51.558Z;2024-04-18T13:02:35Z;[{'id': 4952740743, 'qualifierId': 140, 'value': '87.7'}, {'id': 4959365653, 'qualifierId': 20}, {'id': 4952740739, 'qualifierId': 152}, {'id': 4952740737, 'qualifierId': 155}, {'id': 4952740745, 'qualifierId': 141, 'value': '52.8'}, {'id': 4952740733, 'qualifierId': 2}, {'id': 4959365651, 'qualifierId': 223}, {'id': 4952740735, 'qualifierId': 5}, {'id': 4952740747, 'qualifierId': 212, 'value': '26.4'}, {'id': 4952740741, 'qualifierId': 56, 'value': 'Center'}, {'id': 4952740749, 'qualifierId': 213, 'value': '5.48'}];1pm343qga3zwdbrjngpeqhtnu;J. Swallen;;;c7fwfgnk29e39p4ru70bsoe8k;Pass;;;;;;;;;;5,48;87,7;52,8;;;26,4;1,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;87,7;52,8;;;;;;;0;0;24;32;Houston Dynamo II;1472;MC;1,0
2673170617;202;61;1;24;36;7pmw399vh2v44cjle4fkklp1w;1;9,9;48,0;2024-04-14T22:28:55.252Z;2024-04-14T22:28:55Z;[{'id': 4952740783, 'qualifierId': 56, 'value': 'Back'}];2wj1w4opn7f0jyz1ps6ebvc6i;K. Sargeant;;;c7fwfgnk29e39p4ru70bsoe8k;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;24;36;Sporting KC II;1476;DC;1,0
