id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamPlayerFormation;value_PlayerPosition;value_Resume;value_TeamFormation;value_JerseyNumber;value_Involved;value_TeamKit;value_DirectionOfPlay;value_Angle;value_PassEndY;value_Zone;value_KickOff;value_Length;value_PassEndX;value_LongBall;value_Launch;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_TakeOnSpace;value_TouchTypeControl;value_Chipped;value_Cross;value_OutSwinger;value_RightFooted;value_TakeOnOvertake;value_SwitchOfPlay;value_LeftFooted;value_IntentionalAssist;value_Assist;value_InSwinger;value_RelatedEventId;value_Assisted;value_LowCentre;value_SmallBoxCentre;value_BlockedX;value_GoalmouthZ;value_GoalmouthY;value_BlockedY;value_RegularPlay;value_LowGkIntervention;value_ParriedSafe;value_OtherBodyPart;value_Stooping;value_BlockedPass;value_NextEventThrowIn;value_NotVisible;value_ThrowIn;value_LayOff;value_ThroughBall;value_GkY;value_GkX;value_Right;value_FirstTouch;value_BoxLeft;value_NextEventGoalKick;value_GoalKick;value_High;value_DeletedEventType;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_IntendedTackleTarget;value_KeeperThrow;value_TouchTypePass;value_OutOfPlay;value_FlickOn;value_Defensive1V1;value_Head;value_LeadingToGoal;value_GoalShotGameClock;value_LowLeft;value_GoalShotTimestamp;value_RelatedError1Id;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_BoxRight;value_BigChance;value_BoxCentre;value_Hands;value_ParriedDanger;value_Diving;value_OverArm;value_Overrun;value_TouchTypeClearance;value_CloseRight;value_Low;value_ShirtPull/Holding;value_YellowCard;value_RecklessOffence;value_BlockedCross;value_Left;value_CornerTaken;value_FromCorner;value_HighGkIntervention;value_Standing;value_Collected;value_Handball;value_PlayersCaughtOffside;value_Indirect;value_OutOfBoxCentre;value_IndividualPlay;value_NotAssisted;value_Straight;value_DrivenCross;value_Blocked;value_DefBlock;value_MediumGkIntervention;value_GkKickFromHands;value_Shove/Push;value_HighRight;value_Injury;value_InjuredPlayerId;value_IncorrectOutOfPlayDecision;value_HitWoodwork;value_HitBar;value_GoalDisallowed;value_Minutes;value_HighCentre;value_Reaching;value_Fingertip;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_HighClaim;value_LowRight;value_BlockedClearance;value_TacticalFoul;value_CloseLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2718571009;6;7;1;0;9;eo64tqkioegeb09iice2hf8bt;1;72,4;84,6;2024-09-08T23:04:40.392Z;2024-09-11T05:47:28Z;[{'id': 5204518957, 'qualifierId': 383}, {'id': 5201487145, 'qualifierId': 233, 'value': '4'}, {'id': 5201487129, 'qualifierId': 286}, {'id': 5201487127, 'qualifierId': 56, 'value': 'Left'}];9b02cix263jvavj538nkj3m6s;L. Mackenzie;;;1xz6lq3lba2pt41td1jtwdn8;Tackle;;;;;;;;;;;;;;;;;;;4,0;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;9;North Texas;9;AMC;1,0
2718571013;7;49;1;0;12;eo64tqkioegeb09iice2hf8bt;1;69,8;96,0;2024-09-08T23:04:43.128Z;2024-09-08T23:04:43Z;[];9b02cix263jvavj538nkj3m6s;L. Mackenzie;;;1xz6lq3lba2pt41td1jtwdn8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;12;North Texas;12;AMC;1,0
2718571031;8;1;1;0;13;eo64tqkioegeb09iice2hf8bt;1;69,8;96,0;2024-09-08T23:04:43.896Z;2024-09-08T23:04:47Z;[{'id': 5201487223, 'qualifierId': 212, 'value': '39.9'}, {'id': 5201487227, 'qualifierId': 1}, {'id': 5201487221, 'qualifierId': 141, 'value': '58.1'}, {'id': 5201487225, 'qualifierId': 213, 'value': '3.84'}, {'id': 5201487219, 'qualifierId': 140, 'value': '40.8'}, {'id': 5201487217, 'qualifierId': 56, 'value': 'Back'}];9b02cix263jvavj538nkj3m6s;L. Mackenzie;;;1xz6lq3lba2pt41td1jtwdn8;Pass;;;;;;;;;;3,84;58,1;;;39,9;40,8;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;40,8;58,1;;;;;;;0;0;0;13;North Texas;13;AMC;1,0
2718571047;9;1;1;0;16;eo64tqkioegeb09iice2hf8bt;1;40,8;58,1;2024-09-08T23:04:47.591Z;2024-09-08T23:04:52Z;[{'id': 5201487305, 'qualifierId': 212, 'value': '33.1'}, {'id': 5201487309, 'qualifierId': 1}, {'id': 5201487301, 'qualifierId': 140, 'value': '48.6'}, {'id': 5201487307, 'qualifierId': 213, 'value': '4.96'}, {'id': 5201487303, 'qualifierId': 141, 'value': '11.0'}, {'id': 5201487299, 'qualifierId': 56, 'value': 'Back'}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;1xz6lq3lba2pt41td1jtwdn8;Pass;;;;;;;;;;4,96;11,0;;;33,1;48,6;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;48,6;11,0;;;;;;;0;0;0;16;North Texas;16;DC;1,0
2718571069;10;1;1;0;21;eo64tqkioegeb09iice2hf8bt;1;48,6;11,0;2024-09-08T23:04:51.960Z;2024-09-08T23:04:58Z;[{'id': 5201487427, 'qualifierId': 56, 'value': 'Right'}, {'id': 5201487429, 'qualifierId': 140, 'value': '66.7'}, {'id': 5201487433, 'qualifierId': 212, 'value': '19.9'}, {'id': 5201487431, 'qualifierId': 141, 'value': '2.3'}, {'id': 5201487435, 'qualifierId': 213, 'value': '5.98'}];57yplpr6jgwlqoon231ydqp04;I. Mathe;;;1xz6lq3lba2pt41td1jtwdn8;Pass;;;;;;;;;;5,98;2,3;;;19,9;66,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;66,7;2,3;;;;;;;0;0;0;21;North Texas;21;DC;1,0
2718571081;11;1;1;0;28;eo64tqkioegeb09iice2hf8bt;1;65,9;15,5;2024-09-08T23:04:58.776Z;2024-09-08T23:05:02Z;[{'id': 5201487507, 'qualifierId': 141, 'value': '5.0'}, {'id': 5201487503, 'qualifierId': 56, 'value': 'Right'}, {'id': 5201487509, 'qualifierId': 212, 'value': '13.1'}, {'id': 5201487505, 'qualifierId': 140, 'value': '55.4'}, {'id': 5201487511, 'qualifierId': 213, 'value': '3.72'}];bh7fb8v7o5wynmapdhlth594a;A. Coupland;;;1xz6lq3lba2pt41td1jtwdn8;Pass;;;;;;;;;;3,72;5,0;;;13,1;55,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;55,4;5,0;;;;;;;0;0;0;28;North Texas;28;DMR;1,0
2718571089;12;1;1;0;32;eo64tqkioegeb09iice2hf8bt;0;55,4;5,0;2024-09-08T23:05:02.857Z;2024-09-08T23:05:05Z;[{'id': 5201487545, 'qualifierId': 141, 'value': '7.1'}, {'id': 5201487547, 'qualifierId': 212, 'value': '39.3'}, {'id': 5201487551, 'qualifierId': 1}, {'id': 5201487541, 'qualifierId': 56, 'value': 'Right'}, {'id': 5201487543, 'qualifierId': 140, 'value': '92.8'}, {'id': 5201487539, 'qualifierId': 155}, {'id': 5201487549, 'qualifierId': 213, 'value': '0.04'}];8hf35b309tq3wuc59xgshmbro;M. Simmons;;;1xz6lq3lba2pt41td1jtwdn8;Pass;;;;;;;;;;0,04;7,1;;;39,3;92,8;1,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;92,8;7,1;;;;;;;0;0;0;32;North Texas;32;MC;1,0
2718571087;6;49;1;0;34;99l7fsj6ykgbyqcb9zqqu9dgq;1;7,6;91,5;2024-09-08T23:05:05.031Z;2024-09-08T23:05:05Z;[];e7vsajjh4e7t51ciycjg0skd0;T. Humphrey;;;1xz6lq3lba2pt41td1jtwdn8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;34;Vancouver Whitecaps II;34;DC;1,0
2718571101;7;1;1;0;39;99l7fsj6ykgbyqcb9zqqu9dgq;0;7,2;97,5;2024-09-08T23:05:10.375Z;2024-09-08T23:05:10Z;[{'id': 5201487637, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201487639, 'qualifierId': 140, 'value': '18.0'}, {'id': 5201487643, 'qualifierId': 212, 'value': '11.9'}, {'id': 5201487641, 'qualifierId': 141, 'value': '92.1'}, {'id': 5201487647, 'qualifierId': 1}, {'id': 5201487635, 'qualifierId': 157}, {'id': 5201487645, 'qualifierId': 213, 'value': '5.97'}];e7vsajjh4e7t51ciycjg0skd0;T. Humphrey;;;1xz6lq3lba2pt41td1jtwdn8;Pass;;;;;;;;;;5,97;92,1;;;11,9;18,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;18,0;92,1;;;;;;;0;0;0;39;Vancouver Whitecaps II;39;DC;1,0
2718571105;13;49;1;0;41;eo64tqkioegeb09iice2hf8bt;1;80,8;12,5;2024-09-08T23:05:11.800Z;2024-09-08T23:05:11Z;[];bh7fb8v7o5wynmapdhlth594a;A. Coupland;;;1xz6lq3lba2pt41td1jtwdn8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;41;North Texas;41;DMR;1,0
