id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_TeamKit;value_JerseyNumber;value_Resume;value_Involved;value_TeamFormation;value_PlayerPosition;value_Captain;value_DirectionOfPlay;value_PassEndX;value_Angle;value_Zone;value_PassEndY;value_Length;value_IntendedTackleTarget;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_SwitchOfPlay;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_Assist;value_CloseHigh;value_GkY;value_RegularPlay;value_RelatedEventId;value_Assisted;value_RightFooted;value_IndividualPlay;value_GoalmouthZ;value_GkX;value_GoalmouthY;value_OutOfBoxCentre;value_NextEventGoalKick;value_GoalKick;value_Low;value_Chipped;value_High;value_HeadPass;value_IntentionalAssist;value_BlockedX;value_BlockedY;value_BoxCentre;value_LowRight;value_FirstTouch;value_Hands;value_Fumble;value_ParriedDanger;value_Diving;value_GkHoof;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_DeletedEventType;value_KeeperThrow;value_LayOff;value_Head;value_Cross;value_Volley;value_BoxDeepRight;value_NotPastGoalLine;value_Right;value_MisHit;value_PlayersCaughtOffside;value_Indirect;value_FlickOn;value_BoxLeft;value_HitRightPost;value_HitWoodwork;value_LowCentre;value_LeftFooted;value_HitLeftPost;value_ParriedSafe;value_NotVisible;value_FairPlay;value_Injury;value_InjuredPlayerId;value_RefereeDelay;value_DrinksBreak;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_CloseLeft;value_BigChance;value_Shove/Push;value_FastBreak;value_HighRight;value_GoalShotTimestamp;value_GoalShotGameClock;value_BoxRight;value_KickOff;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_Overrun;value_HighCentre;value_ThrowInSetPiece;value_Collected;value_Standing;value_CloseRight;value_Left;value_CornerTaken;value_OutSwinger;value_KeeperTouched;value_LowLeft;value_Minutes;value_SwerveLeft;value_EndType;value_AerialFoul;value_SixYardBlocked;value_SavedOffLine;value_Blocked;value_LastLine;value_DefBlock;value_BlockedCross;value_FromCorner;value_NotAssisted;value_Tactical;value_RecklessOffence;value_InSwinger;value_SmallBoxRight;value_CloseRightAndHigh;value_Stooping;value_OverArm;value_Handball;value_BoxDeepLeft;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2702687423;31;1;1;2;24;7fbej4xwoq4imaf5l39304m37;1;39,8;74,7;2024-07-21T23:06:07.651Z;2024-07-21T23:06:09Z;[{'id': 5113877169, 'qualifierId': 213, 'value': '5.59'}, {'id': 5113877167, 'qualifierId': 212, 'value': '10.9'}, {'id': 5113877161, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113877163, 'qualifierId': 140, 'value': '47.8'}, {'id': 5113877165, 'qualifierId': 141, 'value': '64.5'}];9kahvwswke29dt3uumulbktpm;M. Visconti;;;e6qqkbr3my64ad1eqclpoabro;Pass;;;;;;;;;;47,8;5,59;;64,5;10,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;47,8;64,5;;;;;;;0;0;2;24;St. Louis City II;144;DC;1,0
2702687439;32;1;1;2;26;7fbej4xwoq4imaf5l39304m37;1;47,8;64,5;2024-07-21T23:06:09.587Z;2024-07-21T23:06:11Z;[{'id': 5113877245, 'qualifierId': 56, 'value': 'Center'}, {'id': 5113877253, 'qualifierId': 213, 'value': '6.14'}, {'id': 5113877247, 'qualifierId': 140, 'value': '61.0'}, {'id': 5113877251, 'qualifierId': 212, 'value': '14.0'}, {'id': 5113877249, 'qualifierId': 141, 'value': '61.5'}];c7luarkv7hwdspd9xhidhisk4;C. Tschantret;;;e6qqkbr3my64ad1eqclpoabro;Pass;;;;;;;;;;61,0;6,14;;61,5;14,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;61,0;61,5;;;;;;;0;0;2;26;St. Louis City II;146;MC;1,0
2702687457;33;1;1;2;27;7fbej4xwoq4imaf5l39304m37;1;61,0;61,5;2024-07-21T23:06:11.091Z;2024-07-21T23:06:13Z;[{'id': 5113877331, 'qualifierId': 213, 'value': '5.02'}, {'id': 5113877327, 'qualifierId': 141, 'value': '41.8'}, {'id': 5113877323, 'qualifierId': 56, 'value': 'Center'}, {'id': 5113877329, 'qualifierId': 212, 'value': '14.0'}, {'id': 5113877325, 'qualifierId': 140, 'value': '65.0'}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;;e6qqkbr3my64ad1eqclpoabro;Pass;;;;;;;;;;65,0;5,02;;41,8;14,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;65,0;41,8;;;;;;;0;0;2;27;St. Louis City II;147;FW;1,0
2702687491;34;1;1;2;30;7fbej4xwoq4imaf5l39304m37;1;70,5;36,6;2024-07-21T23:06:13.467Z;2024-07-21T23:06:28Z;[{'id': 5113877507, 'qualifierId': 140, 'value': '75.1'}, {'id': 5113877509, 'qualifierId': 141, 'value': '48.1'}, {'id': 5113877513, 'qualifierId': 213, 'value': '1.02'}, {'id': 5113877505, 'qualifierId': 56, 'value': 'Center'}, {'id': 5113877511, 'qualifierId': 212, 'value': '9.2'}, {'id': 5113878019, 'qualifierId': 210, 'value': '13'}];1pm343qga3zwdbrjngpeqhtnu;J. Swallen;1,0;;e6qqkbr3my64ad1eqclpoabro;Pass;;;;;;;;;;75,1;1,02;;48,1;9,2;;;;;;;;;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;75,1;48,1;;;;;;;0;0;2;30;St. Louis City II;150;MC;1,0
2702687493;35;13;1;2;31;7fbej4xwoq4imaf5l39304m37;1;76,9;48,7;2024-07-21T23:06:14.915Z;2024-07-21T23:58:34Z;[{'id': 5113878023, 'qualifierId': 85}, {'id': 5113878051, 'qualifierId': 231, 'value': '49.3'}, {'id': 5113877519, 'qualifierId': 22}, {'id': 5113878027, 'qualifierId': 55, 'value': '34'}, {'id': 5113878025, 'qualifierId': 29}, {'id': 5113877681, 'qualifierId': 20}, {'id': 5113877523, 'qualifierId': 56, 'value': 'Center'}, {'id': 5113878041, 'qualifierId': 215}, {'id': 5113878037, 'qualifierId': 103, 'value': '59.7'}, {'id': 5113878047, 'qualifierId': 230, 'value': '98.0'}, {'id': 5113878033, 'qualifierId': 102, 'value': '52.8'}, {'id': 5113877521, 'qualifierId': 18}];cqmvrx028gh19yh8qh7w01y0a;R. Avila;;;e6qqkbr3my64ad1eqclpoabro;Miss;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;49,3;1,0;34,0;1,0;1,0;1,0;59,7;98,0;52,8;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;52,8;59.7;34,0;1pm343qga3zwdbrjngpeqhtnu;0;0;2;31;St. Louis City II;151;FWL;1,0
2702687483;21;5;1;2;33;dqx48fglv1l96cyrmjdod0xec;1;-1,2;45,4;2024-07-21T23:06:16.551Z;2024-07-21T23:06:19Z;[{'id': 5113877473, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113877475, 'qualifierId': 346}, {'id': 5113877611, 'qualifierId': 233, 'value': '36'}];3dyn7hheqvs3gm3m84jrra9lg;S. Antwi;;;e6qqkbr3my64ad1eqclpoabro;Out;;;;;;;;;;;;;;;;;;36,0;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;2;33;Sporting KC II;153;MC;1,0
2702687507;36;5;1;2;33;7fbej4xwoq4imaf5l39304m37;0;101,2;54,6;2024-07-21T23:06:16.551Z;2024-07-21T23:57:45Z;[{'id': 5113877585, 'qualifierId': 346}, {'id': 5113877583, 'qualifierId': 56, 'value': 'Center'}, {'id': 5113877649, 'qualifierId': 233, 'value': '21'}];cqmvrx028gh19yh8qh7w01y0a;R. Avila;;;e6qqkbr3my64ad1eqclpoabro;Out;;;;;;;;;;;;;;;;;;21,0;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;2;33;St. Louis City II;153;FWL;1,0
2702687679;22;1;1;2;52;dqx48fglv1l96cyrmjdod0xec;1;5,0;37,0;2024-07-21T23:06:35.316Z;2024-07-21T23:07:08Z;[{'id': 5113878697, 'qualifierId': 124}, {'id': 5113878711, 'qualifierId': 237}, {'id': 5113878705, 'qualifierId': 212, 'value': '7.4'}, {'id': 5113878701, 'qualifierId': 140, 'value': '3.5'}, {'id': 5113878699, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113878707, 'qualifierId': 213, 'value': '1.79'}, {'id': 5113878703, 'qualifierId': 141, 'value': '47.6'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;e6qqkbr3my64ad1eqclpoabro;Pass;;;;;;;;;;3,5;1,79;;47,6;7,4;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;3,5;47,6;;;;;;;0;0;2;52;Sporting KC II;172;DL;1,0
2702687701;23;1;1;2;56;dqx48fglv1l96cyrmjdod0xec;0;4,4;59,6;2024-07-21T23:06:40.278Z;2024-07-21T23:06:43Z;[{'id': 5113878853, 'qualifierId': 157}, {'id': 5113878857, 'qualifierId': 140, 'value': '74.3'}, {'id': 5113878863, 'qualifierId': 213, 'value': '0.15'}, {'id': 5113878855, 'qualifierId': 56, 'value': 'Center'}, {'id': 5113878865, 'qualifierId': 1}, {'id': 5113878859, 'qualifierId': 141, 'value': '75.6'}, {'id': 5113878861, 'qualifierId': 212, 'value': '74.2'}];37vbc16ejxmfkssydcdxq69zo;N. Bishop;;;e6qqkbr3my64ad1eqclpoabro;Pass;;;;;;;;;;74,3;0,15;;75,6;74,2;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;74,3;75,6;;;;;;;0;0;2;56;Sporting KC II;176;GK;1,0
2702687805;37;12;1;3;0;7fbej4xwoq4imaf5l39304m37;1;27,2;24,3;2024-07-21T23:06:43.923Z;2024-07-21T23:06:54Z;[{'id': 5113879385, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113879393, 'qualifierId': 213, 'value': '5.60'}, {'id': 5113879391, 'qualifierId': 212, 'value': '1.6'}, {'id': 5113879389, 'qualifierId': 141, 'value': '22.8'}, {'id': 5113879387, 'qualifierId': 140, 'value': '28.4'}];tvbjgz0zeq5irumgofxrko44;L. Christiano;;;e6qqkbr3my64ad1eqclpoabro;Clearance;;;;;;;;;;28,4;5,6;;22,8;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;28,4;22,8;;;;;;;0;0;3;0;St. Louis City II;180;DC;1,0
