id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamFormation;value_JerseyNumber;value_Involved;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_TeamKit;value_Resume;value_DirectionOfPlay;value_PassEndY;value_Zone;value_Angle;value_KickOff;value_Length;value_PassEndX;value_LongBall;value_Chipped;value_HeadPass;value_MediumGkIntervention;value_KeeperThrow;value_Launch;value_Direct;value_AerialFoul;value_Offensive;value_Foul;value_OppositeRelatedEventId;value_Defensive;value_DeletedEventType;value_FreeKickTaken;value_TouchTypePass;value_BlockedPass;value_TakeOnSpace;value_LayOff;value_AttemptedTackle;value_NotVisible;value_NextEventThrowIn;value_ThrowIn;value_OutOfPlay;value_FlickOn;value_IntendedTackleTarget;value_Shove/Push;value_ThroughBall;value_LowGkIntervention;value_TouchTypeControl;value_InSwinger;value_LeftFooted;value_Cross;value_SwitchOfPlay;value_DrivenCross;value_Assist;value_RightFooted;value_IntentionalAssist;value_RegularPlay;value_Straight;value_RelatedEventId;value_BoxCentre;value_FirstTouch;value_GoalShotGameClock;value_GkXTimeOfGoal;value_GkX;value_BigChance;value_GoalShotTimestamp;value_GkY;value_GoalmouthY;value_Assisted;value_GkYTimeOfGoal;value_GoalmouthZ;value_HighCentre;value_OtherObstacle;value_Left;value_CornerTaken;value_Head;value_NextEventGoalKick;value_OutSwinger;value_Handball;value_ThrowInSetPiece;value_LowRight;value_BoxRight;value_IndividualPlay;value_BlockedY;value_BlockedX;value_HighGkIntervention;value_Hands;value_ParriedSafe;value_Standing;value_Right;value_OverhitCross;value_Low;value_GoalKick;value_TakeOnOvertake;value_TouchTypeClearance;value_LowCentre;value_Blocked;value_DefBlock;value_HighClaim;value_NotAssisted;value_High;value_OutOfBoxCentre;value_FreeKick;value_SwerveRight;value_Diving;value_Collected;value_ShirtPull/Holding;value_BlockedClearance;value_RecklessOffence;value_YellowCard;value_Unchallenged;value_OverArm;value_Dissent;value_SetPiece;value_ByWall;value_Minutes;value_TacticalFoul;value_SwerveLeft;value_SmallBoxLeft;value_HighLeft;value_FromCorner;value_EndType;value_Reaching;value_CloseRight;value_CloseHigh;value_FastBreak;value_ParriedDanger;value_Feet;value_Sliding;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_RefereeStop;value_OtherReason;value_RefereeDelay;value_BallHitsReferee;value_Defensive1V1;value_1On1;value_OtherBodyPart;value_EnteringField;value_PlayersCaughtOffside;value_Indirect;value_InjuredPlayerId;value_Injury;value_FloatedCross;value_Overrun;value_LeadingToAttempt;value_RelatedError1Id;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2707745273;489;1;2;54;4;4gymgvqmve0m2vh89v84tt3x0;1;45,0;39,3;2024-08-11T01:17:04.541Z;2024-08-13T12:16:51Z;[{'id': 5141906919, 'qualifierId': 213, 'value': '0.28'}, {'id': 5141906917, 'qualifierId': 212, 'value': '11.4'}, {'id': 5141906915, 'qualifierId': 141, 'value': '44.0'}, {'id': 5141906911, 'qualifierId': 56, 'value': 'Center'}, {'id': 5141906913, 'qualifierId': 140, 'value': '55.4'}];d9cioqeofh2tfg3171r5nlb10;C. Applewhite;;;el6c0dexrb9nk54n9etlu074k;Pass;;;;;;;;;;44,0;;0,28;;11,4;55,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;55,4;44,0;;;;;;;0;0;54;4;Chattanooga;3244;DL;1,0
2707745289;490;1;2;54;6;4gymgvqmve0m2vh89v84tt3x0;0;55,2;14,4;2024-08-11T01:17:05.885Z;2024-08-11T01:17:07Z;[{'id': 5141906973, 'qualifierId': 212, 'value': '14.1'}, {'id': 5141906975, 'qualifierId': 213, 'value': '5.91'}, {'id': 5141906971, 'qualifierId': 141, 'value': '6.9'}, {'id': 5141906967, 'qualifierId': 56, 'value': 'Right'}, {'id': 5141906969, 'qualifierId': 140, 'value': '67.7'}];1kr4ax5uy3f9gbjzr34u0svf8;I. Jones;;;el6c0dexrb9nk54n9etlu074k;Pass;;;;;;;;;;6,9;;5,91;;14,1;67,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;67,7;6,9;;;;;;;0;0;54;6;Chattanooga;3246;MR;1,0
2707745297;547;49;2;54;8;cwnjxlibb02fuh0vwgvac6h45;1;29,3;85,3;2024-08-11T01:17:08.605Z;2024-08-11T01:17:08Z;[];2d3dwhrtafkd1b8q1nzerqew9;J. Pérez;;;el6c0dexrb9nk54n9etlu074k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;54;8;Huntsville City;3248;DC;1,0
2707745381;548;3;2;54;17;cwnjxlibb02fuh0vwgvac6h45;0;67,7;90,6;2024-08-11T01:17:17.164Z;2024-08-13T12:17:24Z;[{'id': 5141907425, 'qualifierId': 56, 'value': 'Left'}, {'id': 5146746601, 'qualifierId': 465}, {'id': 5141907437, 'qualifierId': 233, 'value': '491'}, {'id': 5141907427, 'qualifierId': 286}];2d3dwhrtafkd1b8q1nzerqew9;J. Pérez;;;el6c0dexrb9nk54n9etlu074k;Take On;;;;;;;;;;;;;;;;;;;;;;;;1,0;;491,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;54;17;Huntsville City;3257;DC;1,0
2707745377;491;7;2;54;17;4gymgvqmve0m2vh89v84tt3x0;1;32,3;9,4;2024-08-11T01:17:17.165Z;2024-08-13T12:17:36Z;[{'id': 5141907429, 'qualifierId': 233, 'value': '548'}, {'id': 5141907409, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141907411, 'qualifierId': 285}, {'id': 5146746625, 'qualifierId': 383}];2ijhxcgr8wqnb8ovss9064jmy;W. Perkins;;;el6c0dexrb9nk54n9etlu074k;Tackle;;;;;;;;;;;;;;;;;;;;;;;;;;548,0;1,0;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;54;17;Chattanooga;3257;DR;1,0
2707745393;492;12;2;54;18;4gymgvqmve0m2vh89v84tt3x0;1;21,4;4,1;2024-08-11T01:17:18.188Z;2024-08-11T01:17:20Z;[{'id': 5141907487, 'qualifierId': 140, 'value': '27.2'}, {'id': 5141907523, 'qualifierId': 167}, {'id': 5141907493, 'qualifierId': 213, 'value': '5.77'}, {'id': 5141907491, 'qualifierId': 212, 'value': '7.0'}, {'id': 5141907485, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141907489, 'qualifierId': 141, 'value': '0.0'}];2ijhxcgr8wqnb8ovss9064jmy;W. Perkins;;;el6c0dexrb9nk54n9etlu074k;Clearance;;;;;;;;;;0,0;;5,77;;7,0;27,2;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;27,2;0,0;;;;;;;0;0;54;18;Chattanooga;3258;DR;1,0
2707745399;493;5;2;54;18;4gymgvqmve0m2vh89v84tt3x0;0;28,2;-1,0;2024-08-11T01:17:18.710Z;2024-08-11T02:10:45Z;[{'id': 5141908151, 'qualifierId': 233, 'value': '549'}, {'id': 5141907507, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141907509, 'qualifierId': 347}];2ijhxcgr8wqnb8ovss9064jmy;W. Perkins;;;el6c0dexrb9nk54n9etlu074k;Out;;;;;;;;;;;;;;;;;;;;;;;;;;549,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;54;18;Chattanooga;3258;DR;1,0
2707745523;549;5;2;54;18;cwnjxlibb02fuh0vwgvac6h45;1;71,8;101,0;2024-08-11T01:17:18.710Z;2024-08-11T02:10:45Z;[{'id': 5141908133, 'qualifierId': 347}, {'id': 5141908131, 'qualifierId': 56, 'value': 'Left'}, {'id': 5141908143, 'qualifierId': 233, 'value': '493'}];2d3dwhrtafkd1b8q1nzerqew9;J. Pérez;;;el6c0dexrb9nk54n9etlu074k;Out;;;;;;;;;;;;;;;;;;;;;;;;;;493,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;54;18;Huntsville City;3258;DC;1,0
2707745541;550;1;2;54;34;cwnjxlibb02fuh0vwgvac6h45;1;81,7;100,0;2024-08-11T01:17:33.933Z;2024-08-11T01:17:37Z;[{'id': 5141908229, 'qualifierId': 141, 'value': '89.6'}, {'id': 5141908231, 'qualifierId': 212, 'value': '8.4'}, {'id': 5141908233, 'qualifierId': 213, 'value': '4.94'}, {'id': 5141908227, 'qualifierId': 140, 'value': '83.5'}, {'id': 5141908223, 'qualifierId': 107}, {'id': 5141908225, 'qualifierId': 56, 'value': 'Left'}];2d3dwhrtafkd1b8q1nzerqew9;J. Pérez;;;el6c0dexrb9nk54n9etlu074k;Pass;;;;;;;;;;89,6;;4,94;;8,4;83,5;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;83,5;89,6;;;;;;;0;0;54;34;Huntsville City;3274;DC;1,0
2707745543;551;3;2;54;37;cwnjxlibb02fuh0vwgvac6h45;0;82,8;83,8;2024-08-11T01:17:37.101Z;2024-08-13T12:17:59Z;[{'id': 5141908425, 'qualifierId': 233, 'value': '494'}, {'id': 5146746673, 'qualifierId': 464}, {'id': 5141908237, 'qualifierId': 56, 'value': 'Left'}, {'id': 5141908239, 'qualifierId': 286}];a3eln6gas8765a3pn6ecqjvxm;M. Ouamri;;;el6c0dexrb9nk54n9etlu074k;Take On;;;;;;;;;;;;;;;;;;;;;;;;1,0;;494,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;54;37;Huntsville City;3277;FW;1,0
