id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_PlayerPosition;value_Resume;value_Captain;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Zone;value_PassEndY;value_Length;value_PassEndX;value_Angle;value_Chipped;value_LongBall;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_TouchTypeControl;value_SwitchOfPlay;value_TakeOnOvertake;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_OutSwinger;value_LeftFooted;value_Cross;value_RightFooted;value_Launch;value_HeadPass;value_TakeOnSpace;value_BlockedPass;value_TouchTypeClearance;value_DeletedEventType;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Overrun;value_NextEventGoalKick;value_GoalKick;value_Low;value_High;value_Head;value_Assist;value_Straight;value_IntentionalAssist;value_DrivenCross;value_GkY;value_FirstTouch;value_RelatedEventId;value_CloseHigh;value_GoalmouthY;value_RegularPlay;value_GoalmouthZ;value_Assisted;value_GkX;value_BoxCentre;value_LowGkIntervention;value_KeeperThrow;value_LayOff;value_MediumGkIntervention;value_FlickOn;value_Right;value_Left;value_CornerTaken;value_InSwinger;value_TouchTypePass;value_Volley;value_BlockedX;value_ThrowInSetPiece;value_BlockedY;value_LowCentre;value_BigChance;value_Standing;value_Hands;value_ParriedDanger;value_MisHit;value_OutOfBoxCentre;value_Direct;value_Foul;value_ShirtPull/Holding;value_HighGkIntervention;value_InjuredPlayerId;value_Injury;value_OverArm;value_AttemptedTackle;value_HighClaim;value_YellowCard;value_RecklessOffence;value_NotVisible;value_Shove/Push;value_TacticalFoul;value_DrinksBreak;value_RefereeDelay;value_Blocked;value_LowRight;value_BoxRight;value_DefBlock;value_FromCorner;value_SixYardBlocked;value_BlockedCross;value_IndividualPlay;value_35Centre;value_NotAssisted;value_Minutes;value_Deflection;value_Defensive1V1;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_HighLeft;value_GoalShotGameClock;value_GoalShotTimestamp;value_EndType;value_PullBack;value_Collected;value_LeadingToGoal;value_RelatedError1Id;value_SmallBoxCentre;value_CloseRight;value_FreeKick;value_Stooping;value_GkKickFromHands;value_CloseLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_OverhitCross;value_OwnPlayer;value_BoxLeft;value_LowLeft;value_Diving;value_ParriedSafe;value_2NdAssist;value_NotPastGoalLine;value_2NdAssisted;value_2NdRelatedEventId;value_VideoCoverageLost;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2700780093;9;50;1;0;16;2nnef9tr9g7m2s6n873qif95g;1;73,3;91,5;2024-07-13T23:05:49.228Z;2024-07-20T14:37:49Z;[{'id': 5103363241, 'qualifierId': 56, 'value': 'Left'}, {'id': 5110359261, 'qualifierId': 233, 'value': '3'}, {'id': 5103363243, 'qualifierId': 286}];6oia90bi52zwmgdlvcvfnj1pm;J. Evans;;;dzwjl99bpxuizvmgpijrqn384;Dispossessed;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;16;Crown Legacy;16;FW;1,0
2700780095;3;7;1;0;16;6ubc4y1v6hr63mca7ica4hp90;1;26,7;8,5;2024-07-13T23:05:49.229Z;2024-07-18T12:32:57Z;[{'id': 5103363249, 'qualifierId': 285}, {'id': 5108335267, 'qualifierId': 383}, {'id': 5103363247, 'qualifierId': 56, 'value': 'Back'}, {'id': 5103363259, 'qualifierId': 233, 'value': '9'}];35i699wz5v6nush729peu776c;Josué;;;dzwjl99bpxuizvmgpijrqn384;Tackle;;;;;;;;;;;;;;;;;;9,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;16;Carolina Core;16;DR;1,0
2700780099;4;49;1;0;18;6ubc4y1v6hr63mca7ica4hp90;1;29,4;4,6;2024-07-13T23:05:51.067Z;2024-07-13T23:05:51Z;[];35i699wz5v6nush729peu776c;Josué;;;dzwjl99bpxuizvmgpijrqn384;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;18;Carolina Core;18;DR;1,0
2700780115;5;1;1;0;19;6ubc4y1v6hr63mca7ica4hp90;1;36,3;5,0;2024-07-13T23:05:52.172Z;2024-07-13T23:05:54Z;[{'id': 5103363335, 'qualifierId': 56, 'value': 'Back'}, {'id': 5103363339, 'qualifierId': 141, 'value': '21.0'}, {'id': 5103363343, 'qualifierId': 213, 'value': '1.32'}, {'id': 5103363337, 'qualifierId': 140, 'value': '38.9'}, {'id': 5103363341, 'qualifierId': 212, 'value': '11.2'}];35i699wz5v6nush729peu776c;Josué;;;dzwjl99bpxuizvmgpijrqn384;Pass;;;;;;;;;;;;21,0;11,2;38,9;1,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;38,9;21,0;;;;;;;0;0;0;19;Carolina Core;19;DR;1,0
2700780119;6;1;1;0;21;6ubc4y1v6hr63mca7ica4hp90;1;38,9;21,0;2024-07-13T23:05:53.980Z;2024-07-13T23:05:55Z;[{'id': 5103363389, 'qualifierId': 213, 'value': '3.52'}, {'id': 5103363381, 'qualifierId': 56, 'value': 'Back'}, {'id': 5103363385, 'qualifierId': 141, 'value': '16.2'}, {'id': 5103363383, 'qualifierId': 140, 'value': '31.1'}, {'id': 5103363387, 'qualifierId': 212, 'value': '8.8'}];9qhpi9y9iujvkbocafhgrj04q;C. Duke;;;dzwjl99bpxuizvmgpijrqn384;Pass;;;;;;;;;;;;16,2;8,8;31,1;3,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;31,1;16,2;;;;;;;0;0;0;21;Carolina Core;21;MC;1,0
2700780149;7;1;1;0;22;6ubc4y1v6hr63mca7ica4hp90;1;31,1;16,2;2024-07-13T23:05:55.580Z;2024-07-13T23:06:02Z;[{'id': 5103363569, 'qualifierId': 212, 'value': '57.5'}, {'id': 5103363559, 'qualifierId': 155}, {'id': 5103363565, 'qualifierId': 140, 'value': '66.6'}, {'id': 5103363573, 'qualifierId': 1}, {'id': 5103363561, 'qualifierId': 196}, {'id': 5103363563, 'qualifierId': 56, 'value': 'Left'}, {'id': 5103363571, 'qualifierId': 213, 'value': '0.87'}, {'id': 5103363567, 'qualifierId': 141, 'value': '80.6'}];dercetgxemr74f5yasq86s5t6;P. Mayaka;;;dzwjl99bpxuizvmgpijrqn384;Pass;;;;;;;;;;;;80,6;57,5;66,6;0,87;1,0;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;66,6;80,6;;;;;;;0;0;0;22;Carolina Core;22;MC;1,0
2700780155;8;3;1;0;29;6ubc4y1v6hr63mca7ica4hp90;1;74,4;88,4;2024-07-13T23:06:02.140Z;2024-07-18T12:33:33Z;[{'id': 5103363647, 'qualifierId': 233, 'value': '11'}, {'id': 5103363609, 'qualifierId': 286}, {'id': 5108335487, 'qualifierId': 465}, {'id': 5103363605, 'qualifierId': 56, 'value': 'Left'}];6bg69aksa8wb6wmu7w81is8yy;J. Forbes;;;dzwjl99bpxuizvmgpijrqn384;Take On;;;;;;;;;;;;;;;;;;11,0;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;29;Carolina Core;29;FWL;1,0
2700780163;11;45;1;0;29;2nnef9tr9g7m2s6n873qif95g;0;25,6;11,6;2024-07-13T23:06:02.140Z;2024-07-13T23:06:05Z;[{'id': 5103363625, 'qualifierId': 285}, {'id': 5103363623, 'qualifierId': 56, 'value': 'Back'}, {'id': 5103363659, 'qualifierId': 233, 'value': '8'}];4t078b0rnzmi8u83wzmdwze38;C. Díaz;;;dzwjl99bpxuizvmgpijrqn384;Challenge;;;;;;;;;;;;;;;;;;8,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;29;Crown Legacy;29;DMR;1,0
2700780157;9;50;1;0;30;6ubc4y1v6hr63mca7ica4hp90;1;74,7;88,5;2024-07-13T23:06:03.052Z;2024-07-13T23:06:05Z;[{'id': 5103363663, 'qualifierId': 233, 'value': '10'}, {'id': 5103363613, 'qualifierId': 286}, {'id': 5103363611, 'qualifierId': 56, 'value': 'Left'}];6bg69aksa8wb6wmu7w81is8yy;J. Forbes;;;dzwjl99bpxuizvmgpijrqn384;Dispossessed;;;;;;;;;;;;;;;;;;10,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;30;Carolina Core;30;FWL;1,0
2700780159;10;7;1;0;30;2nnef9tr9g7m2s6n873qif95g;1;25,3;11,5;2024-07-13T23:06:03.053Z;2024-07-18T12:33:45Z;[{'id': 5103363655, 'qualifierId': 233, 'value': '9'}, {'id': 5108335543, 'qualifierId': 383}, {'id': 5103363615, 'qualifierId': 56, 'value': 'Back'}, {'id': 5103363617, 'qualifierId': 285}];4t078b0rnzmi8u83wzmdwze38;C. Díaz;;;dzwjl99bpxuizvmgpijrqn384;Tackle;;;;;;;;;;;;;;;;;;9,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;30;Crown Legacy;30;DMR;1,0
