id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Captain;value_JerseyNumber;value_TeamFormation;value_Involved;value_PlayerPosition;value_TeamPlayerFormation;value_Resume;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Angle;value_Length;value_Zone;value_PassEndX;value_LongBall;value_Launch;value_LowGkIntervention;value_GkKickFromHands;value_HeadPass;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_IntendedTackleTarget;value_Chipped;value_SwitchOfPlay;value_LayOff;value_TakeOnSpace;value_Offensive;value_Defensive;value_BlockedPass;value_TakeOnOvertake;value_Assist;value_IntentionalAssist;value_LowRight;value_Assisted;value_GoalmouthZ;value_BlockedY;value_BigChance;value_LeftFooted;value_BlockedX;value_RegularPlay;value_RelatedEventId;value_SmallBoxLeft;value_GoalmouthY;value_Diving;value_ParriedSafe;value_Hands;value_Left;value_InSwinger;value_RightFooted;value_CornerTaken;value_Cross;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_DeletedEventType;value_Foul;value_Direct;value_Shove/Push;value_FreeKickTaken;value_OutSwinger;value_TouchTypeClearance;value_OutOfPlay;value_ShirtPull/Holding;value_BoxRight;value_LowCentre;value_IndividualPlay;value_Collected;value_Stooping;value_PlayersCaughtOffside;value_Indirect;value_TouchTypePass;value_NextEventGoalKick;value_Low;value_GoalKick;value_LowLeft;value_OutOfBoxCentre;value_TouchTypeControl;value_Defensive1V1;value_AttemptedTackle;value_Head;value_YellowCard;value_CoachId;value_Dissent;value_NotVisible;value_GkY;value_GkX;value_35Centre;value_FastBreak;value_NotAssisted;value_MisHit;value_HighRight;value_BoxCentre;value_Volley;value_FirstTouch;value_Right;value_FromCorner;value_MediumGkIntervention;value_SetPiece;value_Blocked;value_DefBlock;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_ParriedDanger;value_Feet;value_NotPastGoalLine;value_RecklessOffence;value_LeadingToAttempt;value_HighLeft;value_RelatedError1Id;value_High;value_FlickOn;value_Minutes;value_HighCentre;value_Reaching;value_Caught;value_OverArm;value_OverhitCross;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_SwerveRight;value_FreeKick;value_OutOfBoxDeepRight;value_InjuredPlayerId;value_Injury;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FloatedCross;value_Straight;value_PullBack;value_AerialFoul;value_SixYardBlocked;value_SmallBoxCentre;value_CloseRight;value_SwerveLeft;value_BoxLeft;value_VideoCoverageLost;value_Handball;value_2NdAssist;value_2NdRelatedEventId;value_2NdAssisted;value_TacticalFoul;value_TimeWasting;value_Overrun;value_BlockedCross;value_HitWoodwork;value_HitLeftPost;value_Argument;value_DrivenCross;value_Standing;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2689297411;570;43;2;63;33;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-05-19T01:28:45.957Z;2024-05-23T09:46:42Z;[{'id': 5049644635, 'qualifierId': 144, 'value': '49'}];cbjd834y2hdx5jr3bda1zz6ga;E. Centeno;;;cvbjrq3ymmwb2msnm5jeyjn6c;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;0;0;63;33;Huntsville City;3813;DR;1,0
2689297471;571;1;2;63;34;erwnez7ksfkns4dqmyr1fhbe;1;70,6;93,5;2024-05-19T01:28:46.436Z;2024-05-19T01:28:52Z;[{'id': 5040243603, 'qualifierId': 56, 'value': 'Center'}, {'id': 5040243607, 'qualifierId': 141, 'value': '72.9'}, {'id': 5040243605, 'qualifierId': 140, 'value': '72.8'}, {'id': 5040243611, 'qualifierId': 213, 'value': '4.88'}, {'id': 5040243609, 'qualifierId': 212, 'value': '14.2'}];cbjd834y2hdx5jr3bda1zz6ga;E. Centeno;;;cvbjrq3ymmwb2msnm5jeyjn6c;Pass;;;;;;;;;;72,9;;4,88;14,2;;72,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;72,8;72,9;;;;;;;0;0;63;34;Huntsville City;3814;DR;1,0
2689297501;572;1;2;63;40;erwnez7ksfkns4dqmyr1fhbe;1;65,8;57,9;2024-05-19T01:28:52.468Z;2024-05-19T01:28:56Z;[{'id': 5040243803, 'qualifierId': 141, 'value': '49.3'}, {'id': 5040243807, 'qualifierId': 213, 'value': '3.61'}, {'id': 5040243805, 'qualifierId': 212, 'value': '13.0'}, {'id': 5040243801, 'qualifierId': 140, 'value': '54.7'}, {'id': 5040243799, 'qualifierId': 56, 'value': 'Center'}];6ahu72g0u39bxbjiz7ggefai1;N. Okello;;;cvbjrq3ymmwb2msnm5jeyjn6c;Pass;;;;;;;;;;49,3;;3,61;13,0;;54,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;54,7;49,3;;;;;;;0;0;63;40;Huntsville City;3820;MC;1,0
2689297529;573;1;2;63;44;erwnez7ksfkns4dqmyr1fhbe;1;54,6;49,0;2024-05-19T01:28:56.293Z;2024-05-19T01:29:00Z;[{'id': 5040243929, 'qualifierId': 213, 'value': '0.87'}, {'id': 5040243923, 'qualifierId': 140, 'value': '79.7'}, {'id': 5040243919, 'qualifierId': 155}, {'id': 5040243931, 'qualifierId': 1}, {'id': 5040243921, 'qualifierId': 56, 'value': 'Left'}, {'id': 5040243927, 'qualifierId': 212, 'value': '41.0'}, {'id': 5040243925, 'qualifierId': 141, 'value': '95.1'}];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;;cvbjrq3ymmwb2msnm5jeyjn6c;Pass;;;;;;;;;;95,1;;0,87;41,0;;79,7;1,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;79,7;95,1;;;;;;;0;0;63;44;Huntsville City;3824;MC;1,0
2689297537;574;1;2;63;46;erwnez7ksfkns4dqmyr1fhbe;0;79,6;95,0;2024-05-19T01:28:58.109Z;2024-05-19T01:29:12Z;[{'id': 5040243983, 'qualifierId': 212, 'value': '7.6'}, {'id': 5040243977, 'qualifierId': 56, 'value': 'Left'}, {'id': 5040243981, 'qualifierId': 141, 'value': '100.0'}, {'id': 5040243985, 'qualifierId': 213, 'value': '0.51'}, {'id': 5040243979, 'qualifierId': 140, 'value': '85.9'}];cbjd834y2hdx5jr3bda1zz6ga;E. Centeno;;;cvbjrq3ymmwb2msnm5jeyjn6c;Pass;;;;;;;;;;100,0;;0,51;7,6;;85,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;85,9;100,0;;;;;;;0;0;63;46;Huntsville City;3826;DR;1,0
2689297553;538;5;2;63;47;4gymgvqmve0m2vh89v84tt3x0;1;16,8;-0,6;2024-05-19T01:28:59.686Z;2024-05-19T01:29:01Z;[{'id': 5040244037, 'qualifierId': 56, 'value': 'Back'}, {'id': 5040244039, 'qualifierId': 347}, {'id': 5040244063, 'qualifierId': 233, 'value': '575'}];d9cioqeofh2tfg3171r5nlb10;C. Applewhite;;;cvbjrq3ymmwb2msnm5jeyjn6c;Out;;;;;;;;;;;;;;;;;;;;;1,0;575,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;63;47;Atlanta United II;3827;DL;1,0
2689297543;575;5;2;63;47;erwnez7ksfkns4dqmyr1fhbe;0;83,2;100,6;2024-05-19T01:28:59.686Z;2024-05-19T02:14:19Z;[{'id': 5040244083, 'qualifierId': 233, 'value': '538'}, {'id': 5040244003, 'qualifierId': 56, 'value': 'Left'}, {'id': 5040244005, 'qualifierId': 347}];cbjd834y2hdx5jr3bda1zz6ga;E. Centeno;;;cvbjrq3ymmwb2msnm5jeyjn6c;Out;;;;;;;;;;;;;;;;;;;;;1,0;538,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;0;0;63;47;Huntsville City;3827;DR;1,0
2689297611;539;1;2;63;51;4gymgvqmve0m2vh89v84tt3x0;1;19,4;0,0;2024-05-19T01:29:03.284Z;2024-05-19T01:29:05Z;[{'id': 5040244279, 'qualifierId': 56, 'value': 'Back'}, {'id': 5040244281, 'qualifierId': 140, 'value': '25.4'}, {'id': 5040244287, 'qualifierId': 213, 'value': '1.15'}, {'id': 5040244285, 'qualifierId': 212, 'value': '15.4'}, {'id': 5040244283, 'qualifierId': 141, 'value': '19.8'}, {'id': 5040244277, 'qualifierId': 107}];42zmyz1t6mqap5pyfqxiaadqs;F. Opande;;;cvbjrq3ymmwb2msnm5jeyjn6c;Pass;;;;;;;;;;19,8;;1,15;15,4;;25,4;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;25,4;19,8;;;;;;;0;0;63;51;Atlanta United II;3831;DR;1,0
2689297627;540;1;2;63;53;4gymgvqmve0m2vh89v84tt3x0;1;26,5;17,4;2024-05-19T01:29:05.700Z;2024-05-19T01:29:07Z;[{'id': 5040244347, 'qualifierId': 56, 'value': 'Back'}, {'id': 5040244357, 'qualifierId': 213, 'value': '5.67'}, {'id': 5040244351, 'qualifierId': 140, 'value': '37.4'}, {'id': 5040244355, 'qualifierId': 212, 'value': '14.0'}, {'id': 5040244353, 'qualifierId': 141, 'value': '5.5'}];5myzzter0uza8ro6hwbqxyntg;Sergi Oriol;;;cvbjrq3ymmwb2msnm5jeyjn6c;Pass;;;;;;;;;;5,5;;5,67;14,0;;37,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;37,4;5,5;;;;;;;0;0;63;53;Atlanta United II;3833;MC;1,0
2689297667;541;1;2;63;55;4gymgvqmve0m2vh89v84tt3x0;1;36,6;6,2;2024-05-19T01:29:07.429Z;2024-05-19T01:29:11Z;[{'id': 5040244593, 'qualifierId': 140, 'value': '14.7'}, {'id': 5040244591, 'qualifierId': 56, 'value': 'Back'}, {'id': 5040244597, 'qualifierId': 212, 'value': '24.8'}, {'id': 5040244595, 'qualifierId': 141, 'value': '19.8'}, {'id': 5040244599, 'qualifierId': 213, 'value': '2.76'}];dz7v9xfcwdvjioeyv4z54neqy;J. Bolanos;;;cvbjrq3ymmwb2msnm5jeyjn6c;Pass;;;;;;;;;;19,8;;2,76;24,8;;14,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;14,7;19,8;;;;;;;0;0;63;55;Atlanta United II;3835;FWR;1,0
