id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_Involved;value_Captain;value_TeamFormation;value_Resume;value_TeamKit;value_PlayerPosition;value_DirectionOfPlay;value_Length;value_Zone;value_KickOff;value_PassEndY;value_PassEndX;value_Angle;value_Launch;value_LongBall;value_HeadPass;value_DeletedEventType;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Defensive;value_OutOfPlay;value_TouchTypeClearance;value_DrivenCross;value_BlockedPass;value_Cross;value_RightFooted;value_Straight;value_BlockedCross;value_Left;value_Right;value_OutSwinger;value_CornerTaken;value_HighGkIntervention;value_HighClaim;value_LowGkIntervention;value_KeeperThrow;value_SwitchOfPlay;value_LeftFooted;value_Chipped;value_TakeOnOvertake;value_TakeOnSpace;value_TouchTypePass;value_RelatedEventId;value_GoalmouthZ;value_Blocked;value_GkX;value_LowCentre;value_BlockedX;value_BoxRight;value_GkY;value_BlockedY;value_GoalmouthY;value_Assisted;value_Deflection;value_RegularPlay;value_DefBlock;value_IntendedTackleTarget;value_Direct;value_Shove/Push;value_Foul;value_FreeKickTaken;value_LayOff;value_Handball;value_FlickOn;value_IntentionalAssist;value_Assist;value_BoxCentre;value_FirstTouch;value_HighCentre;value_Head;value_Collected;value_Hands;value_Standing;value_GoalShotGameClock;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_BoxLeft;value_GkYTimeOfGoal;value_LowRight;value_KeeperTouched;value_AttemptedTackle;value_ShirtPull/Holding;value_NotVisible;value_TouchTypeControl;value_ThrowInSetPiece;value_IndividualPlay;value_BigChance;value_CloseHigh;value_SmallBoxCentre;value_NextEventGoalKick;value_Low;value_GoalKick;value_FloatedCross;value_Overrun;value_OutOfBoxCentre;value_FastBreak;value_Weak;value_Caught;value_MediumGkIntervention;value_HighLeft;value_InSwinger;value_LastLine;value_LeadingToAttempt;value_RelatedError1Id;value_SmallBoxRight;value_FromCorner;value_NotAssisted;value_Diving;value_ParriedSafe;value_High;value_CloseLeft;value_Minutes;value_ThroughBall;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_OverhitCross;value_NotPastGoalLine;value_PlayersCaughtOffside;value_Indirect;value_InjuredPlayerId;value_Injury;value_DetailedPositionId;value_TacticalFoul;value_YellowCard;value_TimeWasting;value_RecklessOffence;value_GkHoof;value_SixYardBlocked;value_LowLeft;value_Argument;value_CloseRight;value_BoxDeepRight;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2679344923;351;1;1;28;11;cwnjxlibb02fuh0vwgvac6h45;1;30,3;94,7;2024-04-27T23:33:09.240Z;2024-04-27T23:33:13Z;[{'id': 4986121377, 'qualifierId': 1}, {'id': 4986121367, 'qualifierId': 141, 'value': '56.6'}, {'id': 4986121365, 'qualifierId': 140, 'value': '5.5'}, {'id': 4986121371, 'qualifierId': 213, 'value': '3.92'}, {'id': 4986121363, 'qualifierId': 56, 'value': 'Back'}, {'id': 4986121369, 'qualifierId': 212, 'value': '36.7'}];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;cfedqbo7swgejjxszdj49v28k;Pass;;;;;;;;;;36,7;;;56,6;5,5;3,92;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;5,5;56,6;;;;;;;0;0;28;11;Carolina Core;1691;DC;1,0
2679344963;352;1;1;28;15;cwnjxlibb02fuh0vwgvac6h45;1;7,1;52,4;2024-04-27T23:33:13.725Z;2024-04-28T03:57:33Z;[{'id': 4986121543, 'qualifierId': 213, 'value': '5.66'}, {'id': 4986121541, 'qualifierId': 212, 'value': '20.7'}, {'id': 4986121539, 'qualifierId': 141, 'value': '34.6'}, {'id': 4986121537, 'qualifierId': 140, 'value': '23.1'}, {'id': 4986121535, 'qualifierId': 56, 'value': 'Back'}];7jaa504py8qcx30a2p1vgn8d0;J. Antoine;;;cfedqbo7swgejjxszdj49v28k;Pass;;;;;;;;;;20,7;;;34,6;23,1;5,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;23,1;34,6;;;;;;;0;0;28;15;Carolina Core;1695;GK;1,0
2679344975;353;1;1;28;19;cwnjxlibb02fuh0vwgvac6h45;0;26,7;29,5;2024-04-27T23:33:17.328Z;2024-04-27T23:33:19Z;[{'id': 4986121607, 'qualifierId': 141, 'value': '10.6'}, {'id': 4986121605, 'qualifierId': 140, 'value': '44.8'}, {'id': 4986121603, 'qualifierId': 56, 'value': 'Back'}, {'id': 4986121611, 'qualifierId': 213, 'value': '5.69'}, {'id': 4986121609, 'qualifierId': 212, 'value': '22.9'}];cpbyoj822ivx6qrqbkun1zr3d;A. Prepeliţă;;;cfedqbo7swgejjxszdj49v28k;Pass;;;;;;;;;;22,9;;;10,6;44,8;5,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;44,8;10,6;;;;;;;0;0;28;19;Carolina Core;1699;DL;1,0
2679344979;241;8;1;28;21;2nnef9tr9g7m2s6n873qif95g;1;60,4;84,8;2024-04-27T23:33:19.679Z;2024-05-01T12:09:57Z;[{'id': 4986121617, 'qualifierId': 56, 'value': 'Left'}, {'id': 4995327685, 'qualifierId': 383}];ew25ktcp76pmryz5psl1ctlka;Y. Subah;;;cfedqbo7swgejjxszdj49v28k;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;0;0;28;21;Chattanooga;1701;ML;1,0
2679344993;242;49;1;28;22;2nnef9tr9g7m2s6n873qif95g;1;60,4;84,8;2024-04-27T23:33:20.023Z;2024-04-28T04:16:16Z;[];ew25ktcp76pmryz5psl1ctlka;Y. Subah;;;cfedqbo7swgejjxszdj49v28k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;0;0;28;22;Chattanooga;1702;ML;1,0
2679345047;243;1;1;28;25;2nnef9tr9g7m2s6n873qif95g;1;75,8;89,7;2024-04-27T23:33:23.510Z;2024-04-28T03:22:10Z;[{'id': 4986121935, 'qualifierId': 141, 'value': '76.1'}, {'id': 4986121937, 'qualifierId': 212, 'value': '11.9'}, {'id': 4986121939, 'qualifierId': 213, 'value': '4.03'}, {'id': 4986121931, 'qualifierId': 56, 'value': 'Center'}, {'id': 4986121933, 'qualifierId': 140, 'value': '68.6'}];ew25ktcp76pmryz5psl1ctlka;Y. Subah;;;cfedqbo7swgejjxszdj49v28k;Pass;;;;;;;;;;11,9;;;76,1;68,6;4,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;68,6;76,1;;;;;;;0;0;28;25;Chattanooga;1705;ML;1,0
2679345069;244;1;1;28;28;2nnef9tr9g7m2s6n873qif95g;1;64,1;61,7;2024-04-27T23:33:25.884Z;2024-04-27T23:33:27Z;[{'id': 4986122063, 'qualifierId': 212, 'value': '8.5'}, {'id': 4986122059, 'qualifierId': 140, 'value': '58.3'}, {'id': 4986122065, 'qualifierId': 213, 'value': '3.91'}, {'id': 4986122061, 'qualifierId': 141, 'value': '53.0'}, {'id': 4986122057, 'qualifierId': 56, 'value': 'Center'}];1nnd0b4qwlni7tqot2n2st4yy;O. Cisneros;;;cfedqbo7swgejjxszdj49v28k;Pass;;;;;;;;;;8,5;;;53,0;58,3;3,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;58,3;53,0;;;;;;;0;0;28;28;Chattanooga;1708;MC;1,0
2679345127;245;1;1;28;29;2nnef9tr9g7m2s6n873qif95g;1;56,4;55,4;2024-04-27T23:33:27.699Z;2024-04-27T23:33:32Z;[{'id': 4986122351, 'qualifierId': 140, 'value': '46.6'}, {'id': 4986122353, 'qualifierId': 141, 'value': '33.4'}, {'id': 4986122349, 'qualifierId': 56, 'value': 'Back'}, {'id': 4986122355, 'qualifierId': 212, 'value': '18.2'}, {'id': 4986122357, 'qualifierId': 213, 'value': '4.11'}];3jx1f1s8r150i6qo2juzooro4;F. Canete;;;cfedqbo7swgejjxszdj49v28k;Pass;;;;;;;;;;18,2;;;33,4;46,6;4,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;46,6;33,4;;;;;;;0;0;28;29;Chattanooga;1709;MC;1,0
2679345151;246;1;1;28;34;2nnef9tr9g7m2s6n873qif95g;1;46,5;33,3;2024-04-27T23:33:32.299Z;2024-04-27T23:33:34Z;[{'id': 4986122467, 'qualifierId': 140, 'value': '55.7'}, {'id': 4986122465, 'qualifierId': 56, 'value': 'Right'}, {'id': 4986122471, 'qualifierId': 212, 'value': '23.4'}, {'id': 4986122473, 'qualifierId': 213, 'value': '5.14'}, {'id': 4986122469, 'qualifierId': 141, 'value': '1.9'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;cfedqbo7swgejjxszdj49v28k;Pass;;;;;;;;;;23,4;;;1,9;55,7;5,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;55,7;1,9;;;;;;;0;0;28;34;Chattanooga;1714;DL;1,0
2679345159;247;1;1;28;36;2nnef9tr9g7m2s6n873qif95g;0;55,9;3,7;2024-04-27T23:33:34.525Z;2024-04-28T03:22:36Z;[{'id': 4986122543, 'qualifierId': 212, 'value': '3.6'}, {'id': 4986122541, 'qualifierId': 141, 'value': '5.3'}, {'id': 4986122539, 'qualifierId': 140, 'value': '59.2'}, {'id': 4986122545, 'qualifierId': 213, 'value': '0.30'}, {'id': 4986122537, 'qualifierId': 56, 'value': 'Right'}];7s32iecltoopsjddclg0ixzx0;C. Díaz;;;cfedqbo7swgejjxszdj49v28k;Pass;;;;;;;;;;3,6;;;5,3;59,2;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;59,2;5,3;;;;;;;0;0;28;36;Chattanooga;1716;DR;1,0
