id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_JerseyNumber;value_Resume;value_Captain;value_PlayerPosition;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_TeamKit;value_DirectionOfPlay;value_PassEndX;value_KickOff;value_Angle;value_PassEndY;value_Length;value_Zone;value_TouchTypeControl;value_OppositeRelatedEventId;value_TakeOnOvertake;value_Offensive;value_Defensive;value_DeletedEventType;value_IntendedTackleTarget;value_NextEventThrowIn;value_ThrowIn;value_LongBall;value_Chipped;value_TakeOnSpace;value_TouchTypeClearance;value_RightFooted;value_OutSwinger;value_Cross;value_OutOfPlay;value_Foul;value_AttemptedTackle;value_Shove/Push;value_Direct;value_FreeKickTaken;value_TouchTypePass;value_Launch;value_HeadPass;value_Left;value_CornerTaken;value_LeftFooted;value_FromCorner;value_BoxDeepRight;value_IndividualPlay;value_GoalmouthY;value_Strong;value_GoalmouthZ;value_GkY;value_CloseRight;value_NotAssisted;value_GkX;value_NextEventGoalKick;value_NotVisible;value_Low;value_GoalKick;value_BlockedPass;value_ThroughBall;value_Right;value_Head;value_LayOff;value_Unchallenged;value_FirstTouch;value_RegularPlay;value_BoxRight;value_LowGkIntervention;value_FlickOn;value_SwitchOfPlay;value_Assist;value_GoalShotGameClock;value_HitRightPost;value_LowRight;value_FollowsADribble;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_KeeperTouched;value_RelatedEventId;value_GkYTimeOfGoal;value_Assisted;value_BigChance;value_HitWoodwork;value_BoxDeepLeft;value_Deflection;value_BlockedX;value_SixYardBlocked;value_LowCentre;value_BoxCentre;value_Blocked;value_BlockedY;value_DefBlock;value_OutOfBoxCentre;value_Handball;value_High;value_FastBreak;value_SwerveLeft;value_ShirtPull/Holding;value_IntentionalAssist;value_InSwinger;value_SetPiece;value_MisHit;value_NotPastGoalLine;value_RefereeDelay;value_DrinksBreak;value_LowLeft;value_Diving;value_ParriedDanger;value_Hands;value_KeeperThrow;value_Defensive1V1;value_LeadingToGoal;value_1On1;value_RelatedError1Id;value_PlayersCaughtOffside;value_Indirect;value_RecklessOffence;value_YellowCard;value_ParriedSafe;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_PullBack;value_Sliding;value_Feet;value_CloseLeft;value_Volley;value_Overrun;value_LastLine;value_HighGkIntervention;value_SmallBoxCentre;value_MediumGkIntervention;value_AerialFoul;value_HighRight;value_BoxLeft;value_HighLeft;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2663327241;5;1;1;0;5;iiolvosiuokkrl5iuoxcjo4p;1;54,1;53,4;2024-03-25T02:03:42.803Z;2024-03-29T11:52:45Z;[{'id': 4899648851, 'qualifierId': 141, 'value': '42.3'}, {'id': 4899648853, 'qualifierId': 212, 'value': '7.7'}, {'id': 4899648849, 'qualifierId': 140, 'value': '55.6'}, {'id': 4899648855, 'qualifierId': 213, 'value': '4.92'}, {'id': 4899648847, 'qualifierId': 56, 'value': 'Center'}];etyqw24tl6zko0qarctyv6ane;R. Peña;;;bur0z0e84p8cgkn3sbc7s093o;Pass;;;;;;;;;;55,6;;4,92;42,3;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;55,6;42,3;;;;;;;0;0;0;5;Tacoma Defiance;5;AMC;1,0
2663327235;4;43;1;0;5;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-03-25T02:03:43.115Z;2024-03-29T11:52:20Z;[{'id': 4903294911, 'qualifierId': 144, 'value': '49'}];etyqw24tl6zko0qarctyv6ane;R. Peña;;;bur0z0e84p8cgkn3sbc7s093o;Deleted event;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;5;Tacoma Defiance;5;AMC;1,0
2664008529;868;49;1;0;5;iiolvosiuokkrl5iuoxcjo4p;1;58,6;35,7;2024-03-25T02:03:43.306Z;2024-03-29T11:52:53Z;[];6kfmf44wdx1btf9mwqdmo36z8;W. Frederick;;;bur0z0e84p8cgkn3sbc7s093o;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;5;Tacoma Defiance;5;MC;1,0
2663327247;6;1;1;0;7;iiolvosiuokkrl5iuoxcjo4p;1;59,3;26,4;2024-03-25T02:03:44.939Z;2024-03-25T02:03:50Z;[{'id': 4899648895, 'qualifierId': 141, 'value': '6.4'}, {'id': 4899648899, 'qualifierId': 213, 'value': '5.23'}, {'id': 4899648893, 'qualifierId': 140, 'value': '66.7'}, {'id': 4899648891, 'qualifierId': 56, 'value': 'Right'}, {'id': 4899648897, 'qualifierId': 212, 'value': '15.7'}];6kfmf44wdx1btf9mwqdmo36z8;W. Frederick;;;bur0z0e84p8cgkn3sbc7s093o;Pass;;;;;;;;;;66,7;;5,23;6,4;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;66,7;6,4;;;;;;;0;0;0;7;Tacoma Defiance;7;MC;1,0
2663327251;6;83;1;0;12;5icuo8utnztpsd9l03gdd68dl;0;24,8;96,3;2024-03-25T02:03:49.717Z;2024-03-25T02:08:42Z;[{'id': 4899651803, 'qualifierId': 399, 'value': '6hh057kb54ovy3lqxo5bvxlhw'}];7zr3gif60ntltgt3s5yi6qjca;T. Sousa;;;bur0z0e84p8cgkn3sbc7s093o;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;0;0;0;12;Colorado Rapids II;12;DC;1,0
2663327249;7;61;1;0;12;iiolvosiuokkrl5iuoxcjo4p;0;66,3;3,5;2024-03-25T02:03:50.170Z;2024-03-25T02:03:50Z;[{'id': 4899648903, 'qualifierId': 56, 'value': 'Right'}];6hh057kb54ovy3lqxo5bvxlhw;A. García;;;bur0z0e84p8cgkn3sbc7s093o;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;12;Tacoma Defiance;12;AMR;1,0
2663327259;7;5;1;0;13;5icuo8utnztpsd9l03gdd68dl;1;33,9;101,0;2024-03-25T02:03:50.763Z;2024-03-25T02:32:37Z;[{'id': 4899648945, 'qualifierId': 233, 'value': '8'}, {'id': 4899648943, 'qualifierId': 347}, {'id': 4899648941, 'qualifierId': 56, 'value': 'Back'}];7zr3gif60ntltgt3s5yi6qjca;T. Sousa;;;bur0z0e84p8cgkn3sbc7s093o;Out;;;;;;;;;;;;;;;;;8,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;0;0;0;13;Colorado Rapids II;13;DC;1,0
2663327253;8;5;1;0;13;iiolvosiuokkrl5iuoxcjo4p;0;66,1;-1,0;2024-03-25T02:03:50.763Z;2024-03-25T02:03:58Z;[{'id': 4899648909, 'qualifierId': 56, 'value': 'Right'}, {'id': 4899648911, 'qualifierId': 347}, {'id': 4899648967, 'qualifierId': 233, 'value': '7'}];6hh057kb54ovy3lqxo5bvxlhw;A. García;;;bur0z0e84p8cgkn3sbc7s093o;Out;;;;;;;;;;;;;;;;;7,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;13;Tacoma Defiance;13;AMR;1,0
2663327265;8;1;1;0;17;5icuo8utnztpsd9l03gdd68dl;1;32,2;100,0;2024-03-25T02:03:55.100Z;2024-03-29T11:54:42Z;[{'id': 4899648983, 'qualifierId': 107}, {'id': 4899648989, 'qualifierId': 141, 'value': '88.9'}, {'id': 4899648991, 'qualifierId': 212, 'value': '8.7'}, {'id': 4899648993, 'qualifierId': 213, 'value': '4.58'}, {'id': 4899648987, 'qualifierId': 140, 'value': '31.1'}, {'id': 4899648985, 'qualifierId': 56, 'value': 'Back'}];7zr3gif60ntltgt3s5yi6qjca;T. Sousa;;;bur0z0e84p8cgkn3sbc7s093o;Pass;;;;;;;;;;31,1;;4,58;88,9;8,7;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;31,1;88,9;;;;;;;0;0;0;17;Colorado Rapids II;17;DC;1,0
2664008837;977;1;1;0;18;5icuo8utnztpsd9l03gdd68dl;1;26,3;83,9;2024-03-25T02:03:55.969Z;2024-03-29T11:55:04Z;[{'id': 4903297185, 'qualifierId': 56, 'value': 'Back'}, {'id': 4903297187, 'qualifierId': 140, 'value': '23.1'}, {'id': 4903297193, 'qualifierId': 213, 'value': '4.58'}, {'id': 4903297191, 'qualifierId': 212, 'value': '25.1'}, {'id': 4903297189, 'qualifierId': 141, 'value': '47.3'}];7ajceczjsu9ci4nqv9gg2860a;F. Daroma;;;bur0z0e84p8cgkn3sbc7s093o;Pass;;;;;;;;;;23,1;;4,58;47,3;25,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;23,1;47,3;;;;;;;0;0;0;18;Colorado Rapids II;18;MC;1,0
