id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Captain;value_PlayerPosition;value_Involved;value_TeamFormation;value_Resume;value_TeamPlayerFormation;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndY;value_Zone;value_Angle;value_Length;value_PassEndX;value_Launch;value_LongBall;value_HeadPass;value_Chipped;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_IntendedTackleTarget;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_Direct;value_Foul;value_Shove/Push;value_Cross;value_FreeKickTaken;value_Assist;value_GoalmouthZ;value_BlockedX;value_RightFooted;value_Assisted;value_BlockedY;value_FirstTouch;value_SetPiece;value_RelatedEventId;value_GoalmouthY;value_LowLeft;value_OutOfBoxCentre;value_Hands;value_Standing;value_ParriedSafe;value_GkKickFromHands;value_VideoCoverageLost;value_NotVisible;value_GkX;value_GoalShotGameClock;value_GoalShotTimestamp;value_LowCentre;value_RegularPlay;value_GkY;value_NotAssisted;value_BoxCentre;value_AttemptedTackle;value_Blocked;value_FreeKick;value_IndividualPlay;value_DefBlock;value_NextEventGoalKick;value_Left;value_Right;value_CornerTaken;value_OutSwinger;value_IntentionalAssist;value_BigChance;value_Head;value_NotPastGoalLine;value_FromCorner;value_SwitchOfPlay;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_HitWoodwork;value_HitRightPost;value_LeftFooted;value_Diving;value_Collected;value_FlickOn;value_HighCentre;value_KeeperThrow;value_LayOff;value_BlockedPass;value_InSwinger;value_High;value_GoalKick;value_HighRight;value_RecklessOffence;value_YellowCard;value_Volley;value_Low;value_OverArm;value_CloseRightAndHigh;value_HighLeft;value_BlockedCross;value_Overrun;value_ShirtPull/Holding;value_BoxDeepRight;value_MisHit;value_SixYardBlocked;value_LowRight;value_SmallBoxRight;value_HighClaim;value_GkHoof;value_Penalty;value_PenaltyTakerId;value_CausingPlayer;value_ParriedDanger;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2704564357;29;49;1;44;7;7pmw399vh2v44cjle4fkklp1w;1;24,9;6,5;2024-07-29T10:50:08.438Z;2024-07-29T10:50:08Z;[];7yt2ddw0yntv9xq1hrv1jx05w;M. Dimareli;;;ecv3jlh1dqwad74cnlv1a2bro;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;44;7;Los Angeles II;2647;FWR;1,0
2704564365;30;1;1;44;8;7pmw399vh2v44cjle4fkklp1w;1;24,9;6,8;2024-07-29T10:50:08.767Z;2024-07-29T10:50:10Z;[{'id': 5124266903, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124266909, 'qualifierId': 212, 'value': '10.4'}, {'id': 5124266907, 'qualifierId': 141, 'value': '21.3'}, {'id': 5124266905, 'qualifierId': 140, 'value': '27.9'}, {'id': 5124266911, 'qualifierId': 213, 'value': '1.26'}];7yt2ddw0yntv9xq1hrv1jx05w;M. Dimareli;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;21,3;;1,26;10,4;27,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;27,9;21,3;;;;;;;;0;44;8;Los Angeles II;2648;FWR;1,0
2704564367;31;1;1;44;9;7pmw399vh2v44cjle4fkklp1w;1;27,9;21,3;2024-07-29T10:50:10.598Z;2024-07-29T10:50:11Z;[{'id': 5124266917, 'qualifierId': 140, 'value': '23.3'}, {'id': 5124266915, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124266923, 'qualifierId': 213, 'value': '2.39'}, {'id': 5124266919, 'qualifierId': 141, 'value': '28.0'}, {'id': 5124266921, 'qualifierId': 212, 'value': '6.6'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;28,0;;2,39;6,6;23,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;23,3;28,0;;;;;;;;0;44;9;Los Angeles II;2649;MC;1,0
2704564373;32;1;1;44;11;7pmw399vh2v44cjle4fkklp1w;1;23,9;28,0;2024-07-29T10:50:11.767Z;2024-07-29T11:18:35Z;[{'id': 5124266971, 'qualifierId': 213, 'value': '0.95'}, {'id': 5124266965, 'qualifierId': 140, 'value': '31.3'}, {'id': 5124266967, 'qualifierId': 141, 'value': '43.9'}, {'id': 5124266963, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124266969, 'qualifierId': 212, 'value': '13.3'}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;43,9;;0,95;13,3;31,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;31,3;43,9;;;;;;;;0;44;11;Los Angeles II;2651;MC;1,0
2704564379;33;1;1;44;13;7pmw399vh2v44cjle4fkklp1w;1;33,7;40,1;2024-07-29T10:50:13.727Z;2024-07-29T11:18:37Z;[{'id': 5124267007, 'qualifierId': 56, 'value': 'Right'}, {'id': 5124267009, 'qualifierId': 140, 'value': '53.3'}, {'id': 5124267011, 'qualifierId': 141, 'value': '4.4'}, {'id': 5124267015, 'qualifierId': 213, 'value': '5.42'}, {'id': 5124267013, 'qualifierId': 212, 'value': '31.8'}];bfsjxpmiflhdz2162ulqlo0lw;J. Valverde;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;4,4;;5,42;31,8;53,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;53,3;4,4;;;;;;;;0;44;13;Los Angeles II;2653;MC;1,0
2704564391;34;1;1;44;15;7pmw399vh2v44cjle4fkklp1w;1;52,8;5,0;2024-07-29T10:50:16.655Z;2024-07-29T10:50:21Z;[{'id': 5124267095, 'qualifierId': 141, 'value': '15.3'}, {'id': 5124267097, 'qualifierId': 212, 'value': '18.4'}, {'id': 5124267093, 'qualifierId': 140, 'value': '36.6'}, {'id': 5124267099, 'qualifierId': 213, 'value': '2.75'}, {'id': 5124267091, 'qualifierId': 56, 'value': 'Back'}];7yt2ddw0yntv9xq1hrv1jx05w;M. Dimareli;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;15,3;;2,75;18,4;36,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;36,6;15,3;;;;;;;;0;44;15;Los Angeles II;2655;FWR;1,0
2704564395;35;1;1;44;21;7pmw399vh2v44cjle4fkklp1w;1;38,3;18,2;2024-07-29T10:50:21.806Z;2024-07-29T10:50:23Z;[{'id': 5124267119, 'qualifierId': 141, 'value': '33.3'}, {'id': 5124267115, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124267123, 'qualifierId': 213, 'value': '1.92'}, {'id': 5124267117, 'qualifierId': 140, 'value': '34.7'}, {'id': 5124267121, 'qualifierId': 212, 'value': '10.9'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;33,3;;1,92;10,9;34,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;34,7;33,3;;;;;;;;0;44;21;Los Angeles II;2661;MC;1,0
2704564405;36;1;1;44;22;7pmw399vh2v44cjle4fkklp1w;1;35,7;38,3;2024-07-29T10:50:22.950Z;2024-07-29T11:18:47Z;[{'id': 5124267183, 'qualifierId': 140, 'value': '26.1'}, {'id': 5124267189, 'qualifierId': 213, 'value': '2.74'}, {'id': 5124267187, 'qualifierId': 212, 'value': '11.0'}, {'id': 5124267185, 'qualifierId': 141, 'value': '44.6'}, {'id': 5124267181, 'qualifierId': 56, 'value': 'Back'}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;44,6;;2,74;11,0;26,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;26,1;44,6;;;;;;;;0;44;22;Los Angeles II;2662;MC;1,0
2704564411;37;1;1;44;23;7pmw399vh2v44cjle4fkklp1w;1;26,1;49,3;2024-07-29T10:50:24.470Z;2024-07-29T11:18:50Z;[{'id': 5124267231, 'qualifierId': 212, 'value': '14.4'}, {'id': 5124267229, 'qualifierId': 141, 'value': '69.6'}, {'id': 5124267233, 'qualifierId': 213, 'value': '1.28'}, {'id': 5124267225, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124267227, 'qualifierId': 140, 'value': '30.0'}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;69,6;;1,28;14,4;30,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;30,0;69,6;;;;;;;;0;44;23;Los Angeles II;2663;DL;1,0
2704564421;38;1;1;44;27;7pmw399vh2v44cjle4fkklp1w;1;32,1;68,8;2024-07-29T10:50:28.102Z;2024-07-29T11:18:54Z;[{'id': 5124267301, 'qualifierId': 213, 'value': '4.11'}, {'id': 5124267295, 'qualifierId': 140, 'value': '24.1'}, {'id': 5124267297, 'qualifierId': 141, 'value': '50.7'}, {'id': 5124267299, 'qualifierId': 212, 'value': '14.9'}, {'id': 5124267293, 'qualifierId': 56, 'value': 'Back'}];48p3wcjai97tpt50ia7bi7ok4;J. Medina;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;50,7;;4,11;14,9;24,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;24,1;50,7;;;;;;;;0;44;27;Los Angeles II;2667;DC;1,0
