id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_TeamFormation;value_PlayerPosition;value_Involved;value_Captain;value_Resume;value_TeamKit;value_DirectionOfPlay;value_Angle;value_KickOff;value_Length;value_PassEndX;value_PassEndY;value_Zone;value_IntendedTackleTarget;value_ThroughBall;value_LowGkIntervention;value_KeeperThrow;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Chipped;value_TouchTypePass;value_LongBall;value_Launch;value_Defensive;value_Offensive;value_HeadPass;value_TouchTypeControl;value_TakeOnOvertake;value_TouchTypeClearance;value_OutOfPlay;value_Left;value_Right;value_InSwinger;value_CornerTaken;value_Cross;value_OverhitCross;value_LeftFooted;value_DeletedEventType;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnSpace;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_LayOff;value_RightFooted;value_OutSwinger;value_NotVisible;value_BlockedPass;value_SwitchOfPlay;value_Straight;value_FloatedCross;value_Volley;value_GoalmouthY;value_BlockedX;value_FirstTouch;value_BoxCentre;value_NotAssisted;value_HighCentre;value_MisHit;value_GoalmouthZ;value_BlockedY;value_RegularPlay;value_ParriedSafe;value_Reaching;value_HighGkIntervention;value_Hands;value_FlickOn;value_HighClaim;value_MediumGkIntervention;value_PullBack;value_ShirtPull/Holding;value_Overrun;value_PlayersCaughtOffside;value_Indirect;value_BlockedCross;value_RelatedEventId;value_YellowCard;value_RecklessOffence;value_Assist;value_IntentionalAssist;value_GkY;value_GkX;value_BoxLeft;value_NotPastGoalLine;value_Assisted;value_SetPiece;value_Head;value_OverArm;value_High;value_Minutes;value_HighLeft;value_FromCorner;value_Standing;value_Collected;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_IndividualPlay;value_LowLeft;value_OutOfBoxCentre;value_Blocked;value_DefBlock;value_BoxRight;value_LowRight;value_GoalShotGameClock;value_GkXTimeOfGoal;value_SmallBoxRight;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_CloseHigh;value_SmallBoxCentre;value_BigChance;value_LowCentre;value_LeadingToGoal;value_RelatedError1Id;value_DrivenCross;value_OtherObstacle;value_VideoCoverageLost;value_CloseLeft;value_Shove/Push;value_RedCard;value_ViolentConduct;value_GkHoof;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2728613259;526;43;2;73;37;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-09-30T02:35:07.864Z;2024-09-30T02:35:14Z;[{'id': 5256357811, 'qualifierId': 144, 'value': '5'}, {'id': 5256357765, 'qualifierId': 233, 'value': '697'}, {'id': 5256357705, 'qualifierId': 346, 'value': '0'}, {'id': 5256357703, 'qualifierId': 56, 'value': 'Left'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;imexd1x47p0kt9dpkw6qg9hw;Deleted event;;;;;;;;;;;;;;;;;;;;;697,0;;;;;;;;;;;;;;;;;;;;5,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;73;37;Real Monarchs;4417;DC;1,0
2728613263;696;43;2;73;37;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-09-30T02:35:08.372Z;2024-09-30T02:39:07Z;[{'id': 5256362315, 'qualifierId': 144, 'value': '56'}, {'id': 5256357723, 'qualifierId': 56, 'value': 'Back'}];9p86jgzpsokma52ifxswk4woa;J. Orozco;;;imexd1x47p0kt9dpkw6qg9hw;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;73;37;Portland Timbers II;4417;DR;1,0
2728613297;528;3;2;73;38;5ou8b446l1sl8frblkz3xi17g;1;94,0;82,7;2024-09-30T02:35:08.669Z;2024-10-04T13:11:35Z;[{'id': 5256380741, 'qualifierId': 286}, {'id': 5256380791, 'qualifierId': 233, 'value': '699'}, {'id': 5256357897, 'qualifierId': 56, 'value': 'Left'}, {'id': 5263899235, 'qualifierId': 464}];c88etxtac9g49m3usj08lm1hw;M. Eisenberg;;;imexd1x47p0kt9dpkw6qg9hw;Take On;;;;;;;;;;;;;;;;;;;;;699,0;;;;;;;1,0;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;73;38;Real Monarchs;4418;Sub;1,0
2728613275;699;45;2;73;38;cbip96wzs3jc2xadoluhhxotl;0;6,0;17,3;2024-09-30T02:35:08.669Z;2024-10-04T13:11:35Z;[{'id': 5256380693, 'qualifierId': 285}, {'id': 5256380691, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256380795, 'qualifierId': 233, 'value': '528'}];9p86jgzpsokma52ifxswk4woa;J. Orozco;;;imexd1x47p0kt9dpkw6qg9hw;Challenge;;;;;;;;;;;;;;;;;;;;;528,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;73;38;Portland Timbers II;4418;DR;1,0
2728613269;697;43;2;73;38;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-09-30T02:35:08.820Z;2024-09-30T02:35:23Z;[{'id': 5256357759, 'qualifierId': 346, 'value': '0'}, {'id': 5256357757, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256357937, 'qualifierId': 144, 'value': '5'}];9p86jgzpsokma52ifxswk4woa;J. Orozco;;;imexd1x47p0kt9dpkw6qg9hw;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;73;38;Portland Timbers II;4418;DR;1,0
2728616563;682;1;2;73;40;5ou8b446l1sl8frblkz3xi17g;1;92,9;83,5;2024-09-30T02:35:10.592Z;2024-09-30T03:01:41Z;[{'id': 5256381153, 'qualifierId': 140, 'value': '89.5'}, {'id': 5256381159, 'qualifierId': 213, 'value': '3.74'}, {'id': 5256381157, 'qualifierId': 212, 'value': '4.3'}, {'id': 5256381151, 'qualifierId': 56, 'value': 'Left'}, {'id': 5256381155, 'qualifierId': 141, 'value': '79.9'}];c88etxtac9g49m3usj08lm1hw;M. Eisenberg;;;imexd1x47p0kt9dpkw6qg9hw;Pass;;;;;;;;;;3,74;;4,3;89,5;79,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;89,5;79,9;;;;;;;0;0;73;40;Real Monarchs;4420;Sub;1,0
2728613271;698;43;2;73;40;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-09-30T02:35:11.125Z;2024-09-30T02:35:21Z;[{'id': 5256357769, 'qualifierId': 124, 'value': '0'}, {'id': 5256357771, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256357775, 'qualifierId': 141, 'value': '11.6'}, {'id': 5256357773, 'qualifierId': 140, 'value': '11.5'}, {'id': 5256357917, 'qualifierId': 144, 'value': '1'}, {'id': 5256357777, 'qualifierId': 212, 'value': '9.3'}, {'id': 5256357781, 'qualifierId': 74, 'value': '0'}, {'id': 5256357779, 'qualifierId': 213, 'value': '0.10'}];9p86jgzpsokma52ifxswk4woa;J. Orozco;;;imexd1x47p0kt9dpkw6qg9hw;Deleted event;;;;;;;;;;0,1;;9,3;11,5;11,6;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;11,5;11,6;;;;;;;0;0;73;40;Portland Timbers II;4420;DR;1,0
2728616565;683;61;2;73;41;5ou8b446l1sl8frblkz3xi17g;0;85,8;75,3;2024-09-30T02:35:11.592Z;2024-09-30T03:01:41Z;[{'id': 5256381163, 'qualifierId': 56, 'value': 'Center'}];6zolwstla33ppx84k1o2v8rv8;C. Mendoza;;;imexd1x47p0kt9dpkw6qg9hw;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;73;41;Real Monarchs;4421;Sub;1,0
2728616613;684;3;2;73;42;5ou8b446l1sl8frblkz3xi17g;0;87,6;74,6;2024-09-30T02:35:13.591Z;2024-10-04T12:30:15Z;[{'id': 5263899411, 'qualifierId': 464}, {'id': 5256381519, 'qualifierId': 233, 'value': '860'}, {'id': 5256381409, 'qualifierId': 286}, {'id': 5256381407, 'qualifierId': 56, 'value': 'Center'}];6zolwstla33ppx84k1o2v8rv8;C. Mendoza;;;imexd1x47p0kt9dpkw6qg9hw;Take On;;;;;;;;;;;;;;;;;;;;;860,0;;;;;;;1,0;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;73;42;Real Monarchs;4422;Sub;1,0
2728616607;860;7;2;73;43;cbip96wzs3jc2xadoluhhxotl;1;12,4;25,4;2024-09-30T02:35:13.592Z;2024-10-04T12:30:21Z;[{'id': 5256381511, 'qualifierId': 233, 'value': '684'}, {'id': 5256381373, 'qualifierId': 56, 'value': 'Back'}, {'id': 5263899477, 'qualifierId': 383}, {'id': 5256381375, 'qualifierId': 285}];tw82u87mw6kggtjblt1hhdzo;A. Hezarkhani;;;imexd1x47p0kt9dpkw6qg9hw;Tackle;;;;;;;;;;;;;;;;;;;;;684,0;;;;;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;73;43;Portland Timbers II;4423;Sub;1,0
