id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamPlayerFormation;value_TeamFormation;value_Involved;value_TeamKit;value_Captain;value_JerseyNumber;value_Resume;value_DirectionOfPlay;value_Zone;value_Length;value_PassEndX;value_Tap;value_Angle;value_PassEndY;value_KickOff;value_LongBall;value_SwitchOfPlay;value_Chipped;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_DeletedEventType;value_Defensive;value_HeadPass;value_Launch;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_InSwinger;value_RightFooted;value_Cross;value_FlickOn;value_Head;value_OutOfPlay;value_TakeOnSpace;value_IntendedTackleTarget;value_LeftFooted;value_DrivenCross;value_Straight;value_LowGkIntervention;value_KeeperThrow;value_PlayersCaughtOffside;value_Indirect;value_NextEventGoalKick;value_Low;value_GoalKick;value_TouchTypeControl;value_LayOff;value_NotVisible;value_TouchTypePass;value_OutSwinger;value_HighGkIntervention;value_Injury;value_InjuredPlayerId;value_RelatedEventId;value_BlockedPass;value_ShirtPull/Holding;value_MediumGkIntervention;value_OverArm;value_TakeOnOvertake;value_OtherObstacle;value_BallHitsReferee;value_LeadingToGoal;value_GoalShotGameClock;value_HitWoodwork;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_RegularPlay;value_FantasyAssistType;value_GkYTimeOfGoal;value_SmallBoxCentre;value_FantasyAssistId;value_BigChance;value_GkX;value_FirstTouch;value_FantasyAssistedBy;value_HighCentre;value_HitBar;value_GoalmouthY;value_FantasyAssistTeam;value_GoalmouthZ;value_NotAssisted;value_GkY;value_IntentionalAssist;value_Assist;value_BoxCentre;value_Assisted;value_Right;value_Left;value_CornerTaken;value_TouchTypeClearance;value_BlockedCross;value_BlockedX;value_Blocked;value_LowCentre;value_BlockedY;value_DefBlock;value_FromCorner;value_OutOfBoxCentre;value_HighLeft;value_Volley;value_IndividualPlay;value_Overrun;value_GkChallenge;value_Deflection;value_HighRight;value_YellowCard;value_ExcessiveCelebration;value_GkKickFromHands;value_HighClaim;value_Minutes;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_NotPastGoalLine;value_OutOfBoxDeepRight;value_High;value_SixYardBlocked;value_LowRight;value_CloseHigh;value_CloseLeft;value_BoxRight;value_Hands;value_Diving;value_Collected;value_Shove/Push;value_LowLeft;value_TacticalFoul;value_SetPiece;value_Handball;value_RecklessOffence;value_AdvantagePlayed;value_ParriedDanger;value_ThroughBall;value_PullBack;value_Feet;value_Stooping;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2743164543;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-11-02T21:17:09.003Z;2024-11-02T22:03:26Z;[{'id': 5335897145, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5335897155, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5335897151, 'qualifierId': 130, 'value': '3'}, {'id': 5335897141, 'qualifierId': 30, 'value': '2y9o7d8tm1f8fnp6jewxzifis, 872ifpo3qufi9vv9vy7ty6uj8, 2qz3ojbfedl8psp1tvq0183ro, 993vihjmsn70q9w237fatzgbu, 3h4x6eh6zkcaww4g6rhkwpbf8, a3qa9kw3vbh8nu5mgns92czro, 45v94x6b8g7n4xa3lsfdp6pzo, 20wmdzih6b1t0ekt1v2qd4b2s, ngmdu10fjli45jvddeljv8yc, 9j3va21w5i9ypf8qmt4g1vggk, 7bodno8j3qjiqp9wy8kobwmqc, 7nd2w9ipveb6nfo413i8focus, 5aszabja459117mqykvfpajh0, cbpm8k301adrmft5fd0kaeiuh, 434xf7moiduhzy9ivp7jxr10, 15v2azulwhof0p216i7bjp250, 1ceqwz4ozqi6ft5l4hf5a04r8, cjhjwaelyypl3ca9gpzu61vys, d4spt2529fmys8d26x61lk36c, sqm6jwnogmzp7u7rsv3rtel0'}, {'id': 5336150457, 'qualifierId': 197, 'value': '23483'}, {'id': 5335897157, 'qualifierId': 194, 'value': '2qz3ojbfedl8psp1tvq0183ro'}, {'id': 5335897147, 'qualifierId': 59, 'value': '76, 58, 39, 24, 44, 29, 41, 6, 35, 77, 56, 32, 42, 88, 55, 30, 57, 38, 47, 62'}, {'id': 5335897161, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;e5v6i6d81tkksrc3ypvpa37dg;Team set up;;;3,0;;23483,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;0;0;Columbus Crew II;0;;
2743164619;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-11-02T21:17:12.273Z;2024-11-02T22:47:52Z;[{'id': 5335897509, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5335897495, 'qualifierId': 30, 'value': '9bn2zid7u305xii6alm8a58us, 58w3qcq1xrkpq5f9miuxp4ys4, a12t1zv0y8gzzf6p3jrotkoic, ba9m1xd2b3b2zvuuogn4uxkwk, agw4ksz62ddb0q7h7lon4na0a, bezle40rjwnkdskjbf9yg4sq2, cc7auv8d89ohifqg7qwz62mwa, 37zynr7fwzqg4c9w5ydefywyy, xxu2xv2n6f5d51ksa8z4rv2s, dgosg1mymhuajg0rz2ts6alpm, e0pkyzm6eqzlrxme33k7dwgt0, 79606fy6lyfs1h12645q4shzo, dyv4gls8evw1fkei1zofev21g, 9jy9vyn7y1bomsbjhjujynb4k, 5s2xdtggwprul1m02vjs3nw9g, 9elhnfsovx9efu5f92mkkls7o, 4nvz6yrxluelbpsjavcjtgnx0, 290iohuheoqdrdocbg25ipgk4, 3gtqm8npkg5prbfnvqxq92dm2'}, {'id': 5336150253, 'qualifierId': 197, 'value': '14907'}, {'id': 5335897507, 'qualifierId': 194, 'value': 'bezle40rjwnkdskjbf9yg4sq2'}, {'id': 5335897503, 'qualifierId': 130, 'value': '13'}, {'id': 5335897501, 'qualifierId': 59, 'value': '13, 17, 45, 5, 24, 12, 2, 10, 9, 18, 52, 11, 16, 20, 60, 6, 49, 43, 7'}, {'id': 5335897505, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5335897499, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;e5v6i6d81tkksrc3ypvpa37dg;Team set up;;;13,0;;14907,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2743211921;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-11-02T22:03:55.340Z;2024-11-02T22:03:55Z;[{'id': 5336151527, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;e5v6i6d81tkksrc3ypvpa37dg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2743211923;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-11-02T22:03:55.340Z;2024-11-06T05:09:04Z;[{'id': 5336151533, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;e5v6i6d81tkksrc3ypvpa37dg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;0;0;Columbus Crew II;0;;
2743211933;3;1;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;49,9;49,7;2024-11-02T22:03:55.341Z;2024-11-02T22:03:57Z;[{'id': 5336151579, 'qualifierId': 56, 'value': 'Back'}, {'id': 5336151585, 'qualifierId': 212, 'value': '7.8'}, {'id': 5336151581, 'qualifierId': 140, 'value': '43.3'}, {'id': 5336151591, 'qualifierId': 278}, {'id': 5336151587, 'qualifierId': 213, 'value': '3.61'}, {'id': 5336151583, 'qualifierId': 141, 'value': '44.5'}, {'id': 5336151589, 'qualifierId': 279, 'value': 'S'}];xxu2xv2n6f5d51ksa8z4rv2s;J. Da;;;e5v6i6d81tkksrc3ypvpa37dg;Pass;;;;;;;;;;;7,8;43,3;1,0;3,61;44,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;43,3;44,5;;;;;;;0;0;0;0;Philadelphia Union II;0;FW;1,0
2743211953;4;1;1;0;2;5b4ccd62yeeqdl2qk6jzsmjv8;1;43,3;44,5;2024-11-02T22:03:57.402Z;2024-11-02T22:03:59Z;[{'id': 5336151649, 'qualifierId': 141, 'value': '77.4'}, {'id': 5336151645, 'qualifierId': 56, 'value': 'Back'}, {'id': 5336151651, 'qualifierId': 212, 'value': '25.9'}, {'id': 5336151653, 'qualifierId': 213, 'value': '2.10'}, {'id': 5336151647, 'qualifierId': 140, 'value': '30.9'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;e5v6i6d81tkksrc3ypvpa37dg;Pass;;;;;;;;;;;25,9;30,9;;2,1;77,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;30,9;77,4;;;;;;;0;0;0;2;Philadelphia Union II;2;MC;1,0
2743211993;5;1;1;0;4;5b4ccd62yeeqdl2qk6jzsmjv8;0;33,5;77,6;2024-11-02T22:03:59.531Z;2024-11-02T22:04:04Z;[{'id': 5336151853, 'qualifierId': 1}, {'id': 5336151843, 'qualifierId': 56, 'value': 'Right'}, {'id': 5336151847, 'qualifierId': 141, 'value': '0.0'}, {'id': 5336151845, 'qualifierId': 140, 'value': '71.4'}, {'id': 5336151851, 'qualifierId': 213, 'value': '5.35'}, {'id': 5336151841, 'qualifierId': 196}, {'id': 5336151849, 'qualifierId': 212, 'value': '66.8'}, {'id': 5336151839, 'qualifierId': 155}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;e5v6i6d81tkksrc3ypvpa37dg;Pass;;;;;;;;;;;66,8;71,4;;5,35;0,0;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;71,4;0,0;;;;;;;0;0;0;4;Philadelphia Union II;4;DC;1,0
2743212085;3;5;1;0;8;1zgjjyruyufrkh4xjvryqsb1i;1;28,3;101,4;2024-11-02T22:04:03.980Z;2024-11-02T23:06:39Z;[{'id': 5336152199, 'qualifierId': 56, 'value': 'Back'}, {'id': 5336152201, 'qualifierId': 347}, {'id': 5336152221, 'qualifierId': 233, 'value': '6'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;e5v6i6d81tkksrc3ypvpa37dg;Out;;;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;0;8;Columbus Crew II;8;DC;1,0
2743211997;6;5;1;0;8;5b4ccd62yeeqdl2qk6jzsmjv8;0;71,7;-1,4;2024-11-02T22:04:03.980Z;2024-11-02T23:06:39Z;[{'id': 5336151861, 'qualifierId': 347}, {'id': 5336151859, 'qualifierId': 56, 'value': 'Right'}, {'id': 5336152229, 'qualifierId': 233, 'value': '3'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;e5v6i6d81tkksrc3ypvpa37dg;Out;;;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;8;Philadelphia Union II;8;DC;1,0
2743212113;4;1;1;0;15;1zgjjyruyufrkh4xjvryqsb1i;0;31,0;100,0;2024-11-02T22:04:10.413Z;2024-11-02T22:04:15Z;[{'id': 5336152329, 'qualifierId': 140, 'value': '43.7'}, {'id': 5336152333, 'qualifierId': 212, 'value': '20.1'}, {'id': 5336152327, 'qualifierId': 56, 'value': 'Back'}, {'id': 5336152331, 'qualifierId': 141, 'value': '79.2'}, {'id': 5336152325, 'qualifierId': 107}, {'id': 5336152335, 'qualifierId': 213, 'value': '5.44'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;e5v6i6d81tkksrc3ypvpa37dg;Pass;;;;;;;;;;;20,1;43,7;;5,44;79,2;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;43,7;79,2;;;;;;;0;0;0;15;Columbus Crew II;15;DC;1,0
2743212123;7;43;1;0;19;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-11-02T22:04:14.536Z;2024-11-06T05:48:19Z;[{'id': 5336152375, 'qualifierId': 56, 'value': 'Right'}, {'id': 5336152379, 'qualifierId': 286, 'value': '0'}, {'id': 5345155599, 'qualifierId': 144, 'value': '44'}];58w3qcq1xrkpq5f9miuxp4ys4;B. Adu-Gyamfi;;;e5v6i6d81tkksrc3ypvpa37dg;Deleted event;;;;;;;;;;;;;;;;;;;;;;;0,0;44,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;19;Philadelphia Union II;19;DMR;1,0
2743212119;5;43;1;0;19;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-11-02T22:04:14.537Z;2024-11-06T05:48:18Z;[{'id': 5336152449, 'qualifierId': 233, 'value': '7'}, {'id': 5336152359, 'qualifierId': 285, 'value': '0'}, {'id': 5336152357, 'qualifierId': 56, 'value': 'Back'}, {'id': 5345155587, 'qualifierId': 144, 'value': '44'}];9j3va21w5i9ypf8qmt4g1vggk;E. Davis;;;e5v6i6d81tkksrc3ypvpa37dg;Deleted event;;;;;;;;;;;;;;;;;;;;;7,0;;;44,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;0;19;Columbus Crew II;19;FW;1,0
2743212133;8;1;1;0;19;5b4ccd62yeeqdl2qk6jzsmjv8;0;53,9;20,3;2024-11-02T22:04:15.195Z;2024-11-06T05:48:15Z;[{'id': 5336152423, 'qualifierId': 213, 'value': '0.27'}, {'id': 5336152415, 'qualifierId': 56, 'value': 'Center'}, {'id': 5336152413, 'qualifierId': 3}, {'id': 5336152421, 'qualifierId': 212, 'value': '9.7'}, {'id': 5336152419, 'qualifierId': 141, 'value': '24.1'}, {'id': 5336152417, 'qualifierId': 140, 'value': '62.8'}];agw4ksz62ddb0q7h7lon4na0a;A. Keita;;;e5v6i6d81tkksrc3ypvpa37dg;Pass;;;;;;;;;;;9,7;62,8;;0,27;24,1;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;62,8;24,1;;;;;;;0;0;0;19;Philadelphia Union II;19;DC;1,0
2743212147;6;61;1;0;20;1zgjjyruyufrkh4xjvryqsb1i;0;40,2;61,7;2024-11-02T22:04:16.223Z;2024-11-02T22:04:20Z;[{'id': 5336152477, 'qualifierId': 56, 'value': 'Back'}];993vihjmsn70q9w237fatzgbu;N. Pariano;;;e5v6i6d81tkksrc3ypvpa37dg;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;0;20;Columbus Crew II;20;DMC;1,0
2744863659;898;1;1;0;21;5b4ccd62yeeqdl2qk6jzsmjv8;1;61,0;30,3;2024-11-02T22:04:17.175Z;2024-11-06T05:51:00Z;[{'id': 5345156735, 'qualifierId': 213, 'value': '1.21'}, {'id': 5345156731, 'qualifierId': 141, 'value': '55.9'}, {'id': 5345156733, 'qualifierId': 212, 'value': '18.6'}, {'id': 5345156729, 'qualifierId': 140, 'value': '67.3'}, {'id': 5345156727, 'qualifierId': 56, 'value': 'Center'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;e5v6i6d81tkksrc3ypvpa37dg;Pass;;;;;;;;;;;18,6;67,3;;1,21;55,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;67,3;55,9;;;;;;;0;0;0;21;Philadelphia Union II;21;MC;1,0
2743212151;9;49;1;0;22;5b4ccd62yeeqdl2qk6jzsmjv8;1;62,2;33,7;2024-11-02T22:04:17.754Z;2024-11-06T05:51:15Z;[];dgosg1mymhuajg0rz2ts6alpm;G. Rayo;;;e5v6i6d81tkksrc3ypvpa37dg;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;22;Philadelphia Union II;22;FWR;1,0
