id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_TeamKit;value_Resume;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_JerseyNumber;value_Captain;value_PlayerPosition;value_DirectionOfPlay;value_Angle;value_KickOff;value_PassEndX;value_PassEndY;value_Zone;value_Length;value_LongBall;value_Chipped;value_Launch;value_LayOff;value_TouchTypePass;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_TakeOnSpace;value_Defensive;value_DeletedEventType;value_HeadPass;value_IntendedTackleTarget;value_TouchTypeControl;value_TakeOnOvertake;value_OutOfPlay;value_LowGkIntervention;value_KeeperThrow;value_TouchTypeClearance;value_BlockedPass;value_Head;value_Assist;value_IntentionalAssist;value_GoalmouthZ;value_LowRight;value_RegularPlay;value_GoalmouthY;value_Assisted;value_FirstTouch;value_BoxCentre;value_RelatedEventId;value_BlockedX;value_1On1;value_BlockedY;value_RightFooted;value_BigChance;value_Feet;value_Sliding;value_ParriedDanger;value_NextEventGoalKick;value_Low;value_NotVisible;value_GoalKick;value_OutSwinger;value_Cross;value_Weak;value_OtherBodyPart;value_LowLeft;value_Diving;value_Hands;value_Collected;value_IndividualPlay;value_LowCentre;value_OutOfBoxCentre;value_ParriedSafe;value_MediumGkIntervention;value_Left;value_LeftFooted;value_CornerTaken;value_Overrun;value_SwitchOfPlay;value_High;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_InSwinger;value_HighGkIntervention;value_Handball;value_ThroughBall;value_FastBreak;value_BoxLeft;value_HighCentre;value_Volley;value_NotAssisted;value_OutOfBoxDeepLeft;value_GkY;value_GkX;value_CloseHigh;value_Shove/Push;value_PlayersCaughtOffside;value_Indirect;value_FairPlay;value_FlickOn;value_AerialFoul;value_OverArm;value_Blocked;value_FreeKick;value_ByWall;value_DefBlock;value_PullBack;value_CloseLeft;value_Stooping;value_GkKickFromHands;value_BoxRight;value_MisHit;value_Right;value_InjuredPlayerId;value_Injury;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Minutes;value_Dissent;value_YellowCard;value_Unchallenged;value_EndType;value_Tactical;value_BlockedClearance;value_CloseRight;value_Standing;value_BlockByHand;value_Penalty;value_PenaltyTakerId;value_CausingPlayer;value_FantasyAssistId;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GkYTimeOfGoal;value_Scored;value_GkHoof;value_HighRight;value_SwerveLeft;value_ShirtPull/Holding;value_SmallBoxLeft;value_NotPastGoalLine;value_TacticalFoul;value_SecondYellow;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2670749511;519;1;2;51;51;4g68p0t2f5jzhzfr67i2rj1ex;1;64,7;32,5;2024-04-11T00:48:48.781Z;2024-04-11T00:48:52Z;[{'id': 4939708421, 'qualifierId': 140, 'value': '81.2'}, {'id': 4939708423, 'qualifierId': 141, 'value': '17.4'}, {'id': 4939708417, 'qualifierId': 157}, {'id': 4939708419, 'qualifierId': 56, 'value': 'Right'}, {'id': 4939708425, 'qualifierId': 212, 'value': '20.1'}, {'id': 4939708427, 'qualifierId': 213, 'value': '5.75'}, {'id': 4939708429, 'qualifierId': 1}];o3gftw0hatp1r62ynjmlaaui;D. Sullivan;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;5,75;;81,2;17,4;;20,1;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;81,2;17,4;;;;;;;;0;51;51;New York City II;3111;Sub;1,0
2670749517;520;3;2;51;55;4g68p0t2f5jzhzfr67i2rj1ex;1;88,0;13,4;2024-04-11T00:48:52.178Z;2024-04-16T17:28:25Z;[{'id': 4939708441, 'qualifierId': 56, 'value': 'Right'}, {'id': 4939708443, 'qualifierId': 286}, {'id': 4956369291, 'qualifierId': 465}, {'id': 4939708463, 'qualifierId': 233, 'value': '535'}];a79oz5xhvq7gz2k2j20sa02dw;R. Donkor;;c3p48vu4u9p0rjcc9bd5rl3x0;Take On;;;;;;;;;;;;;;;;;;;;;;535,0;;1,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;51;55;New York City II;3115;MC;1,0
2670749515;535;45;2;51;55;6ddsx316t3j0z6nolrky9k4r8;0;12,0;86,6;2024-04-11T00:48:52.178Z;2024-04-16T18:56:01Z;[{'id': 4956499147, 'qualifierId': 233, 'value': '520'}, {'id': 4939708439, 'qualifierId': 285}, {'id': 4939708437, 'qualifierId': 56, 'value': 'Back'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;c3p48vu4u9p0rjcc9bd5rl3x0;Challenge;;;;;;;;;;;;;;;;;;;;;;520,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;51;55;New York RB II;3115;DC;1,0
2670749525;521;1;2;51;57;4g68p0t2f5jzhzfr67i2rj1ex;0;90,2;23,3;2024-04-11T00:48:54.591Z;2024-04-11T00:48:55Z;[{'id': 4939708497, 'qualifierId': 140, 'value': '90.2'}, {'id': 4939708499, 'qualifierId': 141, 'value': '35.4'}, {'id': 4939708501, 'qualifierId': 212, 'value': '8.2'}, {'id': 4939708495, 'qualifierId': 56, 'value': 'Center'}, {'id': 4939708503, 'qualifierId': 213, 'value': '1.57'}];a79oz5xhvq7gz2k2j20sa02dw;R. Donkor;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;1,57;;90,2;35,4;;8,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;90,2;35,4;;;;;;;;0;51;57;New York City II;3117;MC;1,0
2670749531;536;12;2;52;0;6ddsx316t3j0z6nolrky9k4r8;1;9,9;66,3;2024-04-11T00:48:57.154Z;2024-04-11T00:49:16Z;[{'id': 4939708533, 'qualifierId': 213, 'value': '0.63'}, {'id': 4939708529, 'qualifierId': 141, 'value': '82.9'}, {'id': 4939708527, 'qualifierId': 140, 'value': '24.6'}, {'id': 4939708531, 'qualifierId': 212, 'value': '19.1'}, {'id': 4939708525, 'qualifierId': 56, 'value': 'Back'}];duj699i9620tuf3ii9z06bqsq;P. Elias;;c3p48vu4u9p0rjcc9bd5rl3x0;Clearance;;;;;;;;;;0,63;;24,6;82,9;;19,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;24,6;82,9;;;;;;;;0;52;0;New York RB II;3120;MC;1,0
2670749539;522;1;2;52;1;4g68p0t2f5jzhzfr67i2rj1ex;1;64,3;19,8;2024-04-11T00:48:58.981Z;2024-04-11T00:49:02Z;[{'id': 4939708603, 'qualifierId': 213, 'value': '3.10'}, {'id': 4939708597, 'qualifierId': 140, 'value': '52.9'}, {'id': 4939708599, 'qualifierId': 141, 'value': '20.6'}, {'id': 4939708601, 'qualifierId': 212, 'value': '12.0'}, {'id': 4939708595, 'qualifierId': 56, 'value': 'Right'}];o3gftw0hatp1r62ynjmlaaui;D. Sullivan;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;3,1;;52,9;20,6;;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;52,9;20,6;;;;;;;;0;52;1;New York City II;3121;Sub;1,0
2670749555;523;1;2;52;5;4g68p0t2f5jzhzfr67i2rj1ex;1;54,1;21,2;2024-04-11T00:49:02.433Z;2024-04-11T00:49:05Z;[{'id': 4939708671, 'qualifierId': 212, 'value': '9.7'}, {'id': 4939708665, 'qualifierId': 56, 'value': 'Center'}, {'id': 4939708673, 'qualifierId': 213, 'value': '0.79'}, {'id': 4939708669, 'qualifierId': 141, 'value': '31.3'}, {'id': 4939708667, 'qualifierId': 140, 'value': '60.6'}];e2tuar1frliervcr2mnmvfspg;A. O'Connor;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;0,79;;60,6;31,3;;9,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;60,6;31,3;;;;;;;;0;52;5;New York City II;3125;DL;1,0
2670749569;524;1;2;52;7;4g68p0t2f5jzhzfr67i2rj1ex;1;62,3;23,6;2024-04-11T00:49:04.870Z;2024-04-11T00:49:07Z;[{'id': 4939708735, 'qualifierId': 140, 'value': '68.6'}, {'id': 4939708741, 'qualifierId': 213, 'value': '5.16'}, {'id': 4939708733, 'qualifierId': 56, 'value': 'Right'}, {'id': 4939708739, 'qualifierId': 212, 'value': '15.2'}, {'id': 4939708737, 'qualifierId': 141, 'value': '3.5'}];5u3ohty1lsm0fn2ltez4g7o5w;B. Estrela;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;5,16;;68,6;3,5;;15,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;68,6;3,5;;;;;;;;0;52;7;New York City II;3127;MC;1,0
2670749585;525;1;2;52;9;4g68p0t2f5jzhzfr67i2rj1ex;1;68,6;3,5;2024-04-11T00:49:06.932Z;2024-04-11T00:49:11Z;[{'id': 4939708807, 'qualifierId': 212, 'value': '11.7'}, {'id': 4939708809, 'qualifierId': 213, 'value': '0.22'}, {'id': 4939708803, 'qualifierId': 140, 'value': '79.5'}, {'id': 4939708801, 'qualifierId': 56, 'value': 'Right'}, {'id': 4939708805, 'qualifierId': 141, 'value': '7.3'}];o3gftw0hatp1r62ynjmlaaui;D. Sullivan;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;0,22;;79,5;7,3;;11,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;79,5;7,3;;;;;;;;0;52;9;New York City II;3129;Sub;1,0
2670749589;526;61;2;52;11;4g68p0t2f5jzhzfr67i2rj1ex;0;77,0;5,5;2024-04-11T00:49:08.947Z;2024-04-11T00:49:38Z;[{'id': 4939708817, 'qualifierId': 56, 'value': 'Right'}];8y7kqet5swj9dmqama0z5ngus;J. Hall;;c3p48vu4u9p0rjcc9bd5rl3x0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;52;11;New York City II;3131;FW;1,0
