id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_PlayerPosition;value_TeamFormation;value_TeamKit;value_Captain;value_Resume;value_Involved;value_DirectionOfPlay;value_Angle;value_PassEndX;value_Length;value_Zone;value_KickOff;value_PassEndY;value_TouchTypeControl;value_IntendedTackleTarget;value_Offensive;value_Foul;value_AttemptedTackle;value_OppositeRelatedEventId;value_Direct;value_Defensive;value_FreeKickTaken;value_Launch;value_LongBall;value_DeletedEventType;value_Chipped;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_TakeOnSpace;value_TakeOnOvertake;value_Defensive1V1;value_TouchTypeClearance;value_LayOff;value_BlockedPass;value_Cross;value_RightFooted;value_OutSwinger;value_BlockedCross;value_PullBack;value_Right;value_Left;value_InSwinger;value_CornerTaken;value_LeftFooted;value_BlockedY;value_FirstTouch;value_GkX;value_IntentionalAssist;value_Assisted;value_BlockedX;value_GkY;value_GoalmouthZ;value_SmallBoxLeft;value_GoalmouthY;value_NotPastGoalLine;value_RelatedEventId;value_FromCorner;value_BigChance;value_SmallBoxCentre;value_CloseHigh;value_NotAssisted;value_OtherBodyPart;value_High;value_NotVisible;value_OutOfPlay;value_BoxCentre;value_Head;value_SwitchOfPlay;value_Assist;value_CloseRight;value_RegularPlay;value_OutOfBoxCentre;value_IndividualPlay;value_Blocked;value_LowCentre;value_DefBlock;value_HeadPass;value_DrivenCross;value_Straight;value_BoxLeft;value_Volley;value_Stooping;value_ParriedDanger;value_Hands;value_LowGkIntervention;value_OverhitCross;value_KeeperThrow;value_Obstruction;value_Indirect;value_BlockedClearance;value_FlickOn;value_Shove/Push;value_PlayersCaughtOffside;value_Collected;value_Standing;value_OverArm;value_LeadingToAttempt;value_RelatedError1Id;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_IncorrectOutOfPlayDecision;value_Dissent;value_CoachId;value_HighRight;value_Minutes;value_ThroughBall;value_GkKickFromHands;value_EndType;value_35Centre;value_FreeKick;value_MediumGkIntervention;value_OtherObstacle;value_CloseLeft;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Overrun;value_Feet;value_Sliding;value_SmallBoxRight;value_InjuredPlayerId;value_Injury;value_CloseRightAndHigh;value_BoxDeepRight;value_GoalShotTimestamp;value_FantasyAssistId;value_GoalShotGameClock;value_FantasyAssistTeam;value_GkYTimeOfGoal;value_FantasyAssistType;value_FantasyAssistedBy;value_GkXTimeOfGoal;value_OtherReason;value_VideoCoverageLost;value_ParriedSafe;value_FastBreak;value_BoxRight;value_Strong;value_KeeperTouched;value_RecklessOffence;value_LowLeft;value_TimeWasting;value_Diving;value_GoesToPenalties;value_Saved;value_Penalty;value_LowRight;value_Second(2Nd)OppositeRelatedEventId;value_HitWoodwork;value_Scored;value_Missed;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_WeatherProblem;value_NewStartTime;value_OfficiallyAnnounced;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2701114911;192;1;1;23;4;479lsfr4cwlzewpbuda3y2xv4;1;45,5;24,9;2024-07-14T23:53:56.464Z;2024-07-14T23:54:01Z;[{'id': 5105147297, 'qualifierId': 141, 'value': '81.5'}, {'id': 5105147299, 'qualifierId': 212, 'value': '38.7'}, {'id': 5105147303, 'qualifierId': 1}, {'id': 5105147293, 'qualifierId': 56, 'value': 'Back'}, {'id': 5105147295, 'qualifierId': 140, 'value': '49.2'}, {'id': 5105147301, 'qualifierId': 213, 'value': '1.47'}];25rizu4n91uyax4z6l5jv6dqs;F. Loyola;;;e1102zedtirvq8md6o2sfd15g;Pass;;;;;;;;;;1,47;49,2;38,7;;;81,5;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;49,2;81,5;;;;;;;;0;23;4;Inter Miami II;1384;AMR;1,0
2701114913;193;1;1;23;9;479lsfr4cwlzewpbuda3y2xv4;1;53,3;78,5;2024-07-14T23:54:01.584Z;2024-07-20T10:59:37Z;[{'id': 5105147311, 'qualifierId': 141, 'value': '68.1'}, {'id': 5105147313, 'qualifierId': 212, 'value': '7.4'}, {'id': 5105147309, 'qualifierId': 140, 'value': '55.3'}, {'id': 5105147315, 'qualifierId': 213, 'value': '5.00'}, {'id': 5105147307, 'qualifierId': 56, 'value': 'Center'}];7tpb4dk9meee0utyu4cosnxn8;S. Mohammed;;;e1102zedtirvq8md6o2sfd15g;Pass;;;;;;;;;;5,0;55,3;7,4;;;68,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;55,3;68,1;;;;;;;;0;23;9;Inter Miami II;1389;AMC;1,0
2701114915;214;83;1;23;12;c7c4wwva2u1vb3rr7rwava044;0;47,5;22,6;2024-07-14T23:54:04.811Z;2024-07-14T23:58:50Z;[{'id': 5105150083, 'qualifierId': 399, 'value': '25rizu4n91uyax4z6l5jv6dqs'}];1yl2e0y3cglm1nwto5uzs3e5m;L. Sunderland;;;e1102zedtirvq8md6o2sfd15g;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;;0;23;12;Orlando City B;1392;MC;1,0
2701114917;194;1;1;23;13;479lsfr4cwlzewpbuda3y2xv4;1;58,6;70,2;2024-07-14T23:54:05.424Z;2024-07-14T23:54:07Z;[{'id': 5105147325, 'qualifierId': 140, 'value': '41.9'}, {'id': 5105147331, 'qualifierId': 213, 'value': '3.38'}, {'id': 5105147329, 'qualifierId': 212, 'value': '18.0'}, {'id': 5105147323, 'qualifierId': 56, 'value': 'Back'}, {'id': 5105147327, 'qualifierId': 141, 'value': '64.0'}];25rizu4n91uyax4z6l5jv6dqs;F. Loyola;;;e1102zedtirvq8md6o2sfd15g;Pass;;;;;;;;;;3,38;41,9;18,0;;;64,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;41,9;64,0;;;;;;;;0;23;13;Inter Miami II;1393;AMR;1,0
2701114919;195;1;1;23;15;479lsfr4cwlzewpbuda3y2xv4;1;41,8;64,0;2024-07-14T23:54:07.696Z;2024-07-14T23:54:09Z;[{'id': 5105147337, 'qualifierId': 140, 'value': '45.3'}, {'id': 5105147335, 'qualifierId': 56, 'value': 'Back'}, {'id': 5105147343, 'qualifierId': 213, 'value': '5.61'}, {'id': 5105147341, 'qualifierId': 212, 'value': '4.7'}, {'id': 5105147339, 'qualifierId': 141, 'value': '59.7'}];2wsgrwgiotfis2l96i0sxlvys;T. Reid-Brown;;;e1102zedtirvq8md6o2sfd15g;Pass;;;;;;;;;;5,61;45,3;4,7;;;59,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;45,3;59,7;;;;;;;;0;23;15;Inter Miami II;1395;DC;1,0
2701114925;196;1;1;23;17;479lsfr4cwlzewpbuda3y2xv4;1;45,7;60,2;2024-07-14T23:54:09.648Z;2024-07-14T23:54:12Z;[{'id': 5105147353, 'qualifierId': 140, 'value': '62.3'}, {'id': 5105147351, 'qualifierId': 56, 'value': 'Center'}, {'id': 5105147359, 'qualifierId': 213, 'value': '0.18'}, {'id': 5105147355, 'qualifierId': 141, 'value': '64.9'}, {'id': 5105147357, 'qualifierId': 212, 'value': '17.7'}];i5wj5hcg2r9934e7gauxtgmi;I. Almaguer;;;e1102zedtirvq8md6o2sfd15g;Pass;;;;;;;;;;0,18;62,3;17,7;;;64,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;62,3;64,9;;;;;;;;0;23;17;Inter Miami II;1397;MC;1,0
2701114933;197;1;1;23;19;479lsfr4cwlzewpbuda3y2xv4;1;67,1;65,7;2024-07-14T23:54:11.952Z;2024-07-14T23:54:15Z;[{'id': 5105147399, 'qualifierId': 212, 'value': '15.1'}, {'id': 5105147393, 'qualifierId': 56, 'value': 'Left'}, {'id': 5105147397, 'qualifierId': 141, 'value': '84.1'}, {'id': 5105147401, 'qualifierId': 213, 'value': '0.97'}, {'id': 5105147395, 'qualifierId': 140, 'value': '75.2'}];p99ze5cksh5tv01knf5oj33e;J. Solís;;;e1102zedtirvq8md6o2sfd15g;Pass;;;;;;;;;;0,97;75,2;15,1;;;84,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;75,2;84,1;;;;;;;;0;23;19;Inter Miami II;1399;AML;1,0
2701114943;198;1;1;23;23;479lsfr4cwlzewpbuda3y2xv4;1;77,3;85,9;2024-07-14T23:54:15.488Z;2024-07-14T23:54:23Z;[{'id': 5105147457, 'qualifierId': 140, 'value': '90.6'}, {'id': 5105147455, 'qualifierId': 56, 'value': 'Left'}, {'id': 5105147463, 'qualifierId': 213, 'value': '6.09'}, {'id': 5105147461, 'qualifierId': 212, 'value': '14.2'}, {'id': 5105147459, 'qualifierId': 141, 'value': '81.8'}];25rizu4n91uyax4z6l5jv6dqs;F. Loyola;;;e1102zedtirvq8md6o2sfd15g;Pass;;;;;;;;;;6,09;90,6;14,2;;;81,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;90,6;81,8;;;;;;;;0;23;23;Inter Miami II;1403;AMR;1,0
2701114941;215;83;1;23;29;c7c4wwva2u1vb3rr7rwava044;0;4,1;8,4;2024-07-14T23:54:21.530Z;2024-07-14T23:58:50Z;[{'id': 5105150077, 'qualifierId': 399, 'value': 'p99ze5cksh5tv01knf5oj33e'}];6rf06scmlaprgplvvw0oyb9ck;D. Ruíz;;;e1102zedtirvq8md6o2sfd15g;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;;0;23;29;Orlando City B;1409;MC;1,0
2701114945;199;1;1;23;31;479lsfr4cwlzewpbuda3y2xv4;1;95,2;90,9;2024-07-14T23:54:23.488Z;2024-07-14T23:54:27Z;[{'id': 5105147471, 'qualifierId': 140, 'value': '93.9'}, {'id': 5105147473, 'qualifierId': 141, 'value': '81.2'}, {'id': 5105147469, 'qualifierId': 56, 'value': 'Left'}, {'id': 5105147475, 'qualifierId': 212, 'value': '6.7'}, {'id': 5105147477, 'qualifierId': 213, 'value': '4.51'}];p99ze5cksh5tv01knf5oj33e;J. Solís;;;e1102zedtirvq8md6o2sfd15g;Pass;;;;;;;;;;4,51;93,9;6,7;;;81,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;93,9;81,2;;;;;;;;0;23;31;Inter Miami II;1411;AML;1,0
